id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1668669064,1,seamless+pattern+floral,illustration,Ola-la,"Seamless floral pattern with flowers on dark background, watercolor. Template design for textiles, interior, clothes, wallpaper. Botanical art","flower,pattern,seamless,vintage,floral,background,green,rose,victorian,abstract,painting,beautiful,peony,red,art,spring,summer,arrangement,artwork,colorful,curl,decoration,fashion,illustration,isolated,leaf,oriental,romantic,accent,bloom,blossom,botanical,bouquet,curve,design,elegance,feminine,flora,growth,handmade,ornamental,petal,pink,plant,pretty,soulful,stem,valentine,watercolor flowers,white",https://image.shutterstock.com/image-illustration/seamless-floral-pattern-flowers-on-600w-1668669064.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-floral-pattern-flowers-on-600w-1668669064.jpg', 'path': 'full/5c42c6c327b9bb9e44936c20a301d429ce197389.jpg', 'checksum': '3a54ea0391764dcc0bc9d866c810dd54'}]"
659070148,1,seamless+pattern+floral,vector,berry2046,Abstract vintage composition colorful leaves seamless floral pattern background,"pattern,flower,tropic,floral,abstract,seamless,print,vector,bird,fabric,beach,background,black,leaf,graphic,art,jungle,summer,texture,fashion,plant,shirt,hawaii,palm,paradise,aloha,blue,exotic,beauty,flora,nature,artwork,brazil,wallpaper,design,isolated,painting,textile,blossom,garden,spring,beautiful,colorful,decoration,element,fashionable,green,illustration,trendy,tropical",https://image.shutterstock.com/image-vector/abstract-vintage-composition-colorful-leaves-600w-659070148.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-vintage-composition-colorful-leaves-600w-659070148.jpg', 'path': 'full/97cb8670d565f711ba75502805d46b2a565fbabd.jpg', 'checksum': 'ee0c59dc5705253ff6368f6fb0906e40'}]"
1590062734,1,seamless+pattern+floral,illustration,ruseanna,"Seamless watercolor floral pattern - green leaves and branches composition on white background, perfect for wrappers, wallpapers, postcards, greeting cards, wedding invitations, romantic events.","watercolor,pattern,eucalyptus,seamless,watercolour,flower,background,leaves,floral,foliage,leaf,botanical,green,wedding,abstract,vintage,spring,texture,bouquet,print,art,branch,greenery,wreath,nature,plant,succulent,wallpaper,illustration,summer,tree,fashion,garden,set,card,design,frame,trendy,white,decoration,drawing,fern,graphics,hand painted,illustrated,invitation,invites,isolated,lime color,retro",https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-green-600w-1590062734.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-green-600w-1590062734.jpg', 'path': 'full/f5aa8ef7676bf01becfa1dae709fd9c8db2cc8c4.jpg', 'checksum': '6f290ad4ba09d3fcba95c46f8da348a3'}]"
443318998,1,seamless+pattern+floral,vector,Studio+Lulu,Trendy Seamless Floral Pattern in vector,"pattern,flower,floral,small,ditsy,vector,seamless,print,retro,trendy,background,rose,abstract,little,cute,leave,fashion,repeat,illustration,leaf,spring,graphic,summer,textile,trend,fabric,style,texture,tile,wallpaper,art,backdrop,beautiful,beauty,bloom,blossom,color,decor,elegance,feminine,flora,fresh,garden,nature,ornament,painted,paper,pink,wrapping",https://image.shutterstock.com/image-vector/trendy-seamless-floral-pattern-vector-600w-443318998.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/trendy-seamless-floral-pattern-vector-600w-443318998.jpg', 'path': 'full/dd5a61f37710a86822ad83421e219894661d6d9f.jpg', 'checksum': '76719dcee5c903997eff3e0090ddedb9'}]"
348560312,1,seamless+pattern+floral,vector,Ola-la,"Seamless floral pattern with roses, watercolor. Vector illustration.
","pattern,seamless,floral,flower,background,watercolor,vector,rose,vintage,botanical,bouquet,green,fashion,spring,art,beauty,pink,abstract,design,illustration,petal,plant,stem,flora,leaf,nature,painting,pretty,summer,white,accent,arrangement,artwork,beautiful,bloom,blossom,colorful,curl,curve,decoration,elegance,feminine,growth,isolated,ornamental,peony,red,romantic,soulful,valentine",https://image.shutterstock.com/image-vector/seamless-floral-pattern-roses-watercolor-600w-348560312.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-floral-pattern-roses-watercolor-600w-348560312.jpg', 'path': 'full/ea14c832ebe146f6c7a2747fa9722d7390d937e4.jpg', 'checksum': '95c445fd2cabcea1ddf9a4c4e7929577'}]"
534798139,1,seamless+pattern+floral,vector,Ezhevika,"Big set of 20 oriental patterns. White and gold background with Arabic ornaments. Patterns, backgrounds and wallpapers for your design. Textile ornament. Vector illustration.","pattern,arab,floral,arabesque,background,islam,orient,ornament,seamless,wallpaper,lace,set,gold,decor,abstract,asian,vintage,modern,line,turkish,graphic,wall,mosaic,eastern,ethnic,muslim,art,arabian,asia,old,ornate,style,tile,history,paper,repeat,round,east,spanish,arabic,curves,decoration,decorative,illustration,islamic,ornamental,sample,traditional",https://image.shutterstock.com/image-vector/big-set-20-oriental-patterns-600w-534798139.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/big-set-20-oriental-patterns-600w-534798139.jpg', 'path': 'full/86226256d8a522fb9d213d9cba4faf7a41675063.jpg', 'checksum': 'eb2a1cf93f037f677f207f803d00d64f'}]"
475927102,1,seamless+pattern+floral,illustration,Ola-la,"Seamless tropical flower pattern, watercolor. ","pattern,flower,floral,seamless,print,illustration,background,leaves,fashion,design,fabric,hibiscus,abstract,summer,textile,hawaii,spring,art,blue,california,graphic,wallpaper,travel,aloha,party,polynesia,blossom,botanical,garment,hawaiian,holiday,hula,island,luau,polynesian,repeated,surfing,tropical,wrapping",https://image.shutterstock.com/image-illustration/seamless-tropical-flower-pattern-watercolor-600w-475927102.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-tropical-flower-pattern-watercolor-600w-475927102.jpg', 'path': 'full/5c1459197baf7f72b628faab6b77b9bd7bbd05c6.jpg', 'checksum': 'b84e6372dad548905161006ef3aed8ab'}]"
1805873335,1,seamless+pattern+floral,vector,Galakam,Floral seamless pattern. Hand drawn large flower buds. Flower silhouettes. Botanical background. Summer garden texture.,"floral,seamless,pattern,bloom,large,retro,daisy,outline,silhouette,summer,bouquet,flower,foliage,illustration,line,vector,wallpaper,abstract,art,artistic,background,beauty,blossom,botanical,colorful,decorative,design,drawing,element,fabric,fashion,flora,folk,garden,graphic,leaf,motif,nature,ornament,ornate,petal,pink,plant,simple,sketch,spring,style,textile,texture,vintage",https://image.shutterstock.com/image-vector/floral-seamless-pattern-hand-drawn-600w-1805873335.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-pattern-hand-drawn-600w-1805873335.jpg', 'path': 'full/977f937c2bc2e64bdb6bbaf70085de75ab7a1fa9.jpg', 'checksum': 'aed6810908914a8aa4ef9725e350221e'}]"
1357613969,1,seamless+pattern+floral,vector,artnLera,hand drawn doodle ice cream summer  seamless pattern,"pattern,seamless,kids,beach,children,doodle,girl,summer,tropical,vector,colorful,cute,flower,fruit,bright,design,easter,floral,food,heart,sketch,background,beautiful,berry,candy,doodle background,doodle pattern,dots,hand drawn,happy,ice cream,ice cream cone,icon,illustration,lemon,monstera,orange,palm,party,plant,seamless pattern,strawberry,summer fun,summer holiday,sweets,textile,texture,tropical flowers,wallpaper,watermelon",https://image.shutterstock.com/image-vector/hand-drawn-doodle-ice-cream-600w-1357613969.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawn-doodle-ice-cream-600w-1357613969.jpg', 'path': 'full/e58f2fd130f1752ad31b4f2154ede7db2e6de7d6.jpg', 'checksum': '0d52469b9fe847ed6eee81ea4eabb0af'}]"
1114548902,1,seamless+pattern+floral,vector,MSNTY,"Tropical leaves on pastel mood Seamless graphic design with amazing palms. Fashion, interior, wrapping, packaging suitable. Realistic palm leaves.vector on white background","pattern,floral,flower,vector,watercolor,leaves,leaf,seamless,palm,graphic,hawaii,beach,print,vintage,plant,tree,banana,fashion,illustration,texture,wallpaper,design,fabric,white,branch,foliage,jungle,art,drawing,exotic,green,hawaiian,summer,paradise,spring,background,botanical,decoration,natural,nature,textile,tropical",https://image.shutterstock.com/image-vector/tropical-leaves-on-pastel-mood-600w-1114548902.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-leaves-on-pastel-mood-600w-1114548902.jpg', 'path': 'full/7b22559e35178f8a96b2bf5d9b938b15ca602a6e.jpg', 'checksum': '14c21657a1145c43a72e095c0870b275'}]"
561143002,1,seamless+pattern+floral,vector,Hulya+Karakose,Seamless Floral Pattern in vector,"flower,pattern,floral,vector,seamless,print,small,ditsy,spring,rose,little,background,abstract,graphic,tile,summer,cute,fabric,retro,color,garden,art,leaf,feminine,textile,blossom,nature,ornament,repeat,bloom,fashion,flora,pink,trend,wallpaper,decor,elegance,paper,backdrop,beautiful,beauty,fresh,illustration,leave,painted,style,wrapping",https://image.shutterstock.com/image-vector/seamless-floral-pattern-vector-600w-561143002.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-floral-pattern-vector-600w-561143002.jpg', 'path': 'full/ba597e1b9811e4a167e4d934cbf30634eb14a3a5.jpg', 'checksum': 'edebafaea9ebe4587fca2919fa1b9e3a'}]"
671248444,1,seamless+pattern+floral,illustration,krisArt,"Tropical isolated seamless pattern with flamingo. Watercolor tropic drawing, rose bird and greenery palm tree, tropic green texture, exotic flower. Aloha collection","flamingo,tropic,pattern,seamless,watercolor,aloha,flower,exotic,floral,background,rose,jungle,palm,rainforest,green,leaf,modern,summer,texture,art,greenery,tree,botanical,water,botany,brazil,color,decor,decoration,fabric,fasion,gungle,lilac,natural,nature,paint,plant,season,sunset,textile,trendy,tropical,wet",https://image.shutterstock.com/image-illustration/tropical-isolated-seamless-pattern-flamingo-600w-671248444.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/tropical-isolated-seamless-pattern-flamingo-600w-671248444.jpg', 'path': 'full/2c20bae888ba219f552c98a169fad3efdd083583.jpg', 'checksum': '2a3c300646440f8ef1b560a4bf9d4e0d'}]"
775989184,1,seamless+pattern+floral,photo,MSNTY,"Beautiful seamless watercolour illustration wild blooming floral pattern, delicate flowers, white, blue and light blue flowers, greeting card template on light grey background.","flower,pattern,floral,watercolor,abstract,design,vintage,wallpaper,background,bloom,blue,nature,blossom,delicate,romantic,white,bouquet,fabric,leaf,retro,art,beauty,rose,spring,decorative,illustration,pink,beautiful,botanical,card,decoration,drawing,fashion,flowers,garden,peony,plant,summer,textile",https://image.shutterstock.com/image-photo/beautiful-seamless-watercolour-illustration-wild-600w-775989184.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/beautiful-seamless-watercolour-illustration-wild-600w-775989184.jpg', 'path': 'full/16d157390ae29669e5c2b9ebb2d226e934f64a7e.jpg', 'checksum': 'b0ce9fea5200f763010c7aa4e82bd16d'}]"
247276183,1,seamless+pattern+floral,vector,mamita,"Vector seamless pattern. Background for for fabrics, textiles, paper, wallpaper, web pages, wedding invitations. Vintage style. Floral ornament.","pattern,seamless,flower,floral,oriental,vintage,vector,background,classic,black,wallpaper,bouquet,design,illustration,leaf,white,bell,wedding,decoration,garden,summer,art,colorful,grass,green,nature,plant,retro,romantic,spring,textile,victorian,and,artwork,beautiful,beauty,blossom,botanical,congratulation,decor,elegance,flora,flowers,invitation,petal,shabby-chic",https://image.shutterstock.com/image-vector/vector-seamless-pattern-background-fabrics-600w-247276183.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-background-fabrics-600w-247276183.jpg', 'path': 'full/e6bdd4425ba9d08a1e47d1259a56e2bbdfcf307f.jpg', 'checksum': '9c6f07256e0f7a6f7fd805db5a32bd07'}]"
1124823902,1,seamless+pattern+floral,vector,17096646,"Floral spring pattern Ditsy Flowers in vector for textile print,fashion pattern,fabric print","floral,pattern,flower,print,vector,ditsy,small,seamless,watercolor,background,illustration,color,graphic,spring,summer,fabric,fashion,leaf,rose,art,beautiful,beauty,bed cloth,bed sheet,bedspread,botanical,curtain pattern,cute,drawing,elegance,fabric print,fashion print,flower vector,nature,retro,scarf print,table cloth,textile,textile pattern,trend,wallpaper",https://image.shutterstock.com/image-vector/floral-spring-pattern-ditsy-flowers-600w-1124823902.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-spring-pattern-ditsy-flowers-600w-1124823902.jpg', 'path': 'full/1c53831b834346b557608312f35ff44ee818bafd.jpg', 'checksum': '731ccf0cc010d34c31737459ed181097'}]"
727060057,1,seamless+pattern+floral,vector,YokoDesign,Floral pattern. Flower seamless background. Flourish ornamental garden,"pattern,flower,floral,chinese,seamless,vintage,wallpaper,design,garden,background,border,classic,embroidery,fashion,frame,peony,rose,summer,cute,texture,art,drawing,retro,branch,daisy,pastel,spring,textile,leaves,style,card,flourish,nature,tile,blossom,wildflower,bouquet,stylish,backdrop,bloom,botanical,curl,elegance,gentle,holiday,illustration,ornamental,petal,springtime,vegetation",https://image.shutterstock.com/image-vector/floral-pattern-flower-seamless-background-600w-727060057.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-pattern-flower-seamless-background-600w-727060057.jpg', 'path': 'full/ad628b021e8fe706ab37439e2333eb58e6ab7a4d.jpg', 'checksum': '488fe28826e50031295a22c083a8b48b'}]"
113002105,1,seamless+pattern+floral,vector,alicedaniel,Shabby Chic Rose Patterns and seamless backgrounds. Ideal for printing onto fabric and paper or scrap booking.,"pattern,vintage,background,flower,seamless,floral,chic,shabby,retro,cute,set,wallpaper,rose,pink,fabric,scrapbook,stripe,print,pretty,sweet,blue,collection,romantic,garden,design,scrap,paper,fashion,feminine,element,love,card,greeting,england,trim,style,ornament,doodle,textile,bloom,delicate,english rose,old fashioned,photo album,photo frame,polka dot,quilting,scrap-booking,shabby chic,stitching",https://image.shutterstock.com/image-vector/shabby-chic-rose-patterns-seamless-600w-113002105.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/shabby-chic-rose-patterns-seamless-600w-113002105.jpg', 'path': 'full/25e1e7a8a70896e8a625e1b974e278a4f849cbb3.jpg', 'checksum': '15513759c49fd2d1dbec6e999e4e435c'}]"
247442698,1,seamless+pattern+floral,vector,gizele,Seamless vector floral wallpaper. Decorative vintage pattern in classic style with flowers and twigs. Two tone ornament with white peony silhouette on blue background,"pattern,floral,flower,vector,seamless,silhouette,vintage,background,classic,baroque,texture,spring,plant,abstract,peony,antique,fabric,style,foliage,ornament,shabby,cloth,decor,retro,textile,leaf,blossom,old,wallpaper,bloom,decoupage,fashion,garden,summer,art,back,beautiful,chic,decoration,decorative,floral background,floral pattern,flower pattern,flower vector,foliate,illustration,seamless pattern,seamless vector,shabby chic,shape",https://image.shutterstock.com/image-vector/seamless-vector-floral-wallpaper-decorative-600w-247442698.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-floral-wallpaper-decorative-600w-247442698.jpg', 'path': 'full/16317c1155a15267c43cb440f93b10498cf0f58f.jpg', 'checksum': '768aab595b61015c6045ea938017a3f6'}]"
484071631,1,seamless+pattern+floral,vector,Ola-la,"Seamless floral pattern with flowers, watercolor. Vector illustration.","pattern,floral,flower,rose,seamless,vector,vintage,watercolor,romantic,red,pink,background,peony,illustration,bouquet,summer,artwork,botanical,flora,petal,pretty,beautiful,design,elegance,spring,white,abstract,blossom,decoration,fashion,feminine,green,isolated,nature,painting,plant,accent,arrangement,art,beauty,bloom,colorful,curl,curve,growth,leaf,ornamental,soulful,stem,valentine",https://image.shutterstock.com/image-vector/seamless-floral-pattern-flowers-watercolor-600w-484071631.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-floral-pattern-flowers-watercolor-600w-484071631.jpg', 'path': 'full/b8d4422af0e618eaa2f6fe2721d6d42cefb0894d.jpg', 'checksum': '6c31f1dcab036408082f1a27c5f23017'}]"
1065332303,1,seamless+pattern+floral,vector,Ezhevika,"Super Big set of 32 oriental patterns. White and gold background with Arabic ornaments. Patterns, backgrounds and wallpapers for your design. Textile ornament. Vector illustration.","pattern,arab,seamless,islam,ornament,background,gold,floral,orient,wallpaper,modern,line,arabesque,turkish,wall,set,arabian,abstract,paper,lace,decor,tile,graphic,spanish,style,art,asian,mosaic,muslim,vintage,eastern,old,repeat,ethnic,history,round,asia,east,ornate,arabic,curves,decoration,decorative,illustration,islamic,ornamental,sample,traditional",https://image.shutterstock.com/image-vector/super-big-set-32-oriental-600w-1065332303.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/super-big-set-32-oriental-600w-1065332303.jpg', 'path': 'full/f6879de1d5bdc1904e0bea1e2d3f73389a84282f.jpg', 'checksum': 'eaf338b70d966f10359704bb014b470e'}]"
1784304347,1,seamless+pattern+floral,illustration,alenkakarabanova,Summer floral bouquet seamless pattern in pastel orange and blue colors. Illustrated floral texture for vintage fabric design. Fashionable repeated background.,"pattern,seamless,floral,abstract,print,texture,art,botanical,fabric,moody,repeat,background,chrysanthemum,color,damask,decor,decoration,decorative,design,drawing,elegance,elegant,ethnic,fashionable,flower,graphic,hand-drawn,illustrated,illustration,indian,leaf,leaves,narcissus,natural,nature,neutral,ornament,palette,pastel,plant,retro,romance,russian,style,summer,surface,textile,traditional,vintage,wallpaper",https://image.shutterstock.com/image-illustration/summer-floral-bouquet-seamless-pattern-600w-1784304347.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/summer-floral-bouquet-seamless-pattern-600w-1784304347.jpg', 'path': 'full/c242d21c00ad98e354e540a6db6ac04888fa7e2f.jpg', 'checksum': '0d04eaba7830e981b78de8895e028577'}]"
1716078535,1,seamless+pattern+floral,illustration,ruseanna,"Seamless watercolor floral pattern - pink flowers, green leaves & branches on white background; for wrappers, wallpapers, postcards, greeting cards, wedding invitations, romantic events.","watercolor,flower,floral,pattern,watercolour,white,pink,print,abstract,background,drawing,eucalyptus,fashion,frame,green,leaf,leaves,spring,wallpaper,art,boho,botanical,bouquet,branch,card,decoration,foliage,garden,graphics,greenery,greeting,hand painted,illustrated,illustration,invitation,invites,lime color,nature,peach color,plant,rose,seamless,set,summer,textile,texture,tree,trendy,vintage,wedding",https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-pink-600w-1716078535.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-pink-600w-1716078535.jpg', 'path': 'full/ae824ab3404fb73f1d89b46ddb593fe2ff74e062.jpg', 'checksum': '3c5825ada8c3189732f01edb9fc794c9'}]"
1838043025,1,seamless+pattern+floral,illustration,JOY8046,"Seamless pattern of chrysanthemum, rose, peony and Blooming flowers with watercolor on pastel colors. Design for fabric luxurious and wallpaper, vintage style. Hand drawn floral pattern.Botany garden.","seamless,pattern,watercolor,floral,flower,peony,design,retro,spring,drawing,illustration,rose,tile,wallpaper,art,background,beautiful,bloom,blooming flowers,blossom,botanical,bouquet,branch,chrysanthemum,colorful,decoration,decorative,elegant,fabric,fashion,flora,garden,graphic,leaf,nature,painting,paper,pastel,pink,plant,print,romantic,summer,template,textile,texture,tropic,valentine,valentines,vintage",https://image.shutterstock.com/image-illustration/seamless-pattern-chrysanthemum-rose-peony-600w-1838043025.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-chrysanthemum-rose-peony-600w-1838043025.jpg', 'path': 'full/643c9a42be770cb5fe0cbfd37c6990aa22b34b18.jpg', 'checksum': '540c943190e89da551010584245679d4'}]"
1393238120,1,seamless+pattern+floral,vector,ozzichka,"Vector seamless pattern with hand drawing wild flowers, colorful botanical illustration, floral elements, hand drawn repeatable background. Artistic backdrop.","pattern,floral,flower,abstract,vector,background,simple,illustration,poppy,red,silhouette,drawing,hand,petal,spring,leaf,summer,graphic,grass,vintage,drawn,handdrawn,retro,art,decoration,design,doodle,isolated,organic,set,anemon,artistic,beauty,blossom,botanic,botanical,botany,collection,element,flora,frame,garden,grunge,kids,natural,nature,ornament,plant,sketch,symbol",https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawing-600w-1393238120.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawing-600w-1393238120.jpg', 'path': 'full/53efafc13bf0ac3411bc94846c45bf15bb4983a1.jpg', 'checksum': '95850e6c78ae0e2bb02330c8d2869fa3'}]"
1177796155,1,seamless+pattern+floral,vector,Eroshka,Seamless floral pattern with chamomile or daisy flowers.,"daisy,print,floral,pattern,seamless,backdrop,background,beautiful,bloom,blossom,blue,bright,chamomile,cheerful,cloth,cute,decor,decoration,decorative,fabric,flower,garden,gold,graphic,illustration,merry,nature,ornate,package,paper,petal,plant,repeating,spring,stencil,summer,textile,texture,wallpaper,white,wrapping,yellow",https://image.shutterstock.com/image-vector/seamless-floral-pattern-chamomile-daisy-600w-1177796155.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-floral-pattern-chamomile-daisy-600w-1177796155.jpg', 'path': 'full/eb0f49191a72b9f73ae23fe1deb13ab646d5a0f4.jpg', 'checksum': '7c32b89e5bb1d041a4b57e532ada5286'}]"
668496742,1,seamless+pattern+floral,vector,Mariya+Alexandrova,Roses and lilies with leaves floral pattern on a blue background.,"flower,pattern,floral,vector,seamless,vintage,print,abstract,rose,white,background,design,illustration,fabric,bouquet,pink,romantic,spring,texture,beauty,elegant,summer,textile,bloom,blossom,cute,delicate,fashion,flora,graphic,leaf,retro,wallpaper,art,decoration,garden,nature,ornament,pretty,repeat,beautiful,botanical,decor,decorative,elegance,feminine,petal,plant,style",https://image.shutterstock.com/image-vector/roses-lilies-leaves-floral-pattern-600w-668496742.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/roses-lilies-leaves-floral-pattern-600w-668496742.jpg', 'path': 'full/bedec8b388c55543279032fae26677d8d08572ea.jpg', 'checksum': '96cf925383a5200e78230dd4521c1af3'}]"
792271357,1,seamless+pattern+floral,illustration,TEXOPIA,Rose flowers on the ground of a classic pattern,"pattern,seamless,flower,floral,texture,watercolor,spring,summer,art,background,beautiful,beauty,blossom,classic pattern,colorful,decoration,design,flora,garden,illustration,leaf,natural,nature,petal,plant,romantic,rose flower",https://image.shutterstock.com/image-illustration/rose-flowers-on-ground-classic-600w-792271357.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/rose-flowers-on-ground-classic-600w-792271357.jpg', 'path': 'full/a14ba11514031b953632939a392069c0ecdf31e1.jpg', 'checksum': '2aae33b2a5626b7b73e1e670ebc5e246'}]"
