id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1807072906,1,seamless+pattern+orange,vector,Angelina+Bambina,"Collage contemporary orange floral and polka dot shapes seamless pattern set. Modern exotic design for paper, cover, fabric, interior decor and other users.","pattern,spring,flower,abstract,seamless,vector,orange,modern,summer,watercolor,floral,tropical,palm,fruit,geometric,plant,texture,collage,fabric,graphic,leaf,pink,print,background,collection,colorful,exotic,hawaiian,illustration,monstera,retro,backdrop,beach,creative,decor,decoration,decorative,design,fashion,hawaii,hibiscus,jungle,polka dot,style,surfing,textile,tree,tribal,tribe,wallpaper",https://image.shutterstock.com/image-vector/collage-contemporary-orange-floral-polka-600w-1807072906.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collage-contemporary-orange-floral-polka-600w-1807072906.jpg', 'path': 'full/0f0f895eba99bac3a2ab4a7e1601ce06ca6d0656.jpg', 'checksum': 'aa0e92aaef3e609ad93cadb3f3706fd2'}]"
129493022,1,seamless+pattern+orange,vector,AKSANA+SHUMIANTSAVA,Seamless  vector abstract wave pattern background,"pattern,line,geometric,wave,vector,modern,seamless,vintage,simple,curve,retro,abstract,wallpaper,christmas,holiday,scroll,tile,gray,art,shape,artistic,repetition,graphic,textile,ornate,backgrounds,beautiful,decor,decoration,drawing,illusion,illustration,illustrator,line art,orange,repeating,revival,vertical stripes,zig zag",https://image.shutterstock.com/image-vector/seamless-vector-abstract-wave-pattern-600w-129493022.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-abstract-wave-pattern-600w-129493022.jpg', 'path': 'full/ad704d3a5982ccfd2888fb5c151c38aca63182bc.jpg', 'checksum': 'e93b0dac6183ce4bb067ea01c5bce228'}]"
1718831380,1,seamless+pattern+orange,vector,KovallinoART,"Graffiti seamless pattern with dark blue and orange gamepad sign, fire track, digital style text, lightning, squares. Gamer repeated print for boy clothes, textile, wrapping paper. Pixels words Play ","pattern,seamless,gamer,background,graffiti,vector,cute,print,computer,artwork,illustration,internet,joystick,modern,playful,slogan,art,blue,boy,calligraphy,cartoon,children,composition,creative,cyberspace,design,electronic,font,futuristic,game over,gamepad,guy,infographic,interactive,interface,joystick vector,kids,lightning,mascot,pixel art,pixel text,play,poster,repeat,system,technology,typography,urban,virtual,win",https://image.shutterstock.com/image-vector/graffiti-seamless-pattern-dark-blue-600w-1718831380.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/graffiti-seamless-pattern-dark-blue-600w-1718831380.jpg', 'path': 'full/5c16e2a4bbd34edc9a7d709d21477688ead9eb8d.jpg', 'checksum': 'd177874288c6244d4b509c0459e18a1b'}]"
770114740,1,seamless+pattern+orange,vector,ychty,Set of Cute bright seamless patterns. Vector illustration bright design. Abstract seamless geometric pattern on vibrant background,"pattern,background,texture,seamless,vector,lattice,creative,simple,abstract,wallpaper,modern,pink,blue,bright,design,geometric,set,summer,vibrant,color,orange,frame,line,retro,cute,graphic,grunge,invitation,netting,purple,style,textile,vintage,wrapping,art,banner,card,decor,decoration,fashion,illustration,paper,print,repeat,scrapbook,stripe,stylish,template,textured,tile",https://image.shutterstock.com/image-vector/set-cute-bright-seamless-patterns-600w-770114740.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-cute-bright-seamless-patterns-600w-770114740.jpg', 'path': 'full/f3f53b60e5358a5110e662d0e0f671d4255e6afb.jpg', 'checksum': '33c4882b87d029d735672dda30b0611d'}]"
1475424836,1,seamless+pattern+orange,vector,gipsygarlik,Vector fruit seamless pattern. Vector orange pattern. Vector orange flowers pattern. Seamless fruits pattern .,"pattern,orange,flower,fruit,retro,seamless,abstract,graphic,leaf,vector,background,bloom,botanical,citrus,design,drawn,floral,repeat,sweet,tropical,wallpaper,art,beautiful,decor,decoration,decorative,element,exotic,fabric,flora,food,garden,green,hand drawn,illustration,nature,orange fruit pattern,party,plant,romantic,seamless fruit pattern,season,spring,summer,texture,vector pattern,vintage,white",https://image.shutterstock.com/image-vector/vector-fruit-seamless-pattern-orange-600w-1475424836.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-fruit-seamless-pattern-orange-600w-1475424836.jpg', 'path': 'full/2b81a25e69320d821fcd43a1da070617c190b0aa.jpg', 'checksum': '4f14e2cdcb8f37d39d62f2c2e24577d4'}]"
1072730882,1,seamless+pattern+orange,vector,pumbria,"Orange green red yellow pink goldenrod mustard spot seamless pattern on white. Round diamond flower background. Abstract floral geometric texture for prints, textile, fabric, package, wrapping, cover","color,dot,floral,flower,circle,fruit,hexagon,bright,geometry,oval,polka,spring,star,vector,baby,birthday,card,child,classic,cloth,colorful,cute,ellipse,endless,fashion,fun,gift,girl,greeting,happy,holiday,illustration,invitation,kid,life,minimal,nursery,ornament,paper,petal,pretty,repeat,repetition,retro,scrapbook,shape,simple,summer,tracery,wallpaper",https://image.shutterstock.com/image-vector/orange-green-red-yellow-pink-600w-1072730882.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/orange-green-red-yellow-pink-600w-1072730882.jpg', 'path': 'full/007336d5e4d7bb430841a00f16bc2a9c71d83435.jpg', 'checksum': '5bbf31f538589ac8a92cf52c73978e86'}]"
1141373780,1,seamless+pattern+orange,vector,MSNTY,"Autumn seamless pattern vector with yellow berries and leaves. Fall colorful floral background.pattern for fashion,fabric and all prints on light beige background.","pattern,flower,seamless,floral,watercolor,vector,fall,blue,vintage,autumn,ornament,wallpaper,abstract,leaf,background,tree,leaves,texture,color,wild,drawing,fabric,forest,graphic,meadow,orange,textile,art,branch,illustration,white,drawn,foliage,garden,red,retro,summer,berries,berry,botanical,colorful,decoration,design,natural,nature,paper,plant,rowan,season",https://image.shutterstock.com/image-vector/autumn-seamless-pattern-vector-yellow-600w-1141373780.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/autumn-seamless-pattern-vector-yellow-600w-1141373780.jpg', 'path': 'full/a96182667f202b21848f60315fb799e0adcdde98.jpg', 'checksum': '30accb4017b02851bf66a5b747d9541b'}]"
1179812134,1,seamless+pattern+orange,vector,kishacha_maty,Seamless tropical protea flowers and Ficus Elastica pattern on light background.  Exotic print. Vintage motives.,"flower,pattern,floral,seamless,protea,australian,watercolor,tropical,art,botanical,pink,print,chrysanthemum,illustration,peacock,texture,australia,banksia,cherry,design,drawing,orange,background,beautiful,eucalyptus,exotic,plant,spring,tree,vintage,decor,invitation,isolated,popular,trend,yellow,bloom,botany,branch,color,colorful,decoration,horizontal,nature,new,poinciana,proteus,summer,tropics,wallpaper",https://image.shutterstock.com/image-vector/seamless-tropical-protea-flowers-ficus-600w-1179812134.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-tropical-protea-flowers-ficus-600w-1179812134.jpg', 'path': 'full/80fc1b1c87fd00685cb31633d922736b982d7a11.jpg', 'checksum': 'ae6195bf80910e5fd19135faf2349628'}]"
755324956,1,seamless+pattern+orange,vector,Annartlab,"Blue and orange seamless pattern. Ornament, Traditional, Ethnic, Arabic, Turkish, Indian motifs. Great for fabric and textile, wallpaper, packaging or any desired idea. ","paisley,ethnic,medallion,bohemian,ornament,indian,turkish,tile,moroccan,orient,flower,arabesque,rug,vintage,aztec,retro,wallpaper,persian,cloth,fabric,floral,leaf,ottoman,tribal,yoga,elegant,luxury,baroque,chinese,classic,damask,decoration,porcelain,banner,business card,curtains,decorative,doodle,eastern pattern,fashion,henna,islamic,islamic pattern,lace pattern,mandala,oriental,ornamental,phone case,victorian,vintage pattern",https://image.shutterstock.com/image-vector/blue-orange-seamless-pattern-ornament-600w-755324956.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/blue-orange-seamless-pattern-ornament-600w-755324956.jpg', 'path': 'full/c40a2c4346bcf4c6fad721429702215fe113b02d.jpg', 'checksum': 'ff40ef2fb17c314e7a02949e1c2af664'}]"
1438817096,1,seamless+pattern+orange,vector,annaputina,"Bright Aqua, Orange and Blue Tie-Dye Shibori Sunburst Kaleidoscope Mirrored Hexagon Mandala Tiles on White Background Vector Seamless Pattern. Perfect for Spring-Summer Textiles, Stationery","pattern,seamless,summer,vector,boho,mandala,sunburst,abstract,background,kitchen,modern,backdrop,batik,geometric,kaleidoscope,mediterranean,orange,organic,repeat,shibori,tile,whimsical,aqua,artistic,azulejos,blue,bright,circle,elegant,fabric,fashion,graphic,handmade,marks,mirrored,monochrome,octagon,print,sea,spring,surf,swatch,textile,texture,textured,tie dye,traditional,wallpaper,white,yellow",https://image.shutterstock.com/image-vector/bright-aqua-orange-blue-tiedye-600w-1438817096.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/bright-aqua-orange-blue-tiedye-600w-1438817096.jpg', 'path': 'full/7450ce5ad140888dd75c6704e778fb337f516946.jpg', 'checksum': 'fac968174d07d0ae6300e6059dce4c58'}]"
