id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
88455484,1,seamless+pattern+flower,vector,alexfiodorov,Floral seamless background - pattern for continuous replicate. See more seamless backgrounds in my portfolio.,"pattern,background,flower,floral,seamless,texture,vector,white,light,design,ornament,abstract,beige,modern,decor,nature,fabric,brown,leaf,plant,fashion,garden,swirl,repeat,foliage,trendy,ornate,graphic,petal,scroll,bright,wrapper,art,artwork,backdrop,beautiful,buff,decoration,decorative,drawing,elegance,element,flourishes,illustration,ornamental,repetition,shape,style,textile,wallpaper",https://image.shutterstock.com/image-vector/floral-seamless-background-pattern-continuous-600w-88455484.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-background-pattern-continuous-600w-88455484.jpg', 'path': 'full/9f0e45389c84839c4a78f995ee590415baf2597b.jpg', 'checksum': 'c4bfef1a70421764dbcb1a2fec8f35ab'}]"
247276183,1,seamless+pattern+flower,vector,mamita,"Vector seamless pattern. Background for for fabrics, textiles, paper, wallpaper, web pages, wedding invitations. Vintage style. Floral ornament.","pattern,seamless,flower,floral,oriental,vintage,vector,background,classic,black,wallpaper,bouquet,design,illustration,leaf,white,bell,wedding,decoration,garden,summer,art,colorful,grass,green,nature,plant,retro,romantic,spring,textile,victorian,and,artwork,beautiful,beauty,blossom,botanical,congratulation,decor,elegance,flora,flowers,invitation,petal,shabby-chic",https://image.shutterstock.com/image-vector/vector-seamless-pattern-background-fabrics-600w-247276183.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-background-fabrics-600w-247276183.jpg', 'path': 'full/e6bdd4425ba9d08a1e47d1259a56e2bbdfcf307f.jpg', 'checksum': '9c6f07256e0f7a6f7fd805db5a32bd07'}]"
659070148,1,seamless+pattern+flower,vector,berry2046,Abstract vintage composition colorful leaves seamless floral pattern background,"pattern,flower,tropic,floral,abstract,seamless,print,vector,bird,fabric,beach,background,black,leaf,graphic,art,jungle,summer,texture,fashion,plant,shirt,hawaii,palm,paradise,aloha,blue,exotic,beauty,flora,nature,artwork,brazil,wallpaper,design,isolated,painting,textile,blossom,garden,spring,beautiful,colorful,decoration,element,fashionable,green,illustration,trendy,tropical",https://image.shutterstock.com/image-vector/abstract-vintage-composition-colorful-leaves-600w-659070148.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-vintage-composition-colorful-leaves-600w-659070148.jpg', 'path': 'full/97cb8670d565f711ba75502805d46b2a565fbabd.jpg', 'checksum': 'ee0c59dc5705253ff6368f6fb0906e40'}]"
1624003138,1,seamless+pattern+flower,illustration,Katita,"digital botanical background, watercolor illustration, seamless floral pattern, humming birds, wild tropical flowers, violet. Paradise nature garden. Palm leaf, calla lily, plumeria, hydrangea, gerber","pattern,bird,seamless,tropical,flower,violet,nature,paradise,abstract,background,collage,hydrangea,illustration,ornament,palm,watercolor,yellow,arrangement,assorted,bloom,blooming,blossom,botanical,bouquet,calla,clip art,colorful,composition,decor,design,detailed,exotic,fauna,flora,floral,garden,green,hawaiian,isolated,jungle,leaves,lilly,petal,pink,shape,spring,summer,tropic,vivid,wallpaper",https://image.shutterstock.com/image-illustration/digital-botanical-background-watercolor-illustration-600w-1624003138.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/digital-botanical-background-watercolor-illustration-600w-1624003138.jpg', 'path': 'full/fdea1514835c2d773c2f6e2c33b91d4d8beb81b6.jpg', 'checksum': '7fc7f5e5da6d6a0c748c97149d8adadb'}]"
789686788,1,seamless+pattern+flower,vector,viprinceva,"Beautiful pastel vintage cactuses, succulents, cacti with pink, white and yellow flowers seamless pattern","pattern,watercolor,seamless,cactus,floral,summer,abstract,vector,pastel,succulent,spring,background,design,wallpaper,desert,cute,fashion,vintage,cacti,plant,mexican,bloom,blue,graphic,pink,fabric,nature,hand,drawn,tropical,wild,exotic,garden,decorative,green,retro,textile,blossom,botanical,decoration,drawing,flowers,illustration,romantic,roses",https://image.shutterstock.com/image-vector/beautiful-pastel-vintage-cactuses-succulents-600w-789686788.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beautiful-pastel-vintage-cactuses-succulents-600w-789686788.jpg', 'path': 'full/e8fb753c5151c19f47e28b7b67d463b569383e49.jpg', 'checksum': 'd3cc45d708bfac18e10e1f30e8a6e20c'}]"
1519012967,1,seamless+pattern+flower,vector,Hanna+Kh,"Beautiful tropical vintage hawaiian palm trees, zebra, giraffe, elephant, leopard. Hand drawn floral seamless pattern on the white background. Exotic jungle wallpaper.
","pattern,seamless,animal,elephant,giraffe,jungle,watercolor,vector,leopard,zebra,background,illustration,vintage,palm,tiger,floral,nature,coconut,flower,landscape,leaf,print,wallpaper,wild,wildlife,isolated,tree,banana,design,leaves,silhouette,summer,aloha,art,botanical,brazil,exotic,fabric,foliage,green,hawaii,hawaiian,island,liana,paradise,plant,travel,trip,tropical,wave",https://image.shutterstock.com/image-vector/beautiful-tropical-vintage-hawaiian-palm-600w-1519012967.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beautiful-tropical-vintage-hawaiian-palm-600w-1519012967.jpg', 'path': 'full/191c0a23e593767e2ee5115db10c3b519899e60b.jpg', 'checksum': 'e0d182389d65e16353cf566122027ae2'}]"
653705308,1,seamless+pattern+flower,illustration,SyrytsynaTetiana,"Watercolor tropical leaves and flowers with contour seamless pattern. Watercolour monstera, palm leaves, bird-of-paradise on dots background. Hand painted illustration for summer design.","pattern,seamless,watercolor,tropic,flower,background,summer,jungle,paint,floral,paradise,design,palm,tree,colorful,element,exotic,foliage,monstera,nature,art,beautiful,bird,border,contour,dots,garden,graphic,leaf,minimal,strelitzia,delineation,draw,flora,fresh,frond,green,hawaiian,illustration,minimalism,natural,outline,plant,season,shade,silhouette,stem,travel,tropical,wild",https://image.shutterstock.com/image-illustration/watercolor-tropical-leaves-flowers-contour-600w-653705308.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/watercolor-tropical-leaves-flowers-contour-600w-653705308.jpg', 'path': 'full/6a88de764c3d6ef7d3ecd5a420205eb5dd138391.jpg', 'checksum': '40295c2fcc0a02732121b307ea476e70'}]"
1049159531,1,seamless+pattern+flower,vector,mamita,"Peonies and roses. Floral vintage seamless pattern. Gold and white flowers, leaves, branches and berries on black background. Oriental style. Vector illustration art. For design textiles, paper.","floral,pattern,black,gold,white,vector,seamless,vintage,abstract,background,oriental,design,luxury,wallpaper,print,art,bloom,ornate,paper,graphic,sketch,bouquet,drawing,foil,plant,garden,old,retro,victorian,leaves,style,berries,botany,decor,spring,handmade,nature,summer,blooming,branches,decoration,engraving,flowers,graphics,illustration,peonies,precious,roses,template,textiles",https://image.shutterstock.com/image-vector/peonies-roses-floral-vintage-seamless-600w-1049159531.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/peonies-roses-floral-vintage-seamless-600w-1049159531.jpg', 'path': 'full/f77a6ee0abadd48848c13ec71f03279f0f9b4908.jpg', 'checksum': 'ab43819f5ca3b441387ed9af295da256'}]"
1687101352,1,seamless+pattern+flower,illustration,RODINA+OLENA,"Flower geometric pattern. Seamless background. White and pink ornament. Ornament for fabric, wallpaper, packaging. Decorative print","arabic,design,pattern,simple,abstract,art,artistic,backdrop,background,carpet,cover,damask,decor,decoration,decorative,elegant,element,fabric,fashion,floral,flower,geometric,geometry,graphic,interior,modern,ornament,ornate,pink,print,regular,repeat,repeating,retro,seamless,shape,sign,style,textile,texture,tile,vintage,wallpaper,white",https://image.shutterstock.com/image-illustration/flower-geometric-pattern-seamless-background-600w-1687101352.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/flower-geometric-pattern-seamless-background-600w-1687101352.jpg', 'path': 'full/6baed20a650118db87977e94d63405e7008d523c.jpg', 'checksum': 'dff66d5be6b4012c4ed0f4425ad20724'}]"
783396874,1,seamless+pattern+flower,illustration,Natallia+Novik,"Watercolor seamless pattern with tropical leaves: palms, monstera, passion fruit. Beautiful allover print with hand drawn exotic plants. Swimwear botanical design.
","pattern,seamless,watercolor,flower,tropic,abstract,leaf,floral,textile,texture,foliage,vintage,exotic,palm,background,jungle,painting,set,wallpaper,drawing,fabric,hawaiian,green,monstera,print,branch,hawaii,plant,summer,bamboo,botany,nature,paradise,tree,banana,beach,card,garden,beautiful,blossom,botanical,california,decoration,element,fashion,illustration,natural,spring,tropical",https://image.shutterstock.com/image-illustration/watercolor-seamless-pattern-tropical-leaves-600w-783396874.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/watercolor-seamless-pattern-tropical-leaves-600w-783396874.jpg', 'path': 'full/5fd8c51ca5d25cf8258f016953024ca44dc16307.jpg', 'checksum': 'ff63e12811753653da50dbdba37ea4d5'}]"
