id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
568572928,1,seamless+pattern+love,vector,mookungk,"Vector seamless retro pattern, polka dot with hearts. Can be used for wallpaper, pattern fills, web page background,surface textures","pattern,love,doodle,vector,seamless,sketch,background,cute,wallpaper,small,hand,illustration,valentine,white,drawn,paper,happy,abstract,black,day,gift,vintage,wrapping,art,backdrop,celebration,decoration,fabric,graphic,textile,beautiful,cards,color,decor,decorative,design,dots,symbol,texture",https://image.shutterstock.com/image-vector/vector-seamless-retro-pattern-polka-600w-568572928.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-retro-pattern-polka-600w-568572928.jpg', 'path': 'full/83eba9a654005f44c7dbd2b8de798a9825a82f22.jpg', 'checksum': '6fc053c3327f4eb43d7060400c0a379c'}]"
640343557,1,seamless+pattern+love,vector,varka,"Native American Indian talisman dreamcatcher with feathers, moon over black background. Seamless pattern. Vector illustration. Ethnic design, boho chic, tribal symbol. Good fabric, textile, wallpaper","seamless,pattern,dreamcatcher,tribal,background,dream,catcher,feather,magic,vector,ethnic,indian,illustration,native,vintage,american,bohemian,design,hippie,pink,print,style,art,aztec,bird,black,drawn,fashion,hand,hipster,sleep,texture,card,circle,culture,decoration,decorative,doodle,drawing,gradient,graphic,love,ornament,poster,retro,romantic,sign,symbol,textile,traditional",https://image.shutterstock.com/image-vector/native-american-indian-talisman-dreamcatcher-600w-640343557.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/native-american-indian-talisman-dreamcatcher-600w-640343557.jpg', 'path': 'full/4a2118567bb15ace18be5bb578e19c2e64655c66.jpg', 'checksum': '66e57d892c17953ef32994c021bdbaa5'}]"
1075509191,1,seamless+pattern+love,vector,Anne+Punch,"Repeating hearts, round dots and the handwritten word Love. Romantic seamless pattern. Endless girlish print. Drawn by hand, sketch, doodle. Cute vector illustration.","pattern,heart,love,cute,seamless,print,doodle,vector,baby,fashion,girly,word,day,girl,text,background,graphic,handwriting,illustration,pink,script,dot,black,design,handwritten,nice,polka,write,drawing,romance,vintage,wedding,white,calligraphic,calligraphy,card,color,cursive,decoration,fabric,girlish,kid,letter,lettering,paper,romantic,textile,texture,valentine,wallpaper",https://image.shutterstock.com/image-vector/repeating-hearts-round-dots-handwritten-600w-1075509191.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/repeating-hearts-round-dots-handwritten-600w-1075509191.jpg', 'path': 'full/a22c7fe89596f28099dedca683289218cf102096.jpg', 'checksum': 'd8b5295a604dbc7e1fd15fcf88e04696'}]"
1563195874,1,seamless+pattern+love,vector,Angelina+De+Sol,"Vector seamless childish pattern with fairy, flowers,rainbow and other elements. Fairy with a magic wand vector illustration. Seamless pattern with cartoon fairy for kids, girl.","fairy,pattern,butterfly,childish,seamless,cute,princess,illustration,print,background,cartoon,children,decorative,girl,magic,art,baby,beautiful,castle,creative,decoration,design,drawing,dream,element,fabric,fairy tale,female,floral,flowers,flying,graphic,greeting,hand drawn,happy,heart,holiday,love,magic wand,nature,pink,pretty,rainbow,star,stick,sweet,template,texture,vector,wallpaper",https://image.shutterstock.com/image-vector/vector-seamless-childish-pattern-fairy-600w-1563195874.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-childish-pattern-fairy-600w-1563195874.jpg', 'path': 'full/db49b4814fb1be1e3f01f14860302126519b45bf.jpg', 'checksum': '1f1a91352579f43e5c83d8268b8e9874'}]"
1544433608,1,seamless+pattern+love,vector,SokolArtstudio,"Seamless bright pattern with joysticks. gaming cool print for boys and girls. Suitable for textiles, sportswear, web
","pattern,game,gamer,seamless,print,computer,console,vector,control,background,cute,joystick,abstract,fashion,illustration,play,retro,trend,backdrop,device,doodle,fabric,girl,vintage,bright,color,colorful,controller,drawing,electronic,element,entertainment,fabric pattern,game print,gamepad,games,gaming,girlish,graphic,icon,love,pattern for boys,pixel pattern,style,symbol,technology,textile,texture,wrapping",https://image.shutterstock.com/image-vector/seamless-bright-pattern-joysticks-gaming-600w-1544433608.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-bright-pattern-joysticks-gaming-600w-1544433608.jpg', 'path': 'full/ce5169bb831a186c8f02b3f014453597c2359fef.jpg', 'checksum': '0b5a4f6e5397504db0e37c1c3c25f066'}]"
624423659,1,seamless+pattern+love,vector,vavavka,Seamless vector pattern with cute alpacas and hearts. Child illustration with a lama from Peru. In the Japanese anime style.,"pattern,seamless,llama,lama,vector,fun,alpaca,cute,cartoon,peru,background,flat,graphic,heart,illustration,kids,love,comic,fluffy,funny,icon,simple,abstract,children,design,farm,happy,sweet,wool,america,animal,art,character,chile,clip,dot,element,fur,happiness,isolated,lovely,mammal,natural,nature,south,style,toy,wild,wildlife,zoo",https://image.shutterstock.com/image-vector/seamless-vector-pattern-cute-alpacas-600w-624423659.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-pattern-cute-alpacas-600w-624423659.jpg', 'path': 'full/7a9f8cd504bca8bef7d26c32a7de76f159c1a102.jpg', 'checksum': '3403d94bc45fd521f9439f09950f0610'}]"
1095150890,1,seamless+pattern+love,vector,Adele+Maggs,Heart leopard repeat pattern,"pattern,heart,leopard,animal,vector,cat,fun,skin,pretty,love,wild,fashion,african,digital,repeat,shape,jungle,romance,romantic,animal print,animal skin,art,backdrop,background,chic,coat,colorful,craft,creative,design,décor,engagement,exotic,fabric pattern,flat,fur,graphic,illustration,leopard skin,rotary,seamless pattern,spots,style,textile,texture,tile,valentine card,wallpaper,wrapping paper,zoo",https://image.shutterstock.com/image-vector/heart-leopard-repeat-pattern-600w-1095150890.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/heart-leopard-repeat-pattern-600w-1095150890.jpg', 'path': 'full/ba863250673cf2921887f4bd9d5bf6d8dd0b6a76.jpg', 'checksum': 'b5e416cada21bef00941ddd6b63ca977'}]"
1657583851,1,seamless+pattern+love,vector,Eva+Marina,"Simple cute pattern in small flower. Liberty style. Floral seamless background for textile or book covers, manufacturing, wallpapers, print, gift wrap and scrapbooking.","flower,floral,pattern,ditsy,liberty,seamless,print,abstract,daisy,vintage,small,vector,art,fabric,background,beauty,design,garden,retro,spring,summer,texture,backdrop,cute,fashion,graphic,organic,pink,repeat,simple,textile,blossom,blue,calico,country-style,element,feminine,flora,illustration,leaf,little,love,nature,ornament,paper,petal,style,subtle,wallpaper,wrapping",https://image.shutterstock.com/image-vector/simple-cute-pattern-small-flower-600w-1657583851.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/simple-cute-pattern-small-flower-600w-1657583851.jpg', 'path': 'full/1723571f54d848bbd3d3bfc14b2ca48782384380.jpg', 'checksum': '6cd0960b3d6441b4e42f146b2ce929a7'}]"
1488761258,1,seamless+pattern+love,vector,sienkie,Cute Irregular Dotted Seamless Vector Patterns. Black Tiny Dots with Pink Ones Isolated on a White Background. Simple Print with Light Pink Polka Dots on a White. Lovely Pastel Color Dots Design.,"pattern,baby,geometric,seamless,circle,cute,irregular,print,abstract,kids,pink,retro,trendy,white,backdrop,background,big,black,color,decoration,decorative,design,dots,dotted,fabric,funny,girl,girly,graphic,happy,illustration,infantile,layout,lovely,modern,ornament,paper,pastel,polka,repeat,round,set,shape,simple,small,textile,tile,tiny,vector,wrapping paper",https://image.shutterstock.com/image-vector/cute-irregular-dotted-seamless-vector-600w-1488761258.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cute-irregular-dotted-seamless-vector-600w-1488761258.jpg', 'path': 'full/1124ad4c081a5cfcbe35148909e7a573fd734097.jpg', 'checksum': 'ca0f779377b0f3fc6c24014f17dace4b'}]"
1683786001,1,seamless+pattern+love,illustration,Fleur+Design+art,"Fairy magical garden. Unicorn seamless pattern, pink, blue, gold flowers, leaves , birds and clouds. Kids room wallpaper","seamless,pattern,unicorn,kids,wallpaper,fairy,pink,room,rose,animal,gold,illustration,baby,background,beautiful,blue,cloud,colorful,cute,drawing,drawn,dream,elegance,fabric,fairytale,fantasy,floral,flower,garden,girl,happy,horse,imagination,leaves,love,lovely,magic,magical,miracle,moon,mythology,pink rose,pony,princess,romantic,seamless pattern,sky,sweet,textile,white",https://image.shutterstock.com/image-illustration/fairy-magical-garden-unicorn-seamless-600w-1683786001.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/fairy-magical-garden-unicorn-seamless-600w-1683786001.jpg', 'path': 'full/25baf03f0a5a1b8fcbd6208b661ecb9adcdac78f.jpg', 'checksum': '0f7ed63be25b7cbbce3bce9ae48c7010'}]"
