id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1412323502,1,seamless+pattern+cute,vector,Angelina+De+Sol,Vector seamless pattern with cute koala,"pattern,koala,girl,cute,seamless,vector,animal,rainbow,baby,childish,print,background,boy,graphic,cartoon,forest,art,design,floral,heart,jungle,nature,style,australian,australian animals,backdrop,character,child,cloud,colorful,decoration,doodle,drawing,eucalyptus,fabric,flower,fun,happy,illustration,kids,koala bear,leaf,mammal,paper,rain drops,star,summer,symbol,teddy,wallpaper",https://image.shutterstock.com/image-vector/vector-seamless-pattern-cute-koala-600w-1412323502.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-cute-koala-600w-1412323502.jpg', 'path': 'full/57e3d69a3f3a38388129a95da60d09cd572997b8.jpg', 'checksum': '53658dd29b6ae32b1676524e2cc28ec2'}]"
515951014,1,seamless+pattern+cute,vector,AnastasiiaKuznetcova,"Kids pattern of letters in doodle style.
","pattern,alphabet,seamless,book,cute,letter,abc,background,doodle,font,cartoon,child,childish,creative,design,drawn,funny,handwritten,illustration,template,texture,typography,vector,written,character,colorful,cut,drawing,fabric,game,graphic,grunge,grungy,hand,handmade,kids,latin,out,play,rough,scribble,script,sign,simple,sketch,symbol,textile,typographic",https://image.shutterstock.com/image-vector/kids-pattern-letters-doodle-style-600w-515951014.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/kids-pattern-letters-doodle-style-600w-515951014.jpg', 'path': 'full/27fe2b821cd89642ba1c11361056a43f17573417.jpg', 'checksum': 'fd5f7ca322f370727ff75f53d37cff76'}]"
450842446,1,seamless+pattern+cute,vector,bosotochka,"Tribal hand drawn background, ethnic pattern set. Boho seamless texture. Ethnic background with shape elements. Wallpaper for pattern fills, web page","pattern,cute,scandinavian,set,seamless,geometric,vector,feather,background,collection,graphic,rustic,fashion,card,motif,ethnic,triangle,arrow,wallpaper,pastel,summer,tribe,hand,shape,tribal,decor,drawn,navajo,postcard,doodle,hippie,brush,indian,style,african,trendy,american,ethno,ornament,aztec,folk,gentle,mexican,sign,native,peru,invitation,lines,repetition,stripes",https://image.shutterstock.com/image-vector/tribal-hand-drawn-background-ethnic-600w-450842446.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tribal-hand-drawn-background-ethnic-600w-450842446.jpg', 'path': 'full/557c1c9b689b2a20264448d4881857fc7bd381b6.jpg', 'checksum': '7c1dcad06e153b5db9902599fcdedce0'}]"
1116374651,1,seamless+pattern+cute,vector,annettebdesign,"Seamless vector stripe nautical pattern with colored horizontal parallel stripes in red, navy and cream background. Surface pattern design.","stripe,pattern,seamless,navy,wide,horizontal,background,cute,vector,fabric,line,print,blue,geometric,graphic,minimal,plain,simple,wallpaper,white,abstract,artistic,backdrop,card,classic,color,cream,decor,decorative,design,element,fashion,illustration,linear,lines,nautical,ornament,paper,parallel,red,repeat,resort,straight,stripes,stripy,textile,texture,thin,tile,trendy",https://image.shutterstock.com/image-vector/seamless-vector-stripe-nautical-pattern-600w-1116374651.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-stripe-nautical-pattern-600w-1116374651.jpg', 'path': 'full/fdca5b0133f8b79a0860c3197101cec5c2d4a9a3.jpg', 'checksum': 'c32f83a48e9657421807abf083947eec'}]"
120811174,1,seamless+pattern+cute,vector,salomenj,seamless tropical vintage flower vector pattern on dot background,"pattern,seamless,christmas,cute,flower,deer,vintage,holiday,winter,reindeer,vector,retro,antler,background,abstract,light,love,xmas,decorative,design,illustration,new,noel,paper,season,year,art,card,celebration,children,color,congratulation,december,decor,decoration,drawing,element,fir,flake,gift,greeting,happy,invitation,joy,kid,merry,traditional",https://image.shutterstock.com/image-vector/seamless-tropical-vintage-flower-vector-600w-120811174.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-tropical-vintage-flower-vector-600w-120811174.jpg', 'path': 'full/e1ac0083b78d3c035f090206e9bba7b515c66a22.jpg', 'checksum': 'f41bafd9904460bf2ee8d126284e7d1b'}]"
585392327,1,seamless+pattern+cute,vector,Khaladok,Geometric seamless pattern. Abstract vector background. Triangles black and white background.,"geometric,cute,vector,design,decorative,illustration,modern,abstract background,black and white,seamless pattern,shapes,triangles",https://image.shutterstock.com/image-vector/geometric-seamless-pattern-abstract-vector-600w-585392327.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/geometric-seamless-pattern-abstract-vector-600w-585392327.jpg', 'path': 'full/b3b98fe08072174f5359c5e5326d764b986d43b4.jpg', 'checksum': 'f89ca702d7872258c383c6178dd82313'}]"
1676717167,1,seamless+pattern+cute,vector,JenAs,"Seamless pattern with pink rockets and spaceships on a pink background. Childish space background. Cosmos wallpaper. Vector illustration, pattern with cartoon space rockets, planets, stars.","baby,pattern,asteroid,backdrop,background,cartoon,childish,cute,decoration,decorative,design,drawing,element,fabric,fashion,galaxy,illustration,kids,moon,nursery,paper,planet,planets,print,repeats,rocket,satellite,seamless,shape,ship,space,spaceship,star,stars,style,template,textile,texture,traveling,trendy,vector,wallpaper",https://image.shutterstock.com/image-vector/seamless-pattern-pink-rockets-spaceships-600w-1676717167.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-pink-rockets-spaceships-600w-1676717167.jpg', 'path': 'full/62caacb4ccb0157777e82ed2611a16a224b463b1.jpg', 'checksum': 'fbba52323c13d105044430f608a5e0ca'}]"
290544347,1,seamless+pattern+cute,vector,babushkina,Hand drawn triangle seamless pattern. Vector illustration.,"pattern,cute,kid,triangle,geometric,seamless,background,vector,texture,decoration,design,illustration,abstract,backdrop,banner,surface,cover,creative,decor,decorative,drawing,elegance,ornate,repetition,retro,romantic,style,template,textile,variation,various,vintage,wallpaper",https://image.shutterstock.com/image-vector/hand-drawn-triangle-seamless-pattern-600w-290544347.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawn-triangle-seamless-pattern-600w-290544347.jpg', 'path': 'full/6a7b62cfe042c75aa94870ff1ccf8821c8d1424c.jpg', 'checksum': 'bb65aa6f031af0181926a3b8368c97d8'}]"
791522725,1,seamless+pattern+cute,vector,Madammaam,Cute pastel desserts seamless pattern with star background,"cupcake,rainbow,pattern,vector,candy,seamless,cute,sweet,popcorn,doodle,muffin,pastel,print,background,cartoon,cream,donut,ice,birthday,dessert,drawing,repeat,set,art,backdrop,bubble tea,cake,chocolate,collection,decoration,design,diamond,fabric pattern,fashion,food,fun,girls,happy,ice cream,illustration,lipstick,lollipop,nail polish,roll cake,smile,star,textile,texture,wallpaper,wrapping paper",https://image.shutterstock.com/image-vector/cute-pastel-desserts-seamless-pattern-600w-791522725.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cute-pastel-desserts-seamless-pattern-600w-791522725.jpg', 'path': 'full/f26c644e2d32cc693a63c38c12bfab137589703d.jpg', 'checksum': '2133e6ac938823aaa86878bc42f7dbf8'}]"
1729566898,1,seamless+pattern+cute,vector,Alex+Jade,"Seamless repeated surface vector pattern design with mushrooms, snails, butterflies, ladybugs and colorful flowers on a gray background","cute,pattern,vector,graphic,illustration,print,seamless,animal,animals,art,background,butterflies,colorful,decoration,design,fabric,floral,flower,forest,gray background,green,ladybugs,leaf,leaves,mushrooms,nature,orange,plant,repeat,snails,spring,summer,surface,textile,textile pattern,texture,tile,wallpaper,yellow",https://image.shutterstock.com/image-vector/seamless-repeated-surface-vector-pattern-600w-1729566898.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-repeated-surface-vector-pattern-600w-1729566898.jpg', 'path': 'full/6ea922cf45472c8383a1eccfcc3f55cb3e0a2582.jpg', 'checksum': '00ea3930b9ac340a63c13e3153c55e73'}]"
1239819457,1,seamless+pattern+cute,vector,linsupannee,"Seamless Pattern with Cartoon Panda, Heart, Balloon and Cloud Design on Pastel Pink Background","pattern,cute,heart,panda,seamless,baby,girl,valentine,animal,art,backdrop,background,balloon,card,cartoon,children,cloud,decor,decoration,design,doodle,drawn,element,fabric,hand,illustration,kid,love,lovely,paper,pastel,pink,print,textile,texture,tile,wall,wallpaper,wrapping",https://image.shutterstock.com/image-vector/seamless-pattern-cartoon-panda-heart-600w-1239819457.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-cartoon-panda-heart-600w-1239819457.jpg', 'path': 'full/fce2f46bdd9f72f96ed05e6fc34f2ee0a0e8f093.jpg', 'checksum': '6c1faea28197db11f86a72b910d331ce'}]"
582061861,1,seamless+pattern+cute,vector,Madammaam,Colorful summer seamless pattern with tropical fruits and ice cream memphis style,"summer,pattern,fruit,background,seamless,vector,cute,fun,watermelon,texture,food,memphis,wallpaper,pineapple,cartoon,design,print,geometric,lemon,pop,style,art,abstract,healthy,repeat,retro,sweet,lime,orange,decoration,textile,triangle,delicious,fashion,citrus fruits,colorful,desserts,fresh,holidays,holidays summer,ice cream,illustration,memphis pattern,tasty,tropical,watermelon slice",https://image.shutterstock.com/image-vector/colorful-summer-seamless-pattern-tropical-600w-582061861.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/colorful-summer-seamless-pattern-tropical-600w-582061861.jpg', 'path': 'full/4d69651d89d96b455d2a6fbc3bfc20fcf09ba13a.jpg', 'checksum': '050a28297017773afad03fa1033211ee'}]"
473378593,1,seamless+pattern+cute,vector,Marianna+Pashchuk,Cute cats colorful seamless pattern background,"pattern,cat,background,seamless,cute,kitten,vector,animal,funny,artwork,cartoon,artistic,doodle,illustration,art,multicolor,pet,white,black,blue,colorful,contrast,crazy,day,decoration,decorative,design,drawing,fun,graphic,grey,handmade,happy,head,hearts,joy,kids,love,pastel,pink,scrapbook,smile,valentines,wallpaper,yellow",https://image.shutterstock.com/image-vector/cute-cats-colorful-seamless-pattern-600w-473378593.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cute-cats-colorful-seamless-pattern-600w-473378593.jpg', 'path': 'full/611e79baf168bf34fcbc48e6d05cafe02711b9f1.jpg', 'checksum': '5ec1e9df3b947e3c405eb9d4a07a83e4'}]"
