id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1160362927,1,seamless+pattern+purple,vector,hanibacom,Vector illustration of galaxy fantasy background and pastel color. The unicorn in pastel sky with rainbow.,"rainbow,unicorn,glitter,pattern,seamless,color,galaxy,pastel,holographic,star,mermaid,neon,sky,watercolor,candy,magic,pink,princess,cosmic,cute,fairy,girlie,gradient,hologram,iridescent,repeat,texture,blue,christmas,fantasy,foil,print,purple,space,1980,abstract,bokeh,effect,fairytale,lilac,pearlescent,sparkles,style,trendy,universe",https://image.shutterstock.com/image-vector/vector-illustration-galaxy-fantasy-background-600w-1160362927.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-illustration-galaxy-fantasy-background-600w-1160362927.jpg', 'path': 'full/6844c0e673e8943d5c764b65290bab3f9e543fbd.jpg', 'checksum': '4b1fd9c839a7ba4689667e80e2123d10'}]"
252283219,1,seamless+pattern+purple,vector,JuliyaM,Beautiful seamless floral pattern with watercolor background. Flower vector illustration,"pattern,seamless,floral,watercolor,flower,rose,vector,fashion,abstract,vintage,repeat,peony,paint,pink,blue,beauty,print,bouquet,design,spring,background,feminine,graphic,pretty,blossom,garden,purple,texture,creative,decorative,ornament,plant,summer,wallpaper,beautiful,botanical,colored,curl,curve,elegance,elements,flora,illustration,isolated,leaf,nature,organic,romantic,textiles,white",https://image.shutterstock.com/image-vector/beautiful-seamless-floral-pattern-watercolor-600w-252283219.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beautiful-seamless-floral-pattern-watercolor-600w-252283219.jpg', 'path': 'full/e172e3ea2be32cc6f49e2d58da3562d4758dc72f.jpg', 'checksum': '05bf9a7a8d4ace82b3498c97e3e89b3f'}]"
1055265833,1,seamless+pattern+purple,vector,hanibacom,Vector illustration of galaxy fantasy background and pastel color.The unicorn in pastel sky with rainbow. Pastel clouds and sky with bokeh . Cute bright candy background .,"unicorn,rainbow,background,pattern,glitter,vector,seamless,mermaid,pastel,galaxy,candy,texture,color,watercolor,star,magic,print,pink,sky,girl,christmas,blue,fantasy,light,universe,repeat,space,water,bokeh,holographic,yellow,purple,bright,design,princess,lilac,paper,violet,white,marble,style,turquoise,business,clouds,colorful,cosmic,oil,patterns,presentation,stars",https://image.shutterstock.com/image-vector/vector-illustration-galaxy-fantasy-background-600w-1055265833.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-illustration-galaxy-fantasy-background-600w-1055265833.jpg', 'path': 'full/92fc8a734c69cfd9102c7dd511471f846737cfac.jpg', 'checksum': '770122a36b1cac064aa24121c9d76558'}]"
1779644924,1,seamless+pattern+purple,illustration,lindybug,"Quality genuine tie dye repeat pattern in summer pastel shades of yellow, peach, pink, and purple. Seamless repeating pattern. ","dye,tie,seamless,pattern,pink,pastel,peach,soft,beach,hippie,purple,repeat,shibori,summer,traditional,yellow,abstract,art,authentic,backdrop,background,batik,beautiful,blend,cloth,clothing,color,craft,decoration,dyed,fabric,fashion,genuine,graphic,handmade,ink,iridescent,material,pigment,pretty,quality,retro,stain,t-shirt,texture,tie dye,tile,vintage,wallpaper,watercolor",https://image.shutterstock.com/image-illustration/quality-genuine-tie-dye-repeat-600w-1779644924.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/quality-genuine-tie-dye-repeat-600w-1779644924.jpg', 'path': 'full/b28bb65a0fdaf6a03a9b71357c17b8074688677a.jpg', 'checksum': '5c1e853a5633360db2aa13e7a51e6456'}]"
439650940,1,seamless+pattern+purple,vector,NataliaKo,"Tropical flowers, jungle leaves, bird of paradise flower. Beautiful seamless vector floral pattern background, exotic print","pattern,tropic,flower,summer,vector,bird,print,palm,leaf,background,jungle,paradise,seamless,fashion,beach,wallpaper,art,texture,exotic,abstract,nature,spring,hawaii,purple,painting,design,brazil,beauty,miami,aloha,blue,textile,artwork,flora,decoration,fabric,garden,isolated,realistic,vacation,blossom,tonal,botanical,colorful,fashionable,feminine,illustration,succulent,upholstery",https://image.shutterstock.com/image-vector/tropical-flowers-jungle-leaves-bird-600w-439650940.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-flowers-jungle-leaves-bird-600w-439650940.jpg', 'path': 'full/9838c51e3b1477636936912d84787c58330be512.jpg', 'checksum': '86b379c9c7b5d6bc0c6b814841017b0c'}]"
1801729105,1,seamless+pattern+purple,illustration,lindybug,"Leopard animal print in muted tie dye hues of pink, mint and purple. Seamless repeating pattern. ","dye,pattern,seamless,leopard,animal,pink,print,purple,repeat,blue,skin,ink,panther,pretty,rainbow,soft,tile,turquoise,watercolor,animal print,backdrop,background,batik,beautiful,blend,clothing,colorful,craft,decoration,dyed,fabric,fashion,fur,graphic,hand-made,hippie,jaguar,jungle,leopard print,mint,pastel,rosettes,spots,summer,t-shirt,textile,texture,tie dye,wallpaper,wild",https://image.shutterstock.com/image-illustration/leopard-animal-print-muted-tie-600w-1801729105.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/leopard-animal-print-muted-tie-600w-1801729105.jpg', 'path': 'full/7eb2f8303543a88a7ee1fd186dad1941f0fac772.jpg', 'checksum': '21bb2497f75d81ced3e203d376fdde10'}]"
1234141918,1,seamless+pattern+purple,vector,Abdulina,"Vector seamless terrazzo floor marble pattern Mixed granite and quartz rocks and sprinkles Abstract vector background for print home decor, interior, architecture designs, fabric, textile, paper, wrap","seamless,pattern,marble,italian,rock,terrazzo,concrete,texture,vector,abstract,fabric,wall,architecture,art,backdrop,background,black,blue,colorful,cover,decor,decoration,decorative,design,fashion,floor,flooring,granite,graphic,gray,illustration,interior,light background,material,modern,paper,pastel colors,print,purple,shape,stone,style,surface,tile,tiling,trendy,wallpaper,white",https://image.shutterstock.com/image-vector/vector-seamless-terrazzo-floor-marble-600w-1234141918.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-terrazzo-floor-marble-600w-1234141918.jpg', 'path': 'full/02dfc629473f2f1f7b4c715749a9ee0682ecece5.jpg', 'checksum': '30807ac5d1d2b1401a5ed836a6e6164b'}]"
723706480,1,seamless+pattern+purple,illustration,Elena0770,"Abstract Paint Swirl Print in Blue and Purple

Seamless Pattern in Repeat","marble,seamless,pattern,swirl,print,purple,repeat,mermaid,abstract,psychedelic,unicorn,bold,neon,spiral,all over print,background,colour,digital,edgy,glowing,holograph,hypnotic,illusion,kaleidoscope,layer,lines,multi colour,multicolor,multifaceted,psychedelia,repeat pattern,seamless pattern,sharp,surrealism,swirling,tonal,trance,turquoise,waves,wavy",https://image.shutterstock.com/image-illustration/abstract-paint-swirl-print-blue-600w-723706480.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-paint-swirl-print-blue-600w-723706480.jpg', 'path': 'full/877a2aad36f0d6ee78aa7c2e0dc5fd704db83741.jpg', 'checksum': 'e48dd684803545238730d5ea47832c99'}]"
524144791,1,seamless+pattern+purple,illustration,airdynamic,Seamless purple spotted pattern with holographic elements of a broken cd disk.,"pattern,background,iridescent,crystal,texture,black,tiny,blue,bright,disco,glam,gradient,kaleidoscope,metal,rainbow,shiny,80,90,abstract,broken,crushed,decoration,dust,funny,futuristic,geometrical,geometry,glass,green,holographic,holography,iridescence,lines,low,mosaic,parts,pieces,poly,polygonal,scattered,sparkles,spectrum,spotted,style,trendy,triangles,triangulated",https://image.shutterstock.com/image-illustration/seamless-purple-spotted-pattern-holographic-600w-524144791.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-purple-spotted-pattern-holographic-600w-524144791.jpg', 'path': 'full/fd3183d8b5a1177bb0ff201ddbb62b9618a321d8.jpg', 'checksum': 'b3b00f2255096fb4815b0a2fec1a210e'}]"
590346509,1,seamless+pattern+purple,illustration,alenkakarabanova,"Watercolor floral pattern and seamless background.  Hand painted. Gentle design for fabric, wrap paper or wallpaper. Raster illustration.","watercolor,pattern,flower,seamless,peony,rose,floral,purple,background,watercolour,blossom,card,decorative,paint,pink,print,spring,summer,wedding,aroma,art,beauty,botanic,bridal,country,decor,decoration,design,draw,drawing,elements,garden,hand,illustration,like,natural,nature,paper,perfume,plant,romantic,template,texture",https://image.shutterstock.com/image-illustration/watercolor-floral-pattern-seamless-background-600w-590346509.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/watercolor-floral-pattern-seamless-background-600w-590346509.jpg', 'path': 'full/98f1354f8cc0aa2d78814fa8af820f1bc40d23b8.jpg', 'checksum': '5cdee4283e6a76f3749eb48a89401226'}]"
