id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1669211185,1,seamless+pattern+artwork,vector,Angelina+Bambina,"Collage contemporary floral and polka dot shapes seamless pattern set. Modern exotic design for paper, cover, fabric, interior decor and other users.","pattern,flower,seamless,floral,vector,tropical,watercolor,modern,abstract,texture,background,geometric,plant,summer,spring,beach,hawaiian,print,decor,illustration,leaf,hibiscus,palm,collage,collection,monstera,fabric,retro,exotic,jungle,pink,tribal,hawaii,design,graphic,textile,tree,turquoise,wallpaper,fashion,surfing,artwork,backdrop,colorful,creative,decoration,decorative,polka dot,style,tribe",https://image.shutterstock.com/image-vector/collage-contemporary-floral-polka-dot-600w-1669211185.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collage-contemporary-floral-polka-dot-600w-1669211185.jpg', 'path': 'full/7f205788e60c75281b1c497d57b0878897495746.jpg', 'checksum': 'f84bfaea0653c23cdedb1479b41468fa'}]"
428203480,1,seamless+pattern+artwork,vector,NataliaKo,"Tropical palm leaves, jungle leaves seamless vector floral pattern background","tropic,pattern,palm,leaf,background,vector,tree,green,seamless,plant,jungle,print,summer,wallpaper,texture,hawaii,beach,nature,spring,vintage,safari,white,design,exotic,painting,modern,art,artwork,isolated,beauty,brazil,fashion,fabric,flora,garden,branch,miami,popular,decoration,island,california,textile,feminine,botanical,colorful,fashionable,illustration,subtropical",https://image.shutterstock.com/image-vector/tropical-palm-leaves-jungle-seamless-600w-428203480.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-palm-leaves-jungle-seamless-600w-428203480.jpg', 'path': 'full/ad85550993d982d711d0b639d288dbd217ebba42.jpg', 'checksum': 'c5e66e06b73569eb292f2596daea48eb'}]"
1818659372,1,seamless+pattern+artwork,vector,Normform,"Bauhaus composition artwork made with vector abstract elements, lines and bold geometric shapes, useful for website background, poster art design, magazine front page, banners, prints cover.","pattern,backdrop,retro,seamless,abstract,art,artistic,artwork,background,banner,basic,bauhaus,circle,classic,clean,collage,color,colorful,composition,contemporary,cover,decor,design,form,funky,geometric,geometrical,geometry,graphic,grid,illustration,minimal,minimalism,modern,modernism,pastel,poster,postmodernism,print,repetition,shape,simple,square,swiss,texture,triangle,vector,vintage,wallpaper",https://image.shutterstock.com/image-vector/bauhaus-composition-artwork-made-vector-600w-1818659372.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/bauhaus-composition-artwork-made-vector-600w-1818659372.jpg', 'path': 'full/3e9b4aa70805a8a1e0a4e31b66520f003e0b23de.jpg', 'checksum': '86959696c16fad5a79d46f15042cc6f4'}]"
1173973606,1,seamless+pattern+artwork,illustration,atilaatabay,seamless tiger skin pattern,"pattern,zebra,tiger,skin,print,seamless,animal,leopard,fur,texture,abstract,winter,trend,cheetah,leather,textile,vector,africa,background,paint,wallpaper,brown,camouflage,fashion,tropical,art,black,design,illustration,natural,white,drawing,exotic,artwork,banner,beautiful,black and white,blue,clothing,decoration,fabric,nature,ornament,stripes,wildlife",https://image.shutterstock.com/image-illustration/seamless-tiger-skin-pattern-600w-1173973606.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-tiger-skin-pattern-600w-1173973606.jpg', 'path': 'full/f59e6c310fe33209274863ec291bd777a494447a.jpg', 'checksum': '4a2a5f0af6006f161aa86736e388cb8e'}]"
1498783490,1,seamless+pattern+artwork,vector,MURRIRA,Trendy contemporary floral seamless pattern. Fashionable template for design.,"pattern,abstract,beige,seamless,contemporary,minimalist,background,flower,floral,nature,fashion,modern,vector,flora,spring,tropical,artistic,collage,decor,illustration,leaf,leaves,ornament,texture,art,artwork,autumn,backdrop,decoration,design,elegant,exotic,exotica,fabric,garden,geisha,girl,girls,graphic,print,retro,shape,style,summer,template,textile,trend,trendy,wallpaper,wild",https://image.shutterstock.com/image-vector/trendy-contemporary-floral-seamless-pattern-600w-1498783490.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/trendy-contemporary-floral-seamless-pattern-600w-1498783490.jpg', 'path': 'full/959cbb7b022c697d0c55e05c43cf71017114ca90.jpg', 'checksum': 'c60e592b7a9425f351c5d3437abd6ec0'}]"
1784267492,1,seamless+pattern+artwork,illustration,Ola-la,"Seamless floral pattern with peony flowers on summer background, watercolor. Template design for textiles, interior, clothes, wallpaper. Botanical art","pattern,peony,seamless,flower,art,abstract,accent,arrangement,artistic,artwork,background,beautiful,bloom,blossom,blush,botanical,bouquet,branch,colorful,composition,curl,decoration,design,elegance,fashion,flora,floral,green,growth,handmade,illustration,isolated,leaf,oriental,ornamental,painting,petal,pink,plant,red,romantic,rose,soulful,spring,stem,summer,victorian,vintage,watercolor flowers,white",https://image.shutterstock.com/image-illustration/seamless-floral-pattern-peony-flowers-600w-1784267492.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-floral-pattern-peony-flowers-600w-1784267492.jpg', 'path': 'full/9dc6ea27a9fd39f63e342deb0fd4526b2889abb6.jpg', 'checksum': '3dab8c0f41dd55188ce6188dcf7c3fe2'}]"
1717386001,1,seamless+pattern+artwork,illustration,Ola-la,"Seamless floral pattern with peonies on light background, watercolor. Template design for textiles, interior, clothes, wallpaper. Botanical art","pattern,flower,peony,floral,vintage,romantic,rose,white,abstract,design,green,seamless,victorian,beautiful,bloom,fashion,illustration,plant,pretty,red,accent,arrangement,art,artwork,background,blossom,botanical,bouquet,colorful,curl,decoration,elegance,feminine,flora,growth,handmade,isolated,leaf,oriental,ornamental,painting,peonies,petal,pink,soulful,spring,stem,summer,valentine,watercolor flowers",https://image.shutterstock.com/image-illustration/seamless-floral-pattern-peonies-on-600w-1717386001.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-floral-pattern-peonies-on-600w-1717386001.jpg', 'path': 'full/225369998aca5698cbd1e1db0956c77b22ed180d.jpg', 'checksum': 'cc89c226ff9f3c4cf47de9fbf06c5901'}]"
694438204,1,seamless+pattern+artwork,photo,julietarts,Abstract seamless pattern. Marble stone colorful art background texture.,"pattern,marble,texture,floral,abstract,repeat,trend,vintage,background,paint,print,tribal,white,agate,color,design,fabric,structure,textile,wall,antique,art,backdrop,fashion,ink,malachite,paper,summer,wallpaper,watercolor,artwork,blue,drawing,graphic,handmade,illustration,marbled,marbling,minerals,modern,natural,retro,scrapbooking,style,tile,trendy,wave",https://image.shutterstock.com/image-photo/abstract-seamless-pattern-marble-stone-600w-694438204.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/abstract-seamless-pattern-marble-stone-600w-694438204.jpg', 'path': 'full/2100824d70273c475c5e3d36ad2d5428c8a2f542.jpg', 'checksum': '2416bb20bf9abf6c7b6f800964e52322'}]"
70950994,1,seamless+pattern+artwork,vector,il67,seamless pattern with waves,"pattern,wave,seamless,background,texture,vector,japan,ocean,water,sea,wallpaper,abstract,art,swirl,design,fun,repeat,tile,asia,china,tsunami,creative,wind,circle,cartoon,etching,ornament,backdrop,foam,textile,spray,artwork,swirly,wrapper,decoration,breeze,curl,trendy,beautiful,curves,drawing,illustration,ornamental,splashes,surfing,tiled",https://image.shutterstock.com/image-vector/seamless-pattern-waves-600w-70950994.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-waves-600w-70950994.jpg', 'path': 'full/69e7fb1423c6d4235c162cda763576c669880c8f.jpg', 'checksum': 'ec2e13657945cfad31d38ec92e3e1550'}]"
1562242006,1,seamless+pattern+artwork,vector,MURRIRA,Hand drawn abstract pattern. Creative collage contemporary seamless pattern. Natural colors. Fashionable template for design.,"pattern,abstract,botanical,simple,summer,art,modern,seamless,leaf,geometric,tiger,background,vector,autumn,cosmetic,floral,green,hawaii,nature,tropical,wallpaper,contemporary,illustration,minimal,colorful,design,exotic,print,artwork,beauty,colors,creative,decor,decorative,element,fabric,fashion,graphic,natural background,pastel,shape,spa,spring,style,template,textile,texture,trends,trendy,wildlife",https://image.shutterstock.com/image-vector/hand-drawn-abstract-pattern-creative-600w-1562242006.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawn-abstract-pattern-creative-600w-1562242006.jpg', 'path': 'full/5bf98401ca263df32610ddc02198354e4191d444.jpg', 'checksum': '64e6f83fc2bb818e0f60a565a2ef5cc7'}]"
