id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1557232622,1,seamless+pattern+sketch,vector,ZenStockers,"Floral seamless pattern with cotton blossom flowers, endless texture, ink sketch art. Vector illustration for wedding invitations, wallpaper, textile, wrapping paper
","pattern,flower,floral,seamless,vector,illustration,color,background,linear,texture,wallpaper,art,sketch,spring,textile,abstract,decoration,element,fabric,pink,print,vintage,beautiful,beauty,blossom,classic,colorful,contour,cotton flower,decorative,design,drawing,elegance,elegant,feminine,flowers sketch pattern,garden,graphic,hand drawn,ink,line art florals,nature,one line,ornament,repeat,retro,shape,style,surface,wrapping paper",https://image.shutterstock.com/image-vector/floral-seamless-pattern-cotton-blossom-600w-1557232622.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-pattern-cotton-blossom-600w-1557232622.jpg', 'path': 'full/3c075655f7fa22c6965380c2b8e998e953e51c5b.jpg', 'checksum': '6c7335407519621480de8034b95cabf5'}]"
107077595,1,seamless+pattern+sketch,vector,CurlyPat,vector seamless pattern. modern stylish texture. endless abstract background,"pattern,abstract,seamless,modern,background,vector,texture,graphic,fashion,black,ornament,design,wallpaper,beauty,mod,print,retro,spot,fabric,paper,stylish,repeat,sketch,creative,ornate,trendy,web,decoration,old,repetition,strip,objects,style,tile,abstract background,blots,complicated,continuity,decor,drawing,elegance,element,illustration,natural,nifty,painted,stains,stylize,textile,textured",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-107077595.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-107077595.jpg', 'path': 'full/2f9c0022c4265df48c6dbf673a6acc59a90e9286.jpg', 'checksum': '125adb96acaae6ae5ab5dbe091b73afe'}]"
1054447610,1,seamless+pattern+sketch,vector,kirkchai+benjarusameeros,Textile fashion african print fabric super wax. vector illustration file.,"pattern,cloth,blue,texture,abstract,design,batik,fashion,art,background,people,sarong,style,cartoon,colorful,country,nature,ornament,products,vintage,ankara prints,beautiful,bright,business,communities,continent africa,cotton textile,curved,fresh color,graphic resources,hand drawn,hot season,image,ink,items,local culture,manufacturers,overlap patterns,pop,quality,retro,seamless pattern,shiny,sketching,summer,super wax print,tone on tone,traditions,vibrant colors,wallpaper",https://image.shutterstock.com/image-vector/textile-fashion-african-print-fabric-600w-1054447610.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/textile-fashion-african-print-fabric-600w-1054447610.jpg', 'path': 'full/a4e0e5adbafaca1ae5396116c48ac0d71e1f1f66.jpg', 'checksum': '5c54f486181617b84800165692269c8c'}]"
1691392894,1,seamless+pattern+sketch,vector,Matisson_ART,"Abstract seamless grunge pattern for boy. Urban style modern background with Monster Truck car, trace of tire. Drive and speed modern creative wallpaper for guys. Extreme style","pattern,seamless,boy,abstract,truck,cartoon,graffiti,4x4,background,cool,crazy,geometric,graphic,monster,style,textile,urban,wallpaper,activity,auto,automobile,automotive,backdrop,big,car,colorful,design,doodle,extreme,fabric,fashion man,grunge,guys,illustration,modern,off road,print,race,sketch,speed,sport,street,street art,text,texture,tire,vector,winner,word,young",https://image.shutterstock.com/image-vector/abstract-seamless-grunge-pattern-boy-600w-1691392894.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-grunge-pattern-boy-600w-1691392894.jpg', 'path': 'full/35419a28e8758aa7a138f6c5af776db5ae5fd4b4.jpg', 'checksum': '5dd8b43f94364197c23172a47d496ca5'}]"
538839991,1,seamless+pattern+sketch,vector,newline,"Seamless linear pattern with crossing thin poly lines, polygons. Abstract geometric texture. Stylish background in gray color. 
","pattern,line,geometric,background,seamless,vector,texture,abstract,polygon,wallpaper,linear,ornament,lattice,star,symmetry,tile,indian,ramadan,mesh,sketch,asian,illustration,thread,arabic,arabic pattern,decor,grey background,interlaced,mirror,seamless pattern,thin line,wrapper design",https://image.shutterstock.com/image-vector/seamless-linear-pattern-crossing-thin-600w-538839991.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-linear-pattern-crossing-thin-600w-538839991.jpg', 'path': 'full/c615f67a3dddaf91a5d404a5393748aa6a4d834c.jpg', 'checksum': '68d34b7d74630bb1a68679285adb1113'}]"
713293666,1,seamless+pattern+sketch,vector,Afishka,Seamless pattern with a gold Hydrangea and Cherry flowers. Vector illustration.,"flower,pattern,gold,seamless,floral,golden,line,illustration,japan,hydrangea,wallpaper,leaf,rose,metal,japanese,textile,sketch,cherry,glitter,nature,blossom,hand,plant,botany,bouquet,garden,sparkle,texture,apple,petal,spring,beautiful,set,summer,collection,fabric,invitation,isolated,ornate,romantic,shiny,beauty,blooming,botanical,bud,drawing,luxury,metallic,natural,shine",https://image.shutterstock.com/image-vector/seamless-pattern-gold-hydrangea-cherry-600w-713293666.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-gold-hydrangea-cherry-600w-713293666.jpg', 'path': 'full/7c373ab4685393e4b08e62d9c6115ec9ce7b29db.jpg', 'checksum': 'ac365b4651cb9bea411876f57cc71f08'}]"
1753902782,1,seamless+pattern+sketch,illustration,Dobrynina+Elena,cute little forest animals seamless pattern. watercolor wild nature illustration. animal print. Racoon. Fox. Bunny. Deer. Hadgehog.,"seamless,pattern,vintage,flower,animal,cute,fabric,floral,print,spring,art,baby,background,bunny,card,child,design,drawn,forest,fox,funny,graphic,hare,head,hedgehog,illustration,invitation,isolated,kid,leaf,little,mammal,nature,pet,plant,portrait,postcard,poster,rabbit,raccoon,romantic,sketch,summer,textile,watercolor,wild,wildlife,woodland,young,zoo",https://image.shutterstock.com/image-illustration/cute-little-forest-animals-seamless-600w-1753902782.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/cute-little-forest-animals-seamless-600w-1753902782.jpg', 'path': 'full/2a8d809a991a831151ceac5f035217c51918bb29.jpg', 'checksum': 'f347c0139fa8d70bfd9b73ad03436689'}]"
1393238120,1,seamless+pattern+sketch,vector,ozzichka,"Vector seamless pattern with hand drawing wild flowers, colorful botanical illustration, floral elements, hand drawn repeatable background. Artistic backdrop.","pattern,floral,flower,abstract,vector,background,simple,illustration,poppy,red,silhouette,drawing,hand,petal,spring,leaf,summer,graphic,grass,vintage,drawn,handdrawn,retro,art,decoration,design,doodle,isolated,organic,set,anemon,artistic,beauty,blossom,botanic,botanical,botany,collection,element,flora,frame,garden,grunge,kids,natural,nature,ornament,plant,sketch,symbol",https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawing-600w-1393238120.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawing-600w-1393238120.jpg', 'path': 'full/53efafc13bf0ac3411bc94846c45bf15bb4983a1.jpg', 'checksum': '95850e6c78ae0e2bb02330c8d2869fa3'}]"
1715820976,1,seamless+pattern+sketch,vector,Tamiris6,Vector seamless geometric pattern with gold foil outline and deep blue watercolor polygons. Modern hexagon tile abstract background ,"seamless,geometric,pattern,watercolor,abstract,grunge,blue,elegant,gold,metallic,texture,vector,art,backdrop,background,contemporary,decor,decoration,decorative,deep,design,fashion,golden,graphic,grid,hand drawn,hexagon,illustration,indigo,luxury,metal,modern,ornament,outline,paint,paper,polygon,print,shape,shiny,sketch,style,surface,textured,tile,trendy,vintage,wallpaper",https://image.shutterstock.com/image-vector/vector-seamless-geometric-pattern-gold-600w-1715820976.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-geometric-pattern-gold-600w-1715820976.jpg', 'path': 'full/8ba582db98d1c9c486d905e8773e8653402bb436.jpg', 'checksum': 'cb84ceaaabe7da9ad988c0bef42c2fbd'}]"
1429336448,1,seamless+pattern+sketch,vector,Bibadash,Set of three seamless patterns. Hand drawn various shapes and doodle objects. Abstract contemporary modern trendy vector illustration. Stamp texture. Every pattern is isolated,"abstract,shape,vector,circle,background,modern,art,round,texture,graphic,cute,collage,geometric,geometry,flower,scribble,sketch,trendy,grid,leaf,eye,poster,design,set,print,icon,bright,cartoon,black,contemporary,cubism,wallpaper,template,collection,creative,fabric,isolated,colorful,doodle,elements,for kids,hand drawn,illustration,lines,pastel colors,seamless pattern,stamp texture,textile,wrapping paper",https://image.shutterstock.com/image-vector/set-three-seamless-patterns-hand-600w-1429336448.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-three-seamless-patterns-hand-600w-1429336448.jpg', 'path': 'full/b09307d670d699f727e65913079ec41d86a58150.jpg', 'checksum': '18bf8b70f3c4dec54be17718ca8e5f86'}]"
1454337815,1,seamless+pattern+sketch,vector,Nespola+Designs,Vector cats seamless pattern. Hand drawn cat illustration. Seamless print illustration for veterinary brand design and children products.,"seamless,pattern,doodle,aqua,cat,cute,funny,animal,art,baby,backdrop,background,beautiful,cartoon,cats,character,childish,decoration,decorative,design,domestic,drawing,elegant,fabric,fashion,fun,graphic,green,hand drawn,happy,illustration,kids,kitten,kitty,modern,packaging,pet,print,silhouette,simple,sketch,style,textile,texture,trendy,vector,veterinary,wallpaper,white,wrapping",https://image.shutterstock.com/image-vector/vector-cats-seamless-pattern-hand-600w-1454337815.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-cats-seamless-pattern-hand-600w-1454337815.jpg', 'path': 'full/45915b24ecc2f154a0497d87ecab5fbca0d14936.jpg', 'checksum': 'd405aa1b64296f2fe54d49d5b531cfcb'}]"
521385973,1,seamless+pattern+sketch,vector,Molkentin+Nadezhda,"Set of ten hand drawn ink seamless patterns. Endless vector backgrounds of simple primitive scratchy textures with dots, stripes, waves.","pattern,hand,drawn,doodle,seamless,texture,vector,line,black,abstract,white,background,stripe,sketch,dot,scribble,stroke,brush,grunge,design,element,geometric,simple,set,ink,repeat,shape,pen,modern,graphic,splatter,monochrome,print,textile,tile,collection,ornament,scratchy,backdrop,creative,decoration,drawing,fabric,illustration,paper,scatter,stain,tiled,wrapping",https://image.shutterstock.com/image-vector/set-ten-hand-drawn-ink-600w-521385973.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-ten-hand-drawn-ink-600w-521385973.jpg', 'path': 'full/0eb17abe4b0dbbd324fbb12e5c3410b1218bd46d.jpg', 'checksum': '2a4a4716291020b3e7a7689d202d240e'}]"
469367114,1,seamless+pattern+sketch,vector,Fighter+Francevna,"Seamless pattern in the style of psychedelic eyes with his lips. Pattern for fashion with eyes. The template for the cover fabric, books. Modern design for the fabric.","pattern,eye,vector,fashion,background,doodle,memphis,psychedelic,line,pop,90s,cartoon,art,modern,sketch,crown,fabric,lipstick,seamless,minimal,abstract,hand,trendy,character,lightning,80s,drop,paper,purple,simple,white,trend,decoration,sign,cover,look,poster,red,template,yellow,capsules,drawing,illustration,lips,multiply,tablets",https://image.shutterstock.com/image-vector/seamless-pattern-style-psychedelic-eyes-600w-469367114.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-style-psychedelic-eyes-600w-469367114.jpg', 'path': 'full/5ec0d6be3a2c98bf6928349c538ec8ab94a5b080.jpg', 'checksum': '9e7a8ae9bf4a0ce6ffb97f5c31383a2d'}]"
1661377240,1,seamless+pattern+sketch,vector,Tamiris6,Vector seamless geometric sparkle pattern with gold foil and gray watercolor polygons. Metallic golden hexagon abstract texture on black background ,"pattern,geometric,seamless,hexagon,geometry,gold,rose,bright,luxury,modern,polygon,spot,wallpaper,abstract,art deco,backdrop,background,black,creative,decoration,elegant,foil,glamour,glitter,glow,golden,gray,grunge,illustration,light,line,metal,metallic,mosaic,polygonal,shape,shimmer,shine,shiny,sketch,sparkle,textured,vector,watercolor",https://image.shutterstock.com/image-vector/vector-seamless-geometric-sparkle-pattern-600w-1661377240.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-geometric-sparkle-pattern-600w-1661377240.jpg', 'path': 'full/7b94e1be775cffda8c272856cc86862c41051165.jpg', 'checksum': '6af1f865dca681b060a8ba72fd9991d0'}]"
1784013599,1,seamless+pattern+sketch,vector,Ecaterina+Sciuchina,Seamless pattern of hand drawn sketch style portrait of leopard with tropical plants isolated on white background. Vector illustration.,"pattern,leopard,safari,texture,animal,jaguar,portrait,vector,africa,asia,background,big cat,black and white,carnivore,composition,decoration,design,doodle,drawing,fabric,face,fast,flower,graphic,head,hunter,illustration,ink pen,isolated,jungle,leaf,mammal,nature,orchid,panther,plant,predator,print,repeating,seamless pattern,symbol,textile,tile,wallpaper,watching,wild,wildcat,wildlife,wrapping,zoo",https://image.shutterstock.com/image-vector/seamless-pattern-hand-drawn-sketch-600w-1784013599.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-hand-drawn-sketch-600w-1784013599.jpg', 'path': 'full/f7b0271097dd880acd1c87182c8afd1781fcfe3b.jpg', 'checksum': '171fa3067f5804ad6c7d3a4ef800b883'}]"
790163218,1,seamless+pattern+sketch,vector,newline,Seamless linear pattern with thin straight lines and polygons. Abstract geometric texture. Stylish background. Vector rapport for swatches.,"pattern,seamless,line,star,vector,geometric,texture,background,rapport,abstract,arabic,linear,polygon,sketch,asian,mirror,ornament,ramadan,symmetry,arabic pattern,cutting,decor,engraving,illustration,indian,interlaced,laser,lattice,mesh,seamless pattern,swatch,thin line,thread,tile,wallpaper,wrapper design",https://image.shutterstock.com/image-vector/seamless-linear-pattern-thin-straight-600w-790163218.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-linear-pattern-thin-straight-600w-790163218.jpg', 'path': 'full/1f948ba206b2d6762b65d18f3c218d4d3d7d4e8c.jpg', 'checksum': '3ff8eaf7c81043bc8a4a02256361b245'}]"
1419304757,1,seamless+pattern+sketch,vector,Ecaterina+Sciuchina,Seamless pattern of hand drawn sketch style African and Asian animals isolated on white background. Vector illustration.,"animal,wild,background,vector,africa,illustration,elephant,leopard,sketch,african vulture,antelope,asia,big cat,bird,black and white,boar,cheetah,drawing,fabric,face,flightless bird,gazelle,giraffe,graphic,head,hog,ink pen,jaguar,lion,longhorn,oryx,ostrich,panther,pig,portrait,print,python,rhino,rhinoceros,seamless pattern,shoebill,snake,textile,texture,wallpaper,warthog,watusi cattle,wildcat,wildlife,zebra horse",https://image.shutterstock.com/image-vector/seamless-pattern-hand-drawn-sketch-600w-1419304757.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-hand-drawn-sketch-600w-1419304757.jpg', 'path': 'full/51aa4e9717d192bf16fcb523b0be033059a19006.jpg', 'checksum': '35977e8a1dff1fd18ae83b8b0ee6cad9'}]"
1383229775,1,seamless+pattern+sketch,vector,SliceLemon,"Seamless pattern with waves. Design for backdrops with sea, rivers or water texture. Repeating texture. Figure for textiles. Print for the cover of the book, postcards, t-shirts. Surface design.","pattern,wave,water,sea,vector,background,ocean,illustration,seamless,abstract,doodle,line,sketch,scribble,art,wavy,blue,design,simple,concept,creative,cycle,element,nautical,ornament,shine,stream,tile,wallpaper,geometric,graphic,ink,monochrome,wrapping,artistic,backdrop,booking,decor,decoration,decorative,drawing,fabric,horizontal,marine,stripe,style,swirling background,textile,texture,twisted",https://image.shutterstock.com/image-vector/seamless-pattern-waves-design-backdrops-600w-1383229775.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-waves-design-backdrops-600w-1383229775.jpg', 'path': 'full/2caf65d5be3e17a482c6f773d43f9a29dc4b72ee.jpg', 'checksum': '024d81633a88773ad0415b88c1b772ca'}]"
675310342,1,seamless+pattern+sketch,vector,samiola,"Vector abstract marker colorful lines seamless pattern.  Isolated, colorless. Can be used as a background, pattern, wrapping paper, backdrop, wallpaper or as bag template, print for packet etc.","doodle,background,marker,pattern,brush,seamless,stroke,child,sketch,abstract,line,black,decorative,graphic,simple,vector,art,artistic,backdrop,color,creative,decor,decoration,design,dot,drawing,drawn,fabric,fashion,geometric,hand,illustration,ink,kid,modern,paper,pencil,print,repeat,shape,stripe,style,stylish,textile,texture,triangle,wallpaper,white,wrapping",https://image.shutterstock.com/image-vector/vector-abstract-marker-colorful-lines-600w-675310342.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-abstract-marker-colorful-lines-600w-675310342.jpg', 'path': 'full/3498d7d8342d35c1cf0fbfd08f73d1b9ed2d4264.jpg', 'checksum': '98f1dd66d8de028f6a97b9b6ffbc31a3'}]"
