id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1806850564,1,seamless+pattern+trendy,vector,katyakatya,"Trendy seamless patterns set. Cool abstract and floral design. For fashion fabrics, kid’s clothes, home decor, quilting, T-shirts, cards and templates, scrapbooking etc. Vector illustration","pattern,seamless,floral,fabric,autumn,cute,print,spring,texture,vector,yellow,abstract,baby,collection,flower,heart,illustration,kid,modern,nature,organic,pastel,wallpaper,background,blush,circle,doodle,dot,geometric,summer,template,trendy,watercolor,crayon,design,elegant,girl,graphic,gray,hand drawn,mustard,pink,plant,polka,scribble,shower,simple,small,square,textile",https://image.shutterstock.com/image-vector/trendy-seamless-patterns-set-cool-600w-1806850564.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/trendy-seamless-patterns-set-cool-600w-1806850564.jpg', 'path': 'full/1871846f4b6778ef1c19649fcf076362fe99c7bb.jpg', 'checksum': '57b16b192b16aaadf641b10333c001a7'}]"
687438982,1,seamless+pattern+trendy,vector,berry2046,Beach cheerful seamless pattern wallpaper of tropical dark green leaves of palm trees and flowers bird of paradise (strelitzia) plumeria on a light yellow background,"pattern,tropic,flower,floral,palm,leaf,background,vector,summer,seamless,bird,wallpaper,plant,watercolor,hawaiian,beach,jungle,print,hawaii,tree,vintage,paradise,white,green,texture,black,shirt,foliage,retro,spring,banana,abstract,fashion,exotic,red,trendy,aloha,garden,painting,bikini,light,plumeria,strelitzia,style,decoration,botanical,cheerful,drawing,illustration,tropical",https://image.shutterstock.com/image-vector/beach-cheerful-seamless-pattern-wallpaper-600w-687438982.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beach-cheerful-seamless-pattern-wallpaper-600w-687438982.jpg', 'path': 'full/e161c545ad6dee97471bc08838682fcd74e18533.jpg', 'checksum': '18beeb121f0b5dce18d55de670caed5c'}]"
1166522446,1,seamless+pattern+trendy,vector,Nadezda+Grapes,Vestor seamless pattern with leopards and tropical leaves. Trendy style.,"pattern,animal,leopard,jungle,seamless,tropic,nature,african,print,vector,illustration,tiger,jaguar,fashion,graphic,background,abstract,wildlife,wild,flower,design,wallpaper,cat,safari,art,floral,green,plant,modern,trend,fabric,leaf,color,banana,hipster,line,palm,silhouette,summer,artwork,drawn,tree,zoo,backdrop,beautiful,exotic,textile,trendy,tropical",https://image.shutterstock.com/image-vector/vestor-seamless-pattern-leopards-tropical-600w-1166522446.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vestor-seamless-pattern-leopards-tropical-600w-1166522446.jpg', 'path': 'full/0a9eb34a0eee29566f7b0a078d954c4507692967.jpg', 'checksum': '2a5f97c6549892e9048609628a10f1dc'}]"
692132755,1,seamless+pattern+trendy,vector,CurlyPat,Vector seamless pattern. Monochrome organic shapes. Stylish structure of natural cells reminding fingerprints. Hand drawn abstract background.,"pattern,seamless,texture,organic,nature,abstract,vector,geometric,background,modern,repeat,print,shape,monochrome,textile,graphic,black,frame,structure,bio,decor,fabric,science,wallpaper,design,flat,ornament,tile,trendy,backdrop,biology,continuous,coral,creative,decoration,decorative,freehand,hand drawn,irregular,lines,microbiology,natural,ornate,package,rounded,stripes,stylish,swatch,tileable,wrapping",https://image.shutterstock.com/image-vector/vector-seamless-pattern-monochrome-organic-600w-692132755.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-monochrome-organic-600w-692132755.jpg', 'path': 'full/5c635ec7ed7e5c31c9cf3343061f3830dc452613.jpg', 'checksum': 'da92019a91fd719703527361a294dd77'}]"
731626471,1,seamless+pattern+trendy,illustration,YuliaAksa,Abstract pattern stripes blue watercolour textures background geo. Watercolor geometric splash brushes digital effect overlay backdrop seamless. Blue monochrome color lines paint and drawing.,"pattern,abstract,seamless,watercolor,floral,geometric,blue,texture,background,geo,wallpaper,effect,plaid,art,design,collage,digital,fabric,stripe,dark,illustration,repeat,trendy,tribal,brush,allover,drawing,scarf,splash,vintage,artistic,aztec,camo,stamp,surf,vivid,wall,white,craft,psychedelic,rough,backdrop,decoration,lines,monochrome,painting,printing,scratch,tile,wrapping",https://image.shutterstock.com/image-illustration/abstract-pattern-stripes-blue-watercolour-600w-731626471.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-pattern-stripes-blue-watercolour-600w-731626471.jpg', 'path': 'full/006e458d8442b95ded05dcd1803f096f3afeaf72.jpg', 'checksum': '33988ebbd759f2c25b5fe458e082bb4c'}]"
375468052,1,seamless+pattern+trendy,vector,SeamlessPatterns,Vector Seamless Black And White Irregular Rounded Lines Halftone Transition Abstract Background Pattern,"pattern,vector,line,geometric,seamless,abstract,background,graphic,texture,shape,circle,flat,hipster,modern,fade,design,black,square,transition,white,rain,drip,liquid,drop,monochrome,vertical,random,flow,fluid,print,splash,irregular,tile,fabric,trendy,creative,backdrop,falling,squeeze,stream,decor,wrapping,stylish,halftone,melting,parallel,repetition,rounded,textile",https://image.shutterstock.com/image-vector/vector-seamless-black-white-irregular-600w-375468052.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-black-white-irregular-600w-375468052.jpg', 'path': 'full/2ebb91714dc009f0d0a6766b39fb7beba62dbca2.jpg', 'checksum': 'c82e86140d452fd1f14e33d521342e35'}]"
1495728734,1,seamless+pattern+trendy,vector,Rodin+Anton,Big set of 24 vector tiled seamless patterns. Collection of geometric linear modern patterns. Patterns added to the swatch panel.,"pattern,seamless,background,geometric,vector,luxury,ornament,texture,elegant,mosaic,tile,collection,gold,hexagon,geometry,set,simple,vintage,abstract,interior,line,triangle,white,art,decoration,design,fabric,floor,modern,ornate,repeat,style,textile,wall,backdrop,decor,decorative,element,fashion,graphic,grid,islamic,light,ornamental,paper,tileable,trendy,wallpaper,web,wrapping",https://image.shutterstock.com/image-vector/big-set-24-vector-tiled-600w-1495728734.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/big-set-24-vector-tiled-600w-1495728734.jpg', 'path': 'full/5d09f975b3c778a6d68f47c0540b1ae7e04b4edb.jpg', 'checksum': '211751404a0c0067d6b183460e36b6d9'}]"
490102348,1,seamless+pattern+trendy,vector,Irina+Qiwi,Abstract Seamless Pattern. Seamless Pattern with Triangles. Gold black and white triangle Pattern . Vector illustration,"pattern,black,seamless,modern,gold,background,white,abstract,texture,elegant,chevron,stripe,design,rhombus,graphic,square,shape,hipster,line,mosaic,simple,retro,print,trendy,memphis,stylish,wallpaper,ornament,element,golden,tile,ornate,fabric,funky,decorative,repeat,structure,textile,backdrop,regular,template,dots,geometric,monochrome,periodic,sample,striped,textured,tiling,wrapping",https://image.shutterstock.com/image-vector/abstract-seamless-pattern-triangles-gold-600w-490102348.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-pattern-triangles-gold-600w-490102348.jpg', 'path': 'full/ce6da2c8e9b75900250010a5dc2c14840a10c3e7.jpg', 'checksum': '58ce67eed8d45b99ec2d8d7f3a5f60f6'}]"
226463887,1,seamless+pattern+trendy,vector,ExpressVectors,10 Dark geometric seamless patterns,"seamless,circle,design,modern,texture,vector,geometric,black,element,trendy,background,dark,collection,polka,retro,simple,white,graphic,fabric,abstract,creative,web,decoration,monochrome,fashion,ornament,paper,stylish,template,textile,art,artistic,wallpaper,and,artwork,backdrop,beautiful,card,concept,cover,decor,decorative,dots,invitation,patterns,repeat,repetitive,spotted,website,wrapping",https://image.shutterstock.com/image-vector/10-dark-geometric-seamless-patterns-600w-226463887.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/10-dark-geometric-seamless-patterns-600w-226463887.jpg', 'path': 'full/3284ac8a1db5f5415f7a1f193cb073275f89ea64.jpg', 'checksum': '0c8b5cc5e3700f615074667d201c5ab5'}]"
147536951,1,seamless+pattern+trendy,vector,oksancia,Pastel blue fabric ikat diamond seamless pattern background,"pattern,seamless,blue,background,geometric,ikat,pastel,vector,texture,motif,diamond,abstract,ethnic,retro,vintage,fabric,wallpaper,trendy,light,rhombus,traditional,print,design,graphic,primitive,white,native,navajo,textile,tribe,american,illustration,overlap,paper,tribal,collection,fashion,transparent,backdrop,decor,decoration,decorative,element,mesh,netting,ornament,repeating,style,wrapping",https://image.shutterstock.com/image-vector/pastel-blue-fabric-ikat-diamond-600w-147536951.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/pastel-blue-fabric-ikat-diamond-600w-147536951.jpg', 'path': 'full/acea1c42764c1f3db5315d5f0df52be824fe1f0a.jpg', 'checksum': '194b5ed73e18aa1e3d708c6c798700d4'}]"
