id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1211328580,1,seamless+pattern+artistic,vector,Ezhevika,Set of Geometric seamless patterns. Abstract geometric  hexagonal  graphic design print 3d cubes pattern. Seamless  geometric cubes pattern.,"pattern,geometric,background,seamless,vector,wallpaper,texture,modern,line,set,graphic,design,grid,vintage,abstract,repeat,tile,simple,shape,triangle,decor,square,ornament,hexagon,fabric,retro,block,3d,cube,structure,stripe,black,mosaic,cubic,element,optical,cover,print,stylish,style,template,wrapping,artistic,concept,creative,backdrop,decoration,decorative,geometry,illustration",https://image.shutterstock.com/image-vector/set-geometric-seamless-patterns-abstract-600w-1211328580.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-geometric-seamless-patterns-abstract-600w-1211328580.jpg', 'path': 'full/fb7a6e763087822b16b1f12e8523ab735e443790.jpg', 'checksum': 'b2103b92a9bb4ad256ba8c2c190a0e69'}]"
581326846,1,seamless+pattern+artistic,illustration,YuliaAksa,Leaves pattern jungle forest background. Blue trend color foliage pattern seamless. Artistic collage and effect overlay.,"pattern,seamless,flower,abstract,watercolour,blue,camouflage,texture,print,watercolor,background,floral,beach,illustration,plant,vintage,drawing,graphic,leaves,textile,white,design,wallpaper,allover,aloha,art,artwork,brazilian,collage,color,decoration,duotone,exotic,floral design,floral pattern,hawaii,hawaiian,layered,layers,material,mono,monochrome,natural,nature,painted,paradise,spring,trendy,tropical,wrapping",https://image.shutterstock.com/image-illustration/leaves-pattern-jungle-forest-background-600w-581326846.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/leaves-pattern-jungle-forest-background-600w-581326846.jpg', 'path': 'full/a373320bf1c5f4c7309e3b09091d1028f3b46455.jpg', 'checksum': '015c40efb2215acd89bf02e0eda149b1'}]"
1038457195,1,seamless+pattern+artistic,vector,ozzichka,"Vector seamless pattern with hand drawing wild plants, herbs and flowers, colorful botanical illustration, floral elements, hand drawn repeatable background. Artistic backdrop.","pattern,flower,floral,vector,abstract,hand,beauty,leaf,doodle,drawing,garden,ink,line,sketch,background,graphic,drawn,grunge,handdrawn,organic,ornament,plant,spring,vintage,denim,element,flora,frame,herbal,nature,seeds,set,silhouette,summer,art,artistic,blossom,botanical,botany,collection,colorful,decoration,design,grass,herb,illustration,isolated,natural,retro,symbol",https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawing-600w-1038457195.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawing-600w-1038457195.jpg', 'path': 'full/7b07d946a93702d4a81ed1407e975f6160237a5e.jpg', 'checksum': 'f9eec9513dc1b02cbcdffe7cd8884fed'}]"
656196433,1,seamless+pattern+artistic,vector,nannastudio,sketched flower print in bright colors - seamless background,"flower,pattern,floral,seamless,vector,print,spring,background,sketch,vintage,cute,summer,daisy,orange,fashion,fabric,retro,ditsy,texture,design,bouquet,bright,pink,wallpaper,blue,meadow,repeat,green,beauty,tile,artistic,60s,feminine,original,petal,blooms,drawing,gazania,gerber,hand drawn,hippie,natural,nature,scribble,textile",https://image.shutterstock.com/image-vector/sketched-flower-print-bright-colors-600w-656196433.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/sketched-flower-print-bright-colors-600w-656196433.jpg', 'path': 'full/53b67065dfd57c081d439b58c102408f68fd28b1.jpg', 'checksum': 'f24f2feaad14aad06ca82ec2b58cb427'}]"
1026271408,1,seamless+pattern+artistic,illustration,lisima,Seamless pattern with spring flowers and leaves. Hand drawn background.  floral pattern for wallpaper or fabric. Flower rose. Botanic Tile.,"pattern,flower,floral,watercolor,rose,seamless,pink,illustration,romantic,summer,print,bouquet,design,fabric,spring,white,abstract,painting,retro,textile,wall,art,leaf,tile,valentine,wallpaper,branch,furniture,paper,artistic,graphic,structure,bedclothes,blossom,decorative,gray,panting,postcard,template,botanical,card,floral background,hand drawn,invitation,ornament,pastel color,vintage style,wrapper,wrapping paper",https://image.shutterstock.com/image-illustration/seamless-pattern-spring-flowers-leaves-600w-1026271408.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-spring-flowers-leaves-600w-1026271408.jpg', 'path': 'full/9928d9d55da51002b8a48e3aa92f3601dadb161f.jpg', 'checksum': '609dfd32c257eaf0f1eb57459782c9e6'}]"
92419189,1,seamless+pattern+artistic,vector,pintbav,Abstract Elegance Seamless pattern with floral background,"pattern,flower,floral,background,seamless,vector,spring,texture,color,abstract,graphic,design,modern,beauty,illustration,art,nature,season,leaf,fantasy,image,element,concept,ornament,swirl,petal,creative,light,shape,decorative,foliage,romantic,celebration,ornate,sign,style,postcard,scroll,artistic,beautiful,clip-art,curl,decor,decoration,elegance,merry,morning,symbol,textile",https://image.shutterstock.com/image-vector/abstract-elegance-seamless-pattern-floral-600w-92419189.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-elegance-seamless-pattern-floral-600w-92419189.jpg', 'path': 'full/53a1ab2c823730390d4a89db73da4a19b7fead86.jpg', 'checksum': 'c4d8b6f3aa23804a57c590ec8423f5ec'}]"
458891695,1,seamless+pattern+artistic,vector,ExpressVectors,Collection of swatches memphis patterns - seamless. Fashion 80-90s. Black and white mosaic textures.,"pattern,vector,background,abstract,memphis,fun,geometric,hipster,graphic,doodle,90s,80s,seamless,simple,design,style,cool,modern,collection,white,pop,black,fashion,funky,set,frame,retro,geometry,trendy,dash,decor,cloth,vintage,fabric,zigzag,art,business,mosaic,paper,creative,template,wallpaper,web,curve,card,repeat,artistic,concept,interior,website,cover,scrapbook,invitation,angle,artwork,endless,wrapping,backdrop,textile,and,decoration,decorative,drawing,elements,illustration,lines,shapes,stripes,stylish,swatches,texture",https://image.shutterstock.com/image-vector/collection-swatches-memphis-patterns-seamless-600w-458891695.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collection-swatches-memphis-patterns-seamless-600w-458891695.jpg', 'path': 'full/3c5197b75e87ad9da8ba1440644e6799f50e3aa2.jpg', 'checksum': 'eb7af9d0cb80dde8ecc15cb13ad33644'}]"
1801860700,1,seamless+pattern+artistic,vector,marukopum,Abstract seamless background with watercolor texture vector. Peony flower flower with brush stroke illustration in vintage style. Pastel colorful concept.,"watercolor,flower,pattern,abstract,seamless,art,background,vector,print,texture,vintage,floral,japan,paint,decorative,design,flyer,grunge,illustration,layout,poster,abstract arts background,art landscape,artistic,asian style,backdrop,banner,brush stroke texture,chinese,color,creative,elegance,element,fall,fluid,graphic,japanese pattern,liquid,modern,nature,new year cards material,ornament,retro,shape,template,textured,traditional,wallpaper,wave",https://image.shutterstock.com/image-vector/abstract-seamless-background-watercolor-texture-600w-1801860700.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-background-watercolor-texture-600w-1801860700.jpg', 'path': 'full/94c5d10fe810e4a03834758a82b14ae6b4564a47.jpg', 'checksum': '33915f69bcecb0a796300fe2fab6ddd2'}]"
591885260,1,seamless+pattern+artistic,illustration,lisima,"Seamless pattern with pink flowers and leaves on white background, watercolor floral pattern, flower rose in pastel color, tileable for wallpaper, card or fabric","pattern,floral,watercolor,pink,wallpaper,seamless,rose,wall,paper,print,spring,illustration,white,design,abstract,textile,fabric,art,painting,gray,graphic,leaf,furniture,card,ornament,retro,branch,decorative,valentine,artistic,bedclothes,blossom,template,floral background,flowers,hand drawn,invitation,pastel color,postcard,structure,tile,vintage style,wrapper,wrapping paper",https://image.shutterstock.com/image-illustration/seamless-pattern-pink-flowers-leaves-600w-591885260.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-pink-flowers-leaves-600w-591885260.jpg', 'path': 'full/58653c273f59cbe7ee0daf38a58b1772eb9ebb57.jpg', 'checksum': '985dfdee4b7fef233ea90a6bf638cd3b'}]"
140743453,1,seamless+pattern+artistic,vector,cepera,Abstract ornate geometric petals grid background. Seamless pattern. Vector.,"pattern,seamless,abstract,vector,geometric,flower,wallpaper,texture,ornament,background,illusion,fashion,grid,optical,retro,art,tile,decor,ornate,design,net,graphic,card,volume,cell,print,mesh,backdrop,artistic,decorative,elegance,flex,illustration,lines,petals,striped,stripes,swatch,textured",https://image.shutterstock.com/image-vector/abstract-ornate-geometric-petals-grid-600w-140743453.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-ornate-geometric-petals-grid-600w-140743453.jpg', 'path': 'full/83eae37da3a170300229fb633a1ddb15bf1d8db8.jpg', 'checksum': '93edb28d5571ad9cf8ad1b5fa86c45ac'}]"
