id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1714581340,1,seamless+pattern+grey,vector,Maria+Kurty,Vector repeat pattern with small magnolia branches on creamy background.,"apparel,background,beautiful,blooming,blossom,botanical,branch,bud,bush,card,clothes,color,creamy,dark,decorative,elegant,endless,fabric,feminine,floral,flower,garden,green,greeting,grey,hand drawn,leaf,light,magnolia,nature,pattern,plant,print,repeat,romantic,scrapbook,seamless,silhouette,swatch,tablecloth,tender,textile,texture,tree,vector,vintage,wallpaper,wedding,white,wrapping paper",https://image.shutterstock.com/image-vector/vector-repeat-pattern-small-magnolia-600w-1714581340.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-repeat-pattern-small-magnolia-600w-1714581340.jpg', 'path': 'full/ccbcf1a3a0feabc92e4ea023b93f9094994e33a3.jpg', 'checksum': 'f1fe64138639cc3f02b4eed3da2ca829'}]"
1094638172,1,seamless+pattern+grey,vector,MSNTY,Monotone blue and grey of silhouette tropical foliage and fill in stripe leaves in colorful mood  seamless pattern in vector for fashion fabric and all prints ,"pattern,geometric,flower,floral,seamless,vector,watercolor,abstract,modern,tropic,leaves,print,background,leaf,fabric,design,plant,brush,texture,silhouette,fashion,summer,textile,wallpaper,color,nature,illustration,minimal,tree,drawing,grunge,art,exotic,graphic,spring,beach,blossom,decoration,doodle,garden,palm,stripes,tropical",https://image.shutterstock.com/image-vector/monotone-blue-grey-silhouette-tropical-600w-1094638172.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/monotone-blue-grey-silhouette-tropical-600w-1094638172.jpg', 'path': 'full/fd92d8448f259a673cc7cc4f6a65c7db06f85a33.jpg', 'checksum': '10e45a73f8f8f67d59d7494dde2a41b6'}]"
1479180104,1,seamless+pattern+grey,illustration,olgers,"Abstract geometric seamless pattern. Vintage decorative moroccan texture with gold line. Hand drawn light gray golden background. Print for textile, wallpaper, wrapping.","background,pattern,gold,indian,moroccan,wallpaper,white,seamless,arabian,print,vintage,abstract,geometric,mosaic,wedding,arabic,batik,damask,decorative,interior,silk,teal,texture,traditional,turkish,art,colour,contour,decor,decoration,drawn,fabric,fashion,glittering,golden,graphic,gray,grey,hand,invitation,oriental,ornament,ornamental,paper,retro,style,textile,textured,tile,wrapping",https://image.shutterstock.com/image-illustration/abstract-geometric-seamless-pattern-vintage-600w-1479180104.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-geometric-seamless-pattern-vintage-600w-1479180104.jpg', 'path': 'full/2900af5394a43cbfffae26a0692168aed4d073ee.jpg', 'checksum': 'a197f4a65609f87a11f1c351e7c0dd82'}]"
1088549873,1,seamless+pattern+grey,illustration,Klavdiya+Krinichnaya,3d cubes. Abstract seamless pattern with golden and grey marble textures. Fantasy design for wallpapers or fabric.,"gold,marble,pattern,seamless,white,3d,texture,background,grey,hexagon,stone,yellow,geometric,golden,abstract,cube,mosaic,orange,pastel,tiles,water,beige,ink,luxury,rhombus,shapes,splash,wall,color,colorful,effect,fantasy,fractal,fusion,glossy,grid,honeycomb,illusion,light,liquid,marbling,mesh,oil,ornament,psychedelic,ripples,swirl,symmetrical,waves",https://image.shutterstock.com/image-illustration/3d-cubes-abstract-seamless-pattern-600w-1088549873.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/3d-cubes-abstract-seamless-pattern-600w-1088549873.jpg', 'path': 'full/50fc51725a5a5ee87ea6bc273eb39bc69db48698.jpg', 'checksum': '6da058fac00e178d99e9a083434446f7'}]"
691471507,1,seamless+pattern+grey,vector,Anya_D,"Plaid check patten in pastel grey, dusty beige and white. Seamless fabric texture print","plaid,pattern,tartan,check,christmas,vector,grey,flannel,white,checker,print,background,stripe,simple,border,twill,gingham,gray,fashion,light,pastel,square,beige,blanket,design,mat,picnic,pyjamas,scotland,scottish,tablecloth,geometric,pale,patchwork,pretty,fabric texture,faded,graphic,mens shirt,pajamas,preppy,retro,seamless patern,snow white,soft,table cloth,traditional,trendy,vintage,winter fashion",https://image.shutterstock.com/image-vector/plaid-check-patten-pastel-grey-600w-691471507.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/plaid-check-patten-pastel-grey-600w-691471507.jpg', 'path': 'full/ca74907edcb85b61050c9198b2f6a21362b8df6e.jpg', 'checksum': '5bfa82470721b5a7bfe8cee2bb501d58'}]"
1641855268,1,seamless+pattern+grey,vector,Nadezda+Barkova,Cute seal vector illustration. Vector print ideal for baby texil and posters. Seamless pattern with cute seal,"seal,cute,grey,illustration,vector,animal,antarctic,aquatic,arctic,art,baby,background,blue,cartoon,character,design,doodle,drawing,drawn,face,flat,fun,funny,fur,happy,ice,isolated,kawaii,life,little,mammal,marine,natural,nature,north,ocean,polar,sea,sea lions,seal vector,seamless pattern,underwater,walrus,water,white,wild,wildlife,winter,young,zoo",https://image.shutterstock.com/image-vector/cute-seal-vector-illustration-print-600w-1641855268.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cute-seal-vector-illustration-print-600w-1641855268.jpg', 'path': 'full/dab682ac10efaca3965398dd92eddc474c190766.jpg', 'checksum': '1ae6fb2690e59c69958b2cb9d13dd7e3'}]"
1155826354,1,seamless+pattern+grey,illustration,nesesahin,"
Snake skin pattern texture repeating seamless monochrome black and white. . Texture snake. Fashionable print. Fashion and stylish background","snake,skin,pattern,python,print,seamless,snakeskin,black,background,serpent,texture,animal,dress,leather,monochrome,natural,abstract,aged,backdrop,chalk,cobra,colors,crocodile,decoration,distress,distressed,drawing,effect,fabric,fashion,gray,grunge,illustration,leather texture,live,overlay,predator,reptile,retro,rough,splatter,structure,surface,textile,textured,trendy,upholstery,vintage,wall,wallpaper",https://image.shutterstock.com/image-illustration/snake-skin-pattern-texture-repeating-600w-1155826354.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/snake-skin-pattern-texture-repeating-600w-1155826354.jpg', 'path': 'full/9bde7bd5d75e3d766e4c39fd24c8d30f11c001d0.jpg', 'checksum': '4eec9f9eb914bcdf6dfe647812fd96de'}]"
1037352784,1,seamless+pattern+grey,illustration,redcranberry,Seamless pattern of wild design. Skin background with watercolor effect. ,"pattern,animal,seamless,skin,snake,texture,print,abstract,watercolor,background,camouflage,fabric,african,snakeskin,textile,fashion,leather,nature,spot,vintage,brown,exotic,repeat,safari,surface,wild,wildlife,africa,beige,chic,cloth,decor,fashionable,gray,illustration,jungle,material,natural,textured,wallpaper,zoo",https://image.shutterstock.com/image-illustration/seamless-pattern-wild-design-skin-600w-1037352784.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-wild-design-skin-600w-1037352784.jpg', 'path': 'full/83f9bfa630766386bd4d0ccd613bae5354483552.jpg', 'checksum': '8b47655ce42090bc77a5a69d7678a34d'}]"
1484323856,1,seamless+pattern+grey,vector,mwiederrecht,Detailed woven fabric texture.  Seamless repeat vector pattern swatch.  Light gray colors.  Very detailed.  Large file.  Great for home decor.,"texture,fabric,pattern,linen,seamless,woven,background,abstract,textile,cloth,paper,wallpaper,weave,material,structure,light,white,thread,cotton,gray,design,fiber,home,mat,retro,surface,canvas,detail,burlap,table,vintage,aged,art,backdrop,blanket,close,closeup,clothing,craft,decor,element,fashion,illustration,knit,natural,sack,textured",https://image.shutterstock.com/image-vector/detailed-woven-fabric-texture-seamless-600w-1484323856.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/detailed-woven-fabric-texture-seamless-600w-1484323856.jpg', 'path': 'full/a21e132d757ce1ed4d321fa4da7b7a9e34c0fc14.jpg', 'checksum': '15f37ee898122ce9d6810ebf491240ff'}]"
1348587995,1,seamless+pattern+grey,vector,lisima,"set botanic and abstract seamless pattern with flowers and leaves, hand drawn background. collection floral pattern. Tile with Flower rose. ","pattern,flower,rose,seamless,floral,wedding,set,pink,vector,collection,background,paper,gray,painting,wall,abstract,decorative,ornament,print,retro,card,leaf,spring,valentine,bedclothes,blossom,design,furniture,invitation,structure,template,wallpaper,white,art,artistic,branch,decoration,fabric,floral background,graphic,hand drawn,illustration,panting,pastel color,textile,tile,vintage style,wrapper,wrapping paper",https://image.shutterstock.com/image-vector/set-botanic-abstract-seamless-pattern-600w-1348587995.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-botanic-abstract-seamless-pattern-600w-1348587995.jpg', 'path': 'full/ad5e44d34c1828ce582121505247f107ba28e0ed.jpg', 'checksum': '468d23530d465750ba98f27046d9aa4c'}]"
