id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1096176635,1,seamless+pattern+rose,vector,galuniki,"gold and pale rose abstract leaves seamless pattern for background, wrapping paper, fabric on blue checkered background. floral botalical endless repeatable motif for surface design. stock  illustrati","pattern,nature,abstract,seamless,luxury,motif,background,leaves,palm,vector,geometric,tropical,chic,geometry,design,elegant,floral,jungle,print,botanical,art,foliage,illustration,modern,plant,repeat,contour,fashion,glamor,textile,decoration,rain,surface,chaos,concept,element,exotic,fine,garden,line,lush,messy,metallic,natural,paradise,swatch,tripical,tropic,wrap,wrapping paper",https://image.shutterstock.com/image-vector/gold-pale-rose-abstract-leaves-600w-1096176635.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/gold-pale-rose-abstract-leaves-600w-1096176635.jpg', 'path': 'full/1a154f3ef967034c839329d3cc7320574385212c.jpg', 'checksum': '3775dbfbd86bc440aa062c7ee5499664'}]"
116578882,1,seamless+pattern+rose,vector,liliyashlapak,Vintage floral seamless pattern with hand drawn roses,"pattern,flower,floral,vintage,rose,seamless,vector,victorian,background,leaf,wallpaper,retro,fabric,print,abstract,old,texture,garden,romantic,branch,luxury,design,grunge,cute,element,love,silhouette,summer,nature,spring,romance,twig,petal,backdrop,botanical,engraving,greetings,hand drawn,illustration,lovely,natural,seasonal,tiling",https://image.shutterstock.com/image-vector/vintage-floral-seamless-pattern-hand-600w-116578882.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vintage-floral-seamless-pattern-hand-600w-116578882.jpg', 'path': 'full/2c7af63fe91f9c9272aa830f2dc4107401734ee7.jpg', 'checksum': 'de402be1fd083472e004dd4989cec2f6'}]"
1106169233,1,seamless+pattern+rose,vector,17096646,"Roses pattern bunch of flowers, repeating print for fabric","flower,rose,pattern,vector,floral,seamless,watercolor,design,red,vintage,bouquet,ornament,background,texture,illustration,spring,summer,white,beautiful,branch,decorative,drawing,isolated,plant,wallpaper,bed cloth,bed spreads,big roses,curtain pattern,decoration,fabric print,fashion print,flora,leaf,nature,ornate,pink rose,pink roses,plate print,roses,style,table cloth,textile,textile pattern",https://image.shutterstock.com/image-vector/roses-pattern-bunch-flowers-repeating-600w-1106169233.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/roses-pattern-bunch-flowers-repeating-600w-1106169233.jpg', 'path': 'full/d29ee187feaa89a0a9b025676799731767e8f708.jpg', 'checksum': 'd36eaa902c0f04d134156d1c244b8ae9'}]"
789121726,1,seamless+pattern+rose,vector,MSNTY,"Vintage Beautiful and trendy Seamless Pattern wind blow flowers,  Isolated on summer amber color. Botanical Floral Decoration Texture. Vintage Style Design for Fabric Print, Wallpaper Background.","pattern,floral,seamless,flower,vector,abstract,print,design,background,small,summer,leaf,texture,garden,repeat,yellow,illustration,cute,nature,plant,spring,textile,wallpaper,beautiful,color,fabric,graphic,tile,ditsy,feminine,art,bloom,decoration,drawing,flora,pink,retro,rose,backdrop,beauty,blossom,decorative,elegance,fashion,little,ornament,painted,style,tree",https://image.shutterstock.com/image-vector/vintage-beautiful-trendy-seamless-pattern-600w-789121726.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vintage-beautiful-trendy-seamless-pattern-600w-789121726.jpg', 'path': 'full/4f9d0dad170e8fc173c8937a6ac17dac3e96fc15.jpg', 'checksum': '6d5df9a0ce6753e568e210c4c40d91e7'}]"
1716078529,1,seamless+pattern+rose,illustration,ruseanna,"Seamless watercolor floral pattern - pink flowers, green leaves & branches on white background; for wrappers, wallpapers, postcards, greeting cards, wedding invitations, romantic events.","pattern,flower,floral,watercolor,pink,watercolour,seamless,abstract,spring,rose,green,greenery,illustration,leaves,set,vintage,art,background,boho,botanical,bouquet,branch,card,decoration,drawing,eucalyptus,fashion,foliage,frame,garden,graphics,greeting,hand painted,illustrated,invitation,invites,leaf,lime color,nature,peach color,plant,print,summer,textile,texture,tree,trendy,wallpaper,wedding,white",https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-pink-600w-1716078529.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-pink-600w-1716078529.jpg', 'path': 'full/e7c53808b9debae249cf8cbe9ff8ea38638d20b6.jpg', 'checksum': '11aa85e9d5209cb2d867160ea701e30c'}]"
1683786001,1,seamless+pattern+rose,illustration,Fleur+Design+art,"Fairy magical garden. Unicorn seamless pattern, pink, blue, gold flowers, leaves , birds and clouds. Kids room wallpaper","seamless,pattern,unicorn,kids,wallpaper,fairy,pink,room,rose,animal,gold,illustration,baby,background,beautiful,blue,cloud,colorful,cute,drawing,drawn,dream,elegance,fabric,fairytale,fantasy,floral,flower,garden,girl,happy,horse,imagination,leaves,love,lovely,magic,magical,miracle,moon,mythology,pink rose,pony,princess,romantic,seamless pattern,sky,sweet,textile,white",https://image.shutterstock.com/image-illustration/fairy-magical-garden-unicorn-seamless-600w-1683786001.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/fairy-magical-garden-unicorn-seamless-600w-1683786001.jpg', 'path': 'full/25baf03f0a5a1b8fcbd6208b661ecb9adcdac78f.jpg', 'checksum': '0f7ed63be25b7cbbce3bce9ae48c7010'}]"
1723653430,1,seamless+pattern+rose,vector,luckyvectors,"exotic colorful leopard design hand drawn,stationary,fashion pattern,seamless,paper,fabric,t shirt,dress,wallpaper,decorative,mug,phone case funny cute pattern for everything","animal,print,pattern,seamless,leopard,flower,fashion,rose,sticker,background,design,skin,vector,wallpaper,abstract,africa,african pattern,animals,bag,brown,diary design,exotic,fabric,fashion print,fur,grunge,hand drawn,illustration,leopard skin,mugs,nature,note book,piton,piton skin,postcard,safari,seam,skirt,snake,snake print,snake skin,stickers,t shirt,textile,texture,vintage,wall art,wild,wild animal,zebra pattern",https://image.shutterstock.com/image-vector/exotic-colorful-leopard-design-hand-600w-1723653430.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/exotic-colorful-leopard-design-hand-600w-1723653430.jpg', 'path': 'full/490d3a9a5c766ee7cd8f6d60b43ca666211a5d8d.jpg', 'checksum': '039bbb223eae52cbcf2b18962f906bd4'}]"
1043597080,1,seamless+pattern+rose,vector,NikaMooni,Geometric seamless pattern with gold rhombus tiles and golden glitter texture. ,"pattern,wallpaper,rhombus,pink,background,premium,geometry,golden,texture,backdrop,glitter,luxury,seamless,vector,modern,wedding,decor,tile,abstract,geometric,line,print,vintage,chic,circle,fabric,party,classic,fashion,sparkle,elegant,girly,scales,simple,art,ornate,style,decoration,element,oriental,ornament,repeat,retro,rose gold,save the date,scrapbook,shapes,subtle,textile,wrapping paper",https://image.shutterstock.com/image-vector/geometric-seamless-pattern-gold-rhombus-600w-1043597080.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/geometric-seamless-pattern-gold-rhombus-600w-1043597080.jpg', 'path': 'full/8379bcb1b01904ab78a20333104e19a63f8b0e3c.jpg', 'checksum': '0ca222365e0c971186170541e2435a84'}]"
651719677,1,seamless+pattern+rose,illustration,chekmareva,Seamless rose pattern and bumble bee-5,"flower,pattern,seamless,floral,rose,vintage,watercolor,abstract,blossom,classic,design,illustration,textile,victorian,art,artwork,background,beautiful,beauty,botanical,bouquet,bud,chic,colorful,decoration,delicate,draw,drawing,elegance,elegant,fabric,feminine,garden,leaf,nature,old,pastel,petal,pink,plant,print,romantic,shabby,silk,soft,spring,summer,texture,wallpaper,white",https://image.shutterstock.com/image-illustration/seamless-rose-pattern-bumble-bee5-600w-651719677.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-rose-pattern-bumble-bee5-600w-651719677.jpg', 'path': 'full/85a497db4f1a46a9a9d4808b7312746109469d89.jpg', 'checksum': '32b49bba87f21780a80b284a5a2635b1'}]"
1015027315,1,seamless+pattern+rose,illustration,designstudioG,Little Tiny Small Red and Pink Rose Flowers on Floral Green Seamless Repeating  Background Artistic Wallpaper Pattern for Valentine's Day,"flower,pattern,red,floral,rose,little,old,dark,small,background,dress,pink,ethnic,fashion,men,abstract,beautiful,green,tiny,vintage,women,abstract backgrounds,authentic,beach wear,beachwear,black,boy,colorful,dark green,design,elegant,ethnic pattern,girl,idea,leaf,leaves background,leaves pattern,light,orange,pastel,queen,royal,royalty,style,stylish,texture,valentine day,valentines day,wallpaper pattern,young",https://image.shutterstock.com/image-illustration/little-tiny-small-red-pink-600w-1015027315.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/little-tiny-small-red-pink-600w-1015027315.jpg', 'path': 'full/339186168d299f55e6fb319ec9b3897f25598a3f.jpg', 'checksum': '96fac71b6a931c9e02e53dacdfbdf362'}]"
