id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
124640512,1,seamless+pattern+tribal,vector,pzaxe,"Seamless vintage pattern. Ethnic vector textured background from Bali island, Indonesia.","pattern,background,texture,vector,seamless,geometric,vintage,modern,asian,abstract,square,wallpaper,white,tribal,retro,design,gray,simple,ethnic,silver,floor,indonesia,decoration,shape,grunge,mosaic,balinese,ancient,effect,exotic,creative,halftone,parquet,style,element,symbol,artistic,swastika,java,original,decorative,graphical,illusion,lines,monochrome,ornamental,repeating,textured,tiled,traditional",https://image.shutterstock.com/image-vector/seamless-vintage-pattern-ethnic-vector-600w-124640512.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vintage-pattern-ethnic-vector-600w-124640512.jpg', 'path': 'full/47b0b28b2ddc03193ad08fd9030b7976d4d566ea.jpg', 'checksum': 'b380d8aed06aa10febfb77809466af3c'}]"
1020584608,1,seamless+pattern+tribal,vector,SeamlessPatterns,Vector seamless freehand pattern. Doodle monochrome print with hand drawn chevron texture. Trendy graphic design.,"pattern,geometric,texture,ethnic,tribal,seamless,abstract,chevron,hand,sketch,grunge,repeat,stroke,background,brush,drawn,modern,print,ornament,retro,vector,paint,shape,drawing,line,monochrome,vintage,wallpaper,design,artistic,black,decorative,grid,paper,zigzag,backdrop,cover,creative,decoration,doodle,fashion,graphic,textile,tile,tiling,tracery,tweed,wrapping,zag,zig",https://image.shutterstock.com/image-vector/vector-seamless-freehand-pattern-doodle-600w-1020584608.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-freehand-pattern-doodle-600w-1020584608.jpg', 'path': 'full/2d14427f05d67477df9879ffa9a23afa809851e0.jpg', 'checksum': '608000af42bf336d3d62d453928a3ccd'}]"
1525243142,1,seamless+pattern+tribal,vector,kirkchai+benjarusameeros,"Peacock's tail seamless pattern, african fashion ornament in vibrant colours., picture art and abstract background, vector illustration file EPS10. ","bird,sarong,abstract,boutique,fabric,motifs,style,tribal,africa,animal,ankara prints,art,background,bali,batik,beautiful,colorful,continent,cotton,dress,embroidery,graphic resources,green peafowl,hand drawn,india,indonesia,items,manufacturers,overlap,pavo,peacock,persian,pop,products,quality,repeat,seamless pattern,silk,summer,super wax print,textile,traditions,trendy,turkey,unique patterns,wallpaper",https://image.shutterstock.com/image-vector/peacocks-tail-seamless-pattern-african-600w-1525243142.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/peacocks-tail-seamless-pattern-african-600w-1525243142.jpg', 'path': 'full/8f8297bb012b0c8c9e3523355db769c44a6122af.jpg', 'checksum': '6b02519b217e5f4f49deec2c7c02c78c'}]"
613170965,1,seamless+pattern+tribal,vector,IvchenkoEvgeniya,"Seamless pattern with fantasy flowers, natural wallpaper, floral decoration curl illustration. Paisley print hand drawn elements. Home decor.","pattern,batik,floral,flower,paisley,seamless,vector,print,ethnic,embroidery,bohemian,tribal,indian,vintage,boho,design,block,tapestry,decoration,hand,illustration,modern,outline,patchwork,intricate,lace,textile,texture,drawn,ornate,paper,interior,spring,background,graphic,luxury,cozy,decorative,difficult,fantastic,folklore,natural,ornament,ornamental,retro,style,stylish,swirl",https://image.shutterstock.com/image-vector/seamless-pattern-fantasy-flowers-natural-600w-613170965.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-fantasy-flowers-natural-600w-613170965.jpg', 'path': 'full/997665563e31ee0ed7c97272ebee6a64c31ad8c1.jpg', 'checksum': '8b0c6dbe70aa72f6fc9c654a028e84fc'}]"
626738822,1,seamless+pattern+tribal,vector,Snezh,"Seamless pattern tile with mandalas. Vintage decorative elements. Hand drawn background. Islam, Arabic, Indian, ottoman motifs. Perfect for printing on fabric or paper.","pattern,mandala,seamless,indian,vector,design,ethnic,background,geometric,bohemian,moroccan,abstract,india,flower,floral,frame,paisley,art,decoration,fabric,motif,ornament,card,tribal,batik,eastern,henna,lace,patchwork,print,unique,wallpaper,illustration,mexican,ottoman,african,gift,retro,tile,carpet,cloth,silk,decorative,folkloric,native,ornamental,petal,stylized,sun,wrapping",https://image.shutterstock.com/image-vector/seamless-pattern-tile-mandalas-vintage-600w-626738822.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-tile-mandalas-vintage-600w-626738822.jpg', 'path': 'full/382e11d1cc4f61861af09cdd69de432a4c69d377.jpg', 'checksum': '9b1f80c297f379f21b2d04b2b3395d0b'}]"
254836366,1,seamless+pattern+tribal,vector,AlexVV,hipster zigzag seamless pattern with grunge effect ,"pattern,color,geometric,texture,hipster,seamless,background,modern,geometry,vector,abstract,zigzag,art,graffiti,mosaic,watercolor,stripe,summer,tribal,rainbow,print,vintage,fabric,retro,design,illustration,ornament,paint,splatter,wallpaper,creative,fashion,graphic,shape,drawing,fantasy,repetition,textile,backdrop,classic,cover,decor,decoration,drawn,element,grunge,stroke,style",https://image.shutterstock.com/image-vector/hipster-zigzag-seamless-pattern-grunge-600w-254836366.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hipster-zigzag-seamless-pattern-grunge-600w-254836366.jpg', 'path': 'full/afd42beadcac2e9540a64ba90ab04c12d9ef940b.jpg', 'checksum': '9afe9b5491c797d8ed9c2ba137610368'}]"
663811213,1,seamless+pattern+tribal,vector,arinka,Seamless geometric vintage print. Grunge texture. Gray and white colors. Patchwork ornament. Vector illustration.,"pattern,seamless,texture,ethnic,boho,fabric,vector,abstract,indian,patchwork,geometric,modern,repeat,textile,background,design,african,aztec,creative,decorative,old,ornament,simple,style,triangle,tribal,vintage,wallpaper,ancient,art,artwork,backdrop,decor,decoration,element,fashion,graphic,gray,grunge,illustration,line,mexican,motif,native,print,retro,shape,tile,traditional,white",https://image.shutterstock.com/image-vector/seamless-geometric-vintage-print-grunge-600w-663811213.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-geometric-vintage-print-grunge-600w-663811213.jpg', 'path': 'full/c0635f6ad6f90570112f9f73fa88e13ad7488a27.jpg', 'checksum': '5a5da334a69fbcd778938257326425b1'}]"
1810083145,1,seamless+pattern+tribal,vector,cyrindastudio,Ancient Egyptian ornament Tribal seamless pattern. Tribal art Egyptian vintage ethnic silhouettes seamless pattern in blue and gold color. Folk abstract repeating background texture. Logo design,"egypt,pattern,pharaoh,africa,art,background,cartoon,colorful,egyptian,fabric,seamless,vector,abstract,african,ancient,cloth,collection,color,decorative,design,drawing,ethnic,ethnicity,folk,god,gold,graphic,hieroglyphics,hieroglyphs,icon,illustration,isolated,mystic,old,ornament,pyramid,retro,set,sign,sketch,snake,sphinx,sun,symbol,tattoo,tribal,vintage,wallpaper",https://image.shutterstock.com/image-vector/ancient-egyptian-ornament-tribal-seamless-600w-1810083145.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ancient-egyptian-ornament-tribal-seamless-600w-1810083145.jpg', 'path': 'full/d4f14d23d1e095de532511baa02ae7f57e621b09.jpg', 'checksum': 'c0ac4b01e115bfc56b01d29d15e18a76'}]"
1727389960,1,seamless+pattern+tribal,vector,matrioshka,Embroidery. Red fox sleeping in autumn forest. Mushrooms and herbs seamless pattern. Fashionable template for design of clothes,"animals,apparel,apparel design,art,artwork,autumn,beautiful,cartoon,clothes,clothes design,colorful,cute,dreams,embroidery,embroidery fox,embroidery pattern,embroidery seamless pattern,ethnic,fabric,fashion,flowers,forest,forest herbs,fox pattern,fox vector,kids pattern,line,mammal,mascot,mountain ash,mushrooms,nature,orange,ornamental,ornate,poster,print,red fox,t shirt design,tail,tapestry,textile,thread,tribal,typography,vector,wild,wild animals,wildlife,zoo",https://image.shutterstock.com/image-vector/embroidery-red-fox-sleeping-autumn-600w-1727389960.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/embroidery-red-fox-sleeping-autumn-600w-1727389960.jpg', 'path': 'full/25e0f6670c24a0526138a190000b8555a7868f28.jpg', 'checksum': '15989515a1acb3b7fe665211cc447439'}]"
1836248443,1,seamless+pattern+tribal,illustration,Dobrynina+Elena,abstract splotches seamless pattern. contemporary art. modern textured background,"abstract,africa,africa pattern,art,artist,aztec,background,beach,boho,brown,bubble,circle,colorful,contemporary,decoration,design,drawn,ethnic,fabric,fashion,geometric,graphic,illustration,mexico,modern,native,natural,nature,ornament,outline,paint,pattern,polka dot,print,round,sea,seamless,shape,stone,textile,texture,trendy,tribal african,wallpaper,watercolor",https://image.shutterstock.com/image-illustration/abstract-splotches-seamless-pattern-contemporary-600w-1836248443.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-splotches-seamless-pattern-contemporary-600w-1836248443.jpg', 'path': 'full/393310debfea0517ad7a3ce7a2c047556b74013d.jpg', 'checksum': 'f1201d49b119fab932bf45a487329fc7'}]"
