id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1074529709,1,seamless+pattern+stone,vector,laverock,"Terrazzo flooring vector seamless pattern in cool colors. Texture of classic italian type of floor in Venetian style composed of natural stone, granite, quartz, marble, glass and concrete","pattern,seamless,terrazzo,abstract,marble,tile,floor,vector,texture,background,stone,rock,design,glass,granite,pebble,mosaic,venetian,composite,graphic,patio,pavement,classic,fill,light,material,quartz,color,colorful,concrete,decor,endless,flooring,fragment,grey,italian,natural,paving,piece,regular,repeat,repeatable,sample,shard,splinter,surface,swatch,template,textile,tiling",https://image.shutterstock.com/image-vector/terrazzo-flooring-vector-seamless-pattern-600w-1074529709.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-flooring-vector-seamless-pattern-600w-1074529709.jpg', 'path': 'full/aa664a655def4bea937a76416ad11c2c5904ba25.jpg', 'checksum': '3c644507bc92f2f5a26136df518bd8da'}]"
666441661,1,seamless+pattern+stone,vector,Asperger_Syndrome,Design blue Marble seamless pattern. Vector illustration,"pattern,seamless,texture,marble,vector,abstract,background,print,grunge,black,vintage,white,effect,nature,floor,surface,water,rock,creative,design,graphic,illustration,ink,modern,old,paint,retro,wall,wallpaper,architecture,art,backdrop,decoration,decorative,element,interior,isolated,knuckle,marbled,marbling,natural,paper,sign,stone,style,symbol,textured,tile,watercolor",https://image.shutterstock.com/image-vector/design-blue-marble-seamless-pattern-600w-666441661.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/design-blue-marble-seamless-pattern-600w-666441661.jpg', 'path': 'full/55bd37b89f44edc0236764952e89192aeee4c917.jpg', 'checksum': '49ec8033d26e408b7697cd2e0d2af766'}]"
785127658,1,seamless+pattern+stone,vector,Mikhail+H,"Halftone Grunge Vector Seamless Black and White Texture. Distressed Grungy Seamless Pattern Design. Watercolor Splatter Style Texture. Sketch, Rust Fashion Print Design Pattern.","texture,pattern,seamless,grunge,distress,brush,rough,vector,background,wall,dirty,rust,white,abstract,concrete,metal,watercolor,black,dry,effect,rusty,broken,paint,paper,print,splatter,design,grungy,chalk,ink,vintage,halftone,hand,plaster,retro,sketch,stain,dyed,grainy,stone,cracked,distressed,drawn,faded,fashion,painted,scratched,scratches,stripes,strokes",https://image.shutterstock.com/image-vector/halftone-grunge-vector-seamless-black-600w-785127658.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/halftone-grunge-vector-seamless-black-600w-785127658.jpg', 'path': 'full/70140f31680588bcb26dd00deb184defbcc905ce.jpg', 'checksum': '4ac74c43fe1920f55cf98691205add3e'}]"
170315102,1,seamless+pattern+stone,vector,CurlyPat,Vector seamless pattern. Modern stylish texture. Repeating abstract background with sett,"mosaic,pattern,stone,vector,texture,seamless,tile,circle,ornament,repeat,stylish,modern,textile,background,cube,dimensions,fine,point,print,sett,art,black,chaos,fabric,fashion,graphic,grid,repetition,set,square,backdrop,beauty,continuity,creative,decor,decoration,elegance,element,medley,monochrome,natural,objects,ornate,paving,pointillism,puzzles,series,tessellation,textured,trendy,wallpaper",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-170315102.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-170315102.jpg', 'path': 'full/f12034e7e01ba482d2ff5c7ec80054d5ca2eef2a.jpg', 'checksum': '53122d242b7118b0b37c71e6fc6c47e8'}]"
572778790,1,seamless+pattern+stone,photo,Lena+Bukovsky,Blue marble texture. Abstract seamless background. Natural stone pattern. ,"marble,pattern,seamless,texture,blue,abstract,background,white,nature,floor,ceramic,stone,wall,dark,design,material,vintage,art,tile,decorative,graphic,illustration,interior,kitchen,paint,architecture,concrete,monochromatic,monochrome,old,rock,space,wallpaper,antique,backdrop,blue marble,closeup,decoration,detail,elegance,granite,marbled,natural,rustic,smooth,spot,stucco,surface,textured,wrapping",https://image.shutterstock.com/image-photo/blue-marble-texture-abstract-seamless-600w-572778790.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/blue-marble-texture-abstract-seamless-600w-572778790.jpg', 'path': 'full/cc8434764ed47ce3480c98542425505d52ba15ab.jpg', 'checksum': '39865c66b4328c3e874fcfbe6cfc8515'}]"
1095353477,1,seamless+pattern+stone,vector,AuraLux,"Vector marble seamless pattern with golden geometric diagonal lines. White, pink, black rhombus marbling surface, modern luxurious background, luxury wallpaper.","pattern,seamless,pink,gold,luxury,rhombus,black,white,background,design,gray,tile,floor,golden,metal,vector,fashion,print,stone,texture,wall,abstract,art,diagonal,granite,graphic,illustration,interior,rock,shapes,backdrop,branding,card,contemporary,creative,decoration,elegant,kitchen,lines,luxurious,marble,marbling,modern,monochrome,natural,organic,repeat,sparkle,square,surface",https://image.shutterstock.com/image-vector/vector-marble-seamless-pattern-golden-600w-1095353477.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-marble-seamless-pattern-golden-600w-1095353477.jpg', 'path': 'full/d73468376d95117d1d01798465cf701c641ae9ee.jpg', 'checksum': '34afaba7d775064514eec5bd54eaf97f'}]"
723299386,1,seamless+pattern+stone,vector,kovalto1,"Terrazzo, seamless pattern, marble surface, vector illustration","terrazzo,pattern,seamless,marble,stone,shape,texture,abstract,vector,black,granite,white,background,color,fashion,material,architecture,art,backdrop,confetti,decoration,decorative,design,floor,gray,illustration,interior,natural,nature,old,orange,pink,retro,rock,surface,textured,tile,wall",https://image.shutterstock.com/image-vector/terrazzo-seamless-pattern-marble-surface-600w-723299386.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-seamless-pattern-marble-surface-600w-723299386.jpg', 'path': 'full/d8a0c5f6d899cfa20538330c4fa3bd27f4cc9950.jpg', 'checksum': 'cd32576348663cad5e2b38fead9d6a1b'}]"
509081137,1,seamless+pattern+stone,vector,moj0j0,Seamless round stone pattern in gray style,"pattern,stone,rock,wall,vector,floor,flat,pebble,texture,seamless,background,geometric,mosaic,ornament,outdoor,paving,brick,decor,graphic,illustration,modern,surface,abstract,architecture,art,backdrop,block,cobblestone,construction,continuity,continuous,decorating,decoration,gray,grey,interior,material,natural,paper,repeating,repetition,retro,rough,rubble,structure,textile,tile,vintage,wallpaper,white",https://image.shutterstock.com/image-vector/seamless-round-stone-pattern-gray-600w-509081137.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-round-stone-pattern-gray-600w-509081137.jpg', 'path': 'full/0fb6c71d528e302305670ed98b7b6fd4bbb28e52.jpg', 'checksum': 'd8ca41987bc546ed5d7b7f55aa72adb2'}]"
1473814952,1,seamless+pattern+stone,photo,natthamon++yanasing,"White grey marble texture background in natural pattern with high resolution, tiles luxury stone floor seamless glitter for interior and exterior.","table,white,texture,background,stone,seamless,floor,light,ceramic,tile,luxury,pattern,black,effect,granite,paper,terrazzo,backdrop,bathroom,bright,counter,design,glitter,gray,nature,abstract,antique,architecture,art,beautiful,boulder,decoration,deluxe,detail,durable,elegance,exterior,graphic,imitation,interior,marble,material,metallic,resolution,rock,smooth,top-view,tracery,vintage,wall",https://image.shutterstock.com/image-photo/white-grey-marble-texture-background-600w-1473814952.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/white-grey-marble-texture-background-600w-1473814952.jpg', 'path': 'full/646151d1a0a745a42bf2870e09e77dca593ddcfc.jpg', 'checksum': 'b00a3830aa6faf5ae77db97dbe1bffe1'}]"
715109641,1,seamless+pattern+stone,illustration,Dmitry+Kharchenko,White abstract geometric pattern. Origami paper style. 3D rendering seamless texture.,"3d,pattern,seamless,geometric,tile,background,wallpaper,abstract,rendering,texture,wall,concrete,decor,geometry,modern,white,concept,design,illustration,interior,minimal,origami,realistic,stone,architecture,backdrop,business,card,creative,decoration,decorative,digital,element,graphic,gray,indoor,light,mosaic,paper,poly,polygonal,render,shape,style,surface,surreal,template,triangle,triangular",https://image.shutterstock.com/image-illustration/white-abstract-geometric-pattern-origami-600w-715109641.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/white-abstract-geometric-pattern-origami-600w-715109641.jpg', 'path': 'full/9c79dbb481b88b19d7e65d937c8a6cef1cee7d32.jpg', 'checksum': '4a30f0ed5ee1cf056a2984b378eabc59'}]"
