id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1590062734,1,seamless+pattern+drawing,illustration,ruseanna,"Seamless watercolor floral pattern - green leaves and branches composition on white background, perfect for wrappers, wallpapers, postcards, greeting cards, wedding invitations, romantic events.","watercolor,pattern,eucalyptus,seamless,watercolour,flower,background,leaves,floral,foliage,leaf,botanical,green,wedding,abstract,vintage,spring,texture,bouquet,print,art,branch,greenery,wreath,nature,plant,succulent,wallpaper,illustration,summer,tree,fashion,garden,set,card,design,frame,trendy,white,decoration,drawing,fern,graphics,hand painted,illustrated,invitation,invites,isolated,lime color,retro",https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-green-600w-1590062734.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-green-600w-1590062734.jpg', 'path': 'full/f5aa8ef7676bf01becfa1dae709fd9c8db2cc8c4.jpg', 'checksum': '6f290ad4ba09d3fcba95c46f8da348a3'}]"
114542542,1,seamless+pattern+drawing,vector,anfisafo,Vector light seamless pattern with interweaving of thin lines. Traditional hatching of architectural hand drawn graphic. Simple abstract ornamental gray illustration with stylized texture of covering,"pattern,seamless,texture,vector,abstract,geometric,square,background,carpet,graphic,fiber,vintage,paper,stroke,cloth,fabric,grey,line,retro,knit,fashion,thread,brush,canvas,grass,ornament,pencil,template,hatch,material,wallpaper,creative,plan,thin,tile,design,style,wrapping,backdrop,cover,decoration,drawing,element,natural,network,shading,surface,textile,weaving,wickerwork",https://image.shutterstock.com/image-vector/vector-light-seamless-pattern-interweaving-600w-114542542.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-light-seamless-pattern-interweaving-600w-114542542.jpg', 'path': 'full/9e871ccdb71e3222385eea9ee5cad13d0f30c887.jpg', 'checksum': '53cf80dd9037ac2653d477555aedf1d3'}]"
1011494500,1,seamless+pattern+drawing,vector,MSNTY,"Summer Navy blue tropical forest leaves bright mood on sky blue stripe seamless pattern for fashoin fabric ,wallpaper book , card and etc ","pattern,seamless,stripe,flower,print,floral,summer,geometric,leaf,vector,fabric,leaves,palm,beach,texture,abstract,vintage,white,design,graphic,hand,hawaii,modern,wallpaper,art,background,exotic,fashion,nature,plant,jungle,drawn,green,retro,decoration,drawing,fall,illustration,textile,tropical",https://image.shutterstock.com/image-vector/summer-navy-blue-tropical-forest-600w-1011494500.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/summer-navy-blue-tropical-forest-600w-1011494500.jpg', 'path': 'full/3b68d6e28aee7c1f8fcf040778b3f4f7c8cd02bb.jpg', 'checksum': 'b922a608670f11355c04ec02023a2b9d'}]"
687438982,1,seamless+pattern+drawing,vector,berry2046,Beach cheerful seamless pattern wallpaper of tropical dark green leaves of palm trees and flowers bird of paradise (strelitzia) plumeria on a light yellow background,"pattern,tropic,flower,floral,palm,leaf,background,vector,summer,seamless,bird,wallpaper,plant,watercolor,hawaiian,beach,jungle,print,hawaii,tree,vintage,paradise,white,green,texture,black,shirt,foliage,retro,spring,banana,abstract,fashion,exotic,red,trendy,aloha,garden,painting,bikini,light,plumeria,strelitzia,style,decoration,botanical,cheerful,drawing,illustration,tropical",https://image.shutterstock.com/image-vector/beach-cheerful-seamless-pattern-wallpaper-600w-687438982.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beach-cheerful-seamless-pattern-wallpaper-600w-687438982.jpg', 'path': 'full/e161c545ad6dee97471bc08838682fcd74e18533.jpg', 'checksum': '18beeb121f0b5dce18d55de670caed5c'}]"
1734283526,1,seamless+pattern+drawing,illustration,krisArt,"Watercolor Woodland animals seamless pattern. Fabric wallpaper background with Owl, hedgehog, fox and butterfly, Bunny rabbit set, bear and bird baby animal, Scandinavian Nursery","pattern,animal,forest,seamless,watercolor,kid,baby,bear,nursery,scandinavian,drawing,illustration,woodland,background,character,child,deer,owl,bunny,flower,fox,nature,poster,wildlife,animals,badger,bird,birthday,branches,cartoon,chipmunk,collection,decor,decoration,design,fabric,floral,hand,hare,hedgehog,invitation,rabbit,scrapbooking,squirrel,textile. wallpaper,white,wild,wolf",https://image.shutterstock.com/image-illustration/watercolor-woodland-animals-seamless-pattern-600w-1734283526.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/watercolor-woodland-animals-seamless-pattern-600w-1734283526.jpg', 'path': 'full/0cf88877c4a217145dbdfab00ef43e0a5fe19f21.jpg', 'checksum': '7f21221c0da8fe4f137ac92e475b2bf5'}]"
1674416728,1,seamless+pattern+drawing,vector,annandpen,Elegant floral pattern in small hand draw flowers. Liberty style. Floral seamless background for fashion prints. Vintage print. Seamless vector texture. Spring bouquet.,"floral,flower,pattern,liberty,seamless,vintage,ditsy,retro,small,daisy,summer,background,modern,motif,spring,bloom,field,pretty,repeat,simple,chamomile,elegant,leaf,little,meadow,texture,wallpaper,calico,country-style,cute,fabric,fashion print,floral pattern,folk,fond,garden,gentle,gift wrap,millefleurs,ornament,random,romantic,rustic chic,shabby chic,simplicity,surface,textile,tiny,vector illustration,wild flowers",https://image.shutterstock.com/image-vector/elegant-floral-pattern-small-hand-600w-1674416728.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/elegant-floral-pattern-small-hand-600w-1674416728.jpg', 'path': 'full/efa29bed82ac76e016a6ccab6f618c5f32167c19.jpg', 'checksum': '5e326d493c52c0ed0c4cb336a80a334b'}]"
1796872924,1,seamless+pattern+drawing,vector,Yuli23,"Rustic seamless pattern with trees, deer, fox and other. Christmas print. ","pattern,christmas,winter,background,holiday,seamless,tree,vintage,deer,illustration,watercolor,rustic,wood,xmas,abstract,cute,december,drawing,green,grunge,nature,print,reindeer,traditional,backdrop,board,decoration,decorative,design,fabric,floral,graphic,hand,leaf,merry,natural,new,ornament,paper,red,repeat,season,simple,snow,snowflake,texture,vector,white,wrapping,year",https://image.shutterstock.com/image-vector/rustic-seamless-pattern-trees-deer-600w-1796872924.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/rustic-seamless-pattern-trees-deer-600w-1796872924.jpg', 'path': 'full/fb0d671684be9fa99235924a08e94a43a60ecb03.jpg', 'checksum': '3e9b0fe84faf4b5cb212a8c09301651f'}]"
192568991,1,seamless+pattern+drawing,vector,IreneArt,Set of 4 black and white doodle seamless patterns. Vector illustration,"pattern,dot,seamless,vector,polka,geometric,modern,organic,background,watercolor,texture,line,wallpaper,abstract,simple,graphic,circle,ornament,trendy,sketch,design,elegant,paint,retro,bubble,neutral,vintage,decoration,oval,round,stylish,splash,textile,cutout,fabric,acrylic,brushstroke,outline,splatter,stroke,contour,scrapbook,silhouette,decorative,drawing,parallel,spots,stain,striped,stripes",https://image.shutterstock.com/image-vector/set-4-black-white-doodle-600w-192568991.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-4-black-white-doodle-600w-192568991.jpg', 'path': 'full/c01039a53bb901202ead5ceac53f7fbb93ed674c.jpg', 'checksum': '3161a497269e16cda936c34477464151'}]"
174409004,1,seamless+pattern+drawing,vector,CurlyPat,Vector seamless pattern. Modern stylish texture. Repeating abstract background with tangled line,"pattern,seamless,elegant,line,vector,modern,abstract,circle,swirl,texture,ornament,ribbon,curve,background,decor,fashion,sketch,illustration,scroll,wallpaper,repeat,beauty,textile,graphic,ornate,monochrome,trendy,print,creative,fabric,linear,old,paper,wrapping,collection,complicated,confusion,continuity,decoration,decorative,drawing,elegance,element,fashionable,objects,repetition,tangled,textured",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-174409004.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-174409004.jpg', 'path': 'full/19ab940416b5bbf2eadc1428d8ff5c1ccaca9f8a.jpg', 'checksum': 'cbd2aed1708104722b421f060ffff988'}]"
1549536188,1,seamless+pattern+drawing,vector,Olga_Angelloz,Abstract seamless pattern with terrazzo and simple geometric rainbows. Simple stripy arc bows on colorful mozaic texture. Childish vector background in Scandinavian style in bright multicolour palette,"rainbow,pattern,seamless,terrazzo,vector,scandinavian,abstract,texture,geometric,illustration,motif,childish,colorful,design,marble,modern,print,simple,surface,tile,arc,backdrop,background,color,colourful,creative,decoration,decorative,drawing,element,endless,fabric,granite,graphic,kid-like,multicolour,nursery,ornament,repeat,repeatable,retro,rock,shape,stone,textile,tileable,wallpaper",https://image.shutterstock.com/image-vector/abstract-seamless-pattern-terrazzo-simple-600w-1549536188.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-pattern-terrazzo-simple-600w-1549536188.jpg', 'path': 'full/a93af825a24191131e9ae7c08d08ddb518aaaf18.jpg', 'checksum': '32c4588133a33c7dce9f725ae74a271e'}]"
