id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1662365185,1,seamless+pattern+hand,illustration,katshko,Vintage blue roses on white background. Watercolor floral seamless pattern.,"foliage,artistic,background,bloom,blooming,blossom,blue,botanical,bud,decoration,fabric,floral,flower,garden,green,hand drawn,herbal,isolated,leaf,nature,painted,pale,pastel,pattern,pink,plant,retro,rose,seamless,shabby,summer,swatch,textile,vintage,watercolor,wedding,white",https://image.shutterstock.com/image-illustration/vintage-blue-roses-on-white-600w-1662365185.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/vintage-blue-roses-on-white-600w-1662365185.jpg', 'path': 'full/689d0ac3e88406182b3703bd953e4688f9bb4dd6.jpg', 'checksum': '3aa61af30a2efdd67c4afa79ec694a81'}]"
627140579,1,seamless+pattern+hand,vector,ivetangelova,"Seamless repeat pattern with flowers in blue and pastel pink on white background. Hand drawn fabric, gift wrap, wall art design.","pattern,flower,floral,abstract,seamless,vector,modern,print,drawn,hand,brush,pink,paint,background,stroke,black,design,leaf,texture,trend,ink,trendy,card,cool,paper,art,petal,rough,shape,vintage,acrylic,blossom,creative,scrapbook,decoration,greeting,element,graphics,hand-drawn,illustration,paintbrush,postcard,poster,surface,textured,wrapping",https://image.shutterstock.com/image-vector/seamless-repeat-pattern-flowers-blue-600w-627140579.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-repeat-pattern-flowers-blue-600w-627140579.jpg', 'path': 'full/eea17399a9235c5c938d335f3d74444a41905a16.jpg', 'checksum': '6d06576a493f7827090567b0251269cc'}]"
1011494500,1,seamless+pattern+hand,vector,MSNTY,"Summer Navy blue tropical forest leaves bright mood on sky blue stripe seamless pattern for fashoin fabric ,wallpaper book , card and etc ","pattern,seamless,stripe,flower,print,floral,summer,geometric,leaf,vector,fabric,leaves,palm,beach,texture,abstract,vintage,white,design,graphic,hand,hawaii,modern,wallpaper,art,background,exotic,fashion,nature,plant,jungle,drawn,green,retro,decoration,drawing,fall,illustration,textile,tropical",https://image.shutterstock.com/image-vector/summer-navy-blue-tropical-forest-600w-1011494500.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/summer-navy-blue-tropical-forest-600w-1011494500.jpg', 'path': 'full/3b68d6e28aee7c1f8fcf040778b3f4f7c8cd02bb.jpg', 'checksum': 'b922a608670f11355c04ec02023a2b9d'}]"
109339595,1,seamless+pattern+hand,vector,ychty,a set of 16 doodle seamless patterns and textures,"pattern,seamless,texture,line,doodle,background,vector,vintage,retro,abstract,design,fabric,alphabet,modern,dot,brown,ornament,star,circle,linear,old,image,spot,textile,letter,print,art,elegant,repeat,fingerprint,graphic,shape,thin,fashion,point,tile,bubble,dirty,illustration,decoration,green,artwork,grey,backdrop,beautiful,drawing,hand drawn,natural",https://image.shutterstock.com/image-vector/set-16-doodle-seamless-patterns-600w-109339595.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-16-doodle-seamless-patterns-600w-109339595.jpg', 'path': 'full/a48e55bae78dff3162380ea0b3d11c9bf1679962.jpg', 'checksum': '7c7328c9c9cd5e8c849db683cc6f2e54'}]"
1835646013,1,seamless+pattern+hand,vector,sienkie,Simple Irregular Starry Seamless Vector Patterns. Simple Hand Drawn Stars Isolated on a Black and Beige Background. Funny Infantile Style Repeatable Abstract Night Sky Print ideal for Fabric.,"seamless,pattern,christmas,childish,simple,boy,starry,vector,abstract,baby,background,beige,black,child,children,cool,cosmos,creative,cute,dark,decor,decoration,design,doodle,drawing,fabric,freehand,funny,galaxy,girl,gold,graphic,hand drawn,happy,holiday,infantile,irregular,isolated,kids,light,naive,night,party,print,sky,stars,style,sweet,textile,trendy",https://image.shutterstock.com/image-vector/simple-irregular-starry-seamless-vector-600w-1835646013.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/simple-irregular-starry-seamless-vector-600w-1835646013.jpg', 'path': 'full/343656fdb1bd1eb40890b90ffd8d3424f251fe1c.jpg', 'checksum': 'a1d83d28bfc2f4fcc3fb3134e99d2a01'}]"
571024864,1,seamless+pattern+hand,vector,Afishka,Seamless pattern with image of a gold rose flowers on a white background. Vector illustration.,"pattern,flower,seamless,floral,vector,rose,gold,abstract,black,line,white,background,modern,elegant,metal,golden,sketch,art,texture,romantic,leaf,hand,outline,fabric,nature,wallpaper,decoration,drawn,textile,beautiful,shine,blossom,shape,card,garden,ornate,shiny,unusual,botanical,bud,decorative,drawing,element,illustration,metallic,natural,petal,plant,style",https://image.shutterstock.com/image-vector/seamless-pattern-image-gold-rose-600w-571024864.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-image-gold-rose-600w-571024864.jpg', 'path': 'full/ca2b0546718c686e114bf1c082f4cb1582b68512.jpg', 'checksum': '8ec4a1de7f16572641c83d560174d5c7'}]"
1033399189,1,seamless+pattern+hand,vector,oking,Ikat seamless pattern. Vector tie dye  shibori print with stripes and chevron. Ink textured japanese background.  Ethnic fabric vector. Bohemian fashion. Endless watercolor texture. African rug.,"pattern,watercolor,boho,batik,texture,vector,flower,seamless,blue,print,ethnic,watercolour,bohemian,geometric,ikat,fabric,aztec,background,border,tile,dye,geo,tie,abstract,indonesian,organic,shibori,tribal,embroidery,japanese,african,circle,hand,woven,art,chevron,fashion,brush,wave,paint,patchwork,tibetan,creative,dots,ethnic nativity,ikat pattern,ikat vector,minimalism,stripes,swimwear",https://image.shutterstock.com/image-vector/ikat-seamless-pattern-vector-tie-600w-1033399189.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ikat-seamless-pattern-vector-tie-600w-1033399189.jpg', 'path': 'full/1e57bb7f3d96346aac483e155b2cb099b9e4861f.jpg', 'checksum': '2277c5379a07f2fea49b4522587dd1b7'}]"
1771306001,1,seamless+pattern+hand,vector,blacksun+design,"Hand drawing monster faces seamless print design. Vector illustration design for fashion fabrics, textile graphics, prints.","pattern,monster,kid,cute,seamless,boy,childish,dinosaur,cartoon,character,graphic,happy,sticker,texture,alien,animal,apparel,art,artwork,baby,backdrop,background,card,cheerful,child,children,clothes,comic,creature,decorative,design,doodle,drawing,fabric,face,fashion,funny,icon,illustration,isolated,kids,mascot,mutant,poster,repeat,textile,trendy,vector,wallpaper,wear",https://image.shutterstock.com/image-vector/hand-drawing-monster-faces-seamless-600w-1771306001.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawing-monster-faces-seamless-600w-1771306001.jpg', 'path': 'full/3815a55a046a8ab55b55bd37ee3b42074c223252.jpg', 'checksum': 'd42fad678b0f5f29585da9099c64304a'}]"
1464621110,1,seamless+pattern+hand,vector,Bibadash,"Various lines and shapes. Rainbow shapes, curves, arcs. Set of three colorful abstract seamless patterns. Hand drawn vector illustrations. Every pattern is isolated","abstract,shape,rainbow,vector,illustration,background,doodle,scribble,geometry,curve,collage,trendy,line,modern,repeat,texture,bright,pastel,print,simple,contemporary,graphic,cartoon,fabric,textile,arc,backdrop,beauty,beige,design,sketch,abstraction,art,background texture,colored,colorful,creative,decoration,elements,for print,hand drawn,isolated,lines,pastel colors,seamless pattern,striped,stripes,various colors,wrapping paper",https://image.shutterstock.com/image-vector/various-lines-shapes-rainbow-curves-600w-1464621110.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/various-lines-shapes-rainbow-curves-600w-1464621110.jpg', 'path': 'full/600beb913f5314c41d83e174a2e47f791a84c2c3.jpg', 'checksum': '93e0aa498d2a0f64fd037195d7109205'}]"
1071540104,1,seamless+pattern+hand,vector,Tatahnka,"Psychedelic chaotic pink and green zig zag with dots seamless pattern. Abstract fashion trendy vector texture with hand drawn zigzag lines for textile, wrapping paper, surface, background","pattern,seamless,stripe,background,pink,abstract,doodle,psychedelic,line,turquoise,zigzag,diagonal,grunge,green,peach,trendy,triangle,vector,chaotic,lightning,texture,blue,fashion,modern,paint,paper,print,sketch,thin,white,zipper,black,broken,contrast,corner,cover,decor,dot,dynamic,firework,hand drawn,memphis,ornament,stroke,textile,wallpaper,wrapping,zig zag",https://image.shutterstock.com/image-vector/psychedelic-chaotic-pink-green-zig-600w-1071540104.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/psychedelic-chaotic-pink-green-zig-600w-1071540104.jpg', 'path': 'full/9bfec700678e08d2823af416c29f52ae32b14a6a.jpg', 'checksum': '07551d39a09d9cbc2c5e378051b13b56'}]"
1806850564,1,seamless+pattern+hand,vector,katyakatya,"Trendy seamless patterns set. Cool abstract and floral design. For fashion fabrics, kid’s clothes, home decor, quilting, T-shirts, cards and templates, scrapbooking etc. Vector illustration","pattern,seamless,floral,fabric,autumn,cute,print,spring,texture,vector,yellow,abstract,baby,collection,flower,heart,illustration,kid,modern,nature,organic,pastel,wallpaper,background,blush,circle,doodle,dot,geometric,summer,template,trendy,watercolor,crayon,design,elegant,girl,graphic,gray,hand drawn,mustard,pink,plant,polka,scribble,shower,simple,small,square,textile",https://image.shutterstock.com/image-vector/trendy-seamless-patterns-set-cool-600w-1806850564.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/trendy-seamless-patterns-set-cool-600w-1806850564.jpg', 'path': 'full/1871846f4b6778ef1c19649fcf076362fe99c7bb.jpg', 'checksum': '57b16b192b16aaadf641b10333c001a7'}]"
1745275010,1,seamless+pattern+hand,vector,MURRIRA,Set of three seamless colorful summer patterns. Hand drawn trendy abstract illustrations. Creative collage seamless patterns. ,"pattern,abstract,trendy,graphic,modern,seamless,cute,pastel,set,texture,background,collage,contemporary,elements,geometric,illustration,rainbow,repeat,shapes,simple,stripes,summer,terrace,artistic,backdrop,brush,cartoon,circle,collection,colorful,curve,doodle,dots,fashion,fashionable,icon,kids,print,round,scribble,shape,sketch,style,textured,vector,wallpaper",https://image.shutterstock.com/image-vector/set-three-seamless-colorful-summer-600w-1745275010.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-three-seamless-colorful-summer-600w-1745275010.jpg', 'path': 'full/965657d59b5e272de7adc1492a25b9db7670dbe9.jpg', 'checksum': '06b9e7c5c1d0212264cdc88cbc0ce18b'}]"
556881991,1,seamless+pattern+hand,vector,Yuravector,Gradient hand drawn lines background Manga or anime speed graphic texture Superhero action frame Light effect Vector illustration,"white,black,pattern,line,gradient,seamless,texture,background,manga,vector,abstract,drawn,hand,effect,anime,halftone,comic,design,speed,superhero,frame,graphic,woodcut,book,horizontal,vertical,ink,hero,print,super,fight,isolated,light,motion,rain,simple,action,bright,explosion,fast,object,comic background,drawing,element,gradient pattern,light effect,monochrome,ray,speed line",https://image.shutterstock.com/image-vector/gradient-hand-drawn-lines-background-600w-556881991.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/gradient-hand-drawn-lines-background-600w-556881991.jpg', 'path': 'full/6596fdbc24242008edefe3bc06dc3fdcd2c33728.jpg', 'checksum': '47740677dac0dc20f62b1d246f8a5d0a'}]"
1163741359,1,seamless+pattern+hand,vector,SolodkayaMari,"Seamless childish pattern with funny animals faces . Creative scandinavian kids texture for fabric, wrapping, textile, wallpaper, apparel. Vector illustration","pattern,animal,baby,seamless,cute,vector,scandinavian,childish,nursery,cartoon,print,background,bear,black,koala,texture,drawing,panda,white,brush,decoration,doodle,face,giraffe,repeat,silhouette,zebra,backdrop,cartoon animals,cat,decorative,element,hand drawn,kids,raccoon,shape,style,trendy,unusual,wrapping",https://image.shutterstock.com/image-vector/seamless-childish-pattern-funny-animals-600w-1163741359.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-childish-pattern-funny-animals-600w-1163741359.jpg', 'path': 'full/100a676d067a6b30fdb34f2163a5fd97b26611e6.jpg', 'checksum': '23861f3dbc5930913e9c6b24b924968c'}]"
