id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1020211660,1,seamless+pattern+geometric,vector,SeamlessPatterns,"Vector seamless pattern. Modern stylish abstract texture. Repeating geometric tiles from striped elements","pattern,seamless,geometric,vector,abstract,texture,black,modern,background,white,repeat,graphic,wallpaper,design,lattice,hexagon,line,fabric,decor,linear,print,ornament,textile,tile,weave,grid,ornate,strip,monochrome,triangle,structure,creative,backdrop,tileable,array,decoration,decorative,endless,periodic,repetition,sample,striped,surface,symmetry,template,textured,tiling,tracery,wrapping",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-1020211660.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-1020211660.jpg', 'path': 'full/1a58e0df8d635bf44a70c3c0a630f5216c5d2630.jpg', 'checksum': '47207224714f8e350d1b69494ed3462f'}]"
531335971,1,seamless+pattern+geometric,vector,crull,Abstract geometric hipster fashion design print triangle pattern,"pattern,triangle,vector,abstract,seamless,background,texture,black,white,design,graphic,line,shape,modern,art,fashion,hipster,simple,print,ornament,minimal,deco,trendy,vintage,cool,monochrome,random,fabric,retro,creative,textile,carpet,paper,subtle,70s,cover,bed,decorative,80s,boho,falling,sheet,pillow,apart,bedding,geometric,geometry,halftone,unique",https://image.shutterstock.com/image-vector/abstract-geometric-hipster-fashion-design-600w-531335971.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-geometric-hipster-fashion-design-600w-531335971.jpg', 'path': 'full/c0ddeaeaacbe92b7f707037ced4d9480e88d3240.jpg', 'checksum': '846af6d567442611966b28c65197b5e5'}]"
114036733,1,seamless+pattern+geometric,vector,AlexVV,abstract grunge triangle seamless,"pattern,abstract,geometric,seamless,grunge,color,vector,street,triangle,funky,diamond,mosaic,style,effect,graphic,painting,vibrant,wallpaper,design,contemporary,set,shape,decoration,blot,collection,effortless,backdrop,backgrounds,descriptive,illustration,repetition,shaped,simplicity,textured",https://image.shutterstock.com/image-vector/abstract-grunge-triangle-seamless-600w-114036733.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-grunge-triangle-seamless-600w-114036733.jpg', 'path': 'full/4c33db8bd23f8cd454a906cabe29eb4fdd20a00d.jpg', 'checksum': '187f3ae1d98b5644075f29823bc3ae69'}]"
531865516,1,seamless+pattern+geometric,vector,ExpressVectors,Collection of striped seamless geometric patterns. Digital design.,"tech,texture,graphic,element,modern,set,techno,repeat,labyrinth,art,simple,minimal,black,trendy,fashion,creative,decoration,contemporary,mosaic,fabric,style,interior,template,artistic,backdrop,classic,concept,cover,web,website,monochrome,stylish,abstract backgrounds,decor,decorative,digital collection,geometric design,geometry,lines,repetitive,seamless patterns,shapes,stripes,surface,technology,unusual,vector illustrations,wallpapers,wrapping paper",https://image.shutterstock.com/image-vector/collection-striped-seamless-geometric-patterns-600w-531865516.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collection-striped-seamless-geometric-patterns-600w-531865516.jpg', 'path': 'full/8445f11e81e132fd6bdf3c8270ef2b20a306507e.jpg', 'checksum': '4ceb11e737a5880a6af97963577eafdd'}]"
759933832,1,seamless+pattern+geometric,vector,MangataLab,Vector illustration of geometric leaves seamless pattern. Floral organic background. ,"pattern,seamless,plant,autumn,background,nature,vector,floral,leaves,botanic,tropical,palm,texture,wallpaper,flower,organic,tree,abstract,line,vintage,art,ornament,exotic,graphic,illustration,textile,design,print,stencil,cut,fabric,foliage,linear,retro,tile,decoration,feather,silhouette,victorian,decor,decorative,element,fashion,flora,geometric,laser,minimalist,natural,stylish,symmetry",https://image.shutterstock.com/image-vector/vector-illustration-geometric-leaves-seamless-600w-759933832.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-illustration-geometric-leaves-seamless-600w-759933832.jpg', 'path': 'full/336bdb9ac99714956bc8cda00c969b47523cce4c.jpg', 'checksum': '45add79b9817a93e81464b1f3ebb27b6'}]"
134071259,1,seamless+pattern+geometric,vector,arturaliev,Seamless pattern in islamic style. Vector background,"pattern,seamless,geometric,vector,arab,islam,background,oriental,ornament,tile,classic,white,mosaic,abstract,motif,muslim,style,religious,design,ramadan,grey,symbol,decoration,asia,art,delicate,illustration,star,culture,monochrome,arabic,arabic pattern,black and white,classical,cultural,decorative,eastern pattern,elegant,element,islamic,islamic design,lace pattern,monochromatic,openwork,ornamental,repeats,repetitive,shapes,traditional",https://image.shutterstock.com/image-vector/seamless-pattern-islamic-style-vector-600w-134071259.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-islamic-style-vector-600w-134071259.jpg', 'path': 'full/b404dd966bd36495170fc50442a47e087acacdc9.jpg', 'checksum': 'f9b5e250550e179bf6e272a41cc6df89'}]"
1020584608,1,seamless+pattern+geometric,vector,SeamlessPatterns,Vector seamless freehand pattern. Doodle monochrome print with hand drawn chevron texture. Trendy graphic design.,"pattern,geometric,texture,ethnic,tribal,seamless,abstract,chevron,hand,sketch,grunge,repeat,stroke,background,brush,drawn,modern,print,ornament,retro,vector,paint,shape,drawing,line,monochrome,vintage,wallpaper,design,artistic,black,decorative,grid,paper,zigzag,backdrop,cover,creative,decoration,doodle,fashion,graphic,textile,tile,tiling,tracery,tweed,wrapping,zag,zig",https://image.shutterstock.com/image-vector/vector-seamless-freehand-pattern-doodle-600w-1020584608.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-freehand-pattern-doodle-600w-1020584608.jpg', 'path': 'full/2d14427f05d67477df9879ffa9a23afa809851e0.jpg', 'checksum': '608000af42bf336d3d62d453928a3ccd'}]"
189303863,1,seamless+pattern+geometric,vector,AKSANA+SHUMIANTSAVA,Seamless vector geometric pattern background,"pattern,geometric,seamless,vector,background,abstract,retro,square,print,red,textile,wallpaper,black,tile,classic,fashion,stripe,texture,blue,illustration,zag,cover,decor,fabric,orange,paper,rhombus,zig,creative,design,drawing,element,graphic,lines,pied,repetition,striped,zigzag",https://image.shutterstock.com/image-vector/seamless-vector-geometric-pattern-background-600w-189303863.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-geometric-pattern-background-600w-189303863.jpg', 'path': 'full/b5205df83cf3d2a1304254dddf64e7a3f49847bc.jpg', 'checksum': '17e0ee3fdcc8a95b16c37152f913f899'}]"
129647777,1,seamless+pattern+geometric,vector,CurlyPat,Vector seamless pattern. Abstract stylish background with stylized petals,"pattern,geometric,vector,seamless,abstract,wallpaper,floral,design,modern,wall,leaf,background,paper,decor,graphic,line,classic,curve,stripe,tile,ornate,beauty,carpet,fashion,black,trendy,stylish,textile,backdrop,template,art,silk,regular,abstract background,decoration,decorative,elegance,element,fashioned,floral pattern,geometric pattern,graphically,illustration,natural,ornamental,repetition,seamless pattern,style,texture,textured",https://image.shutterstock.com/image-vector/vector-seamless-pattern-abstract-stylish-600w-129647777.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-abstract-stylish-600w-129647777.jpg', 'path': 'full/58cd2df032916dd09ba618020630d451d14fb5f5.jpg', 'checksum': '4c940680ec9d8a1f8a4c29471ac9523b'}]"
1696881097,1,seamless+pattern+geometric,vector,sienkie,"Abstract Leopard Skin Seamless Vector Patterns. White, Brown and Black Irregular Brush Spots on a Gray and Gold Backgrounds.  Abstract Wild Animal Skin Print. Simple Irregular Geometric Design.","pattern,leopard,seamless,animal,print,abstract,geometric,vector,cute,texture,modern,skin,background,brown,art,design,paper,vintage,brush,cool,girl,graphic,retro,wallpaper,wild,baby,gold,pastel,polka,tile,white,backdrop,funny,illustration,infantile,soft,textile,bright,decor,decoration,delicate,fabric,gray,happy,kids,layout,material,shower,spots,wrapping",https://image.shutterstock.com/image-vector/abstract-leopard-skin-seamless-vector-600w-1696881097.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-leopard-skin-seamless-vector-600w-1696881097.jpg', 'path': 'full/1baff0a28987385b02fb70a95a90bab090b047f0.jpg', 'checksum': 'b521b410e1550e1b2011bd26e7497755'}]"
650251261,1,seamless+pattern+geometric,illustration,lisima,Japanese seamless pattern with pink watercolor flowers sakura and textured triangles. Abstract background. Triangle with grunge textures. Geometric and Hand drawn floral illustration.,"pattern,geometric,seamless,watercolor,background,black,pink,triangle,texture,vintage,japan,sakura,ink,abstract,line,mosaic,summer,fabric,grunge,modern,travel,doodle,nature,color,colorful,decor,dots,element,geometrical,graphic,hipster,illustration,monochrome,natural,ornate,paint,palm,pop,retro,scribble",https://image.shutterstock.com/image-illustration/japanese-seamless-pattern-pink-watercolor-600w-650251261.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/japanese-seamless-pattern-pink-watercolor-600w-650251261.jpg', 'path': 'full/8062491b7d539d4ab37ad6a682951d65c1ad45ed.jpg', 'checksum': 'f20433147e993967627c11ec44ad0564'}]"
564596587,1,seamless+pattern+geometric,vector,Olya+Fedorova,"Vector seamless pattern with brush strokes in memphis style. Background for printing brochure, poster, party, summer print, vintage textile design, card. Pastel colors.
","pattern,geometric,brush,pastel,background,design,fashion,abstract,vector,seamless,print,summer,modern,boho,graphic,trend,art,pop,stroke,hippie,simple,creative,pink,style,texture,party,floor,line,fabric,hipster,magazine,paper,retro,vintage,decorative,textile,wear,web,1980s,card,cloth,colorful,concept,decoration,ornate,postmodernism,psychedelic,shape,wallpaper,wrapping",https://image.shutterstock.com/image-vector/vector-seamless-pattern-brush-strokes-600w-564596587.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-brush-strokes-600w-564596587.jpg', 'path': 'full/cbb557c26fb054ffe867c0f8d92c56f45809244a.jpg', 'checksum': '271a44aca613aacebca6d2d56ee5d194'}]"
165708704,1,seamless+pattern+geometric,vector,AKSANA+SHUMIANTSAVA,Seamless vector geometric strip pattern background,"pattern,geometric,vector,seamless,color,modern,background,abstract,graphic,shape,geometry,strip,line,print,rhombus,design,simple,orange,texture,tile,triangle,ornament,red,black,floor,wallpaper,blue,textile,fabric,style,symmetry,backdrop,hatch,beige,colorful,illustration,repeating",https://image.shutterstock.com/image-vector/seamless-vector-geometric-strip-pattern-600w-165708704.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-geometric-strip-pattern-600w-165708704.jpg', 'path': 'full/220893cdbc68a10c5909ad5e86dbc293f71c92ac.jpg', 'checksum': '543121130244cfd7b8293825abe5c659'}]"
