id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1656935923,1,seamless+pattern+butterfly,vector,PatternsBlooming,Seamless vector pattern with white roses and daffodils flowers. Illustration with colorful butterflies and lilac leaves on a light blue background.,"pattern,flower,botanical,garden,seamless,abstract,design,backdrop,background,beautiful,botanic,butterfly,decoration,elegant,entomological,fabric,fashion,flight,flora,floral,fly,fragility,freehand,gentle,graphic,herbal,illustration,insects,natural,nature,openwork,plant,pretty,print,romantic,roses,sketchy,spring,summer,tenderness,textile,texture,tropical,vector,vintage,wallpaper,watercolor,wild,wildlife,wings",https://image.shutterstock.com/image-vector/seamless-vector-pattern-white-roses-600w-1656935923.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-pattern-white-roses-600w-1656935923.jpg', 'path': 'full/8c965dbf55acb6f2db9e96198495cc47bef2e1c3.jpg', 'checksum': '203ca8c54f40074fea1d3622b9fc79eb'}]"
784300345,1,seamless+pattern+butterfly,photo,KRIACHKO+OLEKSII,"Colors of rainbow. Pattern of multicolored butterflies morpho, texture background.","butterfly,rainbow,color,pattern,seamless,background,nature,abstract,bright,design,green,yellow,fancy,pretty,range,white,art,backdrop,beautiful,blue,colorful,cyan,decoration,exotic,fly,glowing,insect,light,line,morpho,natural,neon,orange,ornament,paints,purple,red,row,saturated,shape,style,texture,tropical,variety,violet,wave,wildlife,wings",https://image.shutterstock.com/image-photo/colors-rainbow-pattern-multicolored-butterflies-600w-784300345.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/colors-rainbow-pattern-multicolored-butterflies-600w-784300345.jpg', 'path': 'full/cba6c506ec04195f27d515b4e8a6773f39a945be.jpg', 'checksum': '866c77977746ed60d95fdf4f22f23d9a'}]"
1494915617,1,seamless+pattern+butterfly,vector,Linda+Ayu+Pertiwi,"Seamless Pattern Kawaii Cute Cats, Cartoon Animals Background, Vector Illustration","cartoon,pattern,seamless,kawaii,kitten,butterfly,cute,colorful,funny,kitty,summer,animal,art,baby,background,blue,cat,cats,character,decorative,design,doodle,fabric,fruits,fun,graphic,green,grey,happy,hearts,illustration,japanese,kids,orange,paper,patterns,pet,pineapple,pink,plants,red,scrapbook,smile,textile,vector,wallpaper,watermelon,white,yellow",https://image.shutterstock.com/image-vector/seamless-pattern-kawaii-cute-cats-600w-1494915617.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-kawaii-cute-cats-600w-1494915617.jpg', 'path': 'full/dc98afa6d9994eef92eb5ca23a4c089632e0e194.jpg', 'checksum': '21accf8cc5150fb5d3e43eee31ccb5c2'}]"
1563195874,1,seamless+pattern+butterfly,vector,Angelina+De+Sol,"Vector seamless childish pattern with fairy, flowers,rainbow and other elements. Fairy with a magic wand vector illustration. Seamless pattern with cartoon fairy for kids, girl.","fairy,pattern,butterfly,childish,seamless,cute,princess,illustration,print,background,cartoon,children,decorative,girl,magic,art,baby,beautiful,castle,creative,decoration,design,drawing,dream,element,fabric,fairy tale,female,floral,flowers,flying,graphic,greeting,hand drawn,happy,heart,holiday,love,magic wand,nature,pink,pretty,rainbow,star,stick,sweet,template,texture,vector,wallpaper",https://image.shutterstock.com/image-vector/vector-seamless-childish-pattern-fairy-600w-1563195874.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-childish-pattern-fairy-600w-1563195874.jpg', 'path': 'full/db49b4814fb1be1e3f01f14860302126519b45bf.jpg', 'checksum': '1f1a91352579f43e5c83d8268b8e9874'}]"
514698004,1,seamless+pattern+butterfly,illustration,Yana+Fefelova,"The pattern of  watercolor butterflies, hand drawing illustration. Pattern on white background.","butterfly,watercolor,pattern,seamless,white,blue,print,retro,art,background,illustration,painting,abstract,beautiful,color,colorful,decoration,decorative,design,drawing,element,fly,natural,nature,ornate,spring,summer,textile,violet,yellow",https://image.shutterstock.com/image-illustration/pattern-watercolor-butterflies-hand-drawing-600w-514698004.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/pattern-watercolor-butterflies-hand-drawing-600w-514698004.jpg', 'path': 'full/59b8d524a0619c4ebf3cb06e985783929046c6b9.jpg', 'checksum': '9685ef8c9a87553d5dd684a23decc9fe'}]"
526327450,1,seamless+pattern+butterfly,vector,olganikiparonak,Tender seamless pattern with flowers and butterflies. Vector floral illustration in vintage style.,"pattern,floral,flower,pastel,butterfly,seamless,vintage,spring,print,vector,background,soft,romantic,summer,retro,wallpaper,yellow,fabric,leaf,pink,abstract,collage,meadow,painting,flying,tender,textile,blossom,colorful,gray,image,nature,purple,rustic,square",https://image.shutterstock.com/image-vector/tender-seamless-pattern-flowers-butterflies-600w-526327450.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tender-seamless-pattern-flowers-butterflies-600w-526327450.jpg', 'path': 'full/98f1e23d94bcbfb8cbe5382374cb470718ba58ec.jpg', 'checksum': '86b519d177931c87dc35cbc4b7e7fce6'}]"
1500441302,1,seamless+pattern+butterfly,illustration,Lourecil,Seamless graphic colorful butterfly background. Butterflies textile design.,"seamless,butterfly,pattern,abstract,abstraction,animal,art,artwork,asian,background,beautiful,bright,china,color,colorful,decoration,decorative,design,drawing,elegant,fabric,fashion,fly,graphic,grunge,hand draw,handmade,illustration,insect,isolated,modern,nature,ornament,paint,paper,pretty,print,retro,sketch,spring,summer,textile,texture,tropical,vintage,wallpaper,watercolor,wildlife,wing,yellow",https://image.shutterstock.com/image-illustration/seamless-graphic-colorful-butterfly-background-600w-1500441302.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-graphic-colorful-butterfly-background-600w-1500441302.jpg', 'path': 'full/e9b7bf16c3d47fdf5837c79ae9e54744371c60ea.jpg', 'checksum': 'bcc43e8fb79fd5953e1dc56f35314a29'}]"
468250601,1,seamless+pattern+butterfly,vector,olganikiparonak,"Seamless pattern with butterflies and flowers blue, yellow, beige and brown colors, vector illustration in vintage style.","butterfly,flower,pattern,vintage,seamless,vector,background,romantic,blue,fabric,floral,beige,brown,collection,cover,summer,texture,colorful,flying,garden,illustration,meadow,nature,paper,print,provence,repetition,rustic,twig,wallpaper,yellow",https://image.shutterstock.com/image-vector/seamless-pattern-butterflies-flowers-blue-600w-468250601.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-butterflies-flowers-blue-600w-468250601.jpg', 'path': 'full/90a05271f9fd874d25101dc889a037aa4b1c392f.jpg', 'checksum': 'a091c9748c6a7f9ddc11d2bd968ccb02'}]"
1111765058,1,seamless+pattern+butterfly,vector,olganikiparonak,Seamless pattern with flying gentle butterflies and flowers. Vector floral illustration on white background in vintage watercolor style.,"butterfly,watercolor,pattern,flower,vector,background,garden,spring,floral,print,seamless,botanical,insect,white,abstract,beige,blue,design,summer,template,vintage,air,art,beautiful,blossom,brown,composition,decoration,fabric,fly,illustration,nature,paint,paper,romantic,swatch,textile,texture,wallpaper,wing",https://image.shutterstock.com/image-vector/seamless-pattern-flying-gentle-butterflies-600w-1111765058.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-flying-gentle-butterflies-600w-1111765058.jpg', 'path': 'full/881b6098dadfbc60b9953f630acd089140d79823.jpg', 'checksum': '4938d33003dbe56d92716b4c3c6f32b7'}]"
143846197,1,seamless+pattern+butterfly,vector,Magnia,Seamless watercolor butterfly pattern. Vector illustration,"butterfly,watercolor,pattern,vector,cute,pink,background,seamless,pretty,love,spring,dream,paper,watercolour,summer,fantasy,sky,insect,texture,abstract,fashion,vintage,color,happy,design,light,paint,shape,beauty,textile,wallpaper,bright,decor,fun,nature,stylish,art,graphic,joy,trendy,adorable,cover,creative,drawing,elegant,feminine,fly,illustration,season,style",https://image.shutterstock.com/image-vector/seamless-watercolor-butterfly-pattern-vector-600w-143846197.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-watercolor-butterfly-pattern-vector-600w-143846197.jpg', 'path': 'full/d0e50bf0b291adb864cff3bcea2f3b695094772d.jpg', 'checksum': 'bbfc5f0af79f5cc1d81e2dd524f9f2ce'}]"
1810813174,1,seamless+pattern+butterfly,photo,KRIACHKO+OLEKSII,Colors of rainbow. Pattern of multicolored morpho butterflies,"butterfly,pattern,seamless,fancy,abstract,art,backdrop,background,beautiful,blue,bright,color,colorful,decoration,decorative,design,fabric,fashion,fly,glowing,green,insect,light,morpho,natural,nature,orange,ornament,paints,pretty,purple,rainbow,red,saturated,shape,spring,style,summer,textile,texture,tropical,variety,violet,wallpaper,watercolor,wave,white,wildlife,wings,yellow",https://image.shutterstock.com/image-photo/colors-rainbow-pattern-multicolored-morpho-600w-1810813174.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/colors-rainbow-pattern-multicolored-morpho-600w-1810813174.jpg', 'path': 'full/0fa83aaaf0284f5a2ddb494e329f9a914a520031.jpg', 'checksum': '26111353c79f6e022c752948bcb63198'}]"
