id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1077255860,1,seamless+pattern+blue,vector,momosama,"Floral seamless pattern, blue, green and white Ficus Elastica / rubber plant on white background","pattern,seamless,floral,wallpaper,leaf,plant,texture,tropical,background,black,nature,retro,white,fabric,ornament,foliage,vintage,spring,print,design,flora,bright,fig,garden,indian,pastel,branch,collage,creative,repeat,rubber,backdrop,bouquet,bush,ficus,greenery,season,botanical,decoration,elastica,element,ficus elastica,houseplant,illustration,natural,textile,verdant",https://image.shutterstock.com/image-vector/floral-seamless-pattern-blue-green-600w-1077255860.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-pattern-blue-green-600w-1077255860.jpg', 'path': 'full/ea84253acd14fd87a18f4e38879ad781deddd30d.jpg', 'checksum': '865876d654e071b222a851e2854f61e3'}]"
1457946578,1,seamless+pattern+blue,vector,mamita,"Luxury ornate pattern for creating textiles, wallpaper, paper. Print gold foil on a blue background. Seamless background with garden flowers peonies, bird and butterflies. Vintage. Vector Illustration","vintage,pattern,bird,gold,floral,antique,butterfly,chinese,seamless,animal,garden,japanese,art,oriental,nature,ornate,plant,bouquet,garland,sketch,leaves,old,romantic,blossom,blue,botany,cover,foil,sparkle,summer,wedding,flora,packaging,spring,brilliance,decor,berries,blooming,botanical,decoration,drawing,engraving,floristic,flowers,glittering,peonies,shimmering,twigs,vegetation,wreath",https://image.shutterstock.com/image-vector/luxury-ornate-pattern-creating-textiles-600w-1457946578.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/luxury-ornate-pattern-creating-textiles-600w-1457946578.jpg', 'path': 'full/4bf06d0a0f26edff870ede13a5434c64a195c6d8.jpg', 'checksum': 'af8afd174a61eb21f3aad651cefe226c'}]"
1729541383,1,seamless+pattern+blue,vector,limolida,Seamless french farmhouse stripe pattern. Provence blue white linen woven texture. Shabby chic style weave stitch background. Doodle line country kitchen decor wallpaper. Textile rustic all over print,"stripe,pattern,texture,seamless,linen,woven,farmhouse,wallpaper,country,fabric,french,line,stitch,background,irregular,kitchen,rustic,textile,broken,cottage,cotton,interior,repeat,structure,vintage,wall,all over,allover,bedding,doodle,france,french blu,hand drawn,home decor,leinenstoff,linear,linnen,material,primitive,print,printed fabric,provence,shabby chic,soft furnishing,striped,surface,tea towel,template,textured,traditional",https://image.shutterstock.com/image-vector/seamless-french-farmhouse-stripe-pattern-600w-1729541383.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-french-farmhouse-stripe-pattern-600w-1729541383.jpg', 'path': 'full/8e6b53bc3c09a5a409223afc5df1d75db074f081.jpg', 'checksum': '79f7beaf88cb1ef8c8a8c8567af9262e'}]"
1139597768,1,seamless+pattern+blue,vector,Anya_D,"Plaid check patten in dark navy, blue and white. Seamless fabric texture print.","pattern,plaid,blue,check,checker,tartan,vector,stripe,background,christmas,navy,square,flannel,simple,digital,scotland,tablecloth,design,fashion,geometric,repeat,scottish,tweed,border,english,modern,nautical,rustic,white,british,country style,countryside,fabric texture,gingham,golf clothing,graphic,indigo,masculine,mens shirt,pajamas,picnic blanket,preppy,pyjamas,seamless patern,table cloth,textile print,traditional,uk,wallpaper,winter fashion",https://image.shutterstock.com/image-vector/plaid-check-patten-dark-navy-600w-1139597768.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/plaid-check-patten-dark-navy-600w-1139597768.jpg', 'path': 'full/732cdf2fef5028d3f39b965df2c74a0c8c8e135f.jpg', 'checksum': '43765eea69038ab204849aa11fbfca50'}]"
1855682995,1,seamless+pattern+blue,vector,ViAViChe,seamless illustration with animals. white rabbits with dragonflies on a light blue background. cute kids ornament,"easter,pattern,seamless,bunny,cute,floral,plant,spring,vector,watercolor,animal,april,art,baby,baby illustration,background,background blue,boy,cartoon,character,child,child print,childish character,cloth,decor,design,drawing,flower,forest,funny,green,happy,illustration,kid,leaf,light,love,nature,pastel,print,rabbit,textile,texture,toddler,wallpaper,watercolor style,white bunny",https://image.shutterstock.com/image-vector/seamless-illustration-animals-white-rabbits-600w-1855682995.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-illustration-animals-white-rabbits-600w-1855682995.jpg', 'path': 'full/a5f646ed6fcdd45425180a298029d52243b370e5.jpg', 'checksum': '8b3eb796140e710253d026f2dc0b10ee'}]"
770443957,1,seamless+pattern+blue,vector,ychty,Set of Cute bright seamless patterns. Vector illustration bright design. Abstract seamless geometric pattern on vibrant background,"pattern,background,texture,vector,seamless,abstract,geometric,modern,color,bright,orange,design,pink,cute,green,line,summer,wallpaper,purple,fashion,creative,blue,graphic,vibrant,vintage,scrapbook,simple,set,circle,frame,banner,triangle,decor,retro,stripe,stylish,card,repeat,art,template,tile,textile,style,grunge,print,decoration,illustration,invitation,textured,wrapping paper",https://image.shutterstock.com/image-vector/set-cute-bright-seamless-patterns-600w-770443957.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-cute-bright-seamless-patterns-600w-770443957.jpg', 'path': 'full/570f1d7ba2fc782e6ba2860af0c0f75d8a7d036d.jpg', 'checksum': '034a67a1c22a24e456f8d66cdc6f5710'}]"
1784304347,1,seamless+pattern+blue,illustration,alenkakarabanova,Summer floral bouquet seamless pattern in pastel orange and blue colors. Illustrated floral texture for vintage fabric design. Fashionable repeated background.,"pattern,seamless,floral,abstract,print,texture,art,botanical,fabric,moody,repeat,background,chrysanthemum,color,damask,decor,decoration,decorative,design,drawing,elegance,elegant,ethnic,fashionable,flower,graphic,hand-drawn,illustrated,illustration,indian,leaf,leaves,narcissus,natural,nature,neutral,ornament,palette,pastel,plant,retro,romance,russian,style,summer,surface,textile,traditional,vintage,wallpaper",https://image.shutterstock.com/image-illustration/summer-floral-bouquet-seamless-pattern-600w-1784304347.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/summer-floral-bouquet-seamless-pattern-600w-1784304347.jpg', 'path': 'full/c242d21c00ad98e354e540a6db6ac04888fa7e2f.jpg', 'checksum': '0d04eaba7830e981b78de8895e028577'}]"
1772882828,1,seamless+pattern+blue,vector,Daisy+and+Bumble,"Evil eye vector seamless pattern. Magic, witchcraft, occult symbol, line art collection. Hamsa eye, magical eye, decor element. Blue, white, golden eyes. Fabric, textile, giftware, wallpaper.","eye,pattern,magic,vector,ethnic,seamless,abstract,background,collection,design,fabric,repeat,sign,symbol,turkish,amulet,background texture,beautiful,blue eyes,culture,decoration,e,endless,energy,evil eye,eyelashes,fashion,graphic,greece,icon,illustration,isolated,look,luck,mystic,ornament,print,protection,repeating pattern,seamless pattern,seeing eye,simple,spiritual,style,talisman,textile,third eye,traditional,trendy,wallpaper",https://image.shutterstock.com/image-vector/evil-eye-vector-seamless-pattern-600w-1772882828.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/evil-eye-vector-seamless-pattern-600w-1772882828.jpg', 'path': 'full/58d71c2feea3cca54f1f5c2ecd725320e8a6a0ff.jpg', 'checksum': 'ee48650bd53e05c7bcc72764295fd22e'}]"
123451120,1,seamless+pattern+blue,vector,tets,Abstract seamless pattern,"pattern,seamless,background,vector,feminine,blue,abstract,elegant,wallpaper,fabric,lace,design,vintage,cute,overlay,bright,pastel,delicate,drawn,fashion,white,decorative,element,wrap,backdrop,print,beautiful,circles,decoration,dots,illustration,style",https://image.shutterstock.com/image-vector/abstract-seamless-pattern-600w-123451120.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-pattern-600w-123451120.jpg', 'path': 'full/48a67a9aaa2427c36a5544aa62117427ea33dd60.jpg', 'checksum': 'c037e44b506c32328bf3c0ab72f5feca'}]"
260920997,1,seamless+pattern+blue,illustration,upintheattic,Seamless geometric pattern on paper texture,"pattern,seamless,gold,blue,watercolor,background,navy,geometric,texture,wallpaper,paper,vintage,herringbone,retro,art,color,fabric,kids,circus,subtle,antique,candy,diagonal,beige,birthday,design,grunge,simple,tile,backdrop,golden,lines,party,trendy,vertical,cute,flat,pale,repeating,stencil,colorful,delicate,fair,stripes",https://image.shutterstock.com/image-illustration/seamless-geometric-pattern-on-paper-600w-260920997.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-geometric-pattern-on-paper-600w-260920997.jpg', 'path': 'full/3aa13ac50a4bf6437f21748e15f3411964f6476a.jpg', 'checksum': '1761416011d3c28e40176b282e6119b6'}]"
