id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1054340411,1,seamless+pattern+triangle,vector,Martyshova+Maria,"Marble seamless background with geometric shapes and pink glitter. Diamond pattern. Template for textile, apparel, card, invitation, wedding etc.","pattern,seamless,marble,geometric,diamond,triangle,glitter,crystal,texture,vector,background,gold,granite,wallpaper,abstract,illustration,modern,apparel,design,golden,rock,shiny,sparkle,stone,trendy,anniversary,banner,card,copper,decoration,decorative,element,fashion,hipster,invitation,lines,marbled,metallic,minimalism,shine,simple,template,textile,vintage",https://image.shutterstock.com/image-vector/marble-seamless-background-geometric-shapes-600w-1054340411.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/marble-seamless-background-geometric-shapes-600w-1054340411.jpg', 'path': 'full/0ea3e19ce34a9b7eb010c0266f7db56c825cb288.jpg', 'checksum': 'faa9bdd7d26c85485d128a8f3f086a67'}]"
114036733,1,seamless+pattern+triangle,vector,AlexVV,abstract grunge triangle seamless,"pattern,abstract,geometric,seamless,grunge,color,vector,street,triangle,funky,diamond,mosaic,style,effect,graphic,painting,vibrant,wallpaper,design,contemporary,set,shape,decoration,blot,collection,effortless,backdrop,backgrounds,descriptive,illustration,repetition,shaped,simplicity,textured",https://image.shutterstock.com/image-vector/abstract-grunge-triangle-seamless-600w-114036733.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-grunge-triangle-seamless-600w-114036733.jpg', 'path': 'full/4c33db8bd23f8cd454a906cabe29eb4fdd20a00d.jpg', 'checksum': '187f3ae1d98b5644075f29823bc3ae69'}]"
388091938,1,seamless+pattern+triangle,illustration,moopsi,Watercolor triangles. Modern raster seamless pattern. Colorful texture in hipster style.,"pattern,seamless,watercolor,geometric,black,white,texture,triangle,abstract,raster,watercolour,background,graphic,swag,fashion,1980s,cosmic,fantasy,illustration,image,modern,art,blackboard,design,drawing,fabric,figure,hip,hipster,paint,paper,poly,polygon,pyramid,wallpaper,and,card,chalkboard,colorful,drips,endless,fun,funky,gauze,grid,poster,retro,shape,style,surface,trendy,wet",https://image.shutterstock.com/image-illustration/watercolor-triangles-modern-raster-seamless-600w-388091938.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/watercolor-triangles-modern-raster-seamless-600w-388091938.jpg', 'path': 'full/d5f9cbf82d8b0c3778a41b1d1c48c65ee43ecf42.jpg', 'checksum': 'a27b11157c8762cd60bb5424c0c69b2c'}]"
1206919381,1,seamless+pattern+triangle,vector,KovallinoART,"Abstract seamless grunge pattern in bright neon colors. repeated backdrop for girl, sport and fashion textile, clothes, wrapping paper. ","pattern,abstract,neon,seamless,background,color,geometric,vector,print,fashion,texture,black,wave,art,purple,grunge,jungle,bright,modern,design,fabric,textile,illustration,shape,urban,backdrop,blue,creative,dots,graphic,green,hot,style,triangle,grungy,wallpaper,colorful,cracked,decoration,decorative,element,girlish,iterative,ornament,paper,repeated,repetitive,shabby,textured",https://image.shutterstock.com/image-vector/abstract-seamless-grunge-pattern-bright-600w-1206919381.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-grunge-pattern-bright-600w-1206919381.jpg', 'path': 'full/c9069bcbc6d1734db109ad8425f73c17571635b0.jpg', 'checksum': 'be35357fa35f3668e1f6e906cd0096c1'}]"
411297064,1,seamless+pattern+triangle,vector,comotomo,Galaxy seamless pattern with triangles and geometric shapes. Vector trendy illustration.,"pattern,seamless,geometric,abstract,space,print,trendy,triangle,color,vector,fractal,black,watercolor,background,boho,cosmos,sky,texture,tribal,cosmic,retro,universe,aztec,design,graphic,night,watercolour,art,drawing,ethnic,grunge,hip,modern,paper,shape,wrapping,artistic,backdrop,colorful,cover,creative,decoration,fabric,galaxy,hipster,illustration,star,style,wallpaper",https://image.shutterstock.com/image-vector/galaxy-seamless-pattern-triangles-geometric-600w-411297064.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/galaxy-seamless-pattern-triangles-geometric-600w-411297064.jpg', 'path': 'full/3e5c392e868e38b432ac6fc62cc07b8cd123f537.jpg', 'checksum': '82cdc471763a11a63cd3dbd0c55410aa'}]"
658863547,1,seamless+pattern+triangle,vector,SyrytsynaTetiana,"Abstract summer seamless pattern. Floral and geometric background with triangles, palm leaves, doodle, gradient texture, 80s 90s shapes, pop art, memphis elements. Hand drawn natural illustration","pattern,summer,memphis,seamless,background,abstract,geometric,texture,tropical,vector,element,palm,hipster,pop,doodle,beach,pastel,color,leaf,art,design,style,turquoise,travel,triangle,paint,80s,print,90s,exotic,graphic,retro,vintage,1980,black,grunge,ink,line,backdrop,dots,fabric,geometrical,illustration,natural,scribble,silhouette,tropic,unusual",https://image.shutterstock.com/image-vector/abstract-summer-seamless-pattern-floral-600w-658863547.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-summer-seamless-pattern-floral-600w-658863547.jpg', 'path': 'full/d9d2e33e2d050422c23cbdaa9582ad17ead53ad4.jpg', 'checksum': '4398eecbd8a0e8f31c87c0245762cb98'}]"
214026766,1,seamless+pattern+triangle,vector,everydaysmiles,Vector tribal inspired seamless geometric pattern with triangles,"pattern,hipster,seamless,geometric,background,vector,fashion,triangular,print,texture,modern,abstract,color,design,graphic,artistic,illustration,poster,retro,white,classic,creative,element,fabric,mosaic,repetition,shape,style,textile,abstraction,art,artwork,backdrop,blue,colorful,conceptual,contemporary,decor,decoration,decorative,ideas,image,isometric,pyramid,template,triangle,wallpaper",https://image.shutterstock.com/image-vector/vector-tribal-inspired-seamless-geometric-600w-214026766.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-tribal-inspired-seamless-geometric-600w-214026766.jpg', 'path': 'full/f67b47bb5e206d2be6f5578a7ee3879efdf490d2.jpg', 'checksum': '0609bd3ec7525a858937dce44c689dff'}]"
520820620,1,seamless+pattern+triangle,vector,CurlyPat,Vector seamless pattern. Modern stylish texture. Repeating geometric background with linear rhombuses and filled triangles in nodes. Trendy hipster sacred geometry.,"pattern,texture,background,seamless,grid,geometric,modern,design,vector,graphic,hexagon,line,lattice,abstract,tile,rhombus,wallpaper,hipster,ornament,simple,repeat,linear,fine,textile,infinity,knot,template,tileable,fabric,ornate,print,regular,sacred,structure,trellis,decor,monochrome,backdrop,decoration,endless,geometrical,geometry,graphical,node,recurring,sample,swatch,textured,tiling,tracery",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-520820620.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-520820620.jpg', 'path': 'full/9f394086b3d782ef1c213d5ce64a6e5405304efa.jpg', 'checksum': 'a64e408b51dfb3f7c53d552dce71b543'}]"
508518988,1,seamless+pattern+triangle,vector,Pennanoir,Abstract Pattern Triangle pattern,"triangle,pattern,vector,seamless,background,abstract,blue,crystal,design,digital,graphic,paper,space,structure,technology,texture,triangular,art,banner,bright,business,card,color,colorful,concept,cover,creative,decoration,diamond,element,futuristic,geometric,illustration,light,minimalism,modern,mosaic,poly,polygon,polygonal,poster,presentation,science,shape,style,template,trendy,wallpaper,web,white",https://image.shutterstock.com/image-vector/abstract-pattern-triangle-600w-508518988.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-pattern-triangle-600w-508518988.jpg', 'path': 'full/7abc8ea6189e34bbb4a33dedf99b99aaeef9dbae.jpg', 'checksum': 'a21a6bf047910c12ac06efc4f9f221fd'}]"
1054097489,1,seamless+pattern+triangle,vector,Yngvarr,"Abstract geometric seamless pattern. Fashion Style Design Print Triangle. With vertical fading lines, tracks, halftone stripes. Extreme sport style illustration. Trendy Urban colorful backdrop.","pattern,sport,seamless,abstract,geometric,background,urban,line,texture,vector,grunge,triangle,print,boy,design,black,graphic,street,extreme,graffiti,color,modern,splash,art,fabric,repeat,retro,speed,brush,fashion,illustration,monochrome,wallpaper,backdrop,chaotic,cloth,colorful,creative,decor,dot,drive,element,ink,paint,shape,spray,style,textile,tile,white",https://image.shutterstock.com/image-vector/abstract-geometric-seamless-pattern-fashion-600w-1054097489.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-geometric-seamless-pattern-fashion-600w-1054097489.jpg', 'path': 'full/990e2ced8cfbf0214bf9ce56c80c9cf3b98e333e.jpg', 'checksum': 'f84488c54ad7760c799291ae93322426'}]"
