id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1631522455,1,seamless+pattern+drawn,illustration,leadhiz,Hand painted turquoise watercolor leaf like arabesque floral geometrical shell allover seamless pattern in repeat ,"watercolor,pattern,seamless,geometric,flower,texture,abstract,background,wallpaper,drawing,floral,leaf,modern,nature,paint,allover,aquarelle,drawn,faded,ink,print,sketch,turquoise,arabesque,art,artistic,blot,brush,decoration,element,endless,gradation,graphic,grunge,hand,illustration,liquid,ornament,ornamental,paper,petal,repeat,scallops,shades,shape,stain,stroke,textile,wash,wet",https://image.shutterstock.com/image-illustration/hand-painted-turquoise-watercolor-leaf-600w-1631522455.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/hand-painted-turquoise-watercolor-leaf-600w-1631522455.jpg', 'path': 'full/58a01c8ca4572a957cbf514854ae760b510c0cda.jpg', 'checksum': '125856a81e9a11172478078aa6e37ba0'}]"
1163741359,1,seamless+pattern+drawn,vector,SolodkayaMari,"Seamless childish pattern with funny animals faces . Creative scandinavian kids texture for fabric, wrapping, textile, wallpaper, apparel. Vector illustration","pattern,animal,baby,seamless,cute,vector,scandinavian,childish,nursery,cartoon,print,background,bear,black,koala,texture,drawing,panda,white,brush,decoration,doodle,face,giraffe,repeat,silhouette,zebra,backdrop,cartoon animals,cat,decorative,element,hand drawn,kids,raccoon,shape,style,trendy,unusual,wrapping",https://image.shutterstock.com/image-vector/seamless-childish-pattern-funny-animals-600w-1163741359.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-childish-pattern-funny-animals-600w-1163741359.jpg', 'path': 'full/100a676d067a6b30fdb34f2163a5fd97b26611e6.jpg', 'checksum': '23861f3dbc5930913e9c6b24b924968c'}]"
1729541383,1,seamless+pattern+drawn,vector,limolida,Seamless french farmhouse stripe pattern. Provence blue white linen woven texture. Shabby chic style weave stitch background. Doodle line country kitchen decor wallpaper. Textile rustic all over print,"stripe,pattern,texture,seamless,linen,woven,farmhouse,wallpaper,country,fabric,french,line,stitch,background,irregular,kitchen,rustic,textile,broken,cottage,cotton,interior,repeat,structure,vintage,wall,all over,allover,bedding,doodle,france,french blu,hand drawn,home decor,leinenstoff,linear,linnen,material,primitive,print,printed fabric,provence,shabby chic,soft furnishing,striped,surface,tea towel,template,textured,traditional",https://image.shutterstock.com/image-vector/seamless-french-farmhouse-stripe-pattern-600w-1729541383.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-french-farmhouse-stripe-pattern-600w-1729541383.jpg', 'path': 'full/8e6b53bc3c09a5a409223afc5df1d75db074f081.jpg', 'checksum': '79f7beaf88cb1ef8c8a8c8567af9262e'}]"
1724667067,1,seamless+pattern+drawn,illustration,Dobrynina+Elena,cartoon insects seamless pattern. watercolor beetle hand drawn illustration,"pattern,spring,dragonfly,animal,ant,art,background,beautiful,beauty,bee,beetle,bug,bumblebee,butterfly,cartoon,collection,colorful,cute,decoration,design,drawing,element,fauna,fly,funny,garden,grasshopper,green,illustration,insect,isolated,ladybird,ladybug,mosquito,nature,painted,small,snail,spider,summer,wasp,watercolor,wild,wildlife,wing,worm",https://image.shutterstock.com/image-illustration/cartoon-insects-seamless-pattern-watercolor-600w-1724667067.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/cartoon-insects-seamless-pattern-watercolor-600w-1724667067.jpg', 'path': 'full/421a90b07cccc1469e1918b5c990473aafdf1ac6.jpg', 'checksum': 'c7b8b10206ec916f1017f6e62a90274d'}]"
1557232622,1,seamless+pattern+drawn,vector,ZenStockers,"Floral seamless pattern with cotton blossom flowers, endless texture, ink sketch art. Vector illustration for wedding invitations, wallpaper, textile, wrapping paper
","pattern,flower,floral,seamless,vector,illustration,color,background,linear,texture,wallpaper,art,sketch,spring,textile,abstract,decoration,element,fabric,pink,print,vintage,beautiful,beauty,blossom,classic,colorful,contour,cotton flower,decorative,design,drawing,elegance,elegant,feminine,flowers sketch pattern,garden,graphic,hand drawn,ink,line art florals,nature,one line,ornament,repeat,retro,shape,style,surface,wrapping paper",https://image.shutterstock.com/image-vector/floral-seamless-pattern-cotton-blossom-600w-1557232622.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-pattern-cotton-blossom-600w-1557232622.jpg', 'path': 'full/3c075655f7fa22c6965380c2b8e998e953e51c5b.jpg', 'checksum': '6c7335407519621480de8034b95cabf5'}]"
635900006,1,seamless+pattern+drawn,vector,Shumstock,"Decorative hand drawn seamless vector pattern. Simple sketchy lines arranged in semi-circles. Ethnic style black and white minimalistic background. Abstract floral design.
 ","pattern,flower,seamless,stripe,black,line,white,floral,bohemian,circle,tribal,modern,vector,abstract,ink,print,design,doodle,decor,detail,background,monochrome,ornament,simple,graphic,element,grunge,grungy,paint,art,artistic,backdrop,drawing,folk,form,hand drawn,minimalistic,ornamental,ornate,semi circular,shape,sketchy,style",https://image.shutterstock.com/image-vector/decorative-hand-drawn-seamless-vector-600w-635900006.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/decorative-hand-drawn-seamless-vector-600w-635900006.jpg', 'path': 'full/cc03185f6b7858f078353d440bd05b226d5435f9.jpg', 'checksum': 'f958694404298af844580d52527c0fb1'}]"
1011494500,1,seamless+pattern+drawn,vector,MSNTY,"Summer Navy blue tropical forest leaves bright mood on sky blue stripe seamless pattern for fashoin fabric ,wallpaper book , card and etc ","pattern,seamless,stripe,flower,print,floral,summer,geometric,leaf,vector,fabric,leaves,palm,beach,texture,abstract,vintage,white,design,graphic,hand,hawaii,modern,wallpaper,art,background,exotic,fashion,nature,plant,jungle,drawn,green,retro,decoration,drawing,fall,illustration,textile,tropical",https://image.shutterstock.com/image-vector/summer-navy-blue-tropical-forest-600w-1011494500.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/summer-navy-blue-tropical-forest-600w-1011494500.jpg', 'path': 'full/3b68d6e28aee7c1f8fcf040778b3f4f7c8cd02bb.jpg', 'checksum': 'b922a608670f11355c04ec02023a2b9d'}]"
1683786001,1,seamless+pattern+drawn,illustration,Fleur+Design+art,"Fairy magical garden. Unicorn seamless pattern, pink, blue, gold flowers, leaves , birds and clouds. Kids room wallpaper","seamless,pattern,unicorn,kids,wallpaper,fairy,pink,room,rose,animal,gold,illustration,baby,background,beautiful,blue,cloud,colorful,cute,drawing,drawn,dream,elegance,fabric,fairytale,fantasy,floral,flower,garden,girl,happy,horse,imagination,leaves,love,lovely,magic,magical,miracle,moon,mythology,pink rose,pony,princess,romantic,seamless pattern,sky,sweet,textile,white",https://image.shutterstock.com/image-illustration/fairy-magical-garden-unicorn-seamless-600w-1683786001.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/fairy-magical-garden-unicorn-seamless-600w-1683786001.jpg', 'path': 'full/25baf03f0a5a1b8fcbd6208b661ecb9adcdac78f.jpg', 'checksum': '0f7ed63be25b7cbbce3bce9ae48c7010'}]"
1141373780,1,seamless+pattern+drawn,vector,MSNTY,"Autumn seamless pattern vector with yellow berries and leaves. Fall colorful floral background.pattern for fashion,fabric and all prints on light beige background.","pattern,flower,seamless,floral,watercolor,vector,fall,blue,vintage,autumn,ornament,wallpaper,abstract,leaf,background,tree,leaves,texture,color,wild,drawing,fabric,forest,graphic,meadow,orange,textile,art,branch,illustration,white,drawn,foliage,garden,red,retro,summer,berries,berry,botanical,colorful,decoration,design,natural,nature,paper,plant,rowan,season",https://image.shutterstock.com/image-vector/autumn-seamless-pattern-vector-yellow-600w-1141373780.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/autumn-seamless-pattern-vector-yellow-600w-1141373780.jpg', 'path': 'full/a96182667f202b21848f60315fb799e0adcdde98.jpg', 'checksum': '30accb4017b02851bf66a5b747d9541b'}]"
1805873335,1,seamless+pattern+drawn,vector,Galakam,Floral seamless pattern. Hand drawn large flower buds. Flower silhouettes. Botanical background. Summer garden texture.,"floral,seamless,pattern,bloom,large,retro,daisy,outline,silhouette,summer,bouquet,flower,foliage,illustration,line,vector,wallpaper,abstract,art,artistic,background,beauty,blossom,botanical,colorful,decorative,design,drawing,element,fabric,fashion,flora,folk,garden,graphic,leaf,motif,nature,ornament,ornate,petal,pink,plant,simple,sketch,spring,style,textile,texture,vintage",https://image.shutterstock.com/image-vector/floral-seamless-pattern-hand-drawn-600w-1805873335.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-pattern-hand-drawn-600w-1805873335.jpg', 'path': 'full/977f937c2bc2e64bdb6bbaf70085de75ab7a1fa9.jpg', 'checksum': 'aed6810908914a8aa4ef9725e350221e'}]"
1537966592,1,seamless+pattern+drawn,vector,Eva+Marina,"Blooming midsummer meadow seamless pattern. Plant background for fashion, wallpapers, print. A lot of different flowers on the field. Liberty style millefleurs. Trendy floral design","daisy,ditsy,rose,vintage,garden,yellow,baby,drawn,night,summer,branch,blue,dark,peony,red,retro,chic,country,decorative,foliage,leaf,millefleurs,ornament,subtle,viola,art textile,artistic,blossom,bouquet florist,bridal,colorful texture,cute artist,design on fabric,feminine vector,floral pattern,garment,gentle,greenery,little flower,malva,manufacture,motif,paper,rose romantic,small flower background,small flower print,summer cute pattern,sweet william,traditional,vintage floral",https://image.shutterstock.com/image-vector/blooming-midsummer-meadow-seamless-pattern-600w-1537966592.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/blooming-midsummer-meadow-seamless-pattern-600w-1537966592.jpg', 'path': 'full/d9ad73f611fa027c2a24f1535a99a0706bb96319.jpg', 'checksum': '80ca3353ade28c56f70a73fde32e32fb'}]"
1357613969,1,seamless+pattern+drawn,vector,artnLera,hand drawn doodle ice cream summer  seamless pattern,"pattern,seamless,kids,beach,children,doodle,girl,summer,tropical,vector,colorful,cute,flower,fruit,bright,design,easter,floral,food,heart,sketch,background,beautiful,berry,candy,doodle background,doodle pattern,dots,hand drawn,happy,ice cream,ice cream cone,icon,illustration,lemon,monstera,orange,palm,party,plant,seamless pattern,strawberry,summer fun,summer holiday,sweets,textile,texture,tropical flowers,wallpaper,watermelon",https://image.shutterstock.com/image-vector/hand-drawn-doodle-ice-cream-600w-1357613969.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawn-doodle-ice-cream-600w-1357613969.jpg', 'path': 'full/e58f2fd130f1752ad31b4f2154ede7db2e6de7d6.jpg', 'checksum': '0d52469b9fe847ed6eee81ea4eabb0af'}]"
