id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1667644852,1,seamless+pattern+plant,illustration,svemar,Seamless pattern Tree laurel.Image on a white and color background.,"seamless,floral,abstract,alles löschen4,art,autumn,background,clear,clip,colorful,craft,creative,dark,decoration,decorative,design,drawing,endless,fall,forest,freehand,graphic,green,hand,illustration,image,leaf,lilac,line,modern,naive,nature,ornament,painted,paper,pattern,pencil,petals,plant,sheet,sketch,sketched,smear,splash,spring,template,texture,wallpaper,wash,watercolor",https://image.shutterstock.com/image-illustration/seamless-pattern-tree-laurelimage-on-600w-1667644852.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-tree-laurelimage-on-600w-1667644852.jpg', 'path': 'full/d24f84a4c6c4d379ffc3a1bd63c2c80b45609d6f.jpg', 'checksum': '9823c943a0b5910fffba683346b90120'}]"
776274730,1,seamless+pattern+plant,illustration,MSNTY,"Seamless Watercolor wild floral pattern in hand painting style , delicate flower wallpaper,pink,tansy, pansies.Wallpaper on white background ","pattern,watercolor,flower,seamless,abstract,background,wallpaper,floral,nature,design,spring,art,drawing,beauty,plant,summer,vintage,decorative,blossom,blue,bouquet,card,delicate,fabric,fashion,garden,leaf,romantic,rose,white,beautiful,bloom,botanical,decoration,flowers,illustration,peony,pink,retro,textile",https://image.shutterstock.com/image-illustration/seamless-watercolor-wild-floral-pattern-600w-776274730.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-watercolor-wild-floral-pattern-600w-776274730.jpg', 'path': 'full/a05f150e6c28a3b858cc51de6f9df20052522995.jpg', 'checksum': '98dace772963838de9779af93ddf0987'}]"
1838043025,1,seamless+pattern+plant,illustration,JOY8046,"Seamless pattern of chrysanthemum, rose, peony and Blooming flowers with watercolor on pastel colors. Design for fabric luxurious and wallpaper, vintage style. Hand drawn floral pattern.Botany garden.","seamless,pattern,watercolor,floral,flower,peony,design,retro,spring,drawing,illustration,rose,tile,wallpaper,art,background,beautiful,bloom,blooming flowers,blossom,botanical,bouquet,branch,chrysanthemum,colorful,decoration,decorative,elegant,fabric,fashion,flora,garden,graphic,leaf,nature,painting,paper,pastel,pink,plant,print,romantic,summer,template,textile,texture,tropic,valentine,valentines,vintage",https://image.shutterstock.com/image-illustration/seamless-pattern-chrysanthemum-rose-peony-600w-1838043025.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-chrysanthemum-rose-peony-600w-1838043025.jpg', 'path': 'full/643c9a42be770cb5fe0cbfd37c6990aa22b34b18.jpg', 'checksum': '540c943190e89da551010584245679d4'}]"
1196174152,1,seamless+pattern+plant,vector,Nadezda+Grapes,Abstract seamless pattern with tropical leaves. Hand draw texture. Vector template.,"pattern,leaf,leaves,nature,vector,tropic,abstract,jungle,floral,geometric,plant,seamless,background,green,palm,ethnic,modern,print,boho,surf,trendy,tribe,fabric,folk,spring,wallpaper,dash,design,fashion,spot,summer,texture,tree,trend,art,artwork,decoration,dots,geo,hand drawn,illustration,native,repeat,surfing,textile,tribal,tropical",https://image.shutterstock.com/image-vector/abstract-seamless-pattern-tropical-leaves-600w-1196174152.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-pattern-tropical-leaves-600w-1196174152.jpg', 'path': 'full/b0a7c99c5d21e8e9120f6c672a917e2ee043d4ca.jpg', 'checksum': '08b61d885b482dc848bf17eff6271e19'}]"
746103130,1,seamless+pattern+plant,vector,art4ddlite,"Vector seamless pattern with wild flowers, herbs and grasses.Thin delicate lines silhouettes of different plants - lavender, chicory, yarrow, dill, queen anne lace. Pastel colors on white background
","pattern,seamless,flower,floral,pink,grey,repeat,wild,herb,botanical,delicate,field,grass,organic,brown,chicory,nature,spring,vector,botany,dark gold,dill,fennel,flora,graphic,herbal,illustration,leaf,meadow,muted colors,outdoor,pastel colors,plant,queen anne lace,realistic,seasonal,silhouette,sketch,summer,thin lines,wallpaper design,weed,white background,wrapping paper pattern,yarrow",https://image.shutterstock.com/image-vector/vector-seamless-pattern-wild-flowers-600w-746103130.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-wild-flowers-600w-746103130.jpg', 'path': 'full/56a755957b258251f999edf8595b0ad4a38260c2.jpg', 'checksum': '52aa17d87bb13af0d36bd0cc42d73daa'}]"
564198625,1,seamless+pattern+plant,vector,TaniaAnisimova,"Light floral seamless pattern. Hand drawn backdrop. Light floral pattern. Colorful background. Pattern can be used for fabric, wallpaper or wrapping paper, web.","pattern,seamless,wallpaper,floral,flower,feminine,lace,spring,abstract,stylish,artistic,plant,summer,batik,decorative,fantasy,medieval,tropical,backdrop,background,bouquet,delicate,jungle,repeat,tile,able,art,botanical wallpaper,colorful,decor,decoration,decorative pattern,decoupage,endless,flourish,liana,light floral pattern,light leaves pattern,ornament,ornamental,ornate,style,textile,translucent,tree",https://image.shutterstock.com/image-vector/light-floral-seamless-pattern-hand-600w-564198625.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/light-floral-seamless-pattern-hand-600w-564198625.jpg', 'path': 'full/5a8e830266ce8617768bdecfa41ad6567472d0df.jpg', 'checksum': 'f855076b994cb65d0511a117e966dfbb'}]"
1217748097,1,seamless+pattern+plant,vector,Yuli23,Seamless pattern with exotic trees and animals. ,"animal,pattern,tropic,print,vintage,seamless,vector,wallpaper,exotic,flower,monkey,parrot,background,zebra,bird,design,leaf,tree,wild,leopard,nature,plant,summer,garden,palm,banana,floral,leaves,foliage,interior,toucan,art,fashion,green,hawaii,holiday,landscape,botanical,colorful,greenery,illustration,jungle,monstera,spring,tropical",https://image.shutterstock.com/image-vector/seamless-pattern-exotic-trees-animals-600w-1217748097.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-exotic-trees-animals-600w-1217748097.jpg', 'path': 'full/410468eb05a3d9e73b7c0dc5f9a9025a1461b82c.jpg', 'checksum': '3f93fd9d98f9ba76cf495bc99b2a36a3'}]"
1655656507,1,seamless+pattern+plant,vector,Jen_As,"Summer seamless tropical pattern with bright leaves and plants on a white background. Modern abstract design for fabric, paper, interior decor. Summer colorful hawaiian.","pattern,seamless,flower,abstract,leaves,exotic,background,floral,hawaiian,plant,retro,abstraction,art,backdrop,background design,beautiful,blossom,botanical,colorful,decor,decoration,design,digital paper,element,fabric,factory,fashion,flora,floral painting,garden,graphic,graphics,green,illustration,jungle,leaf,modern,nature,ornament,paper,print,style,summer,textile,texture,tropics,vector,wallpaper",https://image.shutterstock.com/image-vector/summer-seamless-tropical-pattern-bright-600w-1655656507.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/summer-seamless-tropical-pattern-bright-600w-1655656507.jpg', 'path': 'full/afcef576cc0eb606f4500a694b169b2bf27abdd5.jpg', 'checksum': 'ef742e1bdf8b5a8ffe936b2a0a05bcb8'}]"
1823016320,1,seamless+pattern+plant,vector,MURRIRA,Modern minimalist abstract leaves illustration pattern. Creative collage contemporary seamless pattern. Fashionable template for design. Bohemian style. ,"pattern,abstract,seamless,geometric,tropical,vector,leaf,autumn,floral,aesthetic,background,garden,geometry,print,contemporary,illustration,jungle,minimal,modern,monstera,summer,art,artwork,backdrop,bohemian,botanical,collage,colorful,cover,creative,decor,decoration,decorative,design,element,exotic,fabric,fashion,flora,flower,nature,plant,shape,spring,style,template,textile,texture,trendy,wallpaper",https://image.shutterstock.com/image-vector/modern-minimalist-abstract-leaves-illustration-600w-1823016320.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/modern-minimalist-abstract-leaves-illustration-600w-1823016320.jpg', 'path': 'full/87ff7fb25221d71cf4352308a1b184d8a0889ed4.jpg', 'checksum': '5488a86f19e4efec632c112dcfdc6df4'}]"
365713739,1,seamless+pattern+plant,vector,artlu,Leaves of palm tree. Seamless pattern. Vector background.,"palm,pattern,tree,vector,beach,summer,background,leaf,seamless,tropic,spring,print,nature,wallpaper,plant,repeat,jungle,abstract,branch,grass,fabric,frame,modern,tile,paper,exotic,forest,curve,environment,garden,shape,flora,landscape,vacation,textile,decoration,advertisement,cover,illustration,natural,park,tropical,wrapping",https://image.shutterstock.com/image-vector/leaves-palm-tree-seamless-pattern-600w-365713739.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/leaves-palm-tree-seamless-pattern-600w-365713739.jpg', 'path': 'full/957e55b57285854a01241418b5f2383aab43dd08.jpg', 'checksum': '5a2b48b502c0a490eaa2bec9614d5781'}]"
