id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
117859726,1,seamless+pattern+floor,vector,AlexVV,black grunge seamless pattern,"pattern,seamless,vector,retro,abstract,design,art,effect,frame,wave,floor,dots,technology,tribal,yellow,blue,circle,green,mesh,painting,power,revival,shape,vibrant,backgrounds,bright,brightly,color,determination,equipment,illusion,illustration,image,imagery,ray,spectrum,spotlight,spotted,striped,sunlight,textured,tiled",https://image.shutterstock.com/image-vector/black-grunge-seamless-pattern-600w-117859726.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/black-grunge-seamless-pattern-600w-117859726.jpg', 'path': 'full/5f4b4f678e802afc3bc62eb94c10b7468f58d895.jpg', 'checksum': 'b07c640127f9a4f03dd7cb7734c42384'}]"
1014375589,1,seamless+pattern+floor,vector,bluelela,"Vector marble texture, seamless pattern design with golden geometric lines and cubes, black and white marbling surface, modern luxurious background","marble,pattern,tile,seamless,texture,abstract,art,vector,wall,background,floor,stone,print,elegant,golden,modern,sparkle,design,granite,illustration,kitchen,white,creative,metal,repeat,decoration,graphic,organic,shapes,splatter,backdrop,black and white,block,branding,card,contemporary,cubes,effect,fashion,gray,lines,luxurious,marbling,monochrome,natural,rock,shiny,spot,surface,surface design",https://image.shutterstock.com/image-vector/vector-marble-texture-seamless-pattern-600w-1014375589.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-marble-texture-seamless-pattern-600w-1014375589.jpg', 'path': 'full/0e13b77ecb9e36b3994b6a6ed808a0c9a33f2ee2.jpg', 'checksum': 'e99a2994755a0e62aba4a3ff28f5344c'}]"
375025552,1,seamless+pattern+floor,vector,Inna+Nedopekina,Vintage floral seamless floral pink texture.  Element for design. Ornamental backdrop. Ornate floral decor for wallpaper. Traditional decor on pink background.,"pattern,seamless,geometric,ornament,pink,wallpaper,baroque,abstract,background,elegant,vector,design,vintage,classic,delicate,floor,retro,rococo,decor,luxury,modern,ornate,pastel,royal,texture,and,bend,brown,card,chic,colorful,finishing,flower,illustration,images,leaves,light,otenkom,packing,repetition,sample,style,template,textiles,tiled,traditional,victorian,west",https://image.shutterstock.com/image-vector/vintage-floral-seamless-pink-texture-600w-375025552.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vintage-floral-seamless-pink-texture-600w-375025552.jpg', 'path': 'full/840348de6187223b3e1e33d39364b5dc28507e89.jpg', 'checksum': '47241e5cc9a863fbc9cad42a064235df'}]"
1039912684,1,seamless+pattern+floor,vector,feralchildren,Terrazzo seamless pattern. Pastel colors. Marble.,"terrazzo,floor,pattern,seamless,tile,vector,marble,black,white,texture,background,granite,illustration,print,fashion,rock,stone,abstract,art,backdrop,concrete,decoration,design,flooring,vintage",https://image.shutterstock.com/image-vector/terrazzo-seamless-pattern-pastel-colors-600w-1039912684.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-seamless-pattern-pastel-colors-600w-1039912684.jpg', 'path': 'full/9c02404be0cc2ab7837e9642f02b6c4d9bc23612.jpg', 'checksum': '63984c832282c6fe683b5fed3c462bb5'}]"
1808428816,1,seamless+pattern+floor,vector,Alexandra+Shargaeva,"Distress Grunge Texture. Seamless Pattern. Halftone Old, Retro Background. Broken, Cracked Wall Texture. Scratched, Dirt Print. Black and White Grunge Style. Noise Rough Design. Vector Illustration.","seamless,splatter,paint,pattern,black,crack,floor,marble,abstract,cement,design,ink,print,stone,surface,white,background,chalk,concrete,crackle,craquelure,damaged,dirt,dirty,distress,dry,dust,dusty,fabric,fashion,graphic,grunge,grungy,halftone,illustration,old,plaster,retro,rough,rust,rusty,scratch,template,textile,texture,tie,urban,vector,vintage,wall",https://image.shutterstock.com/image-vector/distress-grunge-texture-seamless-pattern-600w-1808428816.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/distress-grunge-texture-seamless-pattern-600w-1808428816.jpg', 'path': 'full/f478cbf4ba0592afffb046f7f81fea7bf751e2be.jpg', 'checksum': '295f764c0bcc844c2dea0db46849ac2e'}]"
756021379,1,seamless+pattern+floor,photo,roystudio,"cracked floor tile tile wall texture black background, marble batik pattern veins abstract lines seamless pattern distressed background","marble,black,seamless,pattern,texture,crack,white,background,concrete,wallpaper,board,floor,rock,stone,structure,cement,dark,grunge,urban,wall,abstract,ground,interior,retro,stucco,weathered,aged,antique,architecture,black and white,blackboard,dirty,distressed,exterior,granite,grungy,home,lines,marbled,old,parchment,plaster,plasterboard,scratch,slab,stonewall,textured,veins,vintage,wrapping",https://image.shutterstock.com/image-photo/cracked-floor-tile-wall-texture-600w-756021379.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/cracked-floor-tile-wall-texture-600w-756021379.jpg', 'path': 'full/37687011351ff3f9f0bd8070d470b776cb843ae9.jpg', 'checksum': 'da85aa401fd4ca487a2527e7a2ca93b9'}]"
105779111,1,seamless+pattern+floor,vector,pzaxe,Vector pattern - geometric seamless simple black and white modern texture,"pattern,vector,seamless,white,background,black,modern,texture,simple,graphic,abstract,design,geometry,shape,tile,grey,gray,square,wallpaper,floor,diagonal,fabric,continuous,fantasy,print,ornament,common,effect,grunge,symmetry,textile,curved,geometric,illustration,lines,monochrome,repeated,style,tiled",https://image.shutterstock.com/image-vector/vector-pattern-geometric-seamless-simple-600w-105779111.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-pattern-geometric-seamless-simple-600w-105779111.jpg', 'path': 'full/417dd9b2bb1feca505044736de3546429d091337.jpg', 'checksum': '182d7e6bac564ef391de73c7dd237885'}]"
129871022,1,seamless+pattern+floor,photo,Bloomicon,Loft wooden parquet flooring. Horizontal seamless wooden background.,"wood,background,table,white,seamless,pattern,wooden,desk,floor,top,grey,grain,modern,tile,gray,luxury,parquet,laminate,vintage,timber,material,above,house,loft,abstract,plank,decor,square,home,design,backdrop,blank,parquetry,retro,closeup,grainy,hard,hardwood,copy space,decorative,details,flooring,natural,style,surface,texture,textured,tiling,whiteness,whitewashed",https://image.shutterstock.com/image-photo/loft-wooden-parquet-flooring-horizontal-600w-129871022.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/loft-wooden-parquet-flooring-horizontal-600w-129871022.jpg', 'path': 'full/526f87a4b056198aaef9ffc2595c4405b22edbf5.jpg', 'checksum': '900a5aed240f0d17144dbb84843ddcc1'}]"
1684670710,1,seamless+pattern+floor,illustration,Gribanessa,Marble hexagon seamless texture with golden leaves. Abstract background,"hexagon,pattern,seamless,gold,golden,marble,art,black,rock,abstract,backdrop,background,color,contemporary,dark,decoration,decorative,design,fashion,floor,foil,geometric,glitter,granite,graphic,gray,grunge,hexagonal,honeycomb,illustration,interior,luxury,marbling,modern,natural,paper,print,repeat,shape,stone,style,surface,texture,textured,tile,trendy,vintage,wallpaper,white,wrapping",https://image.shutterstock.com/image-illustration/marble-hexagon-seamless-texture-golden-600w-1684670710.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/marble-hexagon-seamless-texture-golden-600w-1684670710.jpg', 'path': 'full/f43ba8ae297d01052c3b5d1ba4518ae59b8d8426.jpg', 'checksum': '207a9162a93cd0112e2b2cc825a8b3e7'}]"
1721194342,1,seamless+pattern+floor,vector,shopplaywood,"Terrazzo texture classic italian floor composed of natural stone, granite, quartz, marble, glass and concrete. Vector terrazzo veneziano seamless pattern. Stone abstract background for interior design","terrazzo,pattern,floor,seamless,marble,rock,stone,texture,granite,italian,modern,vector,abstract,black,piece,tile,background,classic,color,interior,surface,architecture,art,backdrop,colorful,composite,concrete,decoration,decorative,design,fabric,fashion,flooring,fragment,graphic,illustration,material,natural,print,retro,style,textile,vintage,wall,wallpaper",https://image.shutterstock.com/image-vector/terrazzo-texture-classic-italian-floor-600w-1721194342.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-texture-classic-italian-floor-600w-1721194342.jpg', 'path': 'full/9118bf9cee2f56dedee0be31484cd30d703e168d.jpg', 'checksum': 'de06265d5543017d8fcc404d3ad7b894'}]"
