id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1065332303,1,seamless+pattern+curve,vector,Ezhevika,"Super Big set of 32 oriental patterns. White and gold background with Arabic ornaments. Patterns, backgrounds and wallpapers for your design. Textile ornament. Vector illustration.","pattern,arab,seamless,islam,ornament,background,gold,floral,orient,wallpaper,modern,line,arabesque,turkish,wall,set,arabian,abstract,paper,lace,decor,tile,graphic,spanish,style,art,asian,mosaic,muslim,vintage,eastern,old,repeat,ethnic,history,round,asia,east,ornate,arabic,curves,decoration,decorative,illustration,islamic,ornamental,sample,traditional",https://image.shutterstock.com/image-vector/super-big-set-32-oriental-600w-1065332303.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/super-big-set-32-oriental-600w-1065332303.jpg', 'path': 'full/f6879de1d5bdc1904e0bea1e2d3f73389a84282f.jpg', 'checksum': 'eaf338b70d966f10359704bb014b470e'}]"
233350501,1,seamless+pattern+curve,vector,K3Star,Vector Floral 3d Seamless Pattern Background. For Christmas and Invitation cards decoration,"background,pattern,vector,floral,flower,white,3d,seamless,christmas,wallpaper,ornament,decor,victorian,vintage,design,card,paper,winter,classic,light,swirl,fashion,ornate,curl,gray,leaf,curve,graphic,cover,backdrop,curly,shadow,wrapping,flat,page,template,trendy,style,symbol,foliage,greeting,celebration,decoration,decorative,elegance,elegant,illustration,invitation,texture,wedding",https://image.shutterstock.com/image-vector/vector-floral-3d-seamless-pattern-600w-233350501.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-floral-3d-seamless-pattern-600w-233350501.jpg', 'path': 'full/8e0be1b3223cd73d2913fcc524b34bbbf18b80c9.jpg', 'checksum': 'db71ecf18b2ed2d7510e23965603b709'}]"
318585962,1,seamless+pattern+curve,vector,AlexVV,water seamless pattern with grunge effect,"pattern,beach,vector,seamless,abstract,background,texture,water,river,color,fashion,sea,ocean,effect,wave,art,retro,decor,nature,grunge,painting,design,line,shape,fabric,wallpaper,repeat,graphic,curve,blue,smooth,element,concept,horizontal,style,textile,weather,white,backdrop,image,clip,symbol,wet,decoration,decorative,illustration,natural,ornamental,striped,textured",https://image.shutterstock.com/image-vector/water-seamless-pattern-grunge-effect-600w-318585962.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/water-seamless-pattern-grunge-effect-600w-318585962.jpg', 'path': 'full/dfd2b3ca7737e5d202864daf77669b65d2edea72.jpg', 'checksum': '8e8e1c28ebf5fa6f040ce41f87c188c6'}]"
1076285882,1,seamless+pattern+curve,vector,Amovitania,"Luxury seamless patterns collection. Golden vintage design elements. Elegant weave ornament for wallpaper, fabric, paper, invitation print. Stylized damask vector background. Forged floral motif.","seamless,luxury,set,damask,romantic,vector,complex,design,baroque,brown,floral,graphic,interior,intricate,lace,print,royal,victorian,wallpaper,abstract,backgrounds,collection,curtains,curves,decorative,fabric,flower,foliage,forged,forging,gold,golden,greeting,ink,leaves,lines,metallic,ornamental,patterns,repeating,retro,style,stylized,swirl,symmetrical,textile,texture,tile,venetian,weave",https://image.shutterstock.com/image-vector/luxury-seamless-patterns-collection-golden-600w-1076285882.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/luxury-seamless-patterns-collection-golden-600w-1076285882.jpg', 'path': 'full/9f1b213058436e91b6b1dde5085471cd324a4457.jpg', 'checksum': '7d2fb4f170eb3cf6d8d2537ece5795af'}]"
487656193,1,seamless+pattern+curve,vector,Olgastocker,"Vector monochrome seamless pattern, curved lines, black & white background. Abstract dynamical rippled surface, visual halftone 3D effect, illusion of movement, curvature. Design for tileable print","line,pattern,abstract,curve,vector,background,ripple,map,seamless,3d,texture,topographic,wavy,level,white,geometric,graphic,contour,black,art,design,minimal,relief,effect,minimalist,movement,print,repeat,tile,visual,cartography,diagram,distorted,extreme,land,modern,motion,outline,dynamic,illustration,paper,simple,area,deformation,grayscale,monochrome,physical,distortion,element,isoline,striped,wallpaper,web",https://image.shutterstock.com/image-vector/vector-monochrome-seamless-pattern-curved-600w-487656193.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-monochrome-seamless-pattern-curved-600w-487656193.jpg', 'path': 'full/ce6303866e7b98eafc9988138a7f8bc6de6a0a68.jpg', 'checksum': '5ac7bf866a5abf6580b78599fb059c97'}]"
1666266496,1,seamless+pattern+curve,illustration,Dobrynina+Elena,sea wave seamless pattern. Whale illustration. Ocean surf waves watercolor background. Marine design.,"pattern,seamless,whale,sea,aqua,background,design,fish,ocean,surf,tropical,watercolor,wave,animal,art,artistic,beach,blue,curve,humpback,illustration,life,mammal,marine,motion,nature,paint,paper,realistic,splash,storm,summer,surface,surfing,swirl,texture,underwater,vacation,wallpaper,water,wild,wildlife",https://image.shutterstock.com/image-illustration/sea-wave-seamless-pattern-whale-600w-1666266496.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/sea-wave-seamless-pattern-whale-600w-1666266496.jpg', 'path': 'full/1cdbbbdc5881134fd871697b87d1ea5fa0e90e76.jpg', 'checksum': '94cbe929686e9ec64f1e0bc4cef16661'}]"
526494409,1,seamless+pattern+curve,vector,alexlanda,Vector seamless black and white diagonal lines pattern abstract background.,"geometric,seamless,vector,texture,wave,curve,mesh,optical,illusion,weave,graphic,fabric,stylish,creative,dynamic,monochrome,neutral,pastel,print,tint,cover,creativity,decorative,delicate,element,endless,facing,geometrical,grid,inspiration,mishmash,point,regular,repeating,swatch,tile,tracery,trendy,wallpaper,wrapping",https://image.shutterstock.com/image-vector/vector-seamless-black-white-diagonal-600w-526494409.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-black-white-diagonal-600w-526494409.jpg', 'path': 'full/ccc900561811113cd483e023299e1819b3cd4a7f.jpg', 'checksum': 'b1c534b47c12b7c4970c181a95d02953'}]"
1199062741,1,seamless+pattern+curve,vector,PinkCactus,Hand drawn circular lines vector seamless background design in black and white. ,"organic,pattern,seamless,art,white,black,ethnic,vector,background,indigenous,texture,drawing,simple,wavy,aboriginal art,abstract,aztec,backdrop,black and white,black and white pattern,circles,circular,creative,curve,dashed lines,decor,decoration,decorative,design,dots,dotted line,element,fashion,geometric,graphic,hand drawn,illustration,indigenous art,line,lines,modern,mosaic,print,repetition,round,seamless pattern,textile,tileable,tribal,wallpaper",https://image.shutterstock.com/image-vector/hand-drawn-circular-lines-vector-600w-1199062741.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawn-circular-lines-vector-600w-1199062741.jpg', 'path': 'full/34b4a342e45295cb02be56807162c2029a378b91.jpg', 'checksum': '77f1d7b1ddcdcf9e0eb6e517f789e87a'}]"
137415362,1,seamless+pattern+curve,vector,AlexVV,retro curves seamless pattern with grunge effect,"pattern,seamless,retro,vintage,vector,geometric,texture,hipster,curve,red,swirl,line,abstract,background,fabric,wave,modern,paper,yellow,graphic,illustration,ornament,shape,tile,antique,grunge,art,wallpaper,wedding,beautiful,design,elegant,lace,repeat,style,curl,decor,gothic,silhouette,wrapping,drawing,ornate,white,backdrop,brown,creative,decoration,image,textile,twill",https://image.shutterstock.com/image-vector/retro-curves-seamless-pattern-grunge-600w-137415362.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/retro-curves-seamless-pattern-grunge-600w-137415362.jpg', 'path': 'full/ffda06762ece84b32edbea19cb6ddcb9259aeaad.jpg', 'checksum': '4c8025639cb22ca39307a651c894fd54'}]"
703142872,1,seamless+pattern+curve,vector,sanua9,Seamless wooden pattern. Wood grain texture. Dense lines. Abstract background. Vector illustration,"wood,pattern,grain,vector,texture,seamless,tree,background,line,timber,nature,wooden,simple,outline,repeat,vein,abstract,faux,fiber,flat,backdrop,board,curve,sample,cover,decor,decoration,decorative,dense,illustration,material,natural,panel,surface,textured,veneer,wallpaper",https://image.shutterstock.com/image-vector/seamless-wooden-pattern-wood-grain-600w-703142872.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-wooden-pattern-wood-grain-600w-703142872.jpg', 'path': 'full/49e861f984349e137726061c76ce91ea77429e93.jpg', 'checksum': '09b976a9274d607f51ce0a0355eec1b6'}]"
