id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1763387285,1,seamless+pattern+hawaii,vector,yulianas,Tropical golden and emerald leaves seamless pattern border frame with vector image,"tropic,gold,jungle,wallpaper,pattern,leaf,leaves,border,landscape,green,palm,seamless,vector,vintage,art,floral,design,illustration,emerald,foliage,holiday,print,background,dream,exotic,fabric,goa,paradise,shape,abstract,backdrop,bright,decoration,drawing,fashion,hawaii,india goa bali,jungalow,multicolor,nature,plant,poster,retro,shirt,silhouette,summer,texture,travel,tropical,vacation",https://image.shutterstock.com/image-vector/tropical-golden-emerald-leaves-seamless-600w-1763387285.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-golden-emerald-leaves-seamless-600w-1763387285.jpg', 'path': 'full/53907665fb02208e7532afb368a255360a2985b0.jpg', 'checksum': '1cda50481f0381d4f64425dd9e4cbe41'}]"
1028502070,1,seamless+pattern+hawaii,vector,MSNTY,"Trendy summer Hawaii print vector seamless beautiful artistic Bright  tropical pattern with exotic forest. Colorful  stylish floral hibiscus mix with leaves  background , on texture blue ","pattern,tropic,flower,summer,seamless,hawaii,floral,print,vector,hawaiian,leaf,leaves,hibiscus,beach,palm,texture,abstract,cute,design,textile,background,exotic,illustration,plant,wallpaper,beautiful,fabric,fashion,painting,pastel,spring,blue,jungle,nature,blossom,aloha,art,botanical,colorful,garden,green,paradise,tropical",https://image.shutterstock.com/image-vector/trendy-summer-hawaii-print-vector-600w-1028502070.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/trendy-summer-hawaii-print-vector-600w-1028502070.jpg', 'path': 'full/88d70f92699073f68e5010eb10b17d30a0a9f542.jpg', 'checksum': '6894e342afeee0d0495a1be3e0c71700'}]"
597263075,1,seamless+pattern+hawaii,vector,msmoloko,"Exotic tropical vrctor background with hawaiian plants and flowers. Seamless indigo tropical pattern with monstera and sabal palm leaves, guzmania flowers.","pattern,tropic,background,flower,blue,jungle,vector,dark,floral,palm,black,leaf,texture,seamless,navy,print,plant,hawaiian,summer,exotic,tree,forest,indigo,fabric,abstract,hawaii,wallpaper,design,art,beach,red,denim,vintage,fashion,modern,california,textile,monstera,orange,resort,rainforest,aloha,sabal,backdrop,botanical,drawing,guzmania,illustration,tropical",https://image.shutterstock.com/image-vector/exotic-tropical-vrctor-background-hawaiian-600w-597263075.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/exotic-tropical-vrctor-background-hawaiian-600w-597263075.jpg', 'path': 'full/57533a3b862de124a0c67b8b200efcb27bd7382c.jpg', 'checksum': '855044fb3fc2a05733f83c80f1213706'}]"
1038204763,1,seamless+pattern+hawaii,vector,Homunkulus28,Vector seamless pattern of exotic heliconia leaves drawn in line graphic and watercolor artistic techniques,"pattern,plant,watercolor,flower,seamless,modern,wallpaper,leaf,green,jungle,background,spa,nature,travel,floral,art,greenery,design,exotic,paint,flora,line,decor,fabric,endless,textile,trendy,card,hawaii,paradise,garden,romantic,wedding,asian,bloom,combination,heliconia,summer,violet,asia,blossom,bali,botanical,bridal,decoration,engraving,gird,illustration,polygon,tropical",https://image.shutterstock.com/image-vector/vector-seamless-pattern-exotic-heliconia-600w-1038204763.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-exotic-heliconia-600w-1038204763.jpg', 'path': 'full/1d0392c9465e52b40d725edeb1fb1014e3bba490.jpg', 'checksum': '1f9ff9e1bd5399597aec7bf5ff5ddb0e'}]"
1067168501,1,seamless+pattern+hawaii,vector,Hanna+Kh,"Beautiful seamless vector tropical pattern with koi fish, anchor, corals. Abstract geometric texture, stripes. Perfect for wallpapers, web page backgrounds, surface textures, textile.","pattern,seamless,sea,wallpaper,floral,beach,japanese,tropical,vector,anchor,coral,fashion,flower,vintage,abstract,watercolor,illustration,summer,animal,boho,art,background,carp,japan,jungle,red,spring,aloha,botanical,foliage,invitation,party,branch,california,card,colorful,design,diving,drawing,fishing,hawaii,koi fish,leaf,miami,ornament,paradise,reef,romantic,surfing,wedding",https://image.shutterstock.com/image-vector/beautiful-seamless-vector-tropical-pattern-600w-1067168501.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beautiful-seamless-vector-tropical-pattern-600w-1067168501.jpg', 'path': 'full/bf3cc1fb950bc2dc5d633c8d6cf71dec6dffe909.jpg', 'checksum': '98500e53701d4b6e70904abe2db80099'}]"
675155590,1,seamless+pattern+hawaii,vector,blacksun+design,surfboard summer pattern vector.,"pattern,summer,surf,seamless,beach,board,print,sea,surfboard,vector,doodle,hawaii,sun,car,design,drawn,holiday,ocean,palm,shark,anchor,artwork,hand,hipster,paradise,retro,travel,young,hippie,tattoo,van,arrow,background,black and white,card,fabric,flower,hand drawn,illustration,old,sketch,sunglasses,surfing,t shirt,tee,texture,tropical,vacation,wave,white",https://image.shutterstock.com/image-vector/surfboard-summer-pattern-vector-600w-675155590.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/surfboard-summer-pattern-vector-600w-675155590.jpg', 'path': 'full/8b96f21d5aa6c644c8d37262bd9a4ed59e3ec4da.jpg', 'checksum': 'af4912b503206bd72e172b64d5bd4bee'}]"
1542904769,1,seamless+pattern+hawaii,vector,Yuli23,"Seamless pattern with jungle animals, flowers and trees. Vector.","pattern,jungle,seamless,animal,palm,tropical,monkey,wallpaper,wild,print,vector,fauna,safari,zebra,black,child,forest,landscape,repeat,style,toucan,abstract,background,banana,cartoon,colorful,cute,drawing,element,exotic,fabric,fashion,flamingo,fun,funny,hawaii,illustration,kid,leaf,leaves,leopard,paper,parrot,plant,set,textile,texture,tropic,wildlife,zoo",https://image.shutterstock.com/image-vector/seamless-pattern-jungle-animals-flowers-600w-1542904769.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-jungle-animals-flowers-600w-1542904769.jpg', 'path': 'full/18667ce9f795cdbff70245df9255f90a928f1119.jpg', 'checksum': 'f957a32fd59e689dd4e3ce6c38135d5a'}]"
1700357386,1,seamless+pattern+hawaii,vector,MSNTY,"Retro seamless tropical island pattern on light beige ocean background. Landscape with palm trees,beach and ocean vector hand drawn style.Design for fashion,fabric,web,wallaper,wrapping and all prints","pattern,island,hawaiian,palm,tree,seamless,flower,vintage,beach,coconut,landscape,beautiful,floral,hawaii,hibiscus,illustration,ocean,abstract,aloha,art,background,blue,botanical,design,exotic,fabric,foliage,graphic,greenery,holiday,jungle,leaf,leaves,natural,nature,paradise,plant,print,sea,summer,textile,texture,tourism,travel,tropic,tropical,vacation,vector,wallpaper,water",https://image.shutterstock.com/image-vector/retro-seamless-tropical-island-pattern-600w-1700357386.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/retro-seamless-tropical-island-pattern-600w-1700357386.jpg', 'path': 'full/e2d663fba72dbfc8ebc0f493d92da51008fb9257.jpg', 'checksum': '3ea6f8d71352ea4685745ce4a1024e3e'}]"
622250588,1,seamless+pattern+hawaii,vector,NataliaKo,"Beautiful seamless vector floral pattern, spring summer background with tropical flowers, palm leaves, jungle leaf, hibiscus, bird of paradise flower. Exotic wallpaper, Hawaiian style","flower,pattern,summer,vector,background,spring,fashion,texture,seamless,jungle,hawaii,hawaiian,wallpaper,beauty,design,palm,hibiscus,leaf,plant,exotic,bird,pink,print,nature,fabric,paradise,swimwear,brazil,brazilian,miami,artwork,bohemian,feminine,flora,painting,california,garden,monstera,frangipani,popular,plumeria,botanical,fashionable,illustration,intense,ornamental,succulent,textile,tropical,upholstery",https://image.shutterstock.com/image-vector/beautiful-seamless-vector-floral-pattern-600w-622250588.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beautiful-seamless-vector-floral-pattern-600w-622250588.jpg', 'path': 'full/70f9b9b270e1c18b48899d6c327b50312ee2df11.jpg', 'checksum': 'fd769843b8bf437b15409bbb310c0670'}]"
428203480,1,seamless+pattern+hawaii,vector,NataliaKo,"Tropical palm leaves, jungle leaves seamless vector floral pattern background","tropic,pattern,palm,leaf,background,vector,tree,green,seamless,plant,jungle,print,summer,wallpaper,texture,hawaii,beach,nature,spring,vintage,safari,white,design,exotic,painting,modern,art,artwork,isolated,beauty,brazil,fashion,fabric,flora,garden,branch,miami,popular,decoration,island,california,textile,feminine,botanical,colorful,fashionable,illustration,subtropical",https://image.shutterstock.com/image-vector/tropical-palm-leaves-jungle-seamless-600w-428203480.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-palm-leaves-jungle-seamless-600w-428203480.jpg', 'path': 'full/ad85550993d982d711d0b639d288dbd217ebba42.jpg', 'checksum': 'c5e66e06b73569eb292f2596daea48eb'}]"
