id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1455928982,1,seamless+pattern+cloth,vector,DidemA,Seamless Hand Drawn Abstract Watercolor Leopard Cheetah Skin Vector Pattern Tie Dye Gradient Background,"pattern,leopard,seamless,animal,skin,watercolor,cheetah,abstract,jaguar,texture,print,vector,repeat,background,camouflage,design,dress,fashion,gradient,panther,shirt,spot,artwork,beige,brown,decor,fabric,fur,illustration,safari,surface,textile,animal skin,cloth,clothing,colorful,exotic,home decoration,leather,leggings,lingerie,tie dye,wallpaper,wildlife",https://image.shutterstock.com/image-vector/seamless-hand-drawn-abstract-watercolor-600w-1455928982.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-hand-drawn-abstract-watercolor-600w-1455928982.jpg', 'path': 'full/d0f287a5afd71014a798bd3513e828bfd88c0566.jpg', 'checksum': 'fef878ad2a9806fd011afe76e809a6dc'}]"
1048303396,1,seamless+pattern+cloth,vector,matrioshka,Fashionable template for design of clothes. Tails of peacocks vector. Embroidery peacock feathers seamless pattern,"vector,animal,embroidery,design,colorful,bird,elegant,ethnic,floral,beauty,fashion,decor,plumage,fabric,line,ornament,bright,clothes,exotic,green,nature,pheasant,tapestry,template,textile,art,avian,beautiful,cockerel,decoration,decorative,elegance,embroidery peacock,embroidery seamless pattern,feathers,feathers detail,ornamental,peacock eye,peacock feathers,peacock feathers pattern,seamless pattern,stitch,t shirt design,tail,thread,tropical",https://image.shutterstock.com/image-vector/fashionable-template-design-clothes-tails-600w-1048303396.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/fashionable-template-design-clothes-tails-600w-1048303396.jpg', 'path': 'full/878d38fcee3d7034687aac2fff11363a781e0bf3.jpg', 'checksum': '6c2c547d0619bf400d420c069753d4a5'}]"
594738689,1,seamless+pattern+cloth,vector,RODINA+OLENA,The geometric pattern with stripes . Seamless vector background. Green and white texture. Graphic modern pattern.,"pattern,geometric,seamless,green,texture,vector,zigzag,simple,abstract,background,blue,modern,line,chevron,stripe,fabric,geometry,wallpaper,classic,repeat,cloth,shape,tile,carpet,dark,ornament,art,beauty,design,elegant,draw,fashion,stylish,curtain,image,abstraction,artistic,backdrop,decorative,drawing,graphic,halftone,illustrate,industrial,packaging,repeatable,repetition,striped,style,unusual",https://image.shutterstock.com/image-vector/geometric-pattern-stripes-seamless-vector-600w-594738689.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/geometric-pattern-stripes-seamless-vector-600w-594738689.jpg', 'path': 'full/6eb351cce851b49eda255738b2917cf6401e488c.jpg', 'checksum': 'f38d32ceee54f085fd1251a6e3b2f2e0'}]"
1124823902,1,seamless+pattern+cloth,vector,17096646,"Floral spring pattern Ditsy Flowers in vector for textile print,fashion pattern,fabric print","floral,pattern,flower,print,vector,ditsy,small,seamless,watercolor,background,illustration,color,graphic,spring,summer,fabric,fashion,leaf,rose,art,beautiful,beauty,bed cloth,bed sheet,bedspread,botanical,curtain pattern,cute,drawing,elegance,fabric print,fashion print,flower vector,nature,retro,scarf print,table cloth,textile,textile pattern,trend,wallpaper",https://image.shutterstock.com/image-vector/floral-spring-pattern-ditsy-flowers-600w-1124823902.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-spring-pattern-ditsy-flowers-600w-1124823902.jpg', 'path': 'full/1c53831b834346b557608312f35ff44ee818bafd.jpg', 'checksum': '731ccf0cc010d34c31737459ed181097'}]"
564596587,1,seamless+pattern+cloth,vector,Olya+Fedorova,"Vector seamless pattern with brush strokes in memphis style. Background for printing brochure, poster, party, summer print, vintage textile design, card. Pastel colors.
","pattern,geometric,brush,pastel,background,design,fashion,abstract,vector,seamless,print,summer,modern,boho,graphic,trend,art,pop,stroke,hippie,simple,creative,pink,style,texture,party,floor,line,fabric,hipster,magazine,paper,retro,vintage,decorative,textile,wear,web,1980s,card,cloth,colorful,concept,decoration,ornate,postmodernism,psychedelic,shape,wallpaper,wrapping",https://image.shutterstock.com/image-vector/vector-seamless-pattern-brush-strokes-600w-564596587.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-brush-strokes-600w-564596587.jpg', 'path': 'full/cbb557c26fb054ffe867c0f8d92c56f45809244a.jpg', 'checksum': '271a44aca613aacebca6d2d56ee5d194'}]"
1134617462,1,seamless+pattern+cloth,vector,Yngvarr,"Abstract geometric seamless pattern. Graphic vector. Racing background for vinyl wrap and decal. Grunge, neon texture pattern. Sports textile. Fashion military.","pattern,sport,abstract,background,seamless,grunge,texture,geometric,extreme,line,graphic,black,modern,illustration,print,cloth,fabric,urban,art,retro,simple,stripe,textile,shape,color,monochrome,triangle,wallpaper,white,dot,geometry,fashion,halftone,hipster,backdrop,colorful,cover,creative,decor,decoration,decorative,element,ornament,repeat,style,template,tile,trendy",https://image.shutterstock.com/image-vector/abstract-geometric-seamless-pattern-graphic-600w-1134617462.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-geometric-seamless-pattern-graphic-600w-1134617462.jpg', 'path': 'full/d0e2a12d5772703a69d8ac6a683c92876b390531.jpg', 'checksum': 'bef3b2459b5449bdde44afd6f3a28d89'}]"
1855682995,1,seamless+pattern+cloth,vector,ViAViChe,seamless illustration with animals. white rabbits with dragonflies on a light blue background. cute kids ornament,"easter,pattern,seamless,bunny,cute,floral,plant,spring,vector,watercolor,animal,april,art,baby,baby illustration,background,background blue,boy,cartoon,character,child,child print,childish character,cloth,decor,design,drawing,flower,forest,funny,green,happy,illustration,kid,leaf,light,love,nature,pastel,print,rabbit,textile,texture,toddler,wallpaper,watercolor style,white bunny",https://image.shutterstock.com/image-vector/seamless-illustration-animals-white-rabbits-600w-1855682995.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-illustration-animals-white-rabbits-600w-1855682995.jpg', 'path': 'full/a5f646ed6fcdd45425180a298029d52243b370e5.jpg', 'checksum': '8b3eb796140e710253d026f2dc0b10ee'}]"
96302621,1,seamless+pattern+cloth,vector,tiplyashin,seamless Polka dot background,"dot,pattern,polka,background,pink,vector,seamless,circle,spot,wallpaper,color,geometric,paper,fabric,round,repeat,blue,graphic,design,textile,tile,abstract,image,scrapbook,wrapping,cloth,red,shape,decorative,modern,art,cover,holiday,illustration,ornament,backdrop,colorful,composition,decor,decoration,polka dot,row,set,texture",https://image.shutterstock.com/image-vector/seamless-polka-dot-background-600w-96302621.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-polka-dot-background-600w-96302621.jpg', 'path': 'full/4e1ee6dd3c5f041581416c2e332cc32496903429.jpg', 'checksum': '5e508d262c2c84b8ea3587f0332dde86'}]"
536164105,1,seamless+pattern+cloth,vector,ExpressVectors,Collection of swatches memphis patterns - seamless. Retro fashion style 80-90s.,"pattern,texture,background,vector,seamless,dot,abstract,geometric,memphis,90s,graphic,simple,design,fashion,fun,cool,modern,retro,white,hipster,80s,set,black,dash,vintage,art,trendy,repeat,monochrome,wallpaper,decor,fabric,cloth,creative,web,funky,card,collection,paper,concept,cover,website,curve,dark,backdrop,interior,swatches,template,wrapping,mosaic,textile,and,decoration,decorative,drawing,elements,frames,geometry,illustration,lines,shapes,stripes",https://image.shutterstock.com/image-vector/collection-swatches-memphis-patterns-seamless-600w-536164105.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collection-swatches-memphis-patterns-seamless-600w-536164105.jpg', 'path': 'full/813ed6af7d07bc03b0989f62d95795cc98466962.jpg', 'checksum': 'f9d02fc9cd93338e3a0f998bdf0ab333'}]"
1103245553,1,seamless+pattern+cloth,vector,Yngvarr,"Abstract geometric seamless pattern. Graphic vector. Racing background for vinyl wrap and decal. Grunge, neon texture pattern.","pattern,sport,abstract,geometric,seamless,background,grunge,geometry,texture,black,urban,line,graphic,triangle,halftone,print,stripe,extreme,repeat,shape,textile,art,illustration,modern,monochrome,retro,white,dot,simple,template,tile,wallpaper,backdrop,cloth,color,colorful,cover,creative,decor,decoration,decorative,element,fabric,fashion,hipster,ornament,style,trendy",https://image.shutterstock.com/image-vector/abstract-geometric-seamless-pattern-graphic-600w-1103245553.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-geometric-seamless-pattern-graphic-600w-1103245553.jpg', 'path': 'full/7f5d8cd95e2a16b820338ac6fe5b41712884b02e.jpg', 'checksum': '45a9dafc44020ce7deb680d6065dcf27'}]"
