id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
773140702,1,seamless+pattern+rock,vector,LidiaKubrak,Abstract marbled seamless pattern. Hand drawn texture with liquid paint. Vector illustration.,"marble,pattern,liquid,texture,abstract,color,cloud,vector,paint,print,wave,background,effect,grunge,handmade,splash,acrylic,aquatic,oil,twirl,art,backdrop,beautiful,blob,blot,contrast,cover,craft,creative,decoration,decorative,design,drawing,drawn,elegance,flow,granite,illustration,ink,invitation,marbled,marbling,natural,rock,spot,stain,stone,technique,textured",https://image.shutterstock.com/image-vector/abstract-marbled-seamless-pattern-hand-600w-773140702.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-marbled-seamless-pattern-hand-600w-773140702.jpg', 'path': 'full/1f2d8ae555e47a1594370007b31bbe8b04d1676e.jpg', 'checksum': '05dfee91c596b8be170d520bc9667b05'}]"
597529520,1,seamless+pattern+rock,vector,lechernina,"Texture Terrazzo Floor, abstract colorful vector background. Bright and modern abstract background","pattern,seamless,watercolor,confetti,mineral,texture,granite,graphic,paper,party,abstract,background,colorful,design,festive,happy,holiday,rock,splash,wall,white,art,backdrop,blue,bright,celebration,color,decoration,element,event,fun,group,illustration,marble,nature,random,stone,surprise,terrazzo flooring",https://image.shutterstock.com/image-vector/texture-terrazzo-floor-abstract-colorful-600w-597529520.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/texture-terrazzo-floor-abstract-colorful-600w-597529520.jpg', 'path': 'full/1c3d10da81c8b61e5ee8e21faf3f0bf602755d11.jpg', 'checksum': '581430ad06d046b0dc821246307881aa'}]"
1075178540,1,seamless+pattern+rock,vector,laverock,"Terrazzo flooring vector seamless pattern. Texture of classic italian type of floor in Venetian style composed of natural stone, granite, quartz, marble, glass and concrete","terrazzo,stone,marble,seamless,pattern,floor,vector,rock,tile,mosaic,background,quartz,pavement,textile,abstract,black,white,color,italian,venetian,classic,design,glass,material,pebble,repeat,endless,grey,regular,template,colorful,composite,concrete,diverse,fill,flooring,fragment,granite,light,natural,patio,piece,repeatable,sample,shard,splinter,surface,swatch,texture,tiling",https://image.shutterstock.com/image-vector/terrazzo-flooring-vector-seamless-pattern-600w-1075178540.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-flooring-vector-seamless-pattern-600w-1075178540.jpg', 'path': 'full/2e6335e8dc76444f71386d233bb76620c3fbad35.jpg', 'checksum': 'dcc24df507b488d772ea1c6a913915f3'}]"
1056684701,1,seamless+pattern+rock,vector,Yulia+Petrova,Seamless pattern with realistic marble texture in white and gray color. Vector illustration.,"seamless,marble,pattern,texture,abstract,background,floor,granite,neutral,vector,vintage,affluent,architecture,black,card,classy,construction,counter,decorative,elegant,expensive,gray,illustration,imitation,kitchen,lines,luxury,macro,marbled,mineral,natural,realistic,rock,scalable,soft,stone,textured,tile,trendy,wall,wallpaper,white",https://image.shutterstock.com/image-vector/seamless-pattern-realistic-marble-texture-600w-1056684701.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-realistic-marble-texture-600w-1056684701.jpg', 'path': 'full/bb63b1cb803a38ecbad3ed584c13404bfc44c130.jpg', 'checksum': '2a5cfe1b7719e72cf9c03b02544472eb'}]"
756021379,1,seamless+pattern+rock,photo,roystudio,"cracked floor tile tile wall texture black background, marble batik pattern veins abstract lines seamless pattern distressed background","marble,black,seamless,pattern,texture,crack,white,background,concrete,wallpaper,board,floor,rock,stone,structure,cement,dark,grunge,urban,wall,abstract,ground,interior,retro,stucco,weathered,aged,antique,architecture,black and white,blackboard,dirty,distressed,exterior,granite,grungy,home,lines,marbled,old,parchment,plaster,plasterboard,scratch,slab,stonewall,textured,veins,vintage,wrapping",https://image.shutterstock.com/image-photo/cracked-floor-tile-wall-texture-600w-756021379.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/cracked-floor-tile-wall-texture-600w-756021379.jpg', 'path': 'full/37687011351ff3f9f0bd8070d470b776cb843ae9.jpg', 'checksum': 'da85aa401fd4ca487a2527e7a2ca93b9'}]"
384361171,1,seamless+pattern+rock,illustration,Hippopet,Seamless texture of blue marble pattern for background / illustration,"seamless,pattern,marble,texture,abstract,background,grunge,wave,black,stone,design,nature,white,decoration,tile,vintage,wall,block,floor,light,structure,aged,architecture,art,colorful,decor,decorative,grey,illustration,interior,lines,macro,marbled,material,mineral,natural,old,rock,smooth,surface,textured",https://image.shutterstock.com/image-illustration/seamless-texture-blue-marble-pattern-600w-384361171.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-texture-blue-marble-pattern-600w-384361171.jpg', 'path': 'full/c4a402c088f3b2eb2997c045ffedd0b36982bf65.jpg', 'checksum': '5af5bd2a6c7f352cf1196b99c9c50b88'}]"
492369583,1,seamless+pattern+rock,photo,roystudio,black and white background distressed texture seamless pattern,"pattern,marble,texture,grunge,rock,stone,abstract,vintage,batik,black,floor,nature,retro,wall,aged,ancient,and,antique,backdrop,background,bright,broken,concrete,cracked,damaged,dirty,distressed,facade,granite,grey,ground,grungy,home,interior,light,lines,marbled,old,parchment,rough,scratch,slab,stonewall,structure,stucco,textured,wallpaper,weathered,white",https://image.shutterstock.com/image-photo/black-white-background-distressed-texture-600w-492369583.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/black-white-background-distressed-texture-600w-492369583.jpg', 'path': 'full/5129e4bc18fc2ba53472412be5063ebf7716bb75.jpg', 'checksum': 'e87d4a4cab584913b3903d479bd676ca'}]"
1014375589,1,seamless+pattern+rock,vector,bluelela,"Vector marble texture, seamless pattern design with golden geometric lines and cubes, black and white marbling surface, modern luxurious background","marble,pattern,tile,seamless,texture,abstract,art,vector,wall,background,floor,stone,print,elegant,golden,modern,sparkle,design,granite,illustration,kitchen,white,creative,metal,repeat,decoration,graphic,organic,shapes,splatter,backdrop,black and white,block,branding,card,contemporary,cubes,effect,fashion,gray,lines,luxurious,marbling,monochrome,natural,rock,shiny,spot,surface,surface design",https://image.shutterstock.com/image-vector/vector-marble-texture-seamless-pattern-600w-1014375589.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-marble-texture-seamless-pattern-600w-1014375589.jpg', 'path': 'full/0e13b77ecb9e36b3994b6a6ed808a0c9a33f2ee2.jpg', 'checksum': 'e99a2994755a0e62aba4a3ff28f5344c'}]"
1096828838,1,seamless+pattern+rock,vector,IMOGI,Cassette Tape Seamless pattern in monochrome. Vector illustration,"pattern,music,punk,rock,hiphop,casette,background,seamless,old,70s,vintage,90s,art,disco,record,tape,80s,audio,blue,cassette,hipster,orange,party,pink,retro,stereo,vector,wallpaper,a4,black,colored,design,drawing,equipment,graphic,green,happy,illustration,monochrome,nineties,nostalgia,old school,plastic,player,repeat,rock music,texture,white,yellow",https://image.shutterstock.com/image-vector/cassette-tape-seamless-pattern-monochrome-600w-1096828838.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cassette-tape-seamless-pattern-monochrome-600w-1096828838.jpg', 'path': 'full/561a6551c2840855c3ac286cade2324e8cabfd61.jpg', 'checksum': '7808bb45f960cf036228e10e2edf4069'}]"
1362292736,1,seamless+pattern+rock,vector,natalia_musatova,"Seamless pattern with skulls, microphones and roses on the dark background.","skull,rockabilly,background,rock,seamless,microphone,pattern,artwork,cartoon,design,roses,tattoo,vector,vintage,art,clipart,colorful,cover,culture,death,evil,fashion,graphic,grunge,hipster,illustration,music,old school,print,retro,ribbon,rock-n-roll,rose,style,texture,wrap",https://image.shutterstock.com/image-vector/seamless-pattern-skulls-microphones-roses-600w-1362292736.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-skulls-microphones-roses-600w-1362292736.jpg', 'path': 'full/00596caac5b6dcca1700eb5b7410e70e754f22c4.jpg', 'checksum': '625ca5085d8486b06f684a3e60af8c8d'}]"
