id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
691471507,1,seamless+pattern+checkered,vector,Anya_D,"Plaid check patten in pastel grey, dusty beige and white. Seamless fabric texture print","plaid,pattern,tartan,check,christmas,vector,grey,flannel,white,checker,print,background,stripe,simple,border,twill,gingham,gray,fashion,light,pastel,square,beige,blanket,design,mat,picnic,pyjamas,scotland,scottish,tablecloth,geometric,pale,patchwork,pretty,fabric texture,faded,graphic,mens shirt,pajamas,preppy,retro,seamless patern,snow white,soft,table cloth,traditional,trendy,vintage,winter fashion",https://image.shutterstock.com/image-vector/plaid-check-patten-pastel-grey-600w-691471507.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/plaid-check-patten-pastel-grey-600w-691471507.jpg', 'path': 'full/ca74907edcb85b61050c9198b2f6a21362b8df6e.jpg', 'checksum': '5bfa82470721b5a7bfe8cee2bb501d58'}]"
1826334494,1,seamless+pattern+checkered,vector,Siu-Hong+Mok,Rainbow Glen Plaid textured seamless pattern suitable for fashion textiles and graphics,"easter,plaid,glen,spring,vector,abstract,background,checkered,checks,classic,design,detail,dogtooth,equality,fabric,fashion,flag,flannel,gay,geometric,gingham,graphics,happy,houndstooth,illustration,jacket,lgbt,love,lumberjack,menswear,neon,picnic,rainbow,repeat,scottish,seamless pattern,shirt,style,suit,swatch,tablecloth,tailoring,tartan,textile,textured,tweed,vintage,winter,wool,woven",https://image.shutterstock.com/image-vector/rainbow-glen-plaid-textured-seamless-600w-1826334494.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/rainbow-glen-plaid-textured-seamless-600w-1826334494.jpg', 'path': 'full/0980ccb1afea339120a7447072f22d96d5856282.jpg', 'checksum': '8665a5b8ef319eafa01c24fe8cfdac82'}]"
318924704,1,seamless+pattern+checkered,vector,artefficient,"Lumberjack Plaid and Buffalo Check Patterns. Red, Black, White and Khaki Plaid, Tartan and Gingham Patterns. Trendy Hipster Style Backgrounds. Vector EPS File Pattern Swatches made with Global Colors.","pattern,plaid,check,buffalo,vector,seamless,lumberjack,shirt,flannel,hipster,fall,texture,winter,red,fabric,background,tartan,black,print,gingham,canadian,design,geometric,cloth,pack,wood,hunter,tile,british,english,man,rustic,style,classic,scottish,table,brown,jacket,linen,lumber,twill,white,beige,blanket,cross,fishing,tan,weave,wool,farmer,woolen,american,cutter,diagonal,digital,fiber,ivory,khaki,scrapbook,tattersall,tough,backdrop,camping,checkered,confident,contrast,crossed,decoration,hunting,iconic,mini-check,papers,repeating,rough,shepherd,squares,stripes,taupe,textile,traditional,worker,woven",https://image.shutterstock.com/image-vector/lumberjack-plaid-buffalo-check-patterns-600w-318924704.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/lumberjack-plaid-buffalo-check-patterns-600w-318924704.jpg', 'path': 'full/b527f878be5c72609e4f1075984010e74ad7b3c8.jpg', 'checksum': '0e5f20d05a656a45a119b699054a6f0a'}]"
129835667,1,seamless+pattern+checkered,vector,Sylverarts,"100 geometric seamless patterns set, black and white vector backgrounds collection.","pattern,geometric,black,seamless,white,vector,set,motif,background,geometry,line,texture,abstract,simple,monochrome,tile,repeat,retro,vintage,net,fabric,diagonal,circle,design,material,art,classic,trendy,artistic,continuous,decor,wallpaper,regular,repetitive,style,stylish,backdrop,black and white,checkered,endless,geometrical,repeatable,square,textile,textured,tiling,wrapping,wrapping paper,zig zag",https://image.shutterstock.com/image-vector/100-geometric-seamless-patterns-set-600w-129835667.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/100-geometric-seamless-patterns-set-600w-129835667.jpg', 'path': 'full/ed3c23c3d6d7001ddc6e8969ff9482197e593b96.jpg', 'checksum': '76d43715ad1dee1d2267467c343d5d9c'}]"
1676142247,1,seamless+pattern+checkered,vector,mutti,"plaid lines, colorful squares, fashion, fabric texture, vintage set, design visual, fabric","backdrop,background,checkered,classic,cloth,design,fabric,flannel,geometric,gingham,illustration,kilt,pattern,plaid,print,scottish,seamless,square,tartan,textile,texture,traditional,vector,wallpaper,wool",https://image.shutterstock.com/image-vector/plaid-lines-colorful-squares-fashion-600w-1676142247.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/plaid-lines-colorful-squares-fashion-600w-1676142247.jpg', 'path': 'full/3f94c5ad7eb02f37be02f09fe1f6dc579e7723d0.jpg', 'checksum': '35aba084c24da8c40bdc69dfd592cf40'}]"
1182759361,1,seamless+pattern+checkered,vector,sienkie,Set of 3 Hand Drawn Irregular Geometric Patterns. Horizontal Gry and Pink Stripes on a White Background. White Grid on A Pink Background. Infantile Style Design.Cute Hand Drawn Geometric Patterns.,"pattern,grid,seamless,cute,background,pink,irregular,geometric,soft,abstract,plaid,check,print,vector,funny,gingham,backdrop,childish,cool,delicate,girly,grey,layout,lovely,party,repeat,square,trendy,wallpaper,baby,boy,bright,checkered,children,design,drawing,fabric,girl,hand drawn,illustration,infantile,kids,lines,modern,striped,stripes,sweet,textile,vintage,white",https://image.shutterstock.com/image-vector/set-3-hand-drawn-irregular-600w-1182759361.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-3-hand-drawn-irregular-600w-1182759361.jpg', 'path': 'full/9f4d8477355eadfdc4a7f6cbabdc5a729e6344e6.jpg', 'checksum': '72a7b8de6897722fdcddf4faa9dcc363'}]"
1136124335,1,seamless+pattern+checkered,vector,Alisaavru,Vector colorful pattern of different size camomile flower with green and white checker background,"pattern,seamless,floral,daisy,vector,checker,flower,green,grey,outline,realistic,white,art,beautiful,big,black,blossom,blue,botanic,bouquet,bud,camomile,chamomile,colorful,decoration,design,fabric,garden,graphic,illustration,isolated,line,line art,nature,petal,plaid material,plant,romantic,small,square,textile,yellow",https://image.shutterstock.com/image-vector/vector-colorful-pattern-different-size-600w-1136124335.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-colorful-pattern-different-size-600w-1136124335.jpg', 'path': 'full/94321adc1235940da04525b45eb66839873fc6bc.jpg', 'checksum': '34f6a35ccdb56ac34705434b59e6583b'}]"
672449656,1,seamless+pattern+checkered,vector,Anya_D,"Seamless tartan plaid pattern. Checker fabric texture background. Vector design for digital textile printing. Color palette: bluish gray, white and pale reddish pink.","plaid,pattern,pink,tartan,checker,seamless,pastel,textile,grey,texture,vector,cute,background,gray,abstract,fabric,girl,fashion,square,blue,design,geometric,girly,light,preppy,scottish,twill,flannel,pretty,quilt,rustic,tablecloth,border,checkered,classic,faded,feminine,french,mens shirt,pajamas,pale,picnic blanket,place mat,pyjamas,rose,scotland,table cloth,tartan print,textile design,traditional",https://image.shutterstock.com/image-vector/seamless-tartan-plaid-pattern-checker-600w-672449656.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-tartan-plaid-pattern-checker-600w-672449656.jpg', 'path': 'full/b9478c44d33d95ab95187ffbebf5994a673b096a.jpg', 'checksum': '18fe7ad6c459575d0803ab6fc65788ca'}]"
1145068721,1,seamless+pattern+checkered,illustration,olgers,"Black and white argyle seamless plaid pattern. Watercolor hand drawn texture background. Watercolour rhombus shapes background. Print for cloth design, textile, fabric, wallpaper, wrapping, tile.","rhombus,watercolor,tile,pattern,plaid,print,seamless,cotton,retro,white,argyle,backdrop,background,black,bright,checkered,classic,cloth,clothes,clothing,color,decor,decoration,design,element,fabric,fashion,garment,geometric,illustration,modern,ornament,repeat,repeating,socks,style,sweater,tartan,textile,texture,tiling,traditional,trendy,vintage,wallpaper,web,wool,woolen,wrapping,yarns",https://image.shutterstock.com/image-illustration/black-white-argyle-seamless-plaid-600w-1145068721.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/black-white-argyle-seamless-plaid-600w-1145068721.jpg', 'path': 'full/0dc94fe90bc62872ee72c0963cb9fac52200120d.jpg', 'checksum': '903916c79ebf8c55dabcf1b3e4c9030d'}]"
1141685864,1,seamless+pattern+checkered,vector,Svetlana+Kononova,Seamless geometric pattern with small-scale checkers and stripes. White on dark blue. Hipster textile design collection.,"pattern,seamless,geometric,gingham,tartan,abstract,background,beautiful,blanket,blue,checked,checkered,checkers,classic,cloth,clothing,costume,cotton,dark,design,dress,elegant,english,fabric,fashion,folk,french,hipster,kilt,napkin,plaid,print,scarf,scottish,shirt,stripes,stripped,style,suit,tablecloth,textile,texture,traditional,uniform,vector,vintage,wallpaper,white,woolen",https://image.shutterstock.com/image-vector/seamless-geometric-pattern-smallscale-checkers-600w-1141685864.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-geometric-pattern-smallscale-checkers-600w-1141685864.jpg', 'path': 'full/9715eb794ff7504017128392f8b651be5e09a111.jpg', 'checksum': 'a6f28eea2594d653e3b9224278035d4a'}]"
