id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1869615235,1,seamless+pattern+victorian,vector,Annartlab,"Turquoise and white seamless pattern with mandala ornament. Traditional Arabic, Indian motifs. Great for fabric and textile, wallpaper, packaging or any desired idea.","lace,medallion,pattern,floral,indian,paisley,tribal,abstract,antique,arabesque,background,baroque,beauty,bohemian,boho,carpet,classic,damask,decoration,decorative,elegant,ethnic,fashion,flower,folk,geometric,invitation,islamic,leaf,leaves,luxury,mandala,modern,moroccan,mosaic,motif,organic,oriental,ornate,ottoman,retro,royal,rug,stripe,texture,tile,vector,victorian,vintage,wedding",https://image.shutterstock.com/image-vector/turquoise-white-seamless-pattern-mandala-600w-1869615235.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/turquoise-white-seamless-pattern-mandala-600w-1869615235.jpg', 'path': 'full/b5bde3cea96eca6a5310a8508aad2168b36ef9e0.jpg', 'checksum': '56b6b1fbbbe18a12fc0301b635420d9a'}]"
497689294,1,seamless+pattern+victorian,vector,mamita,"Vintage Japanese chrysanthemum flowers, pomegranates, branches, leaves and birds. Vector seamless pattern. Illustration for fabrics, phone case paper, gift packaging, textiles, interior design, cover.","pattern,vintage,floral,illustration,japanese,seamless,pomegranate,vector,chinese,oriental,animal,fruit,plant,antique,design,luxury,background,chrysanthemum,old,victorian,bloom,gold,garden,spring,fabric,leaves,paper,korean,ornament,decor,nature,summer,white,blossom,botany,cover,gift,case,phone,birds,blooming,bouquet,branches,decoration,engraving,floret,flowers,interior,packaging,textiles",https://image.shutterstock.com/image-vector/vintage-japanese-chrysanthemum-flowers-pomegranates-600w-497689294.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vintage-japanese-chrysanthemum-flowers-pomegranates-600w-497689294.jpg', 'path': 'full/5a3bbe209ca574f2e31b0a21ac028c4a3959759c.jpg', 'checksum': '4c34074f24d44a482b71752342a5580d'}]"
1715855398,1,seamless+pattern+victorian,illustration,krisArt,"Boho seamless pattern watercolor elements of savanna gold flowers collection garden red, burgundy flower, leaves, branches, Botanic illustration background","watercolor,arrangements,collection,natural,summer,background,big,blue,botanical,bouquet,branch,bud,bunch,card,celebration,classic,cute,decor,decoration,design,drawing,element,exotic,floral,flower,garden,green,greeting card,hand drawn,herbal,herbs,illustration,invitation,isolated,leaf,nature,pink,plant,red,rose,set,spring,template,valentine day,victorian,vintage,wedding,white,white background,wild",https://image.shutterstock.com/image-illustration/boho-seamless-pattern-watercolor-elements-600w-1715855398.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/boho-seamless-pattern-watercolor-elements-600w-1715855398.jpg', 'path': 'full/a02a6473614dd3fc279ef2902924e03afd09ae4d.jpg', 'checksum': 'd2639606f2085d101f7bd6b75394d5e9'}]"
127134770,1,seamless+pattern+victorian,vector,ychty,vintage seamless pattern with Victorian motif,"pattern,seamless,floral,vintage,victorian,background,design,vector,ornament,quilt,texture,diamond,fabric,traditional,classic,english,wallpaper,square,damask,geometric,print,geometry,grunge,old,simple,textile,basic,blue,cotton,material,retro,symmetry,abstract,color,style,twill,beige,clothes,clothing,colorful,concept,diagonal,grey,harlequin,repeating",https://image.shutterstock.com/image-vector/vintage-seamless-pattern-victorian-motif-600w-127134770.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vintage-seamless-pattern-victorian-motif-600w-127134770.jpg', 'path': 'full/19864cf0050094ba3b4bb76640aee8a259aefe19.jpg', 'checksum': 'adcc3134754c5dd975b17fd315b79c29'}]"
1049159531,1,seamless+pattern+victorian,vector,mamita,"Peonies and roses. Floral vintage seamless pattern. Gold and white flowers, leaves, branches and berries on black background. Oriental style. Vector illustration art. For design textiles, paper.","floral,pattern,black,gold,white,vector,seamless,vintage,abstract,background,oriental,design,luxury,wallpaper,print,art,bloom,ornate,paper,graphic,sketch,bouquet,drawing,foil,plant,garden,old,retro,victorian,leaves,style,berries,botany,decor,spring,handmade,nature,summer,blooming,branches,decoration,engraving,flowers,graphics,illustration,peonies,precious,roses,template,textiles",https://image.shutterstock.com/image-vector/peonies-roses-floral-vintage-seamless-600w-1049159531.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/peonies-roses-floral-vintage-seamless-600w-1049159531.jpg', 'path': 'full/f77a6ee0abadd48848c13ec71f03279f0f9b4908.jpg', 'checksum': 'ab43819f5ca3b441387ed9af295da256'}]"
1342460312,1,seamless+pattern+victorian,vector,akilev,"Japan wave pattern ditzy floral motif. Ardent yellow tiny flowers, green leaves on a navy blue all over design. Print block for fabric, apparel textile, wrapping paper. Minimal oriental vector graphic","geo,chambray,jacobean,rayon,antique persian paisley,arrangement of simple geometric shapes,art deco arch,basket weave,boho chic abstract arrow,cambodia,canvas sheet,chinese window,coloured woven cloth,damask wall paper,decoupage,ditsy fish scale,dutch tulip form,ethnic buta embroidery,folk bird plumage,garment,herring bone,herringbone,indian painting,indonesian,japanese kimono,leaf line,linen napkin,malaysian batik,mini arc,nautical elegant backdrop,ocean wave texture,ogee retro ornament,old victorian wallpaper,ornate nouveau shell,polo t shirt template,pretty seamless print,repeat roof tile,royal gold lotus,rustic animal skin,small medallion,snake,sri lanka,stylized peacock feather,summer trendy background,sweet,thailand,turkish cucumber pattern,twenties woman fashion,vintage nature illustration,water lily",https://image.shutterstock.com/image-vector/japan-wave-pattern-ditzy-floral-600w-1342460312.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/japan-wave-pattern-ditzy-floral-600w-1342460312.jpg', 'path': 'full/828687360e500efd3fc15d8a771b45e141240f6e.jpg', 'checksum': '05f9176825118cf85a09204e8ef57493'}]"
1114000928,1,seamless+pattern+victorian,vector,tashsat,Grey abstract seamless  pattern,"pattern,organic,seamless,vector,background,line,ornament,floral,abstract,texture,weave,outline,design,vintage,art,grey,graphic,foliage,illustration,silhouette,fabric,black,decor,wallpaper,backdrop,baroque,dark,fashion,light,old,retro,silk,symbol,textile,tile,venetian,victorian,curtains,curves,decoration,decorative,drapery,flourishes,leafs,ornamental,renaissance,repeating,revival,style,tiled",https://image.shutterstock.com/image-vector/grey-abstract-seamless-pattern-600w-1114000928.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/grey-abstract-seamless-pattern-600w-1114000928.jpg', 'path': 'full/1317ff91f364a3b97289173f9b64ea675cf8aa3a.jpg', 'checksum': 'fbcb36611af583b7f1b40864a96b9650'}]"
705924211,1,seamless+pattern+victorian,vector,diamond777,Seamless pattern. Beautiful fabric blooming realistic isolated flowers. Vintage background. Set Chamomile Rose petunia wildflowers. Wallpaper baroque. Drawing engraving. Vector victorian Illustration,"pattern,vintage,seamless,rose,baroque,vector,background,print,white,bouquet,painting,pink,realistic,victorian,blue,image,purple,retro,wallpaper,antique,design,drawing,garden,illustration,isolated,leaves,textile,botany,monochrome,plant,spring,style,artwork,beautiful,black and white,blooming,chamomile,colors,detailed,engraving,fabric canvas,flowers,graphic,medicine,nature,petunia,settings icon,tapestry material,wedding,wildflowers",https://image.shutterstock.com/image-vector/seamless-pattern-beautiful-fabric-blooming-600w-705924211.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-beautiful-fabric-blooming-600w-705924211.jpg', 'path': 'full/e84a928607bad922666aaf97bfa4fd9d501dd971.jpg', 'checksum': '9906c0fbd4a12dab97d5b24fcadfb9f2'}]"
631868921,1,seamless+pattern+victorian,illustration,chekmareva,Seamless pattern of graceful roses with buds F,"pattern,seamless,watercolor,flower,floral,abstract,rose,old,texture,design,pink,print,vintage,drawing,soft,art,background,beautiful,delicate,fabric,garden,illustration,pastel,pencil,romantic,victorian,white,artwork,beauty,blossom,bouquet,bud,chic,classic,colorful,decoration,draw,elegance,elegant,feminine,leaf,nature,petal,plant,shabby,silk,spring,summer,textile,wallpaper",https://image.shutterstock.com/image-illustration/seamless-pattern-graceful-roses-buds-600w-631868921.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-graceful-roses-buds-600w-631868921.jpg', 'path': 'full/f5ee61075db1b152263722bf59801f10a9f27944.jpg', 'checksum': '7f6efdfa6eb30214424c85625385537d'}]"
557941687,1,seamless+pattern+victorian,vector,extezy,Vector seamless pattern. Modern stylish texture design in Victorian style. Ornamental baroque background. Ornate floral decor for wallpaper. Repeating geometric tiles with dotted ornament rhombus,"pattern,seamless,wallpaper,baroque,damask,fabric,gold,modern,ornament,vector,abstract,antique,arab,backdrop,background,beautiful,black,boutique,decor,decorative,design,dot,east,elegance,element,geometric,geometric pattern,graceful,illustration,line,old,oriental,ornate,outline,regular,repeat,rhombus,royal,seamless pattern,simple,square,structure,stylish,textile,texture,textured,tile,tracery,traditional,vintage",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-557941687.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-557941687.jpg', 'path': 'full/33ad604c2fd33034225b2b764aeab60f7763fe5c.jpg', 'checksum': '55d3c8bfd75c009205885e7114699a26'}]"
