id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
536164105,1,seamless+pattern+white,vector,ExpressVectors,Collection of swatches memphis patterns - seamless. Retro fashion style 80-90s.,"pattern,texture,background,vector,seamless,dot,abstract,geometric,memphis,90s,graphic,simple,design,fashion,fun,cool,modern,retro,white,hipster,80s,set,black,dash,vintage,art,trendy,repeat,monochrome,wallpaper,decor,fabric,cloth,creative,web,funky,card,collection,paper,concept,cover,website,curve,dark,backdrop,interior,swatches,template,wrapping,mosaic,textile,and,decoration,decorative,drawing,elements,frames,geometry,illustration,lines,shapes,stripes",https://image.shutterstock.com/image-vector/collection-swatches-memphis-patterns-seamless-600w-536164105.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collection-swatches-memphis-patterns-seamless-600w-536164105.jpg', 'path': 'full/813ed6af7d07bc03b0989f62d95795cc98466962.jpg', 'checksum': 'f9d02fc9cd93338e3a0f998bdf0ab333'}]"
1474614581,1,seamless+pattern+white,vector,Kuvshinova+Nadezhda,"Garden flower, plants ,botanical ,seamless pattern vector design for fashion,fabric,wallpaper and all prints on green mint background color. Cute pattern in small flower. Small colorful flowers.","flower,pattern,floral,vector,cute,background,seamless,abstract,print,design,plant,spring,summer,modern,small,blue,ditsy,wild,decorative,ornament,tiny,white,leaf,nature,pink,fabric,textile,fashion,garden,pretty,retro,texture,vintage,wallpaper,folk,gift,repeat,amazing,beautiful,blossom,botanical,color,dark,decoration,elegant,exotic,illustration,little,simple,wrap",https://image.shutterstock.com/image-vector/garden-flower-plants-botanical-seamless-600w-1474614581.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/garden-flower-plants-botanical-seamless-600w-1474614581.jpg', 'path': 'full/140e95d934cec161a6c7b6df56883a7271ed24f8.jpg', 'checksum': '7e22cf9d52780189d88c01ada6634b3b'}]"
131298119,1,seamless+pattern+white,vector,ANNA_KOVA,"100 Universal different vector seamless patterns (tiling). Endless texture can be used for wallpaper, pattern fills, web page background,surface textures. Set of monochrome geometric ornaments.","pattern,vector,seamless,geometric,background,line,tile,design,vintage,abstract,icon,set,border,floral,simple,square,circle,black,wallpaper,dot,white,collection,repeat,print,color,swatch,diagonal,element,art,decorative,backdrop,grunge,monochrome,repeatable,texture",https://image.shutterstock.com/image-vector/100-universal-different-vector-seamless-600w-131298119.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/100-universal-different-vector-seamless-600w-131298119.jpg', 'path': 'full/dc53bc9e3bdcda9a3cd8e6b94f12b930341a06e6.jpg', 'checksum': 'a393a9ff4e1a947124a51b17077f37fe'}]"
1855682995,1,seamless+pattern+white,vector,ViAViChe,seamless illustration with animals. white rabbits with dragonflies on a light blue background. cute kids ornament,"easter,pattern,seamless,bunny,cute,floral,plant,spring,vector,watercolor,animal,april,art,baby,baby illustration,background,background blue,boy,cartoon,character,child,child print,childish character,cloth,decor,design,drawing,flower,forest,funny,green,happy,illustration,kid,leaf,light,love,nature,pastel,print,rabbit,textile,texture,toddler,wallpaper,watercolor style,white bunny",https://image.shutterstock.com/image-vector/seamless-illustration-animals-white-rabbits-600w-1855682995.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-illustration-animals-white-rabbits-600w-1855682995.jpg', 'path': 'full/a5f646ed6fcdd45425180a298029d52243b370e5.jpg', 'checksum': '8b3eb796140e710253d026f2dc0b10ee'}]"
765167605,1,seamless+pattern+white,vector,Olkita,Seamless white abstract pattern. Geometric print composed of triangles and polygons. Background.,"background,pattern,triangle,polygon,white,texture,seamless,grey,vector,geometric,abstract,geometry,gray,shape,element,simple,print,color,structure,dimensional,effect,empty,gradient,graphic,optical,technology,template,art,backdrop,concept,creased,crumpled,crushed,decoration,decorative,design,fabric,geometrical,illusion,illustration,modern,mosaic,origami,simulation,style,textured,wallpaper,white background",https://image.shutterstock.com/image-vector/seamless-white-abstract-pattern-geometric-600w-765167605.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-white-abstract-pattern-geometric-600w-765167605.jpg', 'path': 'full/356002685471d0571f3ab8f683165a3d9abae5cb.jpg', 'checksum': 'b7da0bef08204531d919762edcca00a3'}]"
572778790,1,seamless+pattern+white,photo,Lena+Bukovsky,Blue marble texture. Abstract seamless background. Natural stone pattern. ,"marble,pattern,seamless,texture,blue,abstract,background,white,nature,floor,ceramic,stone,wall,dark,design,material,vintage,art,tile,decorative,graphic,illustration,interior,kitchen,paint,architecture,concrete,monochromatic,monochrome,old,rock,space,wallpaper,antique,backdrop,blue marble,closeup,decoration,detail,elegance,granite,marbled,natural,rustic,smooth,spot,stucco,surface,textured,wrapping",https://image.shutterstock.com/image-photo/blue-marble-texture-abstract-seamless-600w-572778790.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/blue-marble-texture-abstract-seamless-600w-572778790.jpg', 'path': 'full/cc8434764ed47ce3480c98542425505d52ba15ab.jpg', 'checksum': '39865c66b4328c3e874fcfbe6cfc8515'}]"
594738689,1,seamless+pattern+white,vector,RODINA+OLENA,The geometric pattern with stripes . Seamless vector background. Green and white texture. Graphic modern pattern.,"pattern,geometric,seamless,green,texture,vector,zigzag,simple,abstract,background,blue,modern,line,chevron,stripe,fabric,geometry,wallpaper,classic,repeat,cloth,shape,tile,carpet,dark,ornament,art,beauty,design,elegant,draw,fashion,stylish,curtain,image,abstraction,artistic,backdrop,decorative,drawing,graphic,halftone,illustrate,industrial,packaging,repeatable,repetition,striped,style,unusual",https://image.shutterstock.com/image-vector/geometric-pattern-stripes-seamless-vector-600w-594738689.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/geometric-pattern-stripes-seamless-vector-600w-594738689.jpg', 'path': 'full/6eb351cce851b49eda255738b2917cf6401e488c.jpg', 'checksum': 'f38d32ceee54f085fd1251a6e3b2f2e0'}]"
1702020904,1,seamless+pattern+white,vector,kokoshka,"Big set of oriental patterns. White and gold background with Arabic ornaments. Patterns, backgrounds and wallpapers for your design. Textile ornament. Vector illustration.","pattern,arab,seamless,ornament,vector,line,turkish,arabesque,background,art,asia,decoration,mosaic,round,wall,design,ethnic,gold,islamic,lace,set,abstract,arabian,floral,illustration,paper,spanish,wallpaper,arabic,asian,curves,decor,decorative,east,eastern,graphic,history,islam,modern,muslim,old,orient,ornamental,ornate,repeat,sample,style,tile,traditional,vintage",https://image.shutterstock.com/image-vector/big-set-oriental-patterns-white-600w-1702020904.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/big-set-oriental-patterns-white-600w-1702020904.jpg', 'path': 'full/30fb27c605ce237afa7d400d6d58d195b6a4a6da.jpg', 'checksum': 'ba83aefb43735c82986d3ce38aff81b9'}]"
512855293,1,seamless+pattern+white,vector,alla+kondrakhina,Vector seamless pattern. Modern stylish texture. Repeating geometric pattern tiles with staggered squares.,"pattern,seamless,vector,background,geometric,abstract,texture,square,modern,white,labyrinth,wallpaper,bar,mat,beautiful,flat,lattice,link,template,tile,bright,cloth,decor,decoration,dynamic,endless,gray,grid,illusion,light,monochrome,neutral,offset,ornament,parquet,stencil",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-512855293.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-512855293.jpg', 'path': 'full/baf4a9aa7d52f91bad50dd675e24073ff1369518.jpg', 'checksum': 'bcbcc12405f3cd760cb7a2428a5dd04f'}]"
1716920314,1,seamless+pattern+white,illustration,DreamLoud,"watercolor brown baby lion and stars seamless pattern on white background for fabric,textile,branding,invitations,scrapbooking,wrapping","cute,lion,white,baby,pattern,seamless,texture,watercolor,animal,art,baby shower,background,branding,brown,celestial,character,cheerful,child,childish,children,decoration,design,drawing,dream,fabric,face,funny,hand drawn,happy,illustration,jungle,little,lovely,lullaby,moon,nature,nursery,pajamas,paper,print,safari,scrapbooking,smile,star,textile,wallpaper,wild,wildlife,wrapping,zoo",https://image.shutterstock.com/image-illustration/watercolor-brown-baby-lion-stars-600w-1716920314.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/watercolor-brown-baby-lion-stars-600w-1716920314.jpg', 'path': 'full/a1807a9490f13034787d5ad858e73e83a9afe7e8.jpg', 'checksum': 'dc0b792ef0693eac695a766c9315129c'}]"
1669514710,1,seamless+pattern+white,vector,Nechayka,"Daisy seamless pattern on dark blue background. Floral ditsy print with small white flowers. Chamomile design great for fashion fabric, trend textile and wallpaper. Vector","daisy,seamless,pattern,background,vector,abstract,cute,flower,trendy,chamomile,field,kitchen,meadow,pretty,print,simple,small,spring,bloom,blossom,blue,botanical,cloth,color,decor,ditsy,elegant,fabric,fashion,floral,folk,fresh,garden,girly,illustration,little,modern,paper,petal,repeat,romantic,rustic,scrapbooking,summer,textile,tiny,trend,vintage,wallpaper,white",https://image.shutterstock.com/image-vector/daisy-seamless-pattern-on-dark-600w-1669514710.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/daisy-seamless-pattern-on-dark-600w-1669514710.jpg', 'path': 'full/d513e9a845e226777331df5d5efc94675a0ea477.jpg', 'checksum': 'b61972f388b9dcab1d26ff88a04e3dcd'}]"
591885260,1,seamless+pattern+white,illustration,lisima,"Seamless pattern with pink flowers and leaves on white background, watercolor floral pattern, flower rose in pastel color, tileable for wallpaper, card or fabric","pattern,floral,watercolor,pink,wallpaper,seamless,rose,wall,paper,print,spring,illustration,white,design,abstract,textile,fabric,art,painting,gray,graphic,leaf,furniture,card,ornament,retro,branch,decorative,valentine,artistic,bedclothes,blossom,template,floral background,flowers,hand drawn,invitation,pastel color,postcard,structure,tile,vintage style,wrapper,wrapping paper",https://image.shutterstock.com/image-illustration/seamless-pattern-pink-flowers-leaves-600w-591885260.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-pink-flowers-leaves-600w-591885260.jpg', 'path': 'full/58653c273f59cbe7ee0daf38a58b1772eb9ebb57.jpg', 'checksum': '985dfdee4b7fef233ea90a6bf638cd3b'}]"
