id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1590062734,1,seamless+pattern+watercolor,illustration,ruseanna,"Seamless watercolor floral pattern - green leaves and branches composition on white background, perfect for wrappers, wallpapers, postcards, greeting cards, wedding invitations, romantic events.","watercolor,pattern,eucalyptus,seamless,watercolour,flower,background,leaves,floral,foliage,leaf,botanical,green,wedding,abstract,vintage,spring,texture,bouquet,print,art,branch,greenery,wreath,nature,plant,succulent,wallpaper,illustration,summer,tree,fashion,garden,set,card,design,frame,trendy,white,decoration,drawing,fern,graphics,hand painted,illustrated,invitation,invites,isolated,lime color,retro",https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-green-600w-1590062734.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-green-600w-1590062734.jpg', 'path': 'full/f5aa8ef7676bf01becfa1dae709fd9c8db2cc8c4.jpg', 'checksum': '6f290ad4ba09d3fcba95c46f8da348a3'}]"
1801860700,1,seamless+pattern+watercolor,vector,marukopum,Abstract seamless background with watercolor texture vector. Peony flower flower with brush stroke illustration in vintage style. Pastel colorful concept.,"watercolor,flower,pattern,abstract,seamless,art,background,vector,print,texture,vintage,floral,japan,paint,decorative,design,flyer,grunge,illustration,layout,poster,abstract arts background,art landscape,artistic,asian style,backdrop,banner,brush stroke texture,chinese,color,creative,elegance,element,fall,fluid,graphic,japanese pattern,liquid,modern,nature,new year cards material,ornament,retro,shape,template,textured,traditional,wallpaper,wave",https://image.shutterstock.com/image-vector/abstract-seamless-background-watercolor-texture-600w-1801860700.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-background-watercolor-texture-600w-1801860700.jpg', 'path': 'full/94c5d10fe810e4a03834758a82b14ae6b4564a47.jpg', 'checksum': '33915f69bcecb0a796300fe2fab6ddd2'}]"
658790329,1,seamless+pattern+watercolor,illustration,lisima,"Seamless pattern with pink flowers and leaves on white background, watercolor floral pattern, flower rose in pastel color, tile for wallpaper, card, fabric","pattern,floral,pink,watercolor,seamless,print,rose,white,tile,illustration,wall,design,furniture,gray,invitation,leaf,spring,abstract,fabric,template,textile,art,bedclothes,blossom,card,graphic,ornament,paper,postcard,wallpaper,artistic,branch,decorative,floral background,flowers,hand drawn,painting,pastel color,retro,structure,valentine,vintage style,wrapper,wrapping paper",https://image.shutterstock.com/image-illustration/seamless-pattern-pink-flowers-leaves-600w-658790329.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-pink-flowers-leaves-600w-658790329.jpg', 'path': 'full/5a4a70247a582c0d2c40e38699e2605d926a22ab.jpg', 'checksum': 'ca46948a0f9830cef5914696e8d7fb79'}]"
1631522455,1,seamless+pattern+watercolor,illustration,leadhiz,Hand painted turquoise watercolor leaf like arabesque floral geometrical shell allover seamless pattern in repeat ,"watercolor,pattern,seamless,geometric,flower,texture,abstract,background,wallpaper,drawing,floral,leaf,modern,nature,paint,allover,aquarelle,drawn,faded,ink,print,sketch,turquoise,arabesque,art,artistic,blot,brush,decoration,element,endless,gradation,graphic,grunge,hand,illustration,liquid,ornament,ornamental,paper,petal,repeat,scallops,shades,shape,stain,stroke,textile,wash,wet",https://image.shutterstock.com/image-illustration/hand-painted-turquoise-watercolor-leaf-600w-1631522455.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/hand-painted-turquoise-watercolor-leaf-600w-1631522455.jpg', 'path': 'full/58a01c8ca4572a957cbf514854ae760b510c0cda.jpg', 'checksum': '125856a81e9a11172478078aa6e37ba0'}]"
1038204763,1,seamless+pattern+watercolor,vector,Homunkulus28,Vector seamless pattern of exotic heliconia leaves drawn in line graphic and watercolor artistic techniques,"pattern,plant,watercolor,flower,seamless,modern,wallpaper,leaf,green,jungle,background,spa,nature,travel,floral,art,greenery,design,exotic,paint,flora,line,decor,fabric,endless,textile,trendy,card,hawaii,paradise,garden,romantic,wedding,asian,bloom,combination,heliconia,summer,violet,asia,blossom,bali,botanical,bridal,decoration,engraving,gird,illustration,polygon,tropical",https://image.shutterstock.com/image-vector/vector-seamless-pattern-exotic-heliconia-600w-1038204763.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-exotic-heliconia-600w-1038204763.jpg', 'path': 'full/1d0392c9465e52b40d725edeb1fb1014e3bba490.jpg', 'checksum': '1f9ff9e1bd5399597aec7bf5ff5ddb0e'}]"
678921286,1,seamless+pattern+watercolor,illustration,Tasiania,Geometric seamless pattern with multicolor stripes and teals. Trendy abstract background.,"pattern,watercolor,abstract,geometric,seamless,background,paint,watercolour,stripe,modern,texture,art,line,illustration,color,trendy,geo,teal,fashion,design,kaleidoscope,square,brush,contemporary,drawing,ethnic,grunge,fabric,stroke,creative,simple,graphic,strip,textile,trend,vertical,cut,artwork,ornament,rhombus,rhythm,acrylic,artist,artistic,creativity,geometry,repeating,template,vibrant",https://image.shutterstock.com/image-illustration/geometric-seamless-pattern-multicolor-stripes-600w-678921286.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/geometric-seamless-pattern-multicolor-stripes-600w-678921286.jpg', 'path': 'full/bfc637f38f0d948c1707c4b2b065317794e455d8.jpg', 'checksum': '2f5818916bb2f038955d260d598d4bb4'}]"
724545349,1,seamless+pattern+watercolor,vector,ollymolly,"Watercolor vector texture. Aquarelle circles in pastel colors. Seamless pattern. Watercolor pink, and golden spots isolated on white background.","pattern,watercolor,cute,pink,background,watercolour,circle,gold,seamless,pastel,vector,heart,spot,texture,love,party,golden,graphic,wallpaper,abstract,color,yellow,blue,drawn,illustration,romantic,wedding,brush,decoration,element,romance,aquarelle,card,set,bright,design,isolated,art,fabric,holiday,tile,colorful,decorative,drawing,hand drawn,lovely,multicolor,valentine,wrapping",https://image.shutterstock.com/image-vector/watercolor-vector-texture-aquarelle-circles-600w-724545349.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/watercolor-vector-texture-aquarelle-circles-600w-724545349.jpg', 'path': 'full/90c00263f3f5c30be21da1054524600ea8219663.jpg', 'checksum': '2f1364a7ab9d2846078ca5a9a3f52d9f'}]"
1033399189,1,seamless+pattern+watercolor,vector,oking,Ikat seamless pattern. Vector tie dye  shibori print with stripes and chevron. Ink textured japanese background.  Ethnic fabric vector. Bohemian fashion. Endless watercolor texture. African rug.,"pattern,watercolor,boho,batik,texture,vector,flower,seamless,blue,print,ethnic,watercolour,bohemian,geometric,ikat,fabric,aztec,background,border,tile,dye,geo,tie,abstract,indonesian,organic,shibori,tribal,embroidery,japanese,african,circle,hand,woven,art,chevron,fashion,brush,wave,paint,patchwork,tibetan,creative,dots,ethnic nativity,ikat pattern,ikat vector,minimalism,stripes,swimwear",https://image.shutterstock.com/image-vector/ikat-seamless-pattern-vector-tie-600w-1033399189.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ikat-seamless-pattern-vector-tie-600w-1033399189.jpg', 'path': 'full/1e57bb7f3d96346aac483e155b2cb099b9e4861f.jpg', 'checksum': '2277c5379a07f2fea49b4522587dd1b7'}]"
494650495,1,seamless+pattern+watercolor,illustration,yokunen,"Gradient splattered rainbow background, hand drawn with watercolor ink. Seamless painted pattern, good for decoration. Imperfect illustration. Pastel bright colors. ","watercolor,rainbow,stripe,geometric,line,pattern,seamless,pastel,color,paint,background,gradient,illustration,imperfect,vertical,abstract,brush,drawing,dye,outline,set,splatter,backgrounds,based,bright,colored,colorful,decoration,element,grain,hand,horizontal,imperfection,ink,laconic,large,liquid,presentation,sign,simple,splattered,stripes,stroke,stylish,texture",https://image.shutterstock.com/image-illustration/gradient-splattered-rainbow-background-hand-600w-494650495.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/gradient-splattered-rainbow-background-hand-600w-494650495.jpg', 'path': 'full/1d348cb469177198351ce8a2a1a34863ffdbddc5.jpg', 'checksum': '4529ce796f7c4af919ac8ccc6028e173'}]"
440690605,1,seamless+pattern+watercolor,illustration,y_derbisheva,Watercolor green floral seamless pattern with eucalyptus round leaves. Hand painted pattern with branches and leaves of silver dollar eucalyptus isolated on white background. For design or background,"watercolor,pattern,eucalyptus,watercolour,plant,leaf,flower,background,floral,foliage,autumn,print,branch,succulent,cactus,tree,illustration,nature,round,vintage,rustic,silver,art,design,dollar,drawn,garden,isolated,spring,wallpaper,delicate,fabric,aloe,botany,decoration,flora,florist,wedding,agave,botanical,echeveria,element,exotic,globulus,gum,set,twig",https://image.shutterstock.com/image-illustration/watercolor-green-floral-seamless-pattern-600w-440690605.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/watercolor-green-floral-seamless-pattern-600w-440690605.jpg', 'path': 'full/b6febf1a5a7bc23fb07cbc3974d26a0aabcba812.jpg', 'checksum': '5643841fc8fbed5feddd91bf60966c3b'}]"
