id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1211328580,1,seamless+pattern+set,vector,Ezhevika,Set of Geometric seamless patterns. Abstract geometric  hexagonal  graphic design print 3d cubes pattern. Seamless  geometric cubes pattern.,"pattern,geometric,background,seamless,vector,wallpaper,texture,modern,line,set,graphic,design,grid,vintage,abstract,repeat,tile,simple,shape,triangle,decor,square,ornament,hexagon,fabric,retro,block,3d,cube,structure,stripe,black,mosaic,cubic,element,optical,cover,print,stylish,style,template,wrapping,artistic,concept,creative,backdrop,decoration,decorative,geometry,illustration",https://image.shutterstock.com/image-vector/set-geometric-seamless-patterns-abstract-600w-1211328580.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-geometric-seamless-patterns-abstract-600w-1211328580.jpg', 'path': 'full/fb7a6e763087822b16b1f12e8523ab735e443790.jpg', 'checksum': 'b2103b92a9bb4ad256ba8c2c190a0e69'}]"
215323615,1,seamless+pattern+set,vector,Elena+Zolotukhina,Set of ten Arabic patterns,"arab,geometric,vector,seamless,set,nature,texture,background,abstract,ornament,flower,culture,mix,lineal,postcard,symbol,wallpaper,kit,object,sign,similar,arabic,beautiful,illustration,textile",https://image.shutterstock.com/image-vector/set-ten-arabic-patterns-600w-215323615.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-ten-arabic-patterns-600w-215323615.jpg', 'path': 'full/4d04548a2c984f6b04d6eb0635def8bd3e7ab87a.jpg', 'checksum': 'ea226ab734af1c650f3eea5399d052e1'}]"
410390302,1,seamless+pattern+set,vector,Amovitania,Blue black white painted seamless patterns set. Distress texture and grunge design.  Striped chevron and circle ornaments. Grunge paint backgrounds. Vector wallpaper or fabric print from brush strokes,"pattern,vector,seamless,texture,set,grunge,paint,stripe,brush,chevron,abstract,black,blue,art,fashion,geometric,decorative,elements,fabric,scratch,white,zigzag,design,graphic,polka,unusual,background,birds,bright,chalk,damaged,distress,dot,dry,edges,effect,furniture,grungy,lines,messy,ornaments,paintbrush,print,sketchy,splattered,spotted,strokes,textured,torn,wallpaper",https://image.shutterstock.com/image-vector/blue-black-white-painted-seamless-600w-410390302.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/blue-black-white-painted-seamless-600w-410390302.jpg', 'path': 'full/e909d1f09eb43899ba23bd8d7a628a277cc1119a.jpg', 'checksum': 'c80ab3aa3266440ffbfcf9d6ad926a80'}]"
534798139,1,seamless+pattern+set,vector,Ezhevika,"Big set of 20 oriental patterns. White and gold background with Arabic ornaments. Patterns, backgrounds and wallpapers for your design. Textile ornament. Vector illustration.","pattern,arab,floral,arabesque,background,islam,orient,ornament,seamless,wallpaper,lace,set,gold,decor,abstract,asian,vintage,modern,line,turkish,graphic,wall,mosaic,eastern,ethnic,muslim,art,arabian,asia,old,ornate,style,tile,history,paper,repeat,round,east,spanish,arabic,curves,decoration,decorative,illustration,islamic,ornamental,sample,traditional",https://image.shutterstock.com/image-vector/big-set-20-oriental-patterns-600w-534798139.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/big-set-20-oriental-patterns-600w-534798139.jpg', 'path': 'full/86226256d8a522fb9d213d9cba4faf7a41675063.jpg', 'checksum': 'eb2a1cf93f037f677f207f803d00d64f'}]"
567427987,1,seamless+pattern+set,vector,ANNA_KOVA,Light grey seamless pattern background. Vector illustration for elegant design. Abstract geometric frame. Stylish decorative label set. Fashion universal background.,"pattern,background,texture,vector,seamless,vintage,design,classic,line,frame,geometric,retro,package,light,abstract,wallpaper,modern,border,fabric,graphic,gray,box,fashion,shape,decor,repeat,illustration,white,business,cover,chevron,collection,element,ornament,template,paper,style,interior,perfume,diamond,backdrop,beautiful,decoration,decorative,diagonal,elegant,grid,stripe,tile,zig zag",https://image.shutterstock.com/image-vector/light-grey-seamless-pattern-background-600w-567427987.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/light-grey-seamless-pattern-background-600w-567427987.jpg', 'path': 'full/03bb3f6afdd552d3ddfa3cd5e17e262f8230fef1.jpg', 'checksum': '6983db7bf9d7be138dacc96640497576'}]"
1823089046,1,seamless+pattern+set,vector,Yamur,Hand drawn circle pattern of brush stroke. Vector seamless pattern set geometric texture shapes. Abstract background coolection of polka dot style in bright color. Decorative print with mosaic texture,"pattern,set,seamless,background,cute,abstract,brush,circle,contemporary,geometric,memphis,pop,texture,vector,bright,collection,color,composition,creative,design,element,exotic,fashion,geometry,graphic,green,grunge,hippie,hipster,illustration,minimal,modern,mosaic,ornament,paint,paintbrush,paper,poster,print,round,scribble,shape,simple,sketch,stripes,style,summer,textile,trendy,wallpaper",https://image.shutterstock.com/image-vector/hand-drawn-circle-pattern-brush-600w-1823089046.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawn-circle-pattern-brush-600w-1823089046.jpg', 'path': 'full/e58cd1ae01179b7b989293c49c4ae0606ae24ff2.jpg', 'checksum': '41f5f6dd6d19f4164a6b0edd39c2a6fb'}]"
234914425,1,seamless+pattern+set,vector,Julynx,Seamless oriental geometric patterns set in blue ,"pattern,modern,seamless,japan,chinese,japanese,geometric,set,vector,oriental,luxury,wallpaper,asia,cute,paper,simple,background,texture,circle,monochrome,ornament,backdrop,light,retro,round,square,delicate,endless,fan,illustration,repeat,style,tile,vintage,abstract,beautiful,decorative,fabric,grid,line,scrapbook,shape,beauty,collection,decor,geometry,ornate,stripe,textile",https://image.shutterstock.com/image-vector/seamless-oriental-geometric-patterns-set-600w-234914425.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-oriental-geometric-patterns-set-600w-234914425.jpg', 'path': 'full/a828b13c6d6c5b1ae67f21b715c55550e19e1d5d.jpg', 'checksum': '571b7decae78f0ac7cf6de02c8b8fe1e'}]"
144500365,1,seamless+pattern+set,vector,alicedaniel,Seamless geometric pattern in aztec style. Ideal for printing onto fabric and paper or scrap booking.,"pattern,tribal,vector,vintage,geometric,background,ikat,stripe,seamless,set,pastel,retro,aztec,motif,ethnic,navajo,ornament,scrapbook,fashion,trendy,doodle,collection,indian,paper,apache,fabric,abstract,peruvian,pink,textile,native,rug,wild,card,mexico,style,wallpaper,backdrop,blue,decorative,design,tribe,culture,peru,quilting,repeating,scrap-booking,traditional,woven,wrapping",https://image.shutterstock.com/image-vector/seamless-geometric-pattern-aztec-style-600w-144500365.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-geometric-pattern-aztec-style-600w-144500365.jpg', 'path': 'full/1dd70a9011e83d47ff01488085b202380bfad541.jpg', 'checksum': 'c154939c9f4e4e36a69d68d2d8e5742b'}]"
192568991,1,seamless+pattern+set,vector,IreneArt,Set of 4 black and white doodle seamless patterns. Vector illustration,"pattern,dot,seamless,vector,polka,geometric,modern,organic,background,watercolor,texture,line,wallpaper,abstract,simple,graphic,circle,ornament,trendy,sketch,design,elegant,paint,retro,bubble,neutral,vintage,decoration,oval,round,stylish,splash,textile,cutout,fabric,acrylic,brushstroke,outline,splatter,stroke,contour,scrapbook,silhouette,decorative,drawing,parallel,spots,stain,striped,stripes",https://image.shutterstock.com/image-vector/set-4-black-white-doodle-600w-192568991.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-4-black-white-doodle-600w-192568991.jpg', 'path': 'full/c01039a53bb901202ead5ceac53f7fbb93ed674c.jpg', 'checksum': '3161a497269e16cda936c34477464151'}]"
662961211,1,seamless+pattern+set,vector,ExpressVectors,Collection of memphis seamless patterns. Fashion 80-90s. Black and white mosaic textures. You can find seamless backgrounds in swatches panel.,"pattern,background,memphis,texture,graphic,shape,seamless,fun,90s,abstract,curve,modern,cross,funky,element,black,repeat,collection,design,white,art,simple,minimal,set,hipster,style,cloth,fabric,contemporary,fashion,template,textile,wallpaper,web,concept,decoration,monochrome,mosaic,stylish,artistic,cover,creative,decor,lines,minimalistic,retro 80s,stripes,trendy,vector illustration,wrapping paper",https://image.shutterstock.com/image-vector/collection-memphis-seamless-patterns-fashion-600w-662961211.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collection-memphis-seamless-patterns-fashion-600w-662961211.jpg', 'path': 'full/af0d7e65dd32db5bc8dfcbfbad36712de85bfae4.jpg', 'checksum': 'aafdad02bb7ad6d29afa05e29dbd275f'}]"
