id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
625356221,1,seamless+pattern+tartan,vector,MagicMary,Plaid seamless pattern,"pattern,check,plaid,seamless,tartan,vector,checkered,ribbon,scottish,background,bedclothes,blanket,breakfast,casual,chequered,cloth,cotton,country,curtain,design,fabric,flannel,grey,handkerchief,hankie,hanky,jack- towel,kitchen,lumberjack,material,picnic,potholder,red,retro,scotland,shirt,square,t shirt,t-shirt,table,textile,texture,tile,towel,traditional,white",https://image.shutterstock.com/image-vector/plaid-seamless-pattern-600w-625356221.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/plaid-seamless-pattern-600w-625356221.jpg', 'path': 'full/5a2757653810cdf288248799f14b4323023de5f9.jpg', 'checksum': '37de71d31815b6a9c658786eb896447c'}]"
492102385,1,seamless+pattern+tartan,vector,AllAnd,Grid faded denim texture Vector background. Checkered frayed Jeans fabric seamless pattern,"pattern,denim,fabric,seamless,cloth,plaid,tartan,abstract,vector,background,print,stripe,textile,blue,indigo,modern,tissue,brush,grid,fashion,canvas,cotton,design,graphic,ornament,square,tile,vintage,wallpaper,classic,clothes,clothing,color,cover,endless,grunge,jeans,line,material,ornamental,repetition,retro,sample,spot,striped,strokes,style,texture,textured,thread,trendy",https://image.shutterstock.com/image-vector/grid-faded-denim-texture-vector-600w-492102385.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/grid-faded-denim-texture-vector-600w-492102385.jpg', 'path': 'full/14e6bdbfbdfbf7aaf04898f0a697bcf2de4604e4.jpg', 'checksum': '9838e440fd491b1c8862709c6433f4a8'}]"
558790045,1,seamless+pattern+tartan,vector,solarus,Gold platinum checkered plaid seamless pattern. Vector illustration.,"plaid,pattern,check,seamless,tartan,fabric,texture,vector,beige,scottish,abstract,geometric,gold,background,ornament,textile,white,design,simple,square,repeat,traditional,blanket,material,modern,retro,gray,kilt,platinum,yellow,cloth,cross,fashion,light,wallpaper,backdrop,checkered,classic,clothing,decor,decoration,illustration,paper,silver,striped,stripes,style,textured",https://image.shutterstock.com/image-vector/gold-platinum-checkered-plaid-seamless-600w-558790045.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/gold-platinum-checkered-plaid-seamless-600w-558790045.jpg', 'path': 'full/ffecc58a12c635b20adead1591a276afe58b485f.jpg', 'checksum': 'c87d36004ac20dc5beca4d310cf977a6'}]"
743803246,1,seamless+pattern+tartan,illustration,Patelbk,Seamless tartan plaid pattern Traditional checkered fabric texture,"pattern,plaid,texture,abstract,check,tartan,fabric,blue,geometric,checkered,design,linen,background,classic,square,blanket,brown,cotton,gingham,material,red,shirt,vintage,wallpaper,white,backdrop,bed,cloth,clothing,color,decoration,fashion,green,illustration,picnic,retro,seamless tartan plaid pattern traditional checkered fabric texture,textile,textured",https://image.shutterstock.com/image-illustration/seamless-tartan-plaid-pattern-traditional-600w-743803246.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-tartan-plaid-pattern-traditional-600w-743803246.jpg', 'path': 'full/b6ec639bba80224bf762902d8e10c2fc47a9aac9.jpg', 'checksum': '3af90d67217565f73f041cee3796c556'}]"
362255480,1,seamless+pattern+tartan,vector,Svetlana+Kononova,"Traditional tartan. Seamless Scottish plaid checkered vector pattern. Retro textile collection. Red, black with black and white stripes. Backgrounds & textures shop.","pattern,plaid,tartan,checkered,scottish,seamless,print,texture,simple,red,scotland,shirt,fabric,tablecloth,vector,abstract,backdrop,background,beautiful,black,blanket,checked,cloth,clothing,color,creative,decoration,design,elegant,fashion,folk,geometric,line,linear,rectangle,square,stripe,striped,stripped,style,textile,textured,tradition,traditional,white,woolen",https://image.shutterstock.com/image-vector/traditional-tartan-seamless-scottish-plaid-600w-362255480.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/traditional-tartan-seamless-scottish-plaid-600w-362255480.jpg', 'path': 'full/38379b560743050b39513a2a2aaa42bebbbb9127.jpg', 'checksum': 'a8f73570fa3039f991f392f4cc2a00ea'}]"
325637105,1,seamless+pattern+tartan,vector,artefficient,"Lumberjack Tartan and Buffalo Check Plaid Patterns in Red, Black, White and Khaki. Trendy Hipster Style Backgrounds. Vector EPS File Pattern Swatches made with Global Colors.","pattern,plaid,tartan,christmas,seamless,check,black,red,lumberjack,fabric,vector,white,background,man,winter,flannel,buffalo,print,gingham,design,modern,shirt,tan,cloth,paper,texture,british,set,country,digital,english,fashion,hipster,scottish,tile,jacket,woven,brown,lumber,style,woodcutter,back,beige,canadian,craft,cross,rustic,twill,woolen,blanket,card,classic,decoration,khaki,kilt,scrapbook,weave,wool,american,backdrop,checkered,contrast,crossed,farmer,fiber,geometric,hunter,iconic,lumbersexual,manly,masculine,pack,packaging,papers,pixel,repeating,season,squares,stripes,symmetrical,table,tablecloth,textile,timber,wrap",https://image.shutterstock.com/image-vector/lumberjack-tartan-buffalo-check-plaid-600w-325637105.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/lumberjack-tartan-buffalo-check-plaid-600w-325637105.jpg', 'path': 'full/5139a601df67e9d2452bca575e4b51e7d287a9cf.jpg', 'checksum': '9564b0203d90c09c5ba46bef35f2df85'}]"
1628105089,1,seamless+pattern+tartan,vector,artefficient,Valentine's Day Candy Hearts and Red Pink White Tartan Plaid Vector Patterns. Pastel Rainbow Conversation Hearts Backgrounds. Pattern Tile Swatches Included.,"valentine,plaid,heart,pattern,seamless,gingham,pink,red,cute,tartan,vector,checkered,flannel,love,pastel,xoxo,baby,background,candy,candy hearts,card,checks,color,conversation hearts,decor,fresh,girly,heart-shaped,holiday,hug,light,lovely,new,paper,party,print,rainbow,random,romantic,soft,spring,sweet,sweetheart,tablecloth,textile,valentines day,vichy,wallpaper,white,wrapping",https://image.shutterstock.com/image-vector/valentines-day-candy-hearts-red-600w-1628105089.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/valentines-day-candy-hearts-red-600w-1628105089.jpg', 'path': 'full/95d443cd8b66f4a0f3a3083de249deffa8e13b09.jpg', 'checksum': 'bc56fcee78054df5aac48dcc324947d8'}]"
1465311842,1,seamless+pattern+tartan,vector,cepera,Monochrome Irregularly Textured Checked Background. Seamless Pattern. ,"pattern,texture,abstract,print,seamless,fabric,geometric,grid,tartan,black,bold,white,irregular,mottled,noisy,vector,background,brushed,checked,cloth,cover,dashed,decorative,distortion,distressed,folk,grain,graphic,grunge,halftone,hounds tooth,material,modern,monochrome,motif,natural,offbeat,retro,rough,stroke,surface,textile,textured,tile,tracery,variegated,vintage,wallpaper,worn,wrapping",https://image.shutterstock.com/image-vector/monochrome-irregularly-textured-checked-background-600w-1465311842.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/monochrome-irregularly-textured-checked-background-600w-1465311842.jpg', 'path': 'full/3f24a6191b9f8119083028269d2e4f63ea519dbd.jpg', 'checksum': 'b49cc3f6dbb503284891f3b8e5a0891f'}]"
1527760517,1,seamless+pattern+tartan,vector,Siu-Hong+Mok,"Colourful Classic Modern Plaid Tartan Seamless Print/Pattern in Vector - This is a classic plaid(checkered/tartan) pattern suitable for shirt printing, fabric, textiles, jacquard patterns, backgrounds","tartan,art,backdrop,background,bold,checkered,checks,christmas,classic,clothes,colorful,colours,commercial,contemporary,decoration,design,digital,fabric,fashion print,flannel,geometric,gingham,graphics,illustration,jacquard,kilt,modern,ornament,paper,picnic,plaid,plaid shirt,print,repeat,retro,scottish,seamless pattern,spring,square,stripes,swatch,tablecloth,textile,textures,vector,vintage,weave,winter,wool,woven fabric",https://image.shutterstock.com/image-vector/colourful-classic-modern-plaid-tartan-600w-1527760517.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/colourful-classic-modern-plaid-tartan-600w-1527760517.jpg', 'path': 'full/b1221185c46fbb41aa94bbe2f48267eabca8c31a.jpg', 'checksum': '207af5e91f4fb10ef6b286b3b491882e'}]"
1663478317,1,seamless+pattern+tartan,vector,Ton+Blackmarine,"Tartan plaid seamless pattern white red line fabric texture dark blue background, Scottish cage","plaid,scottish,pattern,tartan,textile,red,seamless,square,vector,backdrop,background,black,blue,check,checkered,classic,cloth,clothing,cover,decor,decoration,design,element,fabric,fashion,flannel,garment,geometric,gingham,graphic,illustration,kilt,line,lumberjack,material,modern,ornament,print,royal,scotland,shirt,stewart,stripe,style,texture,tile,traditional,wallpaper,white,wool",https://image.shutterstock.com/image-vector/tartan-plaid-seamless-pattern-white-600w-1663478317.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tartan-plaid-seamless-pattern-white-600w-1663478317.jpg', 'path': 'full/e9ec333c0993d628a49d843a014d116d8ddc629a.jpg', 'checksum': 'c70636144cb56d0d9eb095ac63e9eab7'}]"
