id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1668669064,1,seamless+pattern+petal,illustration,Ola-la,"Seamless floral pattern with flowers on dark background, watercolor. Template design for textiles, interior, clothes, wallpaper. Botanical art","flower,pattern,seamless,vintage,floral,background,green,rose,victorian,abstract,painting,beautiful,peony,red,art,spring,summer,arrangement,artwork,colorful,curl,decoration,fashion,illustration,isolated,leaf,oriental,romantic,accent,bloom,blossom,botanical,bouquet,curve,design,elegance,feminine,flora,growth,handmade,ornamental,petal,pink,plant,pretty,soulful,stem,valentine,watercolor flowers,white",https://image.shutterstock.com/image-illustration/seamless-floral-pattern-flowers-on-600w-1668669064.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-floral-pattern-flowers-on-600w-1668669064.jpg', 'path': 'full/5c42c6c327b9bb9e44936c20a301d429ce197389.jpg', 'checksum': '3a54ea0391764dcc0bc9d866c810dd54'}]"
1082305175,1,seamless+pattern+petal,illustration,Vialeta+Novik,Green Turquoise Exotic pattern. Watercolor tropic leaves. Palm and Hibiscus plants in seamless pattern. Summer hawaiian watercolor background. ,"pattern,seamless,tropic,flower,turquoise,background,watercolor,summer,exotic,palm,print,floral,green,rapport,beach,fabric,blue,leaf,rain,blossom,fashion,hawaii,interior,light,natural,shirt,strelitzia,allover,aloha,backdrop,banana,bloom,composition,corsage,flowers,greenery,hawaiian,illustration,jungle,monstera,nature,paradise,petal,plant,plumeria,spring,trendy,tropical,wild,wrapping",https://image.shutterstock.com/image-illustration/green-turquoise-exotic-pattern-watercolor-600w-1082305175.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/green-turquoise-exotic-pattern-watercolor-600w-1082305175.jpg', 'path': 'full/6b9e94fbd088705f2c7d5198b5495583eadee068.jpg', 'checksum': 'd0751acd320d93052794d84c9b4f0f15'}]"
747179824,1,seamless+pattern+petal,vector,IrinaAgafonova,"Floral Gold Seamless Pattern with Leaves for Wallpaper, Greeting Card, Gift Box, Textile Printing. Vector Christmas Background.","pattern,floral,seamless,leaf,christmas,vector,graphic,flower,winter,print,gold,spring,flourish,light,ornament,background,decorative,doodle,fashion,abstract,art,baby,cartoon,child,element,garden,nice,wallpaper,bloom,blossom,branch,color,curl,cute,decoration,design,fabric,illustration,love,lovely,nature,petal,plant,retro,romantic,style,summer,textile,vintage,wrapping",https://image.shutterstock.com/image-vector/floral-gold-seamless-pattern-leaves-600w-747179824.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-gold-seamless-pattern-leaves-600w-747179824.jpg', 'path': 'full/441e4bdf106908e60fd8f28eabee0374062d361d.jpg', 'checksum': '48cc8031eb11a70000ddb74cef03dd2f'}]"
630140465,1,seamless+pattern+petal,vector,Snezh,"Seamless pattern tile with mandalas. Vintage decorative elements. Hand drawn background. Islam, Arabic, Indian, ottoman motifs. Perfect for printing on fabric or paper.","pattern,seamless,mandala,floral,flower,ethnic,geometric,motif,bohemian,design,moroccan,vector,print,paisley,batik,decorative,india,indian,abstract,african,carpet,tribal,fabric,ottoman,petal,tile,art,background,eastern,frame,gift,lace,mexican,patchwork,retro,stylized,sun,card,cloth,decoration,folkloric,henna,illustration,native,ornament,ornamental,silk,unique,wallpaper,wrapping",https://image.shutterstock.com/image-vector/seamless-pattern-tile-mandalas-vintage-600w-630140465.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-tile-mandalas-vintage-600w-630140465.jpg', 'path': 'full/21e0986be80783961caa1035ef13503b207897a0.jpg', 'checksum': '389918c2079e7f503561bc495602b9b5'}]"
630309359,1,seamless+pattern+petal,illustration,Zenina,"Watercolor floral pattern, delicate flower wallpaper, wildflowers pink,tansy, pansies. white flowers queen anne's lace. Retro wallpaper on a dark background","flower,pattern,watercolor,floral,vintage,seamless,illustration,background,wallpaper,blue,botany,bouquet,leaf,pink,white,retro,drawing,spring,summer,design,garden,hydrangea,lavender,old,tansy,texture,yellow,art,bloom,blossom,card,decoration,delphinium,gentle,nature,petal,botanical,decor,detailed,female,gently,geraniums,green,invitation,pansies,postcard",https://image.shutterstock.com/image-illustration/watercolor-floral-pattern-delicate-flower-600w-630309359.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/watercolor-floral-pattern-delicate-flower-600w-630309359.jpg', 'path': 'full/338de136470d2b9b894045df103b9325d1201fdf.jpg', 'checksum': 'eb595ba5c641d5c308af3edada8c70f9'}]"
1784267492,1,seamless+pattern+petal,illustration,Ola-la,"Seamless floral pattern with peony flowers on summer background, watercolor. Template design for textiles, interior, clothes, wallpaper. Botanical art","pattern,peony,seamless,flower,art,abstract,accent,arrangement,artistic,artwork,background,beautiful,bloom,blossom,blush,botanical,bouquet,branch,colorful,composition,curl,decoration,design,elegance,fashion,flora,floral,green,growth,handmade,illustration,isolated,leaf,oriental,ornamental,painting,petal,pink,plant,red,romantic,rose,soulful,spring,stem,summer,victorian,vintage,watercolor flowers,white",https://image.shutterstock.com/image-illustration/seamless-floral-pattern-peony-flowers-600w-1784267492.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-floral-pattern-peony-flowers-600w-1784267492.jpg', 'path': 'full/9dc6ea27a9fd39f63e342deb0fd4526b2889abb6.jpg', 'checksum': '3dab8c0f41dd55188ce6188dcf7c3fe2'}]"
1595195428,1,seamless+pattern+petal,vector,Svetlana+Kononova,"Elegant floral pattern. Seamless vector print with lilies and blooming cherry. Beautiful botanical composition on grey background. Template for textile design, cards, wallpapers, gift wrappings.","pattern,floral,print,seamless,micro,small,vector,abstract,carpet,clusters,lily,pink,wildflowers,art,background,beautiful,bloom,blossom,border,botanical,cherry,color,cotton,cute,decor,design,detail,ditsy,dress,fabric,flowers,garden,grey,mix,mixed,motifs,nature,petals,retro,sakura,scarf,silk,spring,style,summer,textile,texture,vintage,wallpaper,white",https://image.shutterstock.com/image-vector/elegant-floral-pattern-seamless-vector-600w-1595195428.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/elegant-floral-pattern-seamless-vector-600w-1595195428.jpg', 'path': 'full/e67e393af6868d9c32d3c267fd2c637974961565.jpg', 'checksum': 'fccd4d80ef2eb5738d1b33c99286421a'}]"
129647777,1,seamless+pattern+petal,vector,CurlyPat,Vector seamless pattern. Abstract stylish background with stylized petals,"pattern,geometric,vector,seamless,abstract,wallpaper,floral,design,modern,wall,leaf,background,paper,decor,graphic,line,classic,curve,stripe,tile,ornate,beauty,carpet,fashion,black,trendy,stylish,textile,backdrop,template,art,silk,regular,abstract background,decoration,decorative,elegance,element,fashioned,floral pattern,geometric pattern,graphically,illustration,natural,ornamental,repetition,seamless pattern,style,texture,textured",https://image.shutterstock.com/image-vector/vector-seamless-pattern-abstract-stylish-600w-129647777.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-abstract-stylish-600w-129647777.jpg', 'path': 'full/58cd2df032916dd09ba618020630d451d14fb5f5.jpg', 'checksum': '4c940680ec9d8a1f8a4c29471ac9523b'}]"
116783233,1,seamless+pattern+petal,vector,apolinarias,abstract beautiful floral seamless pattern,"pattern,seamless,nature,floral,abstract,flower,background,texture,decorative,summer,grunge,modern,art,ornate,bright,circle,design,green,pretty,trendy,blue,foliage,purple,scroll,shape,soft,spring,vivid,pink,retro,beautiful,graphic,scratch,wallpaper,backdrop,colorful,colors,grungy,happy,illustration,lines,petals,seasons,spots,style",https://image.shutterstock.com/image-vector/abstract-beautiful-floral-seamless-pattern-600w-116783233.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-beautiful-floral-seamless-pattern-600w-116783233.jpg', 'path': 'full/36cc7c919eac3126a25667468720e45b52b90198.jpg', 'checksum': '42ec435d6bdb1bcab0681849f762df6e'}]"
1487838458,1,seamless+pattern+petal,vector,Svetlana+Kononova,Cute pattern with daisies and chamomiles. Seamless vector print with small flowers. Summer textile collection.,"pattern,flower,floral,vector,micro,small,print,seamless,black,japanese,white,background,dark,mixed,repeat,retro,spring,swimwear,art,blossom,border,dress,english,summer,textile,texture,vintage,wildflowers,yellow,abstract,artsy,beautiful,bloom,botanical,carpet,chamomiles,clusters,daisies,design,detail,detailed,fabric,garden,miniature,mix,motifs,petals,plants,style,wallpaper",https://image.shutterstock.com/image-vector/cute-pattern-daisies-chamomiles-seamless-600w-1487838458.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cute-pattern-daisies-chamomiles-seamless-600w-1487838458.jpg', 'path': 'full/66661ec271783d896a26700814d64dc310991835.jpg', 'checksum': 'b0274b30d2c8fe6bb75aad316505c4f6'}]"
348560312,1,seamless+pattern+petal,vector,Ola-la,"Seamless floral pattern with roses, watercolor. Vector illustration.
","pattern,seamless,floral,flower,background,watercolor,vector,rose,vintage,botanical,bouquet,green,fashion,spring,art,beauty,pink,abstract,design,illustration,petal,plant,stem,flora,leaf,nature,painting,pretty,summer,white,accent,arrangement,artwork,beautiful,bloom,blossom,colorful,curl,curve,decoration,elegance,feminine,growth,isolated,ornamental,peony,red,romantic,soulful,valentine",https://image.shutterstock.com/image-vector/seamless-floral-pattern-roses-watercolor-600w-348560312.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-floral-pattern-roses-watercolor-600w-348560312.jpg', 'path': 'full/ea14c832ebe146f6c7a2747fa9722d7390d937e4.jpg', 'checksum': '95c445fd2cabcea1ddf9a4c4e7929577'}]"
727060057,1,seamless+pattern+petal,vector,YokoDesign,Floral pattern. Flower seamless background. Flourish ornamental garden,"pattern,flower,floral,chinese,seamless,vintage,wallpaper,design,garden,background,border,classic,embroidery,fashion,frame,peony,rose,summer,cute,texture,art,drawing,retro,branch,daisy,pastel,spring,textile,leaves,style,card,flourish,nature,tile,blossom,wildflower,bouquet,stylish,backdrop,bloom,botanical,curl,elegance,gentle,holiday,illustration,ornamental,petal,springtime,vegetation",https://image.shutterstock.com/image-vector/floral-pattern-flower-seamless-background-600w-727060057.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-pattern-flower-seamless-background-600w-727060057.jpg', 'path': 'full/ad628b021e8fe706ab37439e2333eb58e6ab7a4d.jpg', 'checksum': '488fe28826e50031295a22c083a8b48b'}]"
713637919,1,seamless+pattern+petal,illustration,upintheattic,Seamless floral pattern. Vibrant botanical background.,"pattern,watercolor,seamless,flower,illustration,background,floral,blue,leaf,wallpaper,texture,design,art,backdrop,nature,red,yellow,delicate,vibrant,beige,bloom,paper,berries,botanical,botanical illustration,elegant,flower bud,garden,light,petal,seamless background,seamless pattern,stem,wrapping paper",https://image.shutterstock.com/image-illustration/seamless-floral-pattern-vibrant-botanical-600w-713637919.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-floral-pattern-vibrant-botanical-600w-713637919.jpg', 'path': 'full/2a770c4d0a262afdb0151fbdd278e108bd429cfb.jpg', 'checksum': '27db2104c4761afe23740b221afdd39a'}]"
