id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1542904769,1,seamless+pattern+tree,vector,Yuli23,"Seamless pattern with jungle animals, flowers and trees. Vector.","pattern,jungle,seamless,animal,palm,tropical,monkey,wallpaper,wild,print,vector,fauna,safari,zebra,black,child,forest,landscape,repeat,style,toucan,abstract,background,banana,cartoon,colorful,cute,drawing,element,exotic,fabric,fashion,flamingo,fun,funny,hawaii,illustration,kid,leaf,leaves,leopard,paper,parrot,plant,set,textile,texture,tropic,wildlife,zoo",https://image.shutterstock.com/image-vector/seamless-pattern-jungle-animals-flowers-600w-1542904769.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-jungle-animals-flowers-600w-1542904769.jpg', 'path': 'full/18667ce9f795cdbff70245df9255f90a928f1119.jpg', 'checksum': 'f957a32fd59e689dd4e3ce6c38135d5a'}]"
789121726,1,seamless+pattern+tree,vector,MSNTY,"Vintage Beautiful and trendy Seamless Pattern wind blow flowers,  Isolated on summer amber color. Botanical Floral Decoration Texture. Vintage Style Design for Fabric Print, Wallpaper Background.","pattern,floral,seamless,flower,vector,abstract,print,design,background,small,summer,leaf,texture,garden,repeat,yellow,illustration,cute,nature,plant,spring,textile,wallpaper,beautiful,color,fabric,graphic,tile,ditsy,feminine,art,bloom,decoration,drawing,flora,pink,retro,rose,backdrop,beauty,blossom,decorative,elegance,fashion,little,ornament,painted,style,tree",https://image.shutterstock.com/image-vector/vintage-beautiful-trendy-seamless-pattern-600w-789121726.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vintage-beautiful-trendy-seamless-pattern-600w-789121726.jpg', 'path': 'full/4f9d0dad170e8fc173c8937a6ac17dac3e96fc15.jpg', 'checksum': '6d5df9a0ce6753e568e210c4c40d91e7'}]"
562806100,1,seamless+pattern+tree,vector,julia_blnk,Seamless pattern with banana and golden palm leaves in vector,"pattern,leaf,fashion,palm,gold,flower,vector,background,seamless,tree,golden,plant,wallpaper,summer,banana,abstract,print,design,beach,vintage,spring,graphic,hawaii,art,hawaiian,silhouette,exotic,retro,sunshine,california,green,aloha,textile,bright,miami,shirt,style,paradise,triangle,vacation,beautiful,botanical,illustration,luau,texture,tropical",https://image.shutterstock.com/image-vector/seamless-pattern-banana-golden-palm-600w-562806100.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-banana-golden-palm-600w-562806100.jpg', 'path': 'full/7b06dd54cf69cf54bf8f2d083ec29beead83ae04.jpg', 'checksum': '94886c61d360a4bc39df92c1e0b41499'}]"
1677405778,1,seamless+pattern+tree,vector,Nanang+Muslimin,"Christmas tree with Christmas ornament with red and green color, vector illustration","christmas,pattern,seamless,tree,candy,red,background,cane,merry,xmas,green,ornament,repeat,cartoon,backdrop,child,design,art,bulb,card,character,cute,decoration,holly,lamp,snow,wallpaper,cold,decorative,electric,fun,gift,greetings,happy,hat,holidays,illustration,jolly,leaf,nature,pine,present,seasons,snowflake,swirl,symbol,winter,wrap",https://image.shutterstock.com/image-vector/christmas-tree-ornament-red-green-600w-1677405778.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/christmas-tree-ornament-red-green-600w-1677405778.jpg', 'path': 'full/cd57194a9f6ece507de707281a49489adf67e855.jpg', 'checksum': 'e8b156e82f331755d2d9c2e2b091d9d3'}]"
1717820338,1,seamless+pattern+tree,vector,Angelina+Bambina,"Collage contemporary tropical and polka dot shapes seamless pattern set. Mid Century Modern Art design for paper, cover, fabric, interior decor, and other users.","pattern,seamless,floral,plant,beach,vector,abstract,monstera,modern,summer,leaf,print,retro,geometric,texture,background,botanical,graphic,illustration,watercolor,design,hawaiian,textile,animal,artwork,colorful,decor,exotic,fabric,fashion,hawaii,pink,tribal,zebra,art,backdrop,collage,collection,creative,decoration,decorative,jungle,mid century,palm,polka dot,surfing,tree,tribe,tropical,wrap",https://image.shutterstock.com/image-vector/collage-contemporary-tropical-polka-dot-600w-1717820338.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collage-contemporary-tropical-polka-dot-600w-1717820338.jpg', 'path': 'full/a744ac094eccd04bd660d45ae768a8f8da02dc4b.jpg', 'checksum': '478ac143ec494a4e1fc53b774238f5c7'}]"
362212016,1,seamless+pattern+tree,vector,MattheW-RK,palm pattern,"palm,tree,pattern,vector,leaf,seamless,texture,print,beach,silhouette,background,tropical,summer,vintage,exotic,floral,retro,abstract,graphic,repeat,fabric,hand,holiday,forest,fresh,natural,paradise,fashion,jungle,painting,beautiful,botany,decoration,decorative,design,drawing,nature,patterned,style,textile,tropic",https://image.shutterstock.com/image-vector/palm-pattern-600w-362212016.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/palm-pattern-600w-362212016.jpg', 'path': 'full/c6cf91722b43f66c46e730b516c83e828dc27781.jpg', 'checksum': '2c078cab303b5c622a0ad30c914f1886'}]"
1046210452,1,seamless+pattern+tree,vector,Helenaa,Seamless pattern with tropical leaf palm . Vector illustration.,"pattern,gold,wallpaper,seamless,leaf,palm,vector,painting,background,design,modern,green,monstera,texture,print,floral,nature,tree,fabric,paper,rainforest,decor,jungle,spring,exotic,hawaii,illustration,graphic,trendy,botany,drawing,fashion,fresh,plant,style,summer,textile,white,wrapping,aurum,beautiful,branch,colorful,decoration,decorative,element,outline,season,tropical,vein",https://image.shutterstock.com/image-vector/seamless-pattern-tropical-leaf-palm-600w-1046210452.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-tropical-leaf-palm-600w-1046210452.jpg', 'path': 'full/ec263c67d886ac121c6cc9bd3d06d3b856f601b0.jpg', 'checksum': '9bfc5f1247c2a396fa18cb6ddf3099da'}]"
1149877910,1,seamless+pattern+tree,vector,good_mood,"Tropical vintage palm trees, banana and palm leaves floral seamless pattern white background. Exotic jungle wallpaper.","leaves,leaf,vector,tree,palm,banana,pattern,jungle,seamless,illustration,vintage,background,wallpaper,foliage,green,plant,exotic,hawaiian,print,floral,botanical,design,greenery,hawaii,holiday,nature,summer,tropical,tropical pattern,vacation",https://image.shutterstock.com/image-vector/tropical-vintage-palm-trees-banana-600w-1149877910.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-vintage-palm-trees-banana-600w-1149877910.jpg', 'path': 'full/957488324e41f0ba8977e039f7aa586f489aecea.jpg', 'checksum': '7a375c799bccdc212bc481c925bcb080'}]"
1166522446,1,seamless+pattern+tree,vector,Nadezda+Grapes,Vestor seamless pattern with leopards and tropical leaves. Trendy style.,"pattern,animal,leopard,jungle,seamless,tropic,nature,african,print,vector,illustration,tiger,jaguar,fashion,graphic,background,abstract,wildlife,wild,flower,design,wallpaper,cat,safari,art,floral,green,plant,modern,trend,fabric,leaf,color,banana,hipster,line,palm,silhouette,summer,artwork,drawn,tree,zoo,backdrop,beautiful,exotic,textile,trendy,tropical",https://image.shutterstock.com/image-vector/vestor-seamless-pattern-leopards-tropical-600w-1166522446.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vestor-seamless-pattern-leopards-tropical-600w-1166522446.jpg', 'path': 'full/0a9eb34a0eee29566f7b0a078d954c4507692967.jpg', 'checksum': '2a5f97c6549892e9048609628a10f1dc'}]"
1650452218,1,seamless+pattern+tree,vector,imaginarybo,"Banana palm tree leaves seamless pattern texture. Exotic tropical jungle forest. Copper gold shiny glow outline. Navy dark blue background. Vector design illustration for fashion, fabric, textile.","leaf,pattern,outline,jungle,leaves,seamless,foliage,background,blue,palm,banana,copper,green,tree,vector,wallpaper,navy,texture,art,dark,fashion,vintage,beauty,illustration,natural,shiny,backdrop,beach,beautiful,botanical,branch,bright,color,colorful,decoration,design,drawing,exotic,forest,glow,nature,painted,plant,print,south,summer,textile,tropic,tropical,wrapping",https://image.shutterstock.com/image-vector/banana-palm-tree-leaves-seamless-600w-1650452218.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/banana-palm-tree-leaves-seamless-600w-1650452218.jpg', 'path': 'full/d3783acf87d209b62eea5ef29a4b668b9e5280ba.jpg', 'checksum': '6cdc921e3a6d38db76e63893d7737966'}]"
