id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1681278412,1,seamless+pattern+garden,illustration,Tkalenko+Kateryna,"Seamless pattern with pencil magnolia. magnolia buds. manual graphics. Botanical flower, mascara, floral pattern for textile decoration and design, patterns. botanical color illustration. stock ","wallpaper,pattern,abstract,art,beautiful,big bud,big flower bud,blossom,blue flower bud,botanical,bright flower,color,color noah,decoration,decorative,drawing,exotic,fabric,flora,flower garden,flowering tree,for fabric,graphics,green,hand,illustration,ink,isolated,leaves,magnolia,magnolia twigs,natural,nature,park,pencil,pink,red,romantic,seamless,seamless background,spring,spring flowers,stock graphics,textile,texture,tropical",https://image.shutterstock.com/image-illustration/seamless-pattern-pencil-magnolia-buds-600w-1681278412.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-pencil-magnolia-buds-600w-1681278412.jpg', 'path': 'full/70191c85075b45a439b90c7a675887353586ed22.jpg', 'checksum': 'c59ecffacd5115ea7ad43b1805d9351f'}]"
132029288,1,seamless+pattern+garden,vector,demonique,beige gray leaves and yellow birds on branches on dotted white background seasonal seamless pattern,"pattern,seamless,vector,yellow,retro,floral,background,abstract,gray,leaves,cute,spring,branch,nature,summer,texture,beige,design,autumn,botanical,flora,little,delicate,fauna,paper,season,art,curvy,garden,illustration,round,textile,wallpaper,animals,backdrop,birds,colorful,dots,drawing,grunge,image,mess,messy,messy background,natural,shape,white background",https://image.shutterstock.com/image-vector/beige-gray-leaves-yellow-birds-600w-132029288.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beige-gray-leaves-yellow-birds-600w-132029288.jpg', 'path': 'full/3c5cb977180d0d525df0616de1077ff18a0110f1.jpg', 'checksum': '06c950b911aa7a980d743ab8cb6cb1f0'}]"
1563279181,1,seamless+pattern+garden,illustration,viprinceva,"Beautiful floral seamless, tileable, watercolor pattern with woodland animals - deer, bunny, hedgehog, bear and fox","seamless,pattern,animal,print,watercolor,cute,floral,forest,fox,hedgehog,peony,woodland,abstract,art,botanical,bunny,deer,flower,illustration,spring,vintage,wild,artistic,background,bear,blossom,bouquet,decorative,design,fabric,fashion,fawn,feminine,floral background,garden,graphic,leaf,nature,ornament,paint,pink,plant,summer,textile,texture,tile,wallpaper,wildflowers,wrapper,wrapping paper",https://image.shutterstock.com/image-illustration/beautiful-floral-seamless-tileable-watercolor-600w-1563279181.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/beautiful-floral-seamless-tileable-watercolor-600w-1563279181.jpg', 'path': 'full/80d12fe3ff47ec2adcfccfc224270801e417f764.jpg', 'checksum': 'f23bda822fe8365eafaca4fdfd082a12'}]"
1657583851,1,seamless+pattern+garden,vector,Eva+Marina,"Simple cute pattern in small flower. Liberty style. Floral seamless background for textile or book covers, manufacturing, wallpapers, print, gift wrap and scrapbooking.","flower,floral,pattern,ditsy,liberty,seamless,print,abstract,daisy,vintage,small,vector,art,fabric,background,beauty,design,garden,retro,spring,summer,texture,backdrop,cute,fashion,graphic,organic,pink,repeat,simple,textile,blossom,blue,calico,country-style,element,feminine,flora,illustration,leaf,little,love,nature,ornament,paper,petal,style,subtle,wallpaper,wrapping",https://image.shutterstock.com/image-vector/simple-cute-pattern-small-flower-600w-1657583851.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/simple-cute-pattern-small-flower-600w-1657583851.jpg', 'path': 'full/1723571f54d848bbd3d3bfc14b2ca48782384380.jpg', 'checksum': '6cd0960b3d6441b4e42f146b2ce929a7'}]"
797103994,1,seamless+pattern+garden,illustration,LudmilaStepanova,pattern of herbs and flowers for high-resolution printing,"watercolor,pattern,floral,seamless,flower,abstract,pink,illustration,foliage,romantic,textile,texture,background,blue,colorful,fall,garden,leaves,spring,tree,tropical,wallpaper,white,art,artistic,beautiful,bloom,blossom,botanical,color,decoration,decorative,design,drawing,fabric,fashion,flora,graphic,indigo,ink,leaf,nature,ornamental,painting,petal,plant,print,sakura,season,summer",https://image.shutterstock.com/image-illustration/pattern-herbs-flowers-highresolution-printing-600w-797103994.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/pattern-herbs-flowers-highresolution-printing-600w-797103994.jpg', 'path': 'full/332710229edf5e020cd50452a0795636b583cf4d.jpg', 'checksum': 'da9e74bcbfa725af97eb2e3af4ed674e'}]"
1838628373,1,seamless+pattern+garden,illustration,MangataLab,"Seamless watercolor botanical pattern. Digitally hand painting floral background. Modern leaves design for fabric, wallpaper, surface.","pattern,seamless,pink,watercolor,abstract,art,autumn,backdrop,background,beautiful,bloom,botanical,branch,decoration,delicate,design,digital,drawing,elegant,fabric,fall,fashion,floral,flower,foliage,garden,gouache,hand,illustration,leaf,modern,nature,organic,paint,paper,pastel,petal,plant,print,repeat,retro,spring,stem,summer,surface,textile,texture,tropical,vintage,wallpaper",https://image.shutterstock.com/image-illustration/seamless-watercolor-botanical-pattern-digitally-600w-1838628373.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-watercolor-botanical-pattern-digitally-600w-1838628373.jpg', 'path': 'full/08fafb74474f224b708b5c7c7e3b79ce31689277.jpg', 'checksum': '488d760532df0956350cf0e9ccfbed82'}]"
1568958409,1,seamless+pattern+garden,vector,MURRIRA,Modern exotic jungle plants illustration pattern. Creative collage contemporary floral seamless pattern. Fashionable template for design.,"pattern,abstract,floral,seamless,modern,collage,geometry,vector,print,art,background,geometric,texture,exotic,design,wallpaper,contemporary,nature,flora,leaf,plant,style,trend,fabric,garden,hawaii,illustration,jungle,shape,spring,artistic,artwork,backdrop,blossom,decoration,fashion,template,botanical,cover,decor,decorative,element,graphic,palm,spa,summer,textile,trends,trendy,tropical",https://image.shutterstock.com/image-vector/modern-exotic-jungle-plants-illustration-600w-1568958409.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/modern-exotic-jungle-plants-illustration-600w-1568958409.jpg', 'path': 'full/66d0fcaacd6729072f299c2bdf018992d225f575.jpg', 'checksum': '30618cadf0d631870d0e1e4667aa391d'}]"
1124332118,1,seamless+pattern+garden,vector,Tasiania,Collage contemporary floral hawaiian pattern in vector. Seamless surface design  ,"pattern,abstract,art,seamless,tropical,modern,collage,contemporary,vector,floral,background,figure,flower,forest,summer,geometry,nature,garden,jungle,leaf,exotic,illustration,monstera,palm,texture,wallpaper,abstraction pattern,aloe vera,artistic,beauty,blossom,colorful,decoration,decorative,fabric design,fashion,flora,graphic,paper,plant,rain forest,scribble,spring,textile,textured,tree,wrapping",https://image.shutterstock.com/image-vector/collage-contemporary-floral-hawaiian-pattern-600w-1124332118.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collage-contemporary-floral-hawaiian-pattern-600w-1124332118.jpg', 'path': 'full/09ec034d81daaedeba00d28a2ff8b13a9d9f039b.jpg', 'checksum': 'c3a0aaa9fb12f078bf299fe5563c98e5'}]"
1721410171,1,seamless+pattern+garden,illustration,ruseanna,"Seamless watercolor floral pattern - pink flowers, green leaves & branches on white background; for wrappers, wallpapers, postcards, greeting cards, wedding invitations, romantic events.","pattern,watercolor,flower,floral,seamless,pink,wedding,background,boho,graphics,nature,rose,set,spring,vintage,watercolour,white,abstract,art,botanical,bouquet,branch,card,decoration,drawing,eucalyptus,fashion,foliage,frame,garden,green,greenery,greeting,hand painted,illustrated,illustration,invitation,invites,leaf,leaves,lime color,peach color,plant,print,summer,textile,texture,tree,trendy,wallpaper",https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-pink-600w-1721410171.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-pink-600w-1721410171.jpg', 'path': 'full/44d6f25544e01d8ef6b8024019d2704286ed690f.jpg', 'checksum': '091a57f09e17f6d146efa132c370de01'}]"
777148300,1,seamless+pattern+garden,vector,berry2046,Tropical vector green leaves seamless pattern pink background. Exotic wallpaper,"pattern,tropic,leaf,palm,flower,vector,floral,banana,background,seamless,wallpaper,print,summer,jungle,green,plant,watercolor,tree,texture,hawaiian,vintage,bird,fashion,retro,hawaii,beach,exotic,black,nature,shirt,trendy,white,aloha,red,paradise,garden,painting,fabric,decoration,light,spring,beautiful,blossom,botanical,foliage,illustration,strelitzia,tropical",https://image.shutterstock.com/image-vector/tropical-vector-green-leaves-seamless-600w-777148300.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-vector-green-leaves-seamless-600w-777148300.jpg', 'path': 'full/a644a8d1bcd006cf0d73c2fd132d34a3eaf8dea5.jpg', 'checksum': '852fe1c5e278a6267ae907f1555d816c'}]"
