id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
122421334,1,seamless+pattern+grungy,vector,GarryKillian,Vector vintage floral seamless pattern element. Grunge print style.,"floral,pattern,seamless,vector,flower,baroque,grunge,vintage,damask,ornament,print,wall,antique,leaf,wallpaper,design,retro,texture,victorian,background,rust,style,art,element,ornate,swirl,dirty,elegant,paper,royal,artwork,backdrop,classical,creative,curve,decor,dirt,elegance,foliate,grungy,illustration,luxury,nostalgia,old,plants,repetition,rusty,silk,template,vignette",https://image.shutterstock.com/image-vector/vector-vintage-floral-seamless-pattern-600w-122421334.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-vintage-floral-seamless-pattern-600w-122421334.jpg', 'path': 'full/745f4ee08038b48832c10e822de3c195a6a87166.jpg', 'checksum': '1df4ceb60e7479deaba4559550e09933'}]"
111307181,1,seamless+pattern+grungy,vector,ychty,retro abstract seamless pattern,"seamless,pattern,background,modern,vector,abstract,fancy,geometric,wallpaper,blue,fashion,vintage,art,fabric,geometry,ornament,square,texture,banner,brown,collection,creative,decorative,dot,ink,artistic,artwork,circles,color,colorful,concept,conceptual,dark,design,element,graphic,grungy,illustration,image,orange,repeating,repetition,retro,stain,style,textile,tile,trendy",https://image.shutterstock.com/image-vector/retro-abstract-seamless-pattern-600w-111307181.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/retro-abstract-seamless-pattern-600w-111307181.jpg', 'path': 'full/1bda16e1fd0221fdcdbb90792f9cba94b7cb118c.jpg', 'checksum': '28a4388ecd45b1f26c85fd7f59146dc0'}]"
1596828379,1,seamless+pattern+grungy,vector,SokolArtstudio,"Seamless bright pattern with butterflies.  hand drawn butterflies. Pattern for textiles, children's clothes, wrapping busakgi .. Girlish background","pattern,seamless,butterfly,abstract,abstract butterfly,art,backdrop,background,black,boy,bright,butterfly pattern,chess,color,colorful,creative,decoration,decorative,design,effect,element,fabric,fashion,geometric,girl,graffiti,graphic,green,grunge,grungy,illustration,lightning,line,modern,neon,neon colors,paints paint pattern,pattern with butterfly,splash,square,stripes,style,textile,texture,triangle,urban,vector,wallpaper",https://image.shutterstock.com/image-vector/seamless-bright-pattern-butterflies-hand-600w-1596828379.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-bright-pattern-butterflies-hand-600w-1596828379.jpg', 'path': 'full/08a6d748843fd3f40fd07d28b1e3d32cb6574823.jpg', 'checksum': 'ca6b186c2daaec17c5c0dfb32d7c963e'}]"
785127658,1,seamless+pattern+grungy,vector,Mikhail+H,"Halftone Grunge Vector Seamless Black and White Texture. Distressed Grungy Seamless Pattern Design. Watercolor Splatter Style Texture. Sketch, Rust Fashion Print Design Pattern.","texture,pattern,seamless,grunge,distress,brush,rough,vector,background,wall,dirty,rust,white,abstract,concrete,metal,watercolor,black,dry,effect,rusty,broken,paint,paper,print,splatter,design,grungy,chalk,ink,vintage,halftone,hand,plaster,retro,sketch,stain,dyed,grainy,stone,cracked,distressed,drawn,faded,fashion,painted,scratched,scratches,stripes,strokes",https://image.shutterstock.com/image-vector/halftone-grunge-vector-seamless-black-600w-785127658.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/halftone-grunge-vector-seamless-black-600w-785127658.jpg', 'path': 'full/70140f31680588bcb26dd00deb184defbcc905ce.jpg', 'checksum': '4ac74c43fe1920f55cf98691205add3e'}]"
1422424580,1,seamless+pattern+grungy,photo,roystudio,"cracked floor tile wall texture black background, marble wall blue veins abstract lines seamless pattern distressed background","marble,blue,pattern,white,granite,grunge,texture,abstract,aged,antique,background,black,blackboard,board,cement,concrete,crack,dark,decorative,design,dirty,distressed,floor,grey,ground,grungy,kitchen,lines,marbled,material,old,plaster,plasterboard,retro,rock,scratches,stone,stonewall,structure,stucco,textured,tile,urban,vintage,wall,wallpaper,weathered,worn,wrapping",https://image.shutterstock.com/image-photo/cracked-floor-tile-wall-texture-600w-1422424580.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/cracked-floor-tile-wall-texture-600w-1422424580.jpg', 'path': 'full/8a21302883368ac821c0e8a09864268de515933e.jpg', 'checksum': 'a8551c0a13c157d092dc25129d94a47a'}]"
421975279,1,seamless+pattern+grungy,vector,Olga+Rom,"Vector seamless pattern with hand drawn gold glitter textured brush strokes and stripes hand painted. Black, gold, pink, green, brown colors.","pattern,geometric,gold,stripe,glitter,color,fabric,seamless,background,watercolor,abstract,vector,brush,retro,stroke,pink,foil,line,modern,contemporary,hand,paint,plaid,print,boho,cross,fashion,tartan,geometry,golden,white,drawn,graffiti,grunge,bohemian,green,1950s,bold,bright,diagonal,hipster,1960s,grungy,hatch,mark,shapes,stipple,striped,style,textile,wrap",https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawn-600w-421975279.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawn-600w-421975279.jpg', 'path': 'full/614dfa27450bfef0d358131cc65d7181c57df727.jpg', 'checksum': '93b381e38034ec7328509ccc340e0dbb'}]"
245488132,1,seamless+pattern+grungy,vector,cepera,Abstract rough spotty brushed background. Seamless pattern. Vector.,"pattern,brush,ink,seamless,paint,grunge,vector,abstract,print,texture,rough,stroke,graphic,illustration,spot,background,contrast,design,dynamic,ground,old,square,vintage,wavy,blot,decorative,drawn,fashion,grungy,monochrome,noisy,ornate,retro,aged,art,backdrop,cover,cracks,creative,decor,expressive,scratches,shapes,stain,surface,textile,textured,tile,tracery,wallpaper",https://image.shutterstock.com/image-vector/abstract-rough-spotty-brushed-background-600w-245488132.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-rough-spotty-brushed-background-600w-245488132.jpg', 'path': 'full/b91ea7b5c82872dae1f5874586838fb40c76d624.jpg', 'checksum': 'ff9c65fa119e3bfd577e21a2dc0f3476'}]"
635900018,1,seamless+pattern+grungy,vector,Shumstock,Abstract design with hand drawn sketchy lines and brush strokes. Decorative seamless vector pattern. Ethnic style black and white minimalistic background. ,"pattern,seamless,circle,abstract,black,bohemian,flower,line,white,tribal,vector,brush,floral,stripe,design,ink,modern,ornament,art,background,folk,graphic,minimalistic,monochrome,print,sketchy,artistic,backdrop,circular,decor,detail,doodle,drawing,element,form,grunge,grungy,hand drawn,ornamental,ornate,paint,polygonal,shape,simple,stroke,style",https://image.shutterstock.com/image-vector/abstract-design-hand-drawn-sketchy-600w-635900018.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-design-hand-drawn-sketchy-600w-635900018.jpg', 'path': 'full/e288f4d84a559ed29fc2fef15809939cfdb46b2b.jpg', 'checksum': 'd02723f7ea8a7dfcb96b791fa2c9bb97'}]"
395014411,1,seamless+pattern+grungy,illustration,roystudio,black and white background grunge wall texture seamless pattern,"seamless,pattern,grunge,black,white,texture,brush,background,wall,stroke,worn,paint,rustic,old,abstract,gray,paper,stone,urban,dark,design,dirty,grey,aged,and,antique,art,board,brushstroke,card,cardboard,concrete,cracked,distressed,frayed,grungy,illustration,interior,lines,parchment,retro,rough,scratched,sheet,surface,template,textured,vintage,wallpaper,weathered",https://image.shutterstock.com/image-illustration/black-white-background-grunge-wall-600w-395014411.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/black-white-background-grunge-wall-600w-395014411.jpg', 'path': 'full/b35998c8947c0fd67e461a8a7d59c57a916dee19.jpg', 'checksum': '6510739dbabfabb3f9bf98a45f443c41'}]"
577650541,1,seamless+pattern+grungy,vector,PirxYazon,Seamless background. The pattern of squares. Chaotic Spot. Fashion camouflage. Grungy textiles.,"pattern,camouflage,seamless,sport,abstract,geometric,background,grunge,city,digital,jungle,modern,old,texture,watercolor,army,dot,fabric,fashion,hunting,paint,square,style,urban,combat,military,wallpaper,war,chaotic,cloth,clothing,color,colorful,dingy,environment,force,forest,hide,invisible,masking,material,matter,rough,soldier,splash,spot,stain,surface,textile,uniform",https://image.shutterstock.com/image-vector/seamless-background-pattern-squares-chaotic-600w-577650541.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-background-pattern-squares-chaotic-600w-577650541.jpg', 'path': 'full/041458b5ee4f04796465231bd3c13de6fbd0d72b.jpg', 'checksum': '82cec17d2f57b54c1180dbd9aa118ddc'}]"
477081547,1,seamless+pattern+grungy,vector,vtaurus,"Seamless background texture, vector distressed texture. Abstract seamless background. Black and white vector illustration.","seamless,pattern,texture,abstract,grunge,textile,black,white,vector,checkered,antique,design,fabric,frame,rough,scratch,style,wall,ancient,art,backdrop,background,canvas,cover,damaged,decor,decoration,dirty,distressed,element,grungy,illustration,ink,isolated,messy,monochrome,old,paper,pop,psychedelic,rusty,shaby,shick,spot,stain,stripe,textured,vintage,wallpaper",https://image.shutterstock.com/image-vector/seamless-background-texture-vector-distressed-600w-477081547.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-background-texture-vector-distressed-600w-477081547.jpg', 'path': 'full/dd3278ce70107771c08912d7216bd3bc58a23d53.jpg', 'checksum': 'ff2585ae7bbda5087da52cbb8161ce71'}]"
492369583,1,seamless+pattern+grungy,photo,roystudio,black and white background distressed texture seamless pattern,"pattern,marble,texture,grunge,rock,stone,abstract,vintage,batik,black,floor,nature,retro,wall,aged,ancient,and,antique,backdrop,background,bright,broken,concrete,cracked,damaged,dirty,distressed,facade,granite,grey,ground,grungy,home,interior,light,lines,marbled,old,parchment,rough,scratch,slab,stonewall,structure,stucco,textured,wallpaper,weathered,white",https://image.shutterstock.com/image-photo/black-white-background-distressed-texture-600w-492369583.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/black-white-background-distressed-texture-600w-492369583.jpg', 'path': 'full/5129e4bc18fc2ba53472412be5063ebf7716bb75.jpg', 'checksum': 'e87d4a4cab584913b3903d479bd676ca'}]"
323699570,1,seamless+pattern+grungy,illustration,cepera,Abstract grungy textured  striped petal. Seamless pattern.,"pattern,texture,seamless,wall,neutral,ceramic,design,tile,creative,relief,abstract,emboss,background,decoration,geometric,modern,cover,graphic,grungy,material,aged,backdrop,damaged,decorative,digital,dirty,embossed,illustration,model,natural,petals,print,striped,surface,textured,tracery",https://image.shutterstock.com/image-illustration/abstract-grungy-textured-striped-petal-600w-323699570.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-grungy-textured-striped-petal-600w-323699570.jpg', 'path': 'full/aeb0a96d3bb0828f7e557720ba3330b181bccbaa.jpg', 'checksum': '49433ef52e8dbba264cdabf4e0090006'}]"
1835588728,1,seamless+pattern+grungy,vector,Alexandra+Shargaeva,"Distress Grunge Texture. Seamless Pattern. Halftone Old, Retro Background. Broken, Cracked Wall Texture. Scratched, Dirt Print. Black and White Grunge Style. Noise Rough Design. Vector Illustration.","seamless,pattern,marble,crack,grunge,distress,print,scratch,texture,vector,abstract,background,black,cement,chalk,concrete,crackle,craquelure,damaged,design,dirt,dirty,dry,dust,dusty,fabric,fashion,floor,graphic,grungy,halftone,illustration,ink,old,paint,plaster,retro,rough,rust,rusty,splatter,stone,surface,template,textile,tie,urban,vintage,wall,white",https://image.shutterstock.com/image-vector/distress-grunge-texture-seamless-pattern-600w-1835588728.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/distress-grunge-texture-seamless-pattern-600w-1835588728.jpg', 'path': 'full/f78454ad9098f5db4bd95ec4a8ab1053cd2e4082.jpg', 'checksum': '6626a79973c5ea7c47b0a0633bafa37c'}]"
