id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1166522446,1,seamless+pattern+green,vector,Nadezda+Grapes,Vestor seamless pattern with leopards and tropical leaves. Trendy style.,"pattern,animal,leopard,jungle,seamless,tropic,nature,african,print,vector,illustration,tiger,jaguar,fashion,graphic,background,abstract,wildlife,wild,flower,design,wallpaper,cat,safari,art,floral,green,plant,modern,trend,fabric,leaf,color,banana,hipster,line,palm,silhouette,summer,artwork,drawn,tree,zoo,backdrop,beautiful,exotic,textile,trendy,tropical",https://image.shutterstock.com/image-vector/vestor-seamless-pattern-leopards-tropical-600w-1166522446.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vestor-seamless-pattern-leopards-tropical-600w-1166522446.jpg', 'path': 'full/0a9eb34a0eee29566f7b0a078d954c4507692967.jpg', 'checksum': '2a5f97c6549892e9048609628a10f1dc'}]"
1562242006,1,seamless+pattern+green,vector,MURRIRA,Hand drawn abstract pattern. Creative collage contemporary seamless pattern. Natural colors. Fashionable template for design.,"pattern,abstract,botanical,simple,summer,art,modern,seamless,leaf,geometric,tiger,background,vector,autumn,cosmetic,floral,green,hawaii,nature,tropical,wallpaper,contemporary,illustration,minimal,colorful,design,exotic,print,artwork,beauty,colors,creative,decor,decorative,element,fabric,fashion,graphic,natural background,pastel,shape,spa,spring,style,template,textile,texture,trends,trendy,wildlife",https://image.shutterstock.com/image-vector/hand-drawn-abstract-pattern-creative-600w-1562242006.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawn-abstract-pattern-creative-600w-1562242006.jpg', 'path': 'full/5bf98401ca263df32610ddc02198354e4191d444.jpg', 'checksum': '64e6f83fc2bb818e0f60a565a2ef5cc7'}]"
562806100,1,seamless+pattern+green,vector,julia_blnk,Seamless pattern with banana and golden palm leaves in vector,"pattern,leaf,fashion,palm,gold,flower,vector,background,seamless,tree,golden,plant,wallpaper,summer,banana,abstract,print,design,beach,vintage,spring,graphic,hawaii,art,hawaiian,silhouette,exotic,retro,sunshine,california,green,aloha,textile,bright,miami,shirt,style,paradise,triangle,vacation,beautiful,botanical,illustration,luau,texture,tropical",https://image.shutterstock.com/image-vector/seamless-pattern-banana-golden-palm-600w-562806100.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-banana-golden-palm-600w-562806100.jpg', 'path': 'full/7b06dd54cf69cf54bf8f2d083ec29beead83ae04.jpg', 'checksum': '94886c61d360a4bc39df92c1e0b41499'}]"
266281208,1,seamless+pattern+green,vector,berry2046,"Print summer exotic jungle plant  tropical palm leaves. Pattern, seamless floral vector on the black white geometric background. Nature wallpaper.","pattern,tropic,flower,floral,leaf,palm,vector,jungle,background,seamless,summer,plant,print,geometric,exotic,white,green,black,beach,illustration,abstract,tree,design,fashion,nature,trendy,color,spring,beauty,retro,paper,textile,style,aloha,hawaii,hawaiian,vacation,backdrop,ornate,silhouette,culture,decoration,luau,climate,striped,styled,textured,tropical,wallpaper,wrapping",https://image.shutterstock.com/image-vector/print-summer-exotic-jungle-plant-600w-266281208.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/print-summer-exotic-jungle-plant-600w-266281208.jpg', 'path': 'full/e78a90437eeed0639caf31284712c6eeadd9b848.jpg', 'checksum': '4a826132717a4d5e4f5d765efcfcd922'}]"
1040603947,1,seamless+pattern+green,vector,ychty,Set of Cute bright seamless patterns. Vector illustration bright design. Abstract seamless geometric pattern on vibrant background.,"pattern,background,texture,seamless,vector,modern,wallpaper,frame,abstract,vintage,fabric,elegant,line,retro,bright,design,geometric,orange,rhombus,stripe,trendy,vibrant,decoration,green,pink,blue,textile,set,package,purple,label,stylish,card,fashion,grid,template,tile,chevron,collection,style,taupe,zigzag,art deco,decorative,greeting card,illustration,invitation,netting,striped,wrapping paper",https://image.shutterstock.com/image-vector/set-cute-bright-seamless-patterns-600w-1040603947.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-cute-bright-seamless-patterns-600w-1040603947.jpg', 'path': 'full/9574533e40972d2bae363b135cf6f910664f5795.jpg', 'checksum': '60dde2bb334de9c39b627df8dc0e3ce5'}]"
571328731,1,seamless+pattern+green,illustration,Nebula_Cordata,Seamless Pattern of Watercolor Bright Green and Blue Splashes,"watercolor,pattern,green,seamless,stripe,background,shape,stroke,brush,paint,texture,line,paper,print,stain,abstract,blue,fabric,hand,modern,illustration,ornament,paintbrush,artistic,ink,art,bright,graphic,simple,splash,water,wet,backdrop,creative,design,drawing,element,endless,sketch,wallpaper",https://image.shutterstock.com/image-illustration/seamless-pattern-watercolor-bright-green-600w-571328731.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-watercolor-bright-green-600w-571328731.jpg', 'path': 'full/a0aa7fd5f6c1accb79e176222164b7110a37db07.jpg', 'checksum': '6a8801fe9f24c33d962ff2d81dc69d39'}]"
482439538,1,seamless+pattern+green,vector,venimo,"Vector set of packaging design templates, seamless patterns and frames with copy space for text for cosmetics, beauty products, organic and healthy food with leaves and flowers - modern ornaments ","pattern,leaf,background,tea,green,organic,logo,package,label,flower,herbal,herb,frame,ornament,seamless,box,floral,template,beauty,line,product,border,concept,element,minimal,paper,tag,badge,decorative,monogram,space,backdrop,contour,linear,wrapping,copy,mono,cosmetics,natural,ornamental,packaging,packing",https://image.shutterstock.com/image-vector/vector-set-packaging-design-templates-600w-482439538.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-set-packaging-design-templates-600w-482439538.jpg', 'path': 'full/bb60d4d9ce338cf46bd3f32633154b0d7d073f68.jpg', 'checksum': '1fdb5c4aa8ef2850510cf8a230e837ce'}]"
1054340423,1,seamless+pattern+green,vector,Martyshova+Maria,"Marble seamless background with geometric shapes, tropical leaves and pink glitter. Diamond pattern. Template for textile, apparel, card, invitation, wedding etc.","pattern,marble,seamless,geometric,tropic,green,nature,background,gold,texture,vector,wallpaper,hexagon,leaves,abstract,design,glitter,golden,granite,jungle,summer,trendy,botanical,diamond,exotic,palm,shine,sparkle,fashion,modern,stone,anniversary,apparel,copper,crystal,decoration,decorative,element,hawaii,hipster,illustration,marbled,metallic,minimalism,rock,shiny,template,textile,tropical,vintage",https://image.shutterstock.com/image-vector/marble-seamless-background-geometric-shapes-600w-1054340423.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/marble-seamless-background-geometric-shapes-600w-1054340423.jpg', 'path': 'full/cdcc46dd209331ce157bf5ffa2dae04083895605.jpg', 'checksum': '3e418dd49374126c7abab2e7af6b690e'}]"
428203480,1,seamless+pattern+green,vector,NataliaKo,"Tropical palm leaves, jungle leaves seamless vector floral pattern background","tropic,pattern,palm,leaf,background,vector,tree,green,seamless,plant,jungle,print,summer,wallpaper,texture,hawaii,beach,nature,spring,vintage,safari,white,design,exotic,painting,modern,art,artwork,isolated,beauty,brazil,fashion,fabric,flora,garden,branch,miami,popular,decoration,island,california,textile,feminine,botanical,colorful,fashionable,illustration,subtropical",https://image.shutterstock.com/image-vector/tropical-palm-leaves-jungle-seamless-600w-428203480.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-palm-leaves-jungle-seamless-600w-428203480.jpg', 'path': 'full/ad85550993d982d711d0b639d288dbd217ebba42.jpg', 'checksum': 'c5e66e06b73569eb292f2596daea48eb'}]"
1573402036,1,seamless+pattern+green,vector,momosama,"Floral seamless pattern, Anthurium flowers with leaves in blue tone on dark blue","pattern,flower,tropic,seamless,dark,collage,floral,green,line,outline,texture,leaf,plant,foliage,blossom,fabric,pastel,petal,vegetation,anthurium,background,design,greenery,monotone,print,spring,backdrop,blooming,botanical,botany,budding,decoration,flamingo,garden,greenness,houseplant,laceleaf,leafage,nature,ornament,repeat,season,shrub,tailflower,textile,tree,tropical,verdure,vintage,wallpaper",https://image.shutterstock.com/image-vector/floral-seamless-pattern-anthurium-flowers-600w-1573402036.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-pattern-anthurium-flowers-600w-1573402036.jpg', 'path': 'full/138136be9e5ccc72a1ccbd9e71b32c5446fa95ff.jpg', 'checksum': 'c8a19abb22648336a826c68fb9af27f5'}]"
