id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1032185956,1,seamless+pattern+pink,illustration,lisima,Seamless pattern with spring flowers and leaves. Hand drawn background.  floral pattern for wallpaper or fabric. Flower rose. Botanic Tile.,"pattern,flower,floral,watercolor,seamless,wallpaper,rose,pink,print,white,abstract,spring,background,fabric,design,painting,tile,wall,art,furniture,gray,retro,bedclothes,decorative,ornament,paper,vintage,artistic,blossom,branch,card,graphic,illustration,invitation,leaf,panting,pastel color,postcard,structure,template,textile,valentine,wrapper",https://image.shutterstock.com/image-illustration/seamless-pattern-spring-flowers-leaves-600w-1032185956.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-spring-flowers-leaves-600w-1032185956.jpg', 'path': 'full/eb2908ef7113bb4884ca86f94f4247e608ab23b4.jpg', 'checksum': 'a19078750a177038b7163dce6a1ea197'}]"
656196433,1,seamless+pattern+pink,vector,nannastudio,sketched flower print in bright colors - seamless background,"flower,pattern,floral,seamless,vector,print,spring,background,sketch,vintage,cute,summer,daisy,orange,fashion,fabric,retro,ditsy,texture,design,bouquet,bright,pink,wallpaper,blue,meadow,repeat,green,beauty,tile,artistic,60s,feminine,original,petal,blooms,drawing,gazania,gerber,hand drawn,hippie,natural,nature,scribble,textile",https://image.shutterstock.com/image-vector/sketched-flower-print-bright-colors-600w-656196433.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/sketched-flower-print-bright-colors-600w-656196433.jpg', 'path': 'full/53b67065dfd57c081d439b58c102408f68fd28b1.jpg', 'checksum': 'f24f2feaad14aad06ca82ec2b58cb427'}]"
593399825,1,seamless+pattern+pink,vector,PurpleBird,"Vector seamless pattern with pink peony and white tulip flowers on white background. Romantic design for natural cosmetics, perfume, women products. Can be used as greeting card or wedding background","flower,peony,background,pink,floral,white,spring,tulip,luxury,blossom,wedding,romantic,spa,bridal,frame,essence,massage,nature,summer,bouquet,card,bath,gentle,skincare,body,save,vertical,aromatherapy,celebration,date,essential,garden,light,aroma,beauty,bloom,botanic,botanical,botany,care,cosmetic,florist shop,gift,greeting,health,invitation,natural,organic,perfume,seamless pattern",https://image.shutterstock.com/image-vector/vector-seamless-pattern-pink-peony-600w-593399825.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-pink-peony-600w-593399825.jpg', 'path': 'full/caaca936621f54de1cd2d5fdf17dd1ca1bf45dd8.jpg', 'checksum': 'd24b3bb02e25bdf0e346109baec87e21'}]"
1159734781,1,seamless+pattern+pink,vector,NikaMooni,Art deco seamless pattern with rose gold decorative flowers shapes.,"pattern,geometric,wallpaper,flower,seamless,vector,retro,classic,elegant,shell,nouveau,background,chic,luxury,line,oriental,decoration,texture,pink,gatsby,geometry,modern,fashion,print,simple,abstract,leaf,stripe,arch,fabric,fan,premium,textile,ornate,tile,1920s,backdrop,party,subtle,art deco,celebration,element,ornament,repeat,rose gold,scales,scrapbook,shapes,vintage,wrapping paper",https://image.shutterstock.com/image-vector/art-deco-seamless-pattern-rose-600w-1159734781.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/art-deco-seamless-pattern-rose-600w-1159734781.jpg', 'path': 'full/cfc2dc62383eec465ec4d7bda162d8cb07eda7d0.jpg', 'checksum': 'd98d9f7a13b6c5ce99033141e6978b15'}]"
727151695,1,seamless+pattern+pink,vector,Studio+Lulu,Trendy Seamless Floral Pattern in Vector,"pattern,floral,flower,seamless,vector,small,print,background,ditsy,pink,girl,little,cute,spring,wallpaper,abstract,fabric,fashion,garden,art,color,illustration,paper,summer,trendy,fresh,graphic,repeat,rose,beautiful,feminine,leaf,textile,trend,backdrop,beauty,bloom,blossom,decor,elegance,flora,leave,nature,ornament,painted,retro,style,texture,wrapping",https://image.shutterstock.com/image-vector/trendy-seamless-floral-pattern-vector-600w-727151695.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/trendy-seamless-floral-pattern-vector-600w-727151695.jpg', 'path': 'full/9ff7ec7dbf5a35a47eb05a7f67252476a25a0a3e.jpg', 'checksum': '3b0970aea72f729be1a1c5cdc247a8dc'}]"
1472603984,1,seamless+pattern+pink,vector,112332,"Abstract floral seamless pattern. Bright colors, painting on a light background. Cherry blossoms.","pattern,flower,floral,watercolor,seamless,spring,water,color,background,vector,ditsy,summer,geometric,cute,paint,print,daisy,pink,abstract,modern,textile,design,liquid,meadow,nature,vintage,bouquet,fabric,green,repeat,retro,tile,vibrant,60s,art,artistic,beautiful,colorful,creativity,decoration,dye,graphic,hand drawn,invitation,shape,smudge,spot,template,wallpaper",https://image.shutterstock.com/image-vector/abstract-floral-seamless-pattern-bright-600w-1472603984.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-floral-seamless-pattern-bright-600w-1472603984.jpg', 'path': 'full/e6b3913014f10b08c57353ebd7d2a410cf4b781c.jpg', 'checksum': '13b28ef5c5cc8314f6baeb83a8f92c81'}]"
1595195428,1,seamless+pattern+pink,vector,Svetlana+Kononova,"Elegant floral pattern. Seamless vector print with lilies and blooming cherry. Beautiful botanical composition on grey background. Template for textile design, cards, wallpapers, gift wrappings.","pattern,floral,print,seamless,micro,small,vector,abstract,carpet,clusters,lily,pink,wildflowers,art,background,beautiful,bloom,blossom,border,botanical,cherry,color,cotton,cute,decor,design,detail,ditsy,dress,fabric,flowers,garden,grey,mix,mixed,motifs,nature,petals,retro,sakura,scarf,silk,spring,style,summer,textile,texture,vintage,wallpaper,white",https://image.shutterstock.com/image-vector/elegant-floral-pattern-seamless-vector-600w-1595195428.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/elegant-floral-pattern-seamless-vector-600w-1595195428.jpg', 'path': 'full/e67e393af6868d9c32d3c267fd2c637974961565.jpg', 'checksum': 'fccd4d80ef2eb5738d1b33c99286421a'}]"
1652567773,1,seamless+pattern+pink,vector,sunshiny,Pink tulips on a white background seamless pattern. Vector illustration.,"abstract,art,background,banner,beautiful,blossom,botanical,bouquet,branch,card,colorful,decor,decoration,decorative,design,drawing,easter,fabric,fashion,floral,flower,garden,green,hand drawn,illustration,isolated,leaf,march,may,mothers day,nature,ornament,paper,pattern,pink,plant,print,romantic,seamless,spring,stem,summer,surface,textile,texture,tulip,tulips,valentine,vector,wallpaper",https://image.shutterstock.com/image-vector/pink-tulips-on-white-background-600w-1652567773.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/pink-tulips-on-white-background-600w-1652567773.jpg', 'path': 'full/1b4e75326c196b8cd588069ffaa80b64455121b8.jpg', 'checksum': '3b1782d58df6e7727ff828413bfd2304'}]"
1588529002,1,seamless+pattern+pink,vector,sienkie,"Make a Wish.Lovely Nusery Art with White Hand Drawn Twinkle Stars Isolated on a Pink Background. Pink and Gray Starry Sky Seamless Vector Pattern. Cute Night Sky Illustration for Card,Wall Art,Fabric.","baby,girl,night,pink,seamless,sky,abstract,adorable,backdrop,background,bright,card,celebration,christmas,cute,decoration,decorative,delicate,design,drawing,fabric,funny,girly,graphic,gray,hand drawn,happy,illustration,irregular,kids,light,make a wish,pastel,pattern,print,set,simple,sketch,soft,starry,stars,sweet,textile,texture,tile,trendy,vector,wallpaper,white,wrapping paper",https://image.shutterstock.com/image-vector/make-wishlovely-nusery-art-white-600w-1588529002.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/make-wishlovely-nusery-art-white-600w-1588529002.jpg', 'path': 'full/87a9cdfe6cd2ba7fc62916c5b6010592952c1436.jpg', 'checksum': 'bb05d74d0b8881ec45819fb9cfdd2f2e'}]"
1657583851,1,seamless+pattern+pink,vector,Eva+Marina,"Simple cute pattern in small flower. Liberty style. Floral seamless background for textile or book covers, manufacturing, wallpapers, print, gift wrap and scrapbooking.","flower,floral,pattern,ditsy,liberty,seamless,print,abstract,daisy,vintage,small,vector,art,fabric,background,beauty,design,garden,retro,spring,summer,texture,backdrop,cute,fashion,graphic,organic,pink,repeat,simple,textile,blossom,blue,calico,country-style,element,feminine,flora,illustration,leaf,little,love,nature,ornament,paper,petal,style,subtle,wallpaper,wrapping",https://image.shutterstock.com/image-vector/simple-cute-pattern-small-flower-600w-1657583851.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/simple-cute-pattern-small-flower-600w-1657583851.jpg', 'path': 'full/1723571f54d848bbd3d3bfc14b2ca48782384380.jpg', 'checksum': '6cd0960b3d6441b4e42f146b2ce929a7'}]"
