id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1401340550,1,seamless+pattern+color,vector,MURRIRA,Modern leopard seamless pattern. Creative colorful collage pattern. Fashionable template for design.,"pattern,animal,color,cat,girl,kids,leopard,safari,abstract,print,art,bright,texture,vector,fashion,cute,geometry,african,camouflage,hawaii,trendy,wild,backdrop,background,creative,graphic,animal print,children,colorful,colors,contemporary,cut out,decoration,decorative,design,dots,exotica,fabric,hawaiian,illustration,modern,nature,pop art,retro,textile,textured,wallpaper,wildlife,wrapping,zoo",https://image.shutterstock.com/image-vector/modern-leopard-seamless-pattern-creative-600w-1401340550.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/modern-leopard-seamless-pattern-creative-600w-1401340550.jpg', 'path': 'full/8db54f9c3781146ead195ae2816dfc017fe0d018.jpg', 'checksum': '5126a84fc2252b3460f3a09032a202d2'}]"
697741432,1,seamless+pattern+color,vector,Nadezda+Grapes,"Abstract geometric seamless pattern with circles and gold glitter elements. Modern abstract design for paper, cover, fabric, interior decor and other users. Ideal for baby girl design.","pattern,baby,seamless,geometric,girl,background,abstract,vector,texture,color,circle,gold,illustration,vintage,design,modern,print,trendy,children,stylish,glitter,cool,retro,creative,layout,hand,doodle,birth,trend,card,poster,decor,elegant,scribble,fabric,golden,template,printable,strip,style,decoration,decorative,dots,element,graphics,hand-drawn,repeating,stripes,textured,tile",https://image.shutterstock.com/image-vector/abstract-geometric-seamless-pattern-circles-600w-697741432.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-geometric-seamless-pattern-circles-600w-697741432.jpg', 'path': 'full/1696cc37d6b929c79def7ae85415cbf54be432e1.jpg', 'checksum': 'fa929838f8b723140adf5bc4ebd3b097'}]"
598965686,1,seamless+pattern+color,illustration,dyxonD,"Abstract bright colorful universe, Nebula night starry sky in rainbow colors, Multicolor outer space, Glittering galactic texture background, Seamless illustration","seamless,rainbow,pattern,galaxy,color,background,space,star,light,nebula,universe,blue,sky,bright,galactic,night,starry,abstract,green,pink,red,alien,cosmic,purple,shiny,texture,black,cosmos,dark,infinity,multicolor,nature,orange,violet,world,colorful,cyan,distant,energy,glittering,heaven,illustration,magenta,milky way,mystery,outer,shine,spectrum,wallpaper,yellow",https://image.shutterstock.com/image-illustration/abstract-bright-colorful-universe-nebula-600w-598965686.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-bright-colorful-universe-nebula-600w-598965686.jpg', 'path': 'full/59b98c898d37653dc5a4615dd58cf13ff868fde1.jpg', 'checksum': '4f61825cef60303bb63609470a163be2'}]"
1803098152,1,seamless+pattern+color,vector,Anastasiia+Linovitska,"
Elegant seamless graphic pattern with rose branches","pattern,seamless,flower,summer,abstract,background,botanical,cute,floral,garden,leaves,pink,art,artwork,beautiful,beauty,blossom,bouquet,branch,colorful,decor,decoration,decorative,delicate,design,drawing,elegant,fabric,floristic,graceful,graphic,green,illustration,leaf,nature,ornament,paper,peonies,petals,plant,retro,romantic,roses,spring,surface,textile,textiles,texture,vintage,wallpaper",https://image.shutterstock.com/image-vector/elegant-seamless-graphic-pattern-rose-600w-1803098152.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/elegant-seamless-graphic-pattern-rose-600w-1803098152.jpg', 'path': 'full/b974c52fa36e9d14a28ae31e2a5b86bb5cd79c81.jpg', 'checksum': '29a8543949956c6ac51d909959c0ee40'}]"
1124332118,1,seamless+pattern+color,vector,Tasiania,Collage contemporary floral hawaiian pattern in vector. Seamless surface design  ,"pattern,abstract,art,seamless,tropical,modern,collage,contemporary,vector,floral,background,figure,flower,forest,summer,geometry,nature,garden,jungle,leaf,exotic,illustration,monstera,palm,texture,wallpaper,abstraction pattern,aloe vera,artistic,beauty,blossom,colorful,decoration,decorative,fabric design,fashion,flora,graphic,paper,plant,rain forest,scribble,spring,textile,textured,tree,wrapping",https://image.shutterstock.com/image-vector/collage-contemporary-floral-hawaiian-pattern-600w-1124332118.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collage-contemporary-floral-hawaiian-pattern-600w-1124332118.jpg', 'path': 'full/09ec034d81daaedeba00d28a2ff8b13a9d9f039b.jpg', 'checksum': 'c3a0aaa9fb12f078bf299fe5563c98e5'}]"
585380345,1,seamless+pattern+color,vector,Slanapotam,"Abstract geometric background with different geometric shapes - triangles, circles, dots, lines. Memphis style. Bright and colorful, 90s style. Vector seamless pattern. Neon colors","pattern,background,80s,90s,pop,memphis,crazy,vector,neon,seamless,abstract,graphic,design,geometric,style,blue,line,minimal,circle,triangle,fashion,pink,poster,retro,tileable,dark,simple,tile,vintage,dark background,dark blue background,geometry,material,material design,memfis,memphis style,repeat,shapes",https://image.shutterstock.com/image-vector/abstract-geometric-background-different-shapes-600w-585380345.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-geometric-background-different-shapes-600w-585380345.jpg', 'path': 'full/ee4449f49bc5e77e6e36bcb65fb4f31a923ccae6.jpg', 'checksum': '4a5ae8eaa046ece61a128e2cbc491287'}]"
1357613969,1,seamless+pattern+color,vector,artnLera,hand drawn doodle ice cream summer  seamless pattern,"pattern,seamless,kids,beach,children,doodle,girl,summer,tropical,vector,colorful,cute,flower,fruit,bright,design,easter,floral,food,heart,sketch,background,beautiful,berry,candy,doodle background,doodle pattern,dots,hand drawn,happy,ice cream,ice cream cone,icon,illustration,lemon,monstera,orange,palm,party,plant,seamless pattern,strawberry,summer fun,summer holiday,sweets,textile,texture,tropical flowers,wallpaper,watermelon",https://image.shutterstock.com/image-vector/hand-drawn-doodle-ice-cream-600w-1357613969.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawn-doodle-ice-cream-600w-1357613969.jpg', 'path': 'full/e58f2fd130f1752ad31b4f2154ede7db2e6de7d6.jpg', 'checksum': '0d52469b9fe847ed6eee81ea4eabb0af'}]"
132600707,1,seamless+pattern+color,vector,ville,Vintage abstract seamless pattern,"pattern,background,retro,vector,fashion,flower,wallpaper,vintage,abstract,geometric,modern,circle,seamless,round,graphic,orange,tile,geometry,ornament,red,yellow,shape,blue,trendy,design,wrapping,pink,style,textile,illustration,mosaic,creative,fabric,gothic,transparent,decoration,repeat,petal,cover,fantasy,artistic,medieval,repetition,backdrop,beige,colorful,decorative,fairy-tale,geometrical,ornamental",https://image.shutterstock.com/image-vector/vintage-abstract-seamless-pattern-600w-132600707.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vintage-abstract-seamless-pattern-600w-132600707.jpg', 'path': 'full/0ee071233cd4021aa1604de985b04c026bdccbe7.jpg', 'checksum': 'a87c9d06c04775b2f8278748d13a3c03'}]"
1685764942,1,seamless+pattern+color,vector,Shamilini,"Vector seamless pattern of hand-drawn doodle home activities, hobbies: drawing, knitting, guitar, indoor plants, books and reading, tea drinking, board games. Coloring page. Slogan: Stay home","home,page,pattern,stay,doodle,game,coloring,coronavirus,seamless,sketch,vector,book,cat,concept,covid-19,cozy,design,drawing,epidemic,global,guitar,hand drawn,health,hobby,house,illustration,infection,isolation,knitting,melody,music,pandemic,pie,poster,potted plant,print,puzzle,quarantine,reading,relax,rest,set,social,sport,stay home,table,tea,tea party,text,virus",https://image.shutterstock.com/image-vector/vector-seamless-pattern-handdrawn-doodle-600w-1685764942.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-handdrawn-doodle-600w-1685764942.jpg', 'path': 'full/c40723ef0054a341d35d19c4ee5755a178a13e9c.jpg', 'checksum': '72540d1cf1e97b3e3225230331f9013d'}]"
1709670739,1,seamless+pattern+color,vector,bommazee,Set of Vector Patterns In Flat Colors ,"pattern,background,vector,texture,seamless,abstract,organic,shape,modern,retro,design,creative,bacteria,backdrop,biologic,chemical reaction,decor,decoration,diffuse,distorted,fashion,graphic,line,organic pattern,print,reaction,rounded,style,wallpaper",https://image.shutterstock.com/image-vector/set-vector-patterns-flat-colors-600w-1709670739.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-vector-patterns-flat-colors-600w-1709670739.jpg', 'path': 'full/c5d5a71a82c2a1664b963a564cae1dceb1578832.jpg', 'checksum': 'aaf8656691de5ca6f23638bebadf3756'}]"
512745133,1,seamless+pattern+color,vector,3dkot,"Seamless pattern of pink donut glaze with many decorative sprinkles. Easy to change colors. Pattern design for banner, poster, flyer, card, postcard, cover, brochure.","pattern,candy,ice,donut,cream,cake,background,vector,seamless,texture,pink,print,sweet,cupcake,glaze,confetti,3d,doughnut,color,birthday,cute,decoration,topping,sugar,baking,frosting,dessert,food,wallpaper,fun,abstract,bright,illustration,purple,bakery,delicious,design,pastry,speck,white,yellow,celebration,decor,decorative,flat,holiday,icing,sprinkles,tasty,wrapping",https://image.shutterstock.com/image-vector/seamless-pattern-pink-donut-glaze-600w-512745133.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-pink-donut-glaze-600w-512745133.jpg', 'path': 'full/f2a1cb616262bdceba249d672cd4b16d57bb1b50.jpg', 'checksum': '4aa255c937a4e977799a8b49163f900b'}]"
