id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1459407860,1,seamless+pattern+apple,vector,Nechayka,"Apple fruit seamless pattern, abstract repeated background. For paper, cover, fabric, gift wrap, wall art, interior décor. Simple surface pattern design.  Vector

","apple,pattern,illustration,cute,vector,fruit,kitchen,seamless,background,color,fall,green,trendy,abstract,artistic,autumn,food,fresh,modern,summer,art,backdrop,card,cool,decorative,design,diet,dot,drawing,eat,fabric,folk,garden,graphic,hand drawn,healthy,naive,natural,nature,pink,print,season,simple,sweet,textile,texture,vintage,vitamin,wallpaper",https://image.shutterstock.com/image-vector/apple-fruit-seamless-pattern-abstract-600w-1459407860.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/apple-fruit-seamless-pattern-abstract-600w-1459407860.jpg', 'path': 'full/78e4eacffc9f112df11790ccccdf70cc4c2b8514.jpg', 'checksum': '0d41adcff3b3f3c03e562c65278a76e6'}]"
1056078650,1,seamless+pattern+apple,vector,ira9507,"Seamless flowers pattern. Floral background for fashion prints. Design for textile, wallpapers, wrapping, paper. Spring flowery texture. Apple flowers.","flower,watercolor,pattern,daisy,seamless,print,fabric,liberty,pink,cute,floral,flowery,motif,red,pretty,repeat,small,vector,white,flourish,little,random,simple,spring,vintage,blossom,cotton,decor,decoration,design,fashion,field,flora,garden,illustration,nature,ornament,petal,plant,romantic,sample,solid,style,summer,template,textile,texture,tiled,wallpaper,wrapping",https://image.shutterstock.com/image-vector/seamless-flowers-pattern-floral-background-600w-1056078650.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-flowers-pattern-floral-background-600w-1056078650.jpg', 'path': 'full/8c305f615c00c7d23711cb09c684516594ced4af.jpg', 'checksum': '3d4679aecab65a886f56cd9566a74e78'}]"
1141273415,1,seamless+pattern+apple,vector,ChloeOverton,Seamless Apple Vector Pattern Fruit Background with Sliced Core,"apple,pattern,illustration,vector,green,seamless,cute,fruit,garden,harvest,apples,art,background,core,design,diet,eat,fabric,fashion,fitness,food,fresh,fruity,graphic,gym,half,health,healthy,icon,juicy,leaf,natural,nature,organic,packaging,pips,red,repeat,ripe,set,shop,slice,sliced,summer,sweet,texture,vegetables,vegetarian,wallpaper,white",https://image.shutterstock.com/image-vector/seamless-apple-vector-pattern-fruit-600w-1141273415.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-apple-vector-pattern-fruit-600w-1141273415.jpg', 'path': 'full/284021849ee8c4a2d1451639d40777d18a321bbf.jpg', 'checksum': 'b60d611507d4ab0e05a0e733ae3095e3'}]"
1377561761,1,seamless+pattern+apple,illustration,annamyslivets,A blooming branch of apple tree in spring watercolor. Hand drawn apple tree branches and flowers .Perfect for invitations and wedding cards.,"apple,blossom,crab,agriculture,drawing,illustration,leaf,watercolor,apple tree,april fools,background,berry,botanical,bouquet,branch,bud,card,cherry,decoration,design,dessert,eco,farmer,floral,flower,food,fruits,garden,gardening,green,homemade,invitation,march,marmalade,may,nature,orchard,parking,pattern,pink,plant,plum,product,seamless,season,spring,strawberry,summer,tree,wedding",https://image.shutterstock.com/image-illustration/blooming-branch-apple-tree-spring-600w-1377561761.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/blooming-branch-apple-tree-spring-600w-1377561761.jpg', 'path': 'full/2c53cc85f678c575e9b7c34351c7856aadc00363.jpg', 'checksum': '618cb1ca79e9e2fc6240c84d7a6aa7bc'}]"
578112985,1,seamless+pattern+apple,vector,VasilkovS,Seamless background pattern of organic farm fresh fruits and vegetables. Vector illustration. Outline line flat style design. White backdrop.,"pattern,drawn,hand,illustration,vector,seamless,agriculture,icon,background,organic,potato,salad,tomato,apple,design,food,fresh,garden,juice,line,outline,white,avocado,berry,carrot,collection,corn,eco,farm,flat,floral,fruits,grapes,green,groceries,healthy,isolated,leaf,mixed,nature,onion,orange,raspberry,set,shapes,strawberry,vegan,vegetables,vegetarian,watermelon",https://image.shutterstock.com/image-vector/seamless-background-pattern-organic-farm-600w-578112985.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-background-pattern-organic-farm-600w-578112985.jpg', 'path': 'full/1e4ccfaf486378050fc011f2848d4f531f1303f9.jpg', 'checksum': '54878307282e46bd49d5f89819fda6f4'}]"
133619807,1,seamless+pattern+apple,vector,ohnmarwin,Seamless apple pattern vector,"apple,pattern,background,vector,green,outline,seamless,appetizing,cooking,decoration,decorative,delicious,design,doodles,drawing,eat,eco,element,fabric,food,fresh,fruit,graphic,hand-drawn,happy,health,healthy,illustration,juicy,kitchen,light green,modern,natural,nature,organic,pen-drawing,print,sketch,slice,spring,style,sweet,symbol,tasty,textile,texture,vegetarian,vitamins,wallpaper,wrapping",https://image.shutterstock.com/image-vector/seamless-apple-pattern-vector-600w-133619807.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-apple-pattern-vector-600w-133619807.jpg', 'path': 'full/fc97c9de32e755e19edbc76b68b8895331aab812.jpg', 'checksum': 'cf6758874449185cfc41502dbb7b5fbb'}]"
752138746,1,seamless+pattern+apple,vector,Roupplar,"Red apple seamless pattern. Template design for restaurant, food, wrapping, farm market products. Can use for wallpapers, web page backgrounds, surface textures, textile fabric print. Vector","apple,pattern,seamless,abstract,art,backdrop,background,bag,botanical,color,colorful,creative,cute,decoration,delicious,design,element,fabric,food,fresh,freshness,fruit,gift,graphic,health,healthy,illustration,juicy,kitchen,leaf,natural,nature,organic,paper,presentation,red,repeat,shape,summer,sweet,tasty,textile,texture,tile,vector,vegetarian,vitamin,wallpaper,white,wrapping",https://image.shutterstock.com/image-vector/red-apple-seamless-pattern-template-600w-752138746.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/red-apple-seamless-pattern-template-600w-752138746.jpg', 'path': 'full/af44da398b137735d7435c708c52ab8565fcbfde.jpg', 'checksum': 'f9d5215c83f3fba28653dee346c7ed54'}]"
93830632,1,seamless+pattern+apple,vector,designalicious,Seamless cute bright colorful retro apple pattern in vector,"pattern,kid,apple,fruit,vector,food,cute,flower,background,retro,print,sweet,healthy,kitchen,seamless,spring,health,design,eat,green,child,textile,repeat,shape,texture,vintage,graphic,wallpaper,blue,heart,fabric,happy,stylish,juice,outline,brown,pink,style,trend,adorable,colorful,delicious,dot,fresh,illustration,polka,red,young",https://image.shutterstock.com/image-vector/seamless-cute-bright-colorful-retro-600w-93830632.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-cute-bright-colorful-retro-600w-93830632.jpg', 'path': 'full/177e38f8931cb0faa7a88ddf76c65232de974484.jpg', 'checksum': '84d23cb455d5bc1043b3a25af3fbcd90'}]"
106458104,1,seamless+pattern+apple,vector,murphyigor,Seamless apple background - vector pattern,"apple,pattern,background,green,seamless,fruit,vector,food,red,texture,art,clip,diet,label,orange,organic,set,bio,clip-art,collection,design,dieting,different,eco,elements,emblem,fabric,fresh,freshness,graphic,healthy,illustration,leaf,natural,nature,repeat,shape,simple,symbolic,template,variety,various,wallpaper,wrapping paper,yellow",https://image.shutterstock.com/image-vector/seamless-apple-background-vector-pattern-600w-106458104.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-apple-background-vector-pattern-600w-106458104.jpg', 'path': 'full/2c536bf65a0fd8359ab58f48ee7fd7ebac919fd8.jpg', 'checksum': 'ff709263610fdfe8afdd00c405a9947b'}]"
115339084,1,seamless+pattern+apple,vector,vyazovskaya,Seamless pattern with apples in a dot.,"pattern,fruit,seamless,apple,cute,background,food,vector,print,bright,colorful,decorative,retro,texture,vintage,art,beautiful,cartoon,creative,decor,decoration,design,drawing,fabric,fresh,green,happy,health,heart,illustration,image,leaf,modern,natural,nature,ornament,ornate,paper,plant,polka dot,red,repeat,season,silhouette,sweet,symbol,textile,trend,wallpaper,yellow",https://image.shutterstock.com/image-vector/seamless-pattern-apples-dot-600w-115339084.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-apples-dot-600w-115339084.jpg', 'path': 'full/1e40aa8d3b50517f4f4b28453195478cfa1c6adf.jpg', 'checksum': 'ec6127fafe6556bb1d239cc174ff5a4a'}]"
