id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
731626471,1,seamless+pattern+plaid,illustration,YuliaAksa,Abstract pattern stripes blue watercolour textures background geo. Watercolor geometric splash brushes digital effect overlay backdrop seamless. Blue monochrome color lines paint and drawing.,"pattern,abstract,seamless,watercolor,floral,geometric,blue,texture,background,geo,wallpaper,effect,plaid,art,design,collage,digital,fabric,stripe,dark,illustration,repeat,trendy,tribal,brush,allover,drawing,scarf,splash,vintage,artistic,aztec,camo,stamp,surf,vivid,wall,white,craft,psychedelic,rough,backdrop,decoration,lines,monochrome,painting,printing,scratch,tile,wrapping",https://image.shutterstock.com/image-illustration/abstract-pattern-stripes-blue-watercolour-600w-731626471.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-pattern-stripes-blue-watercolour-600w-731626471.jpg', 'path': 'full/006e458d8442b95ded05dcd1803f096f3afeaf72.jpg', 'checksum': '33988ebbd759f2c25b5fe458e082bb4c'}]"
691471507,1,seamless+pattern+plaid,vector,Anya_D,"Plaid check patten in pastel grey, dusty beige and white. Seamless fabric texture print","plaid,pattern,tartan,check,christmas,vector,grey,flannel,white,checker,print,background,stripe,simple,border,twill,gingham,gray,fashion,light,pastel,square,beige,blanket,design,mat,picnic,pyjamas,scotland,scottish,tablecloth,geometric,pale,patchwork,pretty,fabric texture,faded,graphic,mens shirt,pajamas,preppy,retro,seamless patern,snow white,soft,table cloth,traditional,trendy,vintage,winter fashion",https://image.shutterstock.com/image-vector/plaid-check-patten-pastel-grey-600w-691471507.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/plaid-check-patten-pastel-grey-600w-691471507.jpg', 'path': 'full/ca74907edcb85b61050c9198b2f6a21362b8df6e.jpg', 'checksum': '5bfa82470721b5a7bfe8cee2bb501d58'}]"
1023245581,1,seamless+pattern+plaid,vector,Anya_D,"Plaid check pattern in dark navy, cobalt blue and white. Seamless fabric texture print. ","plaid,seamless,pattern,check,tartan,blue,dark,fashion,fabric,gingham,graphic,stripe,vector,abstract,background,border,checker,cobalt,design,diagonal,flannel,geometric,indigo,mat,mens shirt,nautical,navy,pajamas,picnic blanket,preppy,print,retro,rustic,scotland,scottish,simple,square,style,table cloth,tablecloth,textile,texture,traditional,twill,uk,vintage,white",https://image.shutterstock.com/image-vector/plaid-check-pattern-dark-navy-600w-1023245581.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/plaid-check-pattern-dark-navy-600w-1023245581.jpg', 'path': 'full/4fa22284e04c3282024082aa0af0c8289fbee741.jpg', 'checksum': 'a1d1144335b5a25e3f1e9fda9a8cd295'}]"
743803246,1,seamless+pattern+plaid,illustration,Patelbk,Seamless tartan plaid pattern Traditional checkered fabric texture,"pattern,plaid,texture,abstract,check,tartan,fabric,blue,geometric,checkered,design,linen,background,classic,square,blanket,brown,cotton,gingham,material,red,shirt,vintage,wallpaper,white,backdrop,bed,cloth,clothing,color,decoration,fashion,green,illustration,picnic,retro,seamless tartan plaid pattern traditional checkered fabric texture,textile,textured",https://image.shutterstock.com/image-illustration/seamless-tartan-plaid-pattern-traditional-600w-743803246.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-tartan-plaid-pattern-traditional-600w-743803246.jpg', 'path': 'full/b6ec639bba80224bf762902d8e10c2fc47a9aac9.jpg', 'checksum': '3af90d67217565f73f041cee3796c556'}]"
1093457438,1,seamless+pattern+plaid,vector,Anya_D,Seamless plaid check patten in teal blue and orange. Classic countryside fashion print. ,"pattern,plaid,check,blue,tartan,vector,orange,repeat,fabric,nautical,navy,scarf,teal,design,flannel,gingham,preppy,pyjamas,scotland,scottish,square,style,tablecloth,texture,uk,background,checker,christmas,countryside,dark,digital,english,fashion,geometric,golf,graphic,indigo,madras,masculine,mens shirt,pajamas,picnic blanket,quilt,retro,rustic,seamless patern,stripe,table cloth,textile print,xmas",https://image.shutterstock.com/image-vector/seamless-plaid-check-patten-teal-600w-1093457438.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-plaid-check-patten-teal-600w-1093457438.jpg', 'path': 'full/ae5cfd65e615b063c70254dc796158e967b3d435.jpg', 'checksum': '722694cc12648b90de99841fc28f06e4'}]"
1697165470,1,seamless+pattern+plaid,vector,ZiaMary,Wildlife wood plaid and Lumberjack symbols and silhouettes collection abstract vector seamless pattern ,"pattern,seamless,moose,lumberjack,wild,abstract,elk,nature,plaid,silhouette,wildlife,wood,adventure,axe,badge,bear,card,deer,design,element,fabric,fashion,forest,forestry,grunge,hipster,illustration,label,lumber,mountain,north,outdoor,paper,pine,poster,print,scottish,shirt,tartan,textile,timber,track,tree,vector,vintage,wallpaper,woodsman,work,worker",https://image.shutterstock.com/image-vector/wildlife-wood-plaid-lumberjack-symbols-600w-1697165470.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/wildlife-wood-plaid-lumberjack-symbols-600w-1697165470.jpg', 'path': 'full/f981ba8975bae00fe6174c3b6356369b22798006.jpg', 'checksum': '36ca32268b123ec8ae7fef79da7b6d03'}]"
1304322133,1,seamless+pattern+plaid,vector,artefficient,"Navy, Blue, White and Orange Tartan and Buffalo Check Plaid Vector Patterns. Hipster Lumberjack Flannel Shirt Fabric Textures. Summer Men's Fashion.Pattern Tile Swatches Included","pattern,seamless,men,plaid,orange,blue,shirt,boy,background,design,flannel,rustic,stationary,stripes,tartan,baby,baby blue,bbq,bedding,bright,buffalo check,buffalo plaid,card,checks,children,clothing,decor,diagonal,fabric,gingham,hipster,horizontal,lumberjack,modern,nautical,navy,navy blue,party,picnic,pixel,print,royal blue,saturated colors,summer,tablecloth,textile,trendy,vector,wallpaper,white",https://image.shutterstock.com/image-vector/navy-blue-white-orange-tartan-600w-1304322133.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/navy-blue-white-orange-tartan-600w-1304322133.jpg', 'path': 'full/2125945f922c79292b1b27d932d3c4a271a9dfb1.jpg', 'checksum': 'ffc044de7c96de2055e5732328baaf9a'}]"
1718621821,1,seamless+pattern+plaid,vector,Krushevskaya,vector illustration of seamless red and black background,"flannel,red,plaid,black,check,vector,background,checkered,seamless,texture,abstract,backdrop,checkered pattern,classic,cloth,clothing,color,decoration,design,fabric,fashion,folk,garment,geometric,illustration,kilt,materia,material,ornament,plaid background,plaid pattern,retro,scotland,scottish,scottish tartan,seamless pattern,square,style,tartan fashion,tartan pattern,tartan track,textile,textured,traditional,vintage,wallpaper",https://image.shutterstock.com/image-vector/vector-illustration-seamless-red-black-600w-1718621821.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-illustration-seamless-red-black-600w-1718621821.jpg', 'path': 'full/014bc0581dec7737a9d2a3feafc691ecd18674c7.jpg', 'checksum': 'e8945363273f5fd02b040195322e52ad'}]"
1726210504,1,seamless+pattern+plaid,vector,solarus,"Tartan scotland seamless plaid pattern vector. Retro background fabric. Vintage check color square geometric texture for textile print, wrapping paper, gift card, wallpaper flat design.","check,diagonal,background,birthday,blogs,buffalo,business,chequer,clothing,colored,colorful,design,fabric,flannel,flat,irish,madras,material,new year,ornament,pajamas,pattern,plaid,plaids,potholder,repeat,scotland,scottish,scottish tartan,seamless,season,skirt,square,street style,stripe,stripes,table cloth,tartan,tartan pattern,tartan print,textile,texture,tile,tilt,vector,vogue,wedding wallpaper,windowpane,xmas",https://image.shutterstock.com/image-vector/tartan-scotland-seamless-plaid-pattern-600w-1726210504.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tartan-scotland-seamless-plaid-pattern-600w-1726210504.jpg', 'path': 'full/d387239cd30cd0eb9699c997432366d417a023e8.jpg', 'checksum': '3bf10372465b4b35739ac9c1b4542c72'}]"
1757871269,1,seamless+pattern+plaid,vector,omoot,rainbow lgbt colors on black diagonal tartan style fabric texture seamless pattern editable vector illustration,"seamless,lgbt,plaid,tartan,colorful,pattern,rainbow,abstract,bright,check,love,texture,wallpaper,art,bisexual,celebration,checker,checkered,cloth,color,design,discrimination,emblem,fabric,fabric texture,fashion,flag,garment,gay,geometric,gingham,graphic,homosexual,illustration,kilt,lesbian,line,material,repeat,rights,scottish,sign,spectrum,square,stripe,striped,stripes,symbol,template,textile",https://image.shutterstock.com/image-vector/rainbow-lgbt-colors-on-black-600w-1757871269.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/rainbow-lgbt-colors-on-black-600w-1757871269.jpg', 'path': 'full/783e408098cf5b2dcb6a618e95f23d61b4cf17d0.jpg', 'checksum': '1a4ee2f22b1e9dc8e12df909722d0c5e'}]"
1861879255,1,seamless+pattern+plaid,vector,sewinck,"Easter colors Tartan plaid vector seamless pattern. Checked pattern, Gingham, Pastel colored.","abstract,blanket,blue,british,checked,checkered,checkered pattern,christmas,christmas blanket,christmas ornament,classic,cloth,cotton,design,england,english,fabric,fashion,illustration,irish,kilt,new year,packaging,paper,pattern,picnic,plaid,plaid pattern,repeat,retro,rustic,scotland,scottish,scottish culture,seamless,soft,square,tablecloth,tartan,textile,texture,tradition,traditional,trendy,uk,vintage,wool,woolen,wrapping",https://image.shutterstock.com/image-vector/easter-colors-tartan-plaid-vector-600w-1861879255.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/easter-colors-tartan-plaid-vector-600w-1861879255.jpg', 'path': 'full/e3a2e409f48524e9af34158883389aebc15fbb57.jpg', 'checksum': '07c33b94b8b880a0a3b4ebe074d1fc8b'}]"
1691238349,1,seamless+pattern+plaid,vector,Ton+Blackmarine,"Tartan plaid red line fabric texture dark blue background seamless pattern ,Scottish cage ","pattern,plaid,blue,christmas,fabric,background,fashion,seamless,tartan,abstract,backdrop,beautiful,british,celtic,check,checkered,classic,cloth,clothing,color,cover,decoration,design,garment,geometric,illustration,irish,kilt,line,material,ornament,red,royal,scotland,scottish,shirt,square,stewart,stripe,striped,style,symmetry,table cloth,tablecloth,textile,texture,tile,traditional,vector,wallpaper",https://image.shutterstock.com/image-vector/tartan-plaid-red-line-fabric-600w-1691238349.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tartan-plaid-red-line-fabric-600w-1691238349.jpg', 'path': 'full/cc6789a398394a222dca6050742eadd2af46abfe.jpg', 'checksum': '1bbb4fbc8d2ec11306181a3f26588aca'}]"
1436147513,1,seamless+pattern+plaid,vector,ZillaDigital,"Plaid pattern seamless vector graphic. Tartan check plaid in dark blue, red, and white for modern textile print.","tartan,plaid,pattern,abstract,vector,blue,seamless,winter,check,flannel,modern,tweed,woven,backdrop,background,blanket,checkered,classic,cloth,clothing,coat,design,fabric,fashion,geometric,gingham,graphic,graphics,illustration,jacket,kilt,material,menswear,pixel,poncho,print,red,scarf,scottish,shirt,skirt,striped,textile,texture,textured,traditional,wallpaper,weave,white,wool",https://image.shutterstock.com/image-vector/plaid-pattern-seamless-vector-graphic-600w-1436147513.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/plaid-pattern-seamless-vector-graphic-600w-1436147513.jpg', 'path': 'full/19ebcdc586cc30d577b1fbf848c2cf2bbf3ae269.jpg', 'checksum': 'fe58c7a3454266eda88967f0fc9d719c'}]"
1506892460,1,seamless+pattern+plaid,vector,artefficient,"
Red Green Black Christmas Tartan and Buffalo Check Plaid Vector Patterns. Rustic Xmas Backgrounds. Lumberjack Style Flannel Shirt Fabric Textures. Pattern Tile Swatches Included.","christmas,pattern,plaid,tartan,green,holiday,red,vector,seamless,background,fabric,white,gingham,stripes,texture,vintage,flannel,card,tablecloth,winter,lumberjack,shirt,black,paper,rustic,tile,wrapping,2020,blanket,design,diagonal,festive,hipster,season,swatch,textile,wallpaper,buffalo check,buffalo plaid,checkered,checks,fashion,greeting,horizontal,picnic,pixel,print,scrapbook,seasonal,traditional",https://image.shutterstock.com/image-vector/red-green-black-christmas-tartan-600w-1506892460.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/red-green-black-christmas-tartan-600w-1506892460.jpg', 'path': 'full/cb921b74cbba3665309fee69089b55c2c5ff5197.jpg', 'checksum': '142f9657a10115e3986e98f299c3e996'}]"
201558488,1,seamless+pattern+plaid,vector,ganko,49 Seamless Pattern Set Vector Illustration,"pattern,seamless,plaid,abstract,fabric,flower,star,apple,collection,easter,geometric,mosaic,psychedelic,rose,coffee,circle,contemporary,cow,heart,love,tile,classic,diamond,retro,wallpaper,cream,hypnotic,ice,octagon,series,backgrounds,decoration,effect,egg,element,illustration,leaves,magic,rectangle,revival,shape,single,sketching,spiral,striped,swirl,textile,wave",https://image.shutterstock.com/image-vector/49-seamless-pattern-set-vector-600w-201558488.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/49-seamless-pattern-set-vector-600w-201558488.jpg', 'path': 'full/631fd85639e09fc9d7045d55d33af2d5dd64a990.jpg', 'checksum': '1c60f33defae3224947de6f9118177ed'}]"
1700947618,1,seamless+pattern+plaid,vector,ZillaDigital,"Plaid pattern background. Seamless tartan check plaid graphic in blue, brown, beige, white for flannel shirt, blanket, throw, duvet cover, or other modern summer fabric design.","tartan,pattern,texture,blue,brown,check,fabric,plaid,seamless,wool,abstract,autumn,backdrop,background,beige,blanket,checkered,classic,cloth,clothing,costume,cotton,cover,design,dress,duvet,fashion,flannel,geometric,graphic,graphics,illustration,jacket,modern,print,scarf,scottish,shirt,skirt,spring,summer,textile,textured,throw,traditional,vector,white,winter,woven",https://image.shutterstock.com/image-vector/plaid-pattern-background-seamless-tartan-600w-1700947618.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/plaid-pattern-background-seamless-tartan-600w-1700947618.jpg', 'path': 'full/ae8ebc8e9330d91fc0268014a9f9def611ce248a.jpg', 'checksum': 'be3d3047ebde5e4f0bf49bafe8ba6061'}]"
