id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1033399189,1,seamless+pattern+bohemian,vector,oking,Ikat seamless pattern. Vector tie dye  shibori print with stripes and chevron. Ink textured japanese background.  Ethnic fabric vector. Bohemian fashion. Endless watercolor texture. African rug.,"pattern,watercolor,boho,batik,texture,vector,flower,seamless,blue,print,ethnic,watercolour,bohemian,geometric,ikat,fabric,aztec,background,border,tile,dye,geo,tie,abstract,indonesian,organic,shibori,tribal,embroidery,japanese,african,circle,hand,woven,art,chevron,fashion,brush,wave,paint,patchwork,tibetan,creative,dots,ethnic nativity,ikat pattern,ikat vector,minimalism,stripes,swimwear",https://image.shutterstock.com/image-vector/ikat-seamless-pattern-vector-tie-600w-1033399189.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ikat-seamless-pattern-vector-tie-600w-1033399189.jpg', 'path': 'full/1e57bb7f3d96346aac483e155b2cb099b9e4861f.jpg', 'checksum': '2277c5379a07f2fea49b4522587dd1b7'}]"
393850048,1,seamless+pattern+bohemian,vector,Olga+Rom,"Vector seamless pattern with hand drawn gold glitter textured brush strokes and stripes hand painted. Black, gold, pink, green, beige colors.","pattern,seamless,geometric,watercolor,brush,texture,vector,gold,stripe,glitter,paint,black,line,cross,background,hatch,white,bohemian,fabric,fashion,trendy,wedding,abstract,boho,diagonal,golden,modern,retro,shape,shiny,tartan,textile,tile,card,decoration,drawn,element,glittering,greeting,hand,holiday,illustration,paper,plaid,print,striped,stroke,stylish,wallpaper,wrapping",https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawn-600w-393850048.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawn-600w-393850048.jpg', 'path': 'full/81e1e2056e2531795cd208851b668f4cdb225277.jpg', 'checksum': '7d1a58fd3086741972d61572f90288ca'}]"
1888384120,1,seamless+pattern+bohemian,illustration,Pixel88,Tie Dye 2 Tone Clouds Close Up Shot fabric texture background Pink Blue,"dye,tie,seamless,pattern,color,blue,pink,abstract,cloudy,dyed,ink,retro,sky,swirl,tye,watercolor,art,artistic,backdrop,background,batik,bohemian,bright,cloth,clouds,colorful,cotton,culture,decorate,design,fabric,fashion,hippie,material,paint,peace,print,psychedelic,rainbow,red,repeat,shirt,spiral,style,textile,texture,textured,tie dye,traditional,wallpaper",https://image.shutterstock.com/image-illustration/tie-dye-2-tone-clouds-600w-1888384120.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/tie-dye-2-tone-clouds-600w-1888384120.jpg', 'path': 'full/bbc8912d5aecc46151176e3ab7c2ed11fb44aeb6.jpg', 'checksum': 'c28b8fd231e74996fdbd9c24164435dc'}]"
461986849,1,seamless+pattern+bohemian,vector,arinka,"Seamless pattern of patchwork. Watercolor texture. Ethnic and tribal motifs. Drawing by hand. Grunge. Blue, pink, red, white and black colors. Colorful print for textiles. Vector illustration.","pattern,ethnic,geometric,seamless,patchwork,watercolor,stripe,tribal,abstract,grunge,bohemian,traditional,vector,color,line,african,motif,print,texture,background,fabric,graphic,art,aztec,design,drawn,indian,american,decorative,fashion,ink,modern,retro,style,vintage,backdrop,brush,culture,decor,decoration,drawing,element,illustration,mexican,native,ornament,paint,textile,wallpaper",https://image.shutterstock.com/image-vector/seamless-pattern-patchwork-watercolor-texture-600w-461986849.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-patchwork-watercolor-texture-600w-461986849.jpg', 'path': 'full/91688175b224dbcfdb9087f6caf58003a6f53fe9.jpg', 'checksum': '268f5398c006f3961a7ec66aaa31187b'}]"
336219839,1,seamless+pattern+bohemian,vector,happyfoxart,"set of four abstract seamless patterns, doodle ornaments, vector illustration","pattern,seamless,set,african,collection,ethnic,bohemian,boho,oriental,colorful,gypsy,fabric,hippie,indian,kenia,lace,mandala,tribal,abstract,abstraction,arabic,background,creative,decoration,design,doodle,drawn,geometric,graphic,hand,illustration,mehendi,native,old-fashioned,orient,ornament,ornate,pagan,paper,pink,psychedelic,religion,rhombus,style,textile,texture,tile,traditional,vector,wallpaper,wrapping",https://image.shutterstock.com/image-vector/set-four-abstract-seamless-patterns-600w-336219839.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-four-abstract-seamless-patterns-600w-336219839.jpg', 'path': 'full/3e4928069fbda9d2c895227af9bcf96c83302e4e.jpg', 'checksum': 'a0fafa82f6c422acea29b6ea8c76a779'}]"
1919858639,1,seamless+pattern+bohemian,illustration,HannaGrin,Seamless Pattern. Artistic Effect. Tie Dye Striped Pattern. Geode Slice and Cosmic Colors. Vibrant Acrylic Background. Seamless Fashion Kaleidoscope. Trendy Aquarelle Tie Dye.,"color,multi,pattern,wave,1960,agate,amethyst,art,artwork,azure,background,banner,batik,blue,bohemian,bright,colorful,creative,decorative,design,die,dye,dyed,fabric,fashion,galaxy,gemstone,geode,hand made,ikat,ink,japanese,liquid,mineral,ornament,paint,pink,print,shirt,stone,stripe,textile,texture,tie,tiedye,tile,tye,water,watercolor,watercolour",https://image.shutterstock.com/image-illustration/seamless-pattern-artistic-effect-tie-600w-1919858639.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-artistic-effect-tie-600w-1919858639.jpg', 'path': 'full/163215dfe6e62cdfbd7e115c99bdfde7d36f3b27.jpg', 'checksum': 'c94c1672b96ac9ababccffa926eb6317'}]"
1055793323,1,seamless+pattern+bohemian,vector,Olga+Rom,"Vector seamless pattern with hand drawn gold glitter textured brush strokes and stripes hand painted. Black, gold, pink, green, brown colors.","stripe,pattern,dot,geometric,bohemian,design,watercolor,gold,paint,seamless,brush,vector,glitter,line,golden,hand,texture,color,pink,plaid,abstract,background,drawn,fabric,green,mark,print,style,tartan,white,boho,fashion,retro,textile,1950s,1960s,art,bold,bright,contemporary,cross,dotted,grunge,grungy,illustration,striped,stroke,textured,wallpaper,wrap",https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawn-600w-1055793323.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawn-600w-1055793323.jpg', 'path': 'full/de7a0af08ba26506636b000ea0c0c333984a6d87.jpg', 'checksum': 'f96956c999eda5873c9b0a83380741eb'}]"
1876520539,1,seamless+pattern+bohemian,vector,oking,"Ikat geometric folklore ornament with diamonds. Tribal ethnic vector texture. Seamless striped pattern in Aztec style. Folk embroidery. Indian, Scandinavian, Gypsy, Mexican, African rug. ","abstract,african,gypsy,indian,seamless,stripes,swimwear,art,asia,asian design,aztec,background,batik,bohemian,boho,border,brush,carpet,chevron,creative,diamonds,dye,embroidery,ethnic nativity,fabric,fashion,geo,geometric,ikat pattern,indonesian,japanese,mexican,organic,paint,patchwork,print,rug,scandinavian,shibori,squares,texture,tibetan,tie,tribal,vector,watercolor,watercolour,wave,woven",https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-diamonds-600w-1876520539.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-diamonds-600w-1876520539.jpg', 'path': 'full/f7b46bae0b7a851942219f15e7477a1dfa888454.jpg', 'checksum': '24a064e96854bc53d6700c7f75ef9d31'}]"
1069594031,1,seamless+pattern+bohemian,vector,SunwardArt,Retro watercolor brush stripes seamless pattern. Gray and blue paintbrush lines horizontal seamless texture for backdrop. Hand drown paint strokes decoration artwork. For garment.,"pattern,stripe,geometric,watercolor,seamless,grunge,vector,stroke,abstract,color,texture,water,watercolour,background,horizontal,paintbrush,line,modern,paint,paper,vintage,design,drawing,drawn,graffiti,hand,wet,white,art,artistic,bohemian,brush,concept,decorative,gouache,graphic,ink,lines,packaging,print,retro,simple,sloppy,stain,textile,textured lines,tiling,tracery,uneven,watercolor brush stripes seamless",https://image.shutterstock.com/image-vector/retro-watercolor-brush-stripes-seamless-600w-1069594031.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/retro-watercolor-brush-stripes-seamless-600w-1069594031.jpg', 'path': 'full/e76898dcf1af17307ab69b262016ac56b09f0727.jpg', 'checksum': '652cef8433c264a231e5fd65828dbd05'}]"
1869615235,1,seamless+pattern+bohemian,vector,Annartlab,"Turquoise and white seamless pattern with mandala ornament. Traditional Arabic, Indian motifs. Great for fabric and textile, wallpaper, packaging or any desired idea.","lace,medallion,pattern,floral,indian,paisley,tribal,abstract,antique,arabesque,background,baroque,beauty,bohemian,boho,carpet,classic,damask,decoration,decorative,elegant,ethnic,fashion,flower,folk,geometric,invitation,islamic,leaf,leaves,luxury,mandala,modern,moroccan,mosaic,motif,organic,oriental,ornate,ottoman,retro,royal,rug,stripe,texture,tile,vector,victorian,vintage,wedding",https://image.shutterstock.com/image-vector/turquoise-white-seamless-pattern-mandala-600w-1869615235.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/turquoise-white-seamless-pattern-mandala-600w-1869615235.jpg', 'path': 'full/b5bde3cea96eca6a5310a8508aad2168b36ef9e0.jpg', 'checksum': '56b6b1fbbbe18a12fc0301b635420d9a'}]"
