id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1012612723,1,seamless+pattern+granite,vector,Wision,Terrazzo background pattern design,"pattern,terrazzo,seamless,modern,fashion,trend,pink,texture,vector,marble,stone,floor,print,urban,rock,tile,background,design,graphic,concrete,geometric,wallpaper,abstract,architecture,colorful,curtain,granite,wall,art,backdrop,bright,color,concept,cover,decor,decoration,decorative,element,fabric,flooring,gray,identity,material,paper,retro,sample,style,surface,wrapping",https://image.shutterstock.com/image-vector/terrazzo-background-pattern-design-600w-1012612723.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-background-pattern-design-600w-1012612723.jpg', 'path': 'full/0d23002b4c3a00c1f368a5a06425e11c8a259d60.jpg', 'checksum': 'ca5f0d75a2aadb0ea4cfa1702505cf2b'}]"
1234141918,1,seamless+pattern+granite,vector,Abdulina,"Vector seamless terrazzo floor marble pattern Mixed granite and quartz rocks and sprinkles Abstract vector background for print home decor, interior, architecture designs, fabric, textile, paper, wrap","seamless,pattern,marble,italian,rock,terrazzo,concrete,texture,vector,abstract,fabric,wall,architecture,art,backdrop,background,black,blue,colorful,cover,decor,decoration,decorative,design,fashion,floor,flooring,granite,graphic,gray,illustration,interior,light background,material,modern,paper,pastel colors,print,purple,shape,stone,style,surface,tile,tiling,trendy,wallpaper,white",https://image.shutterstock.com/image-vector/vector-seamless-terrazzo-floor-marble-600w-1234141918.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-terrazzo-floor-marble-600w-1234141918.jpg', 'path': 'full/02dfc629473f2f1f7b4c715749a9ee0682ecece5.jpg', 'checksum': '30807ac5d1d2b1401a5ed836a6e6164b'}]"
1756782836,1,seamless+pattern+granite,vector,kovarose,"seamless vector repeat, terrazzo style abstract graphic pattern multicoloured","pattern,marble,repeat,seamless,terrazzo,abstract,art,background,brick,colorful,contemporary,craft,fabric,fashion,geometric,granite,graphic,modern,paper,rainbow,rectangle,shape,surface design,textile,textiles,texture,tile,vector,wallpaper",https://image.shutterstock.com/image-vector/seamless-vector-repeat-terrazzo-style-600w-1756782836.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-repeat-terrazzo-style-600w-1756782836.jpg', 'path': 'full/fa00bdc7d6fce61201c77f8132c7af968f5bb4ff.jpg', 'checksum': 'd6d198044636ce97ff594d2b8eabf095'}]"
492369583,1,seamless+pattern+granite,photo,roystudio,black and white background distressed texture seamless pattern,"pattern,marble,texture,grunge,rock,stone,abstract,vintage,batik,black,floor,nature,retro,wall,aged,ancient,and,antique,backdrop,background,bright,broken,concrete,cracked,damaged,dirty,distressed,facade,granite,grey,ground,grungy,home,interior,light,lines,marbled,old,parchment,rough,scratch,slab,stonewall,structure,stucco,textured,wallpaper,weathered,white",https://image.shutterstock.com/image-photo/black-white-background-distressed-texture-600w-492369583.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/black-white-background-distressed-texture-600w-492369583.jpg', 'path': 'full/5129e4bc18fc2ba53472412be5063ebf7716bb75.jpg', 'checksum': 'e87d4a4cab584913b3903d479bd676ca'}]"
1441288880,1,seamless+pattern+granite,vector,Olgastocker,"Golden terrazzo flooring texture. Vector seamless pattern with chaotic scattered gold confetti on pink background. Luxury mosaic floor surface. Trendy grunge design for decor, gift paper, print, cover","speckle,terrazo,gold,pattern,texture,pink,background,vector,terazzo,print,stone,terrazzo,paper,seamless,foil,sparkle,tile,boho,ceramic,floor,golden,marble,confetti,granite,organic,rose,holiday,home,material,mosaic,spotty,venetian,abstract,art,birthday,color,concrete,decoration,design,dirty,fashion,flooring,interior,italian,modern,quartz,repeat,rock,style,surface",https://image.shutterstock.com/image-vector/golden-terrazzo-flooring-texture-vector-600w-1441288880.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/golden-terrazzo-flooring-texture-vector-600w-1441288880.jpg', 'path': 'full/53104de78fd8bb37a949ea308ccfee27eed1df37.jpg', 'checksum': '27a2c85d7491124c6ef1dca6a1f12fa7'}]"
1696421263,1,seamless+pattern+granite,vector,shopplaywood,"Terrazzo texture classic italian floor composed of natural stone, granite, quartz, marble, glass and concrete. Vector terrazzo veneziano seamless pattern. Stone abstract background for interior design","terrazzo,pattern,quartz,seamless,backdrop,floor,style,tile,vector,architecture,art,background,black,classic,color,colorful,composite,concrete,decoration,decorative,design,fabric,fashion,flooring,fragment,glass,glass and concrete,granite,graphic,illustration,interior,interior design,italian,marble,material,modern,natural,piece,print,retro,rock,stone,stone texture,surface,terrazzo flooring,textile,texture,vintage,wall,wallpaper",https://image.shutterstock.com/image-vector/terrazzo-texture-classic-italian-floor-600w-1696421263.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-texture-classic-italian-floor-600w-1696421263.jpg', 'path': 'full/1705f425d57be1090c0e785fa31d443df5bd15af.jpg', 'checksum': '0a0ad7a8ba1f5c358d9ce65b7631b853'}]"
1506538352,1,seamless+pattern+granite,vector,GoodStudio,"Terrazzo creative vector seamless pattern. Granite fragments abstract backdrop. Chaotic mosaic blue and pink pieces on white background. Stones and rocks color texture. Marble textile, tile design.","pattern,shape,terrazzo,abstract,irregular,mosaic,seamless,stone,rock,vector,backdrop,fragment,marble,piece,background,color,pink,print,repeat,blue,chaos,chaotic,collage,concrete,creative,decor,decorative,design,fabric,fill,flat,flooring,granite,illustration,material,minimal,minimalistic,modern,particle,sample,simple,surface,template,textile,texture,tile,trendy,wallpaper,white,wrapping",https://image.shutterstock.com/image-vector/terrazzo-creative-vector-seamless-pattern-600w-1506538352.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-creative-vector-seamless-pattern-600w-1506538352.jpg', 'path': 'full/15cce9fdec46fcd682c05b8aed2a3fa47cebef7e.jpg', 'checksum': 'eb8c935b81747b57c7a07d47dba24f1f'}]"
1823027237,1,seamless+pattern+granite,vector,andrew1998,"Terrazzo flooring vector seamless pattern. Texture of classic Italian type of floor in Venetian style composed of natural stone, granite, quartz, marble, glass and concrete. Antique  hexagonal tiles. ","tile,floor,pattern,seamless,terrazzo,abstract,architecture,background,block,brick,cell,confetti,cover,decoration,fabric,fashion,flat,flooring,geometric,geometry,granite,graphic,grunge,hexagon,italian,material,modern,mosaic,natural,ornament,pathway,pavement,paving,pebble,polygon,print,repeat,repeatable,rock,sea,speckled,stone,stonewall,street,structure,surface,textile,texture,vector,wallpaper",https://image.shutterstock.com/image-vector/terrazzo-flooring-vector-seamless-pattern-600w-1823027237.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-flooring-vector-seamless-pattern-600w-1823027237.jpg', 'path': 'full/1868a27b4ecbe466b210d879749ea39e44734f7c.jpg', 'checksum': '8df8ee2d6a82d2c3c36674b77ee9b822'}]"
435648349,1,seamless+pattern+granite,illustration,Christina+Krivonos,Seamless marble surface. The cut mineral. Marble background. Rock surface.,"pattern,marble,geometric,texture,abstract,black,blue,architecture,design,granite,stone,surface,brown,interior,macro,material,nature,old,square,white,art,backdrop,background,closeup,construction,dark,decoration,decorative,detail,elegance,floor,geology,grain,kitchen,marbled,mineral,natural,rock,smooth,textured,tile,wall,wallpaper",https://image.shutterstock.com/image-illustration/seamless-marble-surface-cut-mineral-600w-435648349.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-marble-surface-cut-mineral-600w-435648349.jpg', 'path': 'full/52df379e5d76a0b293422d84139c3baa3f2ac298.jpg', 'checksum': 'ac227deacf873813bdbe000cafa9659c'}]"
1305277438,1,seamless+pattern+granite,vector,Tamiris6,"Vector seamless geometric pattern with gold metallic lines, silver glitter, pink and marble triangles. Modern polygons abstract texture on white background ","pink,marble,gold,pattern,geometric,seamless,background,silver,abstract,glitter,modern,triangle,vector,metal,texture,contemporary,gray,illustration,line,luxury,print,shiny,tile,wall,backdrop,decor,decoration,decorative,design,elegant,fashion,golden,granite,graphic,grunge,marbling,metallic,monochrome,natural,polygon,rock,shape,sparkle,stone,surface,trendy,vintage,wallpaper,white",https://image.shutterstock.com/image-vector/vector-seamless-geometric-pattern-gold-600w-1305277438.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-geometric-pattern-gold-600w-1305277438.jpg', 'path': 'full/66d8c06f2e96d44a6d8a0ea7c48bba186e5dca58.jpg', 'checksum': '7a7b9e09306f4a97984d287625513621'}]"
1159653412,1,seamless+pattern+granite,vector,bubblemubl,Vector seamless pattern with chaotic stains. Collage design.,"seamless,marble,illustration,pattern,vector,backdrop,background,branding,chaotic,collage,color,concrete,cover,decor,decoration,decorative,design,element,fabric,floor,flooring,gold,granite,graphic,identity,interior,kitchen,material,minimalism,paper,pink,print,retro,rock,room,sample,stains,stone,strips,style,terrazzo,texture,tile,trendy,universal,vintage,wall,wallpaper",https://image.shutterstock.com/image-vector/vector-seamless-pattern-chaotic-stains-600w-1159653412.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-chaotic-stains-600w-1159653412.jpg', 'path': 'full/82bd86408aae1f0c7a3f9685ba9d279481fc1eeb.jpg', 'checksum': '18425aa82ce69200c2b308d8ae1475c0'}]"
