id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1715290261,1,seamless+pattern+textured,vector,limolida,Seamless white grey woven linen texture background. French grey flax hemp fiber natural pattern. Organic fibre close up weave fabric surface material. Ecru natural gray cloth textured rough canvas.,"texture,pattern,fabric,linen,seamless,woven,vector,background,repeat,textile,grey,light,linnen,white,canvas,cloth,cotton,effect,french,hemp,paper,vintage,wall,all over,allover,backdrop,blank,burlap,cushion cover,eco,ecru,fiber,flax,gray,greige,home decor,illustration,interior,leinen stoff,material,natural,print,raw,rough,sackcloth,sacking,soft furnishing,surface,textured,weave",https://image.shutterstock.com/image-vector/seamless-white-grey-woven-linen-600w-1715290261.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-white-grey-woven-linen-600w-1715290261.jpg', 'path': 'full/285a4d9d908f34d4996ab4a18926bfd15db930c7.jpg', 'checksum': '8ab69bf91a75ab26d3836f9d41ed3bb1'}]"
1082605778,1,seamless+pattern+textured,vector,momosama,"Floral seamless pattern, green, black and white split-leaf Philodendron plant with vines on white background, pastel vintage theme","pattern,leaf,plant,background,wallpaper,seamless,texture,floral,vintage,line,print,retro,pastel,fabric,greenery,vine,garden,repeat,tree,spring,collage,ink,decoration,philodendron,season,backdrop,flora,houseplant,bouquet,balazo,botanical,ceriman,foliage,fruit salad,illustration,mexican breadfruit,monster fruit,monstera deliciosa,monstereo,monsterio delicio,penglai banana,striped,swiss cheese plant,textile,tropical,verdant,windowleaf",https://image.shutterstock.com/image-vector/floral-seamless-pattern-green-black-600w-1082605778.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-pattern-green-black-600w-1082605778.jpg', 'path': 'full/265de05b7996a19d9572979e386ac6a02d806279.jpg', 'checksum': '8d13cae4f43b90ded6d7e1eeecf1c740'}]"
1669211185,1,seamless+pattern+textured,vector,Angelina+Bambina,"Collage contemporary floral and polka dot shapes seamless pattern set. Modern exotic design for paper, cover, fabric, interior decor and other users.","pattern,flower,seamless,floral,vector,tropical,watercolor,modern,abstract,texture,background,geometric,plant,summer,spring,beach,hawaiian,print,decor,illustration,leaf,hibiscus,palm,collage,collection,monstera,fabric,retro,exotic,jungle,pink,tribal,hawaii,design,graphic,textile,tree,turquoise,wallpaper,fashion,surfing,artwork,backdrop,colorful,creative,decoration,decorative,polka dot,style,tribe",https://image.shutterstock.com/image-vector/collage-contemporary-floral-polka-dot-600w-1669211185.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collage-contemporary-floral-polka-dot-600w-1669211185.jpg', 'path': 'full/7f205788e60c75281b1c497d57b0878897495746.jpg', 'checksum': 'f84bfaea0653c23cdedb1479b41468fa'}]"
1037352784,1,seamless+pattern+textured,illustration,redcranberry,Seamless pattern of wild design. Skin background with watercolor effect. ,"pattern,animal,seamless,skin,snake,texture,print,abstract,watercolor,background,camouflage,fabric,african,snakeskin,textile,fashion,leather,nature,spot,vintage,brown,exotic,repeat,safari,surface,wild,wildlife,africa,beige,chic,cloth,decor,fashionable,gray,illustration,jungle,material,natural,textured,wallpaper,zoo",https://image.shutterstock.com/image-illustration/seamless-pattern-wild-design-skin-600w-1037352784.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-wild-design-skin-600w-1037352784.jpg', 'path': 'full/83f9bfa630766386bd4d0ccd613bae5354483552.jpg', 'checksum': '8b47655ce42090bc77a5a69d7678a34d'}]"
644761111,1,seamless+pattern+textured,vector,ExpressVectors,Delicate seamless striped patterns. Fabric pink textures. Tileable swatches.,"pattern,seamless,texture,simple,background,vector,minimal,geometric,wave,abstract,elegant,modern,fabric,fashion,set,creative,graphic,wallpaper,design,website,art,baby,collection,cover,delicate,white,backdrop,concept,decorative,scrapbook,surface,trendy,artistic,children,cloth,contemporary,decor,decoration,element,invitation card,lines,minimalistic,repeat,stripes,style,stylish,template,textile,web,wrapping paper",https://image.shutterstock.com/image-vector/delicate-seamless-striped-patterns-fabric-600w-644761111.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/delicate-seamless-striped-patterns-fabric-600w-644761111.jpg', 'path': 'full/dde8783ebeaef9007137cd3fa060af88b87f9d5b.jpg', 'checksum': 'ec21071b6ace9f1290b3449f5a3e67af'}]"
1730552248,1,seamless+pattern+textured,vector,msmoloko,Set of hand-drawn seamless black and white textures with Memphis semicircles and uneven strokes. Vector patterns.,"pattern,seamless,vector,texture,background,graphic,memphis,doodle,line,simple,abstract,hipster,illustration,microtexture,repeat,set,backdrop,black,collection,color,design,dot,drawn,fabric,fashion,freehand,grain,grunge,hand,herringbone,micro,minimal,ornament,pointillism,polka,print,semicircular,sketch,spot,template,textile,tile,trendy,tweed,uneven,wallpaper,wave,web,white,wrapping",https://image.shutterstock.com/image-vector/set-handdrawn-seamless-black-white-600w-1730552248.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-handdrawn-seamless-black-white-600w-1730552248.jpg', 'path': 'full/42f8aabde737d7e937a971259cb79f5ca6fc5d98.jpg', 'checksum': '35171f2afc19416c83907e0fdc2f6d52'}]"
573952828,1,seamless+pattern+textured,vector,RODINA+OLENA,"Abstract geometric pattern with lines, rhombuses A seamless vector background. Blue-black and gold texture","pattern,vector,background,seamless,abstract,line,wallpaper,gold,modern,texture,hexagon,black,graphic,tile,polygon,design,wall,blue,stripe,simple,fashion,square,ornament,rhombus,decoration,grid,monochrome,style,diagonal,template,backdrop,curtain,mesh,surface,wrapping,abstraction,decorative,geometric,geometrical,geometry,graphical,grating,hexahedron,islamic,quirky,repeating,tiled,unusual,unusually",https://image.shutterstock.com/image-vector/abstract-geometric-pattern-lines-rhombuses-600w-573952828.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-geometric-pattern-lines-rhombuses-600w-573952828.jpg', 'path': 'full/24e5554c45993de84588e6e330c1972f2726516c.jpg', 'checksum': '16169cfaa3b806dbc40ed9f12ae8c15a'}]"
533792434,1,seamless+pattern+textured,vector,ExpressVectors,Collection of seamless geometric minimalistic patterns.,"pattern,background,seamless,simple,fashion,modern,grid,abstract,minimal,design,wave,graphic,black,white,circle,set,retro,wall,repeat,elegant,zigzag,contemporary,art,web,classic,style,trendy,wallpaper,decor,website,card,backdrop,template,cover,creative,stylish,concept,textile,new,surface,artistic,decoration,decorative,dots,invitation,lines,minimalistic,repetitive,stripes,texture",https://image.shutterstock.com/image-vector/collection-seamless-geometric-minimalistic-patterns-600w-533792434.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collection-seamless-geometric-minimalistic-patterns-600w-533792434.jpg', 'path': 'full/aa93030b7dab683305ff40a7f9e906b3fe13b5ca.jpg', 'checksum': 'df72c0c027c4fd4eb6651b39a720082b'}]"
770474026,1,seamless+pattern+textured,vector,ychty,Set of Cute bright seamless patterns. Vector illustration bright design. Abstract seamless geometric pattern on vibrant background.,"background,pattern,texture,vector,seamless,cute,summer,color,abstract,wallpaper,green,simple,bright,vintage,design,geometric,modern,set,blue,graphic,purple,stripe,pink,banner,retro,tile,card,frame,orange,chevron,scrapbook,vibrant,stylish,creative,fashion,grunge,herringbone,textile,zigzag,art,print,decor,decoration,illustration,invitation,striped,style,template,textured,wrapping paper",https://image.shutterstock.com/image-vector/set-cute-bright-seamless-patterns-600w-770474026.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-cute-bright-seamless-patterns-600w-770474026.jpg', 'path': 'full/848b85d8ded1b87fa1b9d0b2ba3dd9cb60f6a4ca.jpg', 'checksum': '3cd8bf3451725b3e68d1cd82f26e89bd'}]"
1822752509,1,seamless+pattern+textured,vector,Matisson_ART,Seamless abstract pattern with joystick game. Print for boys.,"seamless,game,gamer,design,vector,abstract,art,colorful,console,controller,joystick,technology,texture,backdrop,background,cartoon,computer,device,digital,drawing,electronic,element,entertainment,fabric pattern,fashion,fun,game pattern,game print,gamepad,games,gaming,graphic,icon,illustration,modern,pixel,pixel pattern,play,player,print,print for textile,set,slogan,style,symbol,text,textile,trend,wallpaper,wrapping",https://image.shutterstock.com/image-vector/seamless-abstract-pattern-joystick-game-600w-1822752509.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-abstract-pattern-joystick-game-600w-1822752509.jpg', 'path': 'full/008067cbb6350d7b45953f513d5359ebcea47639.jpg', 'checksum': '9a1083b09388e350aa531ebf29601a19'}]"
