id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
785127658,1,seamless+pattern+distressed,vector,Mikhail+H,"Halftone Grunge Vector Seamless Black and White Texture. Distressed Grungy Seamless Pattern Design. Watercolor Splatter Style Texture. Sketch, Rust Fashion Print Design Pattern.","texture,pattern,seamless,grunge,distress,brush,rough,vector,background,wall,dirty,rust,white,abstract,concrete,metal,watercolor,black,dry,effect,rusty,broken,paint,paper,print,splatter,design,grungy,chalk,ink,vintage,halftone,hand,plaster,retro,sketch,stain,dyed,grainy,stone,cracked,distressed,drawn,faded,fashion,painted,scratched,scratches,stripes,strokes",https://image.shutterstock.com/image-vector/halftone-grunge-vector-seamless-black-600w-785127658.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/halftone-grunge-vector-seamless-black-600w-785127658.jpg', 'path': 'full/70140f31680588bcb26dd00deb184defbcc905ce.jpg', 'checksum': '4ac74c43fe1920f55cf98691205add3e'}]"
221914576,1,seamless+pattern+distressed,vector,milojepn,Abstract Vector Background with Textured zig-zag Stripes in Grunge Style. ,"texture,pattern,print,seamless,geometric,screen,background,repeat,stripe,vector,abstract,design,fabric,grunge,crack,scratch,monochrome,rough,sand,broken,line,linear,elegant,ornament,retro,sandy,sieve,stylish,traditional,vintage,wallpaper,cell,decor,decoration,distressed,element,geometrical,illustration,modular,monochromatic,ornamental,repetition,set,simple,soiled,spirals,symmetry,waves",https://image.shutterstock.com/image-vector/abstract-vector-background-textured-zigzag-600w-221914576.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-vector-background-textured-zigzag-600w-221914576.jpg', 'path': 'full/2f1716abb1b30423999adefee997d05fb86774c9.jpg', 'checksum': '5a17f9b9d1d599f6f88fe3c7b8a7177e'}]"
443174401,1,seamless+pattern+distressed,vector,KovallinoART,Abstract seamless pattern for girls and boys. Grunge urban pattern. Black and white background. White background for guys. Repeated modern pattern. Urban wallpaper for clothes.,"pattern,marble,seamless,black,abstract,white,ink,paint,wallpaper,artistic,drawn,graphic,print,stroke,vector,art,background,brush,design,dirty,distressed,drawing,fashion,grunge,illustration,line,modern,monochrome,paper,rustic,smearing,stripe,textile,texture,track,waves",https://image.shutterstock.com/image-vector/abstract-seamless-pattern-girls-boys-600w-443174401.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-pattern-girls-boys-600w-443174401.jpg', 'path': 'full/8daba19497de20cf6c6968d8a3182d98ce3b2103.jpg', 'checksum': 'b2dec120cd4196290759740821b70b70'}]"
493347997,1,seamless+pattern+distressed,vector,PinkCactus,Grunge background texture vector. Seamless pattern repeat.,"pattern,seamless,texture,concrete,textile,vector,abstract,background,black,distressed,monochrome,repeat,rock,white,aged,ancient,antique,artistic,backdrop,broken,cement,damaged,decoration,decorative,design,detail,dirty,element,graphic,grunge,illustration,modern,monochromatic,old,repetition,retro,rough,scratched,simple,structure,surface,tileable,vintage,wall,wallpaper",https://image.shutterstock.com/image-vector/grunge-background-texture-vector-seamless-600w-493347997.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/grunge-background-texture-vector-seamless-600w-493347997.jpg', 'path': 'full/f9498795efdbb1f44706800cab4b9d4759c1c92f.jpg', 'checksum': '54caeda15bfc45e3dde1d2ae6229e4e7'}]"
1062209054,1,seamless+pattern+distressed,illustration,cepera,Abstract Indigo-Dyed Effect Stripe And Block Geometric Textured Background. Seamless Pattern. ,"pattern,texture,indigo,seamless,fabric,abstract,geometric,background,blue,textile,ethnic,block,distressed,print,urban,grunge,irregular,white,dyed,material,navy,mottled,decorative,modern,motif,patina,retro,stain,strokes,vintage,wallpaper,worn,bleached,brushed,cover,damaged,dashed,fade,folk,grain,graphic,minimal,natural,noisy,rough,striped,surface,tie dye,variegated,washed",https://image.shutterstock.com/image-illustration/abstract-indigodyed-effect-stripe-block-600w-1062209054.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-indigodyed-effect-stripe-block-600w-1062209054.jpg', 'path': 'full/04233566d29f95a6a324831e4b7948c736bbfa71.jpg', 'checksum': '5fce0618b15b667e95417154c64e6a9c'}]"
1654220320,1,seamless+pattern+distressed,vector,DidemA,Hand Drawn Abstract Three Colors Cheetah Leopard Leather Animal Skin Geometric Shapes Repeating Vector Pattern Isolated Background,"animal,pattern,leopard,seamless,geometric,vector,cheetah,fashion,grunge,urban,abstract,african,all over print,artwork,bandana,black,brush strokes,clothing,cushion,decorative,design,distressed,drawing,exotic,fabric,fur,hand drawn,illustration,isolated,leather,linens,lingerie,pillow,repeat,retro,rose pink,safari,scarf,shirt,stains,surface,template,textile,texture,tie,trendy,upholstery,vintage,wallpaper,wildlife",https://image.shutterstock.com/image-vector/hand-drawn-abstract-three-colors-600w-1654220320.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawn-abstract-three-colors-600w-1654220320.jpg', 'path': 'full/f869160e2ab360f768a5b9b578d222d0477861fd.jpg', 'checksum': '549800904b1eb810939e120481175781'}]"
350364449,1,seamless+pattern+distressed,vector,cepera,Abstract noisy strokes and dots distressed mesh motif. Seamless pattern.,"pattern,seamless,texture,fabric,abstract,mesh,material,square,vector,charcoal,print,textile,creative,graphic,grid,surface,backdrop,background,black,cover,decor,decoration,decorative,design,distortion,distressed,dot,fashion,flecked,grungy,illustration,modern,mottle,noisy,speckled,stroke,textured,tile,tracery,white",https://image.shutterstock.com/image-vector/abstract-noisy-strokes-dots-distressed-600w-350364449.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-noisy-strokes-dots-distressed-600w-350364449.jpg', 'path': 'full/183979bfa4f17fd9bd972fca350cffecccc4eca1.jpg', 'checksum': '4815db43f637527b8893d2e055089eeb'}]"
502931974,1,seamless+pattern+distressed,vector,cepera,Abstract irregular noisy strokes textured background. Seamless pattern.,"pattern,seamless,dye,space,melange,abstract,texture,creative,modern,print,textile,vector,vintage,backdrop,background,black,cover,damaged,decor,decorative,design,distortion,distressed,effect,fabric,fashion,flecked,glitch,graphic,grunge,irregular,material,monochrome,mottled,natural,noise,noisy,retro,rough,striped,stroke,surface,textured,tile,tracery,variegated,wallpaper,white",https://image.shutterstock.com/image-vector/abstract-irregular-noisy-strokes-textured-600w-502931974.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-irregular-noisy-strokes-textured-600w-502931974.jpg', 'path': 'full/48dd10651712fd1f6915b377b2ebc2d1b390df5a.jpg', 'checksum': '6e2928917cc3b26501b2c0761b2ac383'}]"
634127474,1,seamless+pattern+distressed,illustration,cepera,Abstract tie-dyed striped motif. Seamless pattern.,"seamless,pattern,abstract,effect,fabric,dyed,background,blue,grunge,navy,brushed,cloth,cover,creative,decorative,design,distressed,ethnic,fade,folk,graphic,imperfect,indigo,japanese,marble,modern,motif,mottled,native,natural,noisy,patina,print,rough,square,stain,striped,strokes,surface,textile,tie dye,tile,timeless,tracery,unique,variegated,vintage,wallpaper,washed,worn",https://image.shutterstock.com/image-illustration/abstract-tiedyed-striped-motif-seamless-600w-634127474.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-tiedyed-striped-motif-seamless-600w-634127474.jpg', 'path': 'full/b87c804fb04acc451bb8fc81a563c4017febf0aa.jpg', 'checksum': 'dd7989ac6279f6597a2e90349df1dc94'}]"
95252563,1,seamless+pattern+distressed,vector,buhovec,Seamless background,"travel,seamless,vintage,stamp,letter,vector,postage,post,old,doodle,postcard,retro,mail,postal,card,romantic,silhouette,graphic,scrapbook,antique,ship,european,face,grunge,etching,collection,rubber,value,victorian,dispatch,monochromatic,ornate,portrait,19th,aged,century,detailed,distressed,europe,express,grungy,hand-drawn,illustration,old world,scrapbooking,seamless background,seamless pattern,shipped,vintage background",https://image.shutterstock.com/image-vector/seamless-background-600w-95252563.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-background-600w-95252563.jpg', 'path': 'full/338cbc1a34a2e2f3ff244aad4e05060ce5cebb73.jpg', 'checksum': 'fa0810946a7e8ba5352697e64379c59c'}]"
783312304,1,seamless+pattern+distressed,vector,Mikhail+H,"Dry Brush Strokes and Scratches Retro Grunge Background. Hand Drawn Old Scratched Seamless Pattern. Dirty Cracked Wall Texture. Concrete, Chalk Print Design Background.","texture,grunge,seamless,vector,pattern,rust,background,brush,metal,broken,distress,effect,dirty,splatter,urban,watercolor,paper,rusty,wall,dry,strokes,white,design,grungy,paint,print,abstract,black,chalk,faded,halftone,hand,rough,concrete,cracked,distressed,drawn,dyed,fashion,grainy,ink,painted,plaster,retro,scratched,scratches,sketch,striped,stripes,vintage",https://image.shutterstock.com/image-vector/dry-brush-strokes-scratches-retro-600w-783312304.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/dry-brush-strokes-scratches-retro-600w-783312304.jpg', 'path': 'full/7aae07521bc5a652070affda8807694beedebc50.jpg', 'checksum': '2e3c48ef5b2b38d6b80ee8e9734d08be'}]"
166755170,1,seamless+pattern+distressed,vector,artifact,"Fiber carbon, seamless pattern, design background-vector","pattern,seamless,carbon,fiber,black,background,texture,classy,metal,dark,grunge,material,steel,white,abstract,canvas,cover,design,stripe,tile,website,brochure,grungy,invitation,layout,retro,synthetic,template,vintage,wall,web,ad,aged,announcement,art,backdrop,card,distressed,elegant,element,frame,graphic,gray,light,lines,metallic,monochrome,old,paint,wallpaper",https://image.shutterstock.com/image-vector/fiber-carbon-seamless-pattern-design-600w-166755170.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/fiber-carbon-seamless-pattern-design-600w-166755170.jpg', 'path': 'full/0053a1957ee7a7c1145eaf1e105784c72626a915.jpg', 'checksum': 'ce8938b28eb24b110b56667178af32f7'}]"
395206246,1,seamless+pattern+distressed,vector,Anastasiia+Stepanova,"Dark and light blue spots. As the shadows on the snow. Seamless abstract vector pattern. Grunge background. Acute-angled elements, squares, spots and scratches","pattern,seamless,abstract,texture,grunge,background,vector,navy,print,black,blue,chaotic,mix,art,cold,frozen,grungy,rough,snow,white,backdrop,complicated,continuity,dirt,dirty,distressed,drawing,dust,endless,erosion,frost,graphic,indigo,mixed,overlay,random,repeat,scratches,scuffed,shadows,smudges,splotch,spots,squares,stain,template,trash,wallpaper,wrapping",https://image.shutterstock.com/image-vector/dark-light-blue-spots-shadows-600w-395206246.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/dark-light-blue-spots-shadows-600w-395206246.jpg', 'path': 'full/4bf5a590ff1f9e7df61fee63f5c76fdc3f0de436.jpg', 'checksum': '08649b41810c70fbf41714ee5b19282e'}]"
410390302,1,seamless+pattern+distressed,vector,Amovitania,Blue black white painted seamless patterns set. Distress texture and grunge design.  Striped chevron and circle ornaments. Grunge paint backgrounds. Vector wallpaper or fabric print from brush strokes,"pattern,vector,seamless,texture,set,grunge,paint,stripe,brush,chevron,abstract,black,blue,art,fashion,geometric,decorative,elements,fabric,scratch,white,zigzag,design,graphic,polka,unusual,background,birds,bright,chalk,damaged,distress,dot,dry,edges,effect,furniture,grungy,lines,messy,ornaments,paintbrush,print,sketchy,splattered,spotted,strokes,textured,torn,wallpaper",https://image.shutterstock.com/image-vector/blue-black-white-painted-seamless-600w-410390302.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/blue-black-white-painted-seamless-600w-410390302.jpg', 'path': 'full/e909d1f09eb43899ba23bd8d7a628a277cc1119a.jpg', 'checksum': 'c80ab3aa3266440ffbfcf9d6ad926a80'}]"
1781585906,1,seamless+pattern+distressed,illustration,nannastudio,TieDye print - fashion seamless background,"dye,tie,pattern,rainbow,watercolor,repeat,color,print,background,neon,multicolor,abstract,graphic,multi,swatch,texture,art,artistic,bright,colorful,cool,design,distressed,dyed,fabric,fashion,graphics,grunge,illustration,modern,splash,swimwear,tile,wallpaper,young",https://image.shutterstock.com/image-illustration/tiedye-print-fashion-seamless-background-600w-1781585906.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/tiedye-print-fashion-seamless-background-600w-1781585906.jpg', 'path': 'full/4f22a24fb747cbbd34a6e4eb4b2567f482c16000.jpg', 'checksum': '494c1535a98504ac54429707d9954c5c'}]"
