id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1650331822,1,seamless+pattern+stripe,vector,Siu-Hong+Mok,"Classic Modern Vertical Stripe Pattern   for shirt printing, textiles, jersey, jacquard patterns, backgrounds, websites","pattern,graphics,simple,vector,apparel,art,backdrop,background,basic,bold,classic,clothes,colorful,colours,contrast,decoration,design,fabric,fashion,flannel,garment,geometric,illustration,jacquard,jersey,kilts,knitwear,lines,modern,paper,picnic,print,repeat,repetition,retro,seamless pattern,spring,striped,striped pattern,stripes,style,swatch,tablecloth,textile,texture,vertical,vintage,winter",https://image.shutterstock.com/image-vector/classic-modern-vertical-stripe-pattern-600w-1650331822.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/classic-modern-vertical-stripe-pattern-600w-1650331822.jpg', 'path': 'full/cae554cc1648b5ff17822a00e9d279dac57d2f6d.jpg', 'checksum': '617544f4725365132ec142bab9a09fab'}]"
638031406,1,seamless+pattern+stripe,vector,Alina+Shtulberg,"Embroidery vector design. Seamless multicolor pattern in tribal style. Traditional ethnic folk motif. Aztec ikat vector background. Abstract geometric art print. hand drawn. Textile design, fabric","boho,leopard,summer,african,fashion,texture,line,element,python,repeat,graphic,illustration,indian,navajo,pink,hippie,jungle,retro,trendy,cotton,handmade,indigenous,ornament,vintage,american,creative,dark,hawaii,stripy,wallpaper,white,woven,young,cultural,decoration,decorative,drawing,freehand,material,national,ornamental,scaf,striped,stripes,stylized,tracery,triangle,wave,weaving,zigzag",https://image.shutterstock.com/image-vector/embroidery-vector-design-seamless-multicolor-600w-638031406.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/embroidery-vector-design-seamless-multicolor-600w-638031406.jpg', 'path': 'full/29ae2a8a469b0ad30669723957fe02f0c8d6c92f.jpg', 'checksum': 'bd2a6cfdf3b7f2b6c09ec8a3f5af78cf'}]"
1273391842,1,seamless+pattern+stripe,vector,AvalsiNats,"seamless positive vector of wavy lines, colorful print for girls and boys, abstract liquid pattern, bright background of curves","seamless,pattern,wavy,line,fluid,water,liquid,strip,arc,curly,curve,modern,ribbon,vector,geometric,ornament,soft,texture,abstract design,aqua,band,bends,bright colorful background,brindle,concave,convex,crease,creative,crinkle,curves lines,curves vector,design,entangled,flexible,fluid geometry,graphic,mixture,ripply,river abstract,ropy,saturated color,stringy,striped,style,summer vector,tape,undulating,vertical lines,viscous,zebra",https://image.shutterstock.com/image-vector/seamless-positive-vector-wavy-lines-600w-1273391842.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-positive-vector-wavy-lines-600w-1273391842.jpg', 'path': 'full/09b2ee20852abfc9762b9eebbaffdd9187f2dcc7.jpg', 'checksum': 'd7be133a597e403048646bfab2a20c35'}]"
710516776,1,seamless+pattern+stripe,vector,Yanit,Seamless horizontal striped pattern. Ink paint brush line with torn paper effect. Ethnic background. Vector illustration. Rainbow color texture for backdrop. Retro style. Summer pattern for kids.,"seamless,stripe,pattern,rainbow,grunge,watercolor,paint,summer,texture,horizontal,vibrant,background,fabric,print,splatter,design,funky,geometric,vector,art,drawn,hand,line,uneven,creative,gradient,illustration,modern,pastel,stroke,wallpaper,artistic,brush,children pattern,funny,graphic,ink,original,ornament,random,sketch,smeared,spectrum,stylish,textile,unique,wrapping",https://image.shutterstock.com/image-vector/seamless-horizontal-striped-pattern-ink-600w-710516776.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-horizontal-striped-pattern-ink-600w-710516776.jpg', 'path': 'full/be65f4f67bdf070b14b1079dc96b1a90991646f0.jpg', 'checksum': 'db9e593e86ab75af9b85b40e5e452d5b'}]"
1186869664,1,seamless+pattern+stripe,vector,sunwart,"paint stripe Seamless pattern. vector Hand drawn striped geometric background. blue ink brush strokes. grunge stripes, modern paintbrush line for wrapping, wallpaper, textile","stripe,background,blue,watercolour,pattern,baby,seamless,watercolor,light,line,vector,handmade,marine,border,cute,sailor,white,horizontal,paint,paper,sea,shirt,spring,summer,pastel,wave,drawn,fashion,mint,print,t,vertical,wallpaper,water,aqua,brush,card,geometric,graphic,kids,lines,modern,paintbrush,rough,striped,stripes,thin,tile,trendy,wrap",https://image.shutterstock.com/image-vector/paint-stripe-seamless-pattern-vector-600w-1186869664.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/paint-stripe-seamless-pattern-vector-600w-1186869664.jpg', 'path': 'full/7e5e988ffc0f791fedeba38d22c6551a520dd0c9.jpg', 'checksum': '78cb13e62177aa7c8aac017e063f3dc0'}]"
125575826,1,seamless+pattern+stripe,vector,CurlyPat,Seamless ripple pattern. Repeating vector texture in nuance colors. Cheerful background,"pattern,stripe,seamless,vector,background,wave,water,nature,modern,wallpaper,wavy,ripple,sea,repeat,tile,ocean,fashion,graphic,ornament,fabric,pastel,sketch,trendy,creative,print,undulate,element,paper,repetition,textile,decor,drawing,sinuous,complicated,stylish,billowy,continuity,corrugated,crimp,curly,marine,ornate,painted,ripply,texture,textured,traditional,twisted,undulated,vector background",https://image.shutterstock.com/image-vector/seamless-ripple-pattern-repeating-vector-600w-125575826.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-ripple-pattern-repeating-vector-600w-125575826.jpg', 'path': 'full/8066f7cf90f6530d51b334a05ce7c21929371bbb.jpg', 'checksum': '5a1e90046c232a8f0115c1b49381dd22'}]"
1810011217,1,seamless+pattern+stripe,vector,Galakam,Vector zebra skin seamless pattern. Animal fur stripes texture ornament. Curved wavy lines  Stylish fashion illustration for design of fabric and textile.,"pattern,shape,seamless,stripe,zebra,abstract,africa,african,animal,background,beauty,blue,camouflage,curve,decorative,design,exotic,fabric,fashion,fur,geometric,graphic,illustration,jungle,leather,line,nature,ornament,popular,print,safari,silhouette,simple,skin,striped,style,stylish,textile,texture,tiger,trendy,tropical,vector,vintage,wallpaper,wave,white,wild,wildlife,zoo",https://image.shutterstock.com/image-vector/vector-zebra-skin-seamless-pattern-600w-1810011217.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-zebra-skin-seamless-pattern-600w-1810011217.jpg', 'path': 'full/58971c767b43839b547e21ab3fdde1108af0ccf7.jpg', 'checksum': '3ae1b8a7314084d540a4efa294850904'}]"
762267064,1,seamless+pattern+stripe,vector,Premyuda,usa color style red and blue striped background on the cover and fabric,"pattern,seamless,vertical,strip,texture,vector,print,abstract,design,background,blanket,blue,color,curtain,abstraction,art,artistic,backdrop,background pattern,border,bright,card,carrier,colorful,concept,cover,decoration,eps10,fabric,general,geometric,graphics,harvesting,illustration,light,line,lined,lines background,material,pink,preparation,repetition,shading,stripe pattern,striped,striped wallpaper,stripes,structure,wallpaper,warm",https://image.shutterstock.com/image-vector/usa-color-style-red-blue-600w-762267064.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/usa-color-style-red-blue-600w-762267064.jpg', 'path': 'full/3286c4c257b29602ab78731e292112df765fbc28.jpg', 'checksum': 'c2dcd88feec3359cec43d6177b161146'}]"
1069594031,1,seamless+pattern+stripe,vector,SunwardArt,Retro watercolor brush stripes seamless pattern. Gray and blue paintbrush lines horizontal seamless texture for backdrop. Hand drown paint strokes decoration artwork. For garment.,"pattern,stripe,geometric,watercolor,seamless,grunge,vector,stroke,abstract,color,texture,water,watercolour,background,horizontal,paintbrush,line,modern,paint,paper,vintage,design,drawing,drawn,graffiti,hand,wet,white,art,artistic,bohemian,brush,concept,decorative,gouache,graphic,ink,lines,packaging,print,retro,simple,sloppy,stain,textile,textured lines,tiling,tracery,uneven,watercolor brush stripes seamless",https://image.shutterstock.com/image-vector/retro-watercolor-brush-stripes-seamless-600w-1069594031.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/retro-watercolor-brush-stripes-seamless-600w-1069594031.jpg', 'path': 'full/e76898dcf1af17307ab69b262016ac56b09f0727.jpg', 'checksum': '652cef8433c264a231e5fd65828dbd05'}]"
203303065,1,seamless+pattern+stripe,vector,ExpressVectors,"Diagonal lines pattern, vector seamless background","pattern,diagonal,black,white,background,seamless,geometric,repeat,straight,abstract,graphic,tile,texture,grid,design,retro,simple,web,print,vintage,endless,fabric,modern,template,artistic,beautiful,classic,paper,regular,scrapbook,wall,wallpaper,website,backdrop,cover,decorative,element,illustration,image,invitation,lines,ornamental,repeatable,striped,stripes,stylish,surface,tracery,wrapping",https://image.shutterstock.com/image-vector/diagonal-lines-pattern-vector-seamless-600w-203303065.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/diagonal-lines-pattern-vector-seamless-600w-203303065.jpg', 'path': 'full/6d601fb6a13dcedc4809c4300258fb5fcc2ba21a.jpg', 'checksum': 'c78b481d6b02213bf1167dbff0ac9916'}]"
