id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1711748359,1,seamless+pattern+gold,vector,vectortwins,"Luxury gold and nature green background vector. Floral pattern, Golden split-leaf Philodendron plant with monstera plant line arts, Vector illustration.","pattern,background,gold,flower,green,leaf,wallpaper,plant,vector,abstract,texture,seamless,floral,vintage,luxury,nature,blue,monstera,foliage,design,jungle,art,white,golden,palm,decor,classic,fashion,orchid,tree,fabric,ornament,retro,houseplant,philodendron,exotic,hawaii,fresh,set,summer,wrapping,botanical,decoration,decorative,illustration,isolated,mons,natural,travel,tropical",https://image.shutterstock.com/image-vector/luxury-gold-nature-green-background-600w-1711748359.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/luxury-gold-nature-green-background-600w-1711748359.jpg', 'path': 'full/2b97b4e82926d3b993b6f09850caadc33d153a31.jpg', 'checksum': '3b3c77e564c27045d57ebc5d4eb5626e'}]"
713293666,1,seamless+pattern+gold,vector,Afishka,Seamless pattern with a gold Hydrangea and Cherry flowers. Vector illustration.,"flower,pattern,gold,seamless,floral,golden,line,illustration,japan,hydrangea,wallpaper,leaf,rose,metal,japanese,textile,sketch,cherry,glitter,nature,blossom,hand,plant,botany,bouquet,garden,sparkle,texture,apple,petal,spring,beautiful,set,summer,collection,fabric,invitation,isolated,ornate,romantic,shiny,beauty,blooming,botanical,bud,drawing,luxury,metallic,natural,shine",https://image.shutterstock.com/image-vector/seamless-pattern-gold-hydrangea-cherry-600w-713293666.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-gold-hydrangea-cherry-600w-713293666.jpg', 'path': 'full/7c373ab4685393e4b08e62d9c6115ec9ce7b29db.jpg', 'checksum': 'ac365b4651cb9bea411876f57cc71f08'}]"
1683786001,1,seamless+pattern+gold,illustration,Fleur+Design+art,"Fairy magical garden. Unicorn seamless pattern, pink, blue, gold flowers, leaves , birds and clouds. Kids room wallpaper","seamless,pattern,unicorn,kids,wallpaper,fairy,pink,room,rose,animal,gold,illustration,baby,background,beautiful,blue,cloud,colorful,cute,drawing,drawn,dream,elegance,fabric,fairytale,fantasy,floral,flower,garden,girl,happy,horse,imagination,leaves,love,lovely,magic,magical,miracle,moon,mythology,pink rose,pony,princess,romantic,seamless pattern,sky,sweet,textile,white",https://image.shutterstock.com/image-illustration/fairy-magical-garden-unicorn-seamless-600w-1683786001.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/fairy-magical-garden-unicorn-seamless-600w-1683786001.jpg', 'path': 'full/25baf03f0a5a1b8fcbd6208b661ecb9adcdac78f.jpg', 'checksum': '0f7ed63be25b7cbbce3bce9ae48c7010'}]"
577744501,1,seamless+pattern+gold,vector,strizh,Luxury golden wallpaper. Vintage seamless wave pattern Vector background.,"pattern,gold,elegant,wave,luxury,background,seamless,vector,golden,abstract,leaf,rich,texture,line,wallpaper,card,christmas,geometric,graphic,color,decor,fabric,art,classic,design,endless,holiday,silk,old,ornament,ornate,retro,simple,vintage,backdrop,decoration,decorative,elegance,foil,illustration,invitation,repetition,revival,shiny,stripe,striped,stroke,textile,tile,wrapping",https://image.shutterstock.com/image-vector/luxury-golden-wallpaper-vintage-seamless-600w-577744501.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/luxury-golden-wallpaper-vintage-seamless-600w-577744501.jpg', 'path': 'full/bcb59119582ae8638e46cb8631610b5c1cd74c93.jpg', 'checksum': '971424e9f7111cf6328b25fdbc04327c'}]"
1331567792,1,seamless+pattern+gold,vector,Tamiris6,"Vector dark blue seamless pattern with gold foil constellations, stars and clouds. Watercolor night sky background","star,watercolor,sky,night,background,pattern,seamless,starry,vector,cloud,galaxy,blue,gold,horoscope,space,dark,sparkle,zodiac,abstract,texture,wallpaper,astrology,comet,sign,galactic,heaven,universe,cosmic,cosmo,fabric,foil,glow,shine,astronomy,chart,design,golden,planet,science,astrological,atlas,backdrop,cloudscape,constellation,graphic,group,illustration,milky way,planetarium,symbol",https://image.shutterstock.com/image-vector/vector-dark-blue-seamless-pattern-600w-1331567792.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-dark-blue-seamless-pattern-600w-1331567792.jpg', 'path': 'full/c3fdf5e94d350bf3fa54407b709cd19061790355.jpg', 'checksum': 'ad4b32956ef769d51472f88ca9b6b0e5'}]"
1016943409,1,seamless+pattern+gold,vector,EEspace,Art Deco seamless pattern with 4 colours background,"pattern,art,deco,elegant,line,geometric,leave,seamless,background,vector,gold,texture,luxury,blue,decorative,design,ornament,vintage,1920s,abstract,element,gatsby,wallpaper,retro,classic,graphic,old,shape,twenties,beauty,cyan,fabric,golden,style,30s,art deco,artistic,backdrop,beige,decoration,dusk,elegance,geometry,great,illustration,old-fashioned,ornate,palm leaf,repetition,textile",https://image.shutterstock.com/image-vector/art-deco-seamless-pattern-4-600w-1016943409.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/art-deco-seamless-pattern-4-600w-1016943409.jpg', 'path': 'full/6a3c3c25a6ead5d74eb438f9992933e9205ff0ab.jpg', 'checksum': 'd6e7470169a5c0169e6b7f085d98b874'}]"
1095353477,1,seamless+pattern+gold,vector,AuraLux,"Vector marble seamless pattern with golden geometric diagonal lines. White, pink, black rhombus marbling surface, modern luxurious background, luxury wallpaper.","pattern,seamless,pink,gold,luxury,rhombus,black,white,background,design,gray,tile,floor,golden,metal,vector,fashion,print,stone,texture,wall,abstract,art,diagonal,granite,graphic,illustration,interior,rock,shapes,backdrop,branding,card,contemporary,creative,decoration,elegant,kitchen,lines,luxurious,marble,marbling,modern,monochrome,natural,organic,repeat,sparkle,square,surface",https://image.shutterstock.com/image-vector/vector-marble-seamless-pattern-golden-600w-1095353477.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-marble-seamless-pattern-golden-600w-1095353477.jpg', 'path': 'full/d73468376d95117d1d01798465cf701c641ae9ee.jpg', 'checksum': '34afaba7d775064514eec5bd54eaf97f'}]"
1184373919,1,seamless+pattern+gold,vector,RODINA+OLENA,"Flower geometric pattern. Seamless vector background. White and gold ornament. Ornament for fabric, wallpaper, packaging, Decorative print","pattern,flower,geometric,seamless,floral,vector,abstract,background,gold,decorative,design,retro,small,texture,ornate,wallpaper,graphic,modern,east,delicate,ornament,leaf,mosaic,royal,curtain,drawing,packaging,simple,white,art,fabric,fashion,interior,stylish,textile,backdrop,decor,decoration,fantail,illustration,repetition,wrapping",https://image.shutterstock.com/image-vector/flower-geometric-pattern-seamless-vector-600w-1184373919.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/flower-geometric-pattern-seamless-vector-600w-1184373919.jpg', 'path': 'full/f9628ca14c7d3dcf63f0927826d2a2ef7e23f20c.jpg', 'checksum': '05f8ef25434d797607675c83784a98cd'}]"
1071089741,1,seamless+pattern+gold,vector,NikaMooni,Elegant geometric seamless pattern with rose gold and golden vertical stripes.,"pattern,pink,glitter,seamless,background,stripe,texture,geometric,wallpaper,foil,luxury,girly,vector,beauty,elegant,fabric,line,ornament,print,golden,fashion,textile,abstract,art,glamour,modern,party,backdrop,minimal,premium,sparkle,trendy,chic,classic,copper,element,festive,scrapbook,bronze,shapes,decoration,simple,stylish,lovely,metallic,repeat,rose gold,scales,template,wrapping paper",https://image.shutterstock.com/image-vector/elegant-geometric-seamless-pattern-rose-600w-1071089741.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/elegant-geometric-seamless-pattern-rose-600w-1071089741.jpg', 'path': 'full/7446899d4afe83f0596ffcd55932b2946f2d3bdb.jpg', 'checksum': '49f92e1348bbe55244e97fe190e22e7b'}]"
538477357,1,seamless+pattern+gold,vector,sunshiny,"Cute festive background with gold stars. Holiday seamless pattern. Christmas star. Ornament for gift wrapping paper, fabric, clothes, textile, surface textures, scrapbook. Vector illustration.","pattern,christmas,star,seamless,vector,background,gold,holiday,birthday,gift,line,baby,black,magic,cute,frame,border,design,white,garland,paper,wrap,ornament,glitter,golden,abstract,bright,confetti,decor,card,geometric,wallpaper,yellow,cover,fashion,foil,graphic,shower,wave,classic,fabric,poster,backdrop,celebration,decoration,illustration,metal,shiny,surface,texture",https://image.shutterstock.com/image-vector/cute-festive-background-gold-stars-600w-538477357.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cute-festive-background-gold-stars-600w-538477357.jpg', 'path': 'full/095a602750da7ec548a5514b7195e506c3918bd8.jpg', 'checksum': '1f4cad6ae5cbfbf83b1f89604daf8a5d'}]"
