id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1668669064,1,seamless+pattern+painting,illustration,Ola-la,"Seamless floral pattern with flowers on dark background, watercolor. Template design for textiles, interior, clothes, wallpaper. Botanical art","flower,pattern,seamless,vintage,floral,background,green,rose,victorian,abstract,painting,beautiful,peony,red,art,spring,summer,arrangement,artwork,colorful,curl,decoration,fashion,illustration,isolated,leaf,oriental,romantic,accent,bloom,blossom,botanical,bouquet,curve,design,elegance,feminine,flora,growth,handmade,ornamental,petal,pink,plant,pretty,soulful,stem,valentine,watercolor flowers,white",https://image.shutterstock.com/image-illustration/seamless-floral-pattern-flowers-on-600w-1668669064.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-floral-pattern-flowers-on-600w-1668669064.jpg', 'path': 'full/5c42c6c327b9bb9e44936c20a301d429ce197389.jpg', 'checksum': '3a54ea0391764dcc0bc9d866c810dd54'}]"
1012081978,1,seamless+pattern+painting,vector,NataliaKo,"Tropical floral seamless vector pattern background with exotic flowers, palm leaves, jungle leaf, orchid, bird of paradise flower. Botanical wallpaper illustration in Hawaiian style","pattern,flower,wallpaper,floral,jungle,vector,seamless,hawaiian,background,leaf,bohemian,palm,bird,exotic,orchid,green,vintage,plant,aloha,paradise,texture,banana,design,fabric,print,hawaii,summer,art,brazilian,painting,brazil,monstera,rainforest,spring,fashion,swimwear,textile,dark,garden,gobelin,hibiscus,miami,tropicana,popular,botanical,california,illustration,nature,plumeria,tropical",https://image.shutterstock.com/image-vector/tropical-floral-seamless-vector-pattern-600w-1012081978.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-floral-seamless-vector-pattern-600w-1012081978.jpg', 'path': 'full/0189f7c776b2fb9c05d1ad56cfb1f714fd6fb5e0.jpg', 'checksum': 'a7efd92d7f6018a0c516ba52158dbf78'}]"
1026271408,1,seamless+pattern+painting,illustration,lisima,Seamless pattern with spring flowers and leaves. Hand drawn background.  floral pattern for wallpaper or fabric. Flower rose. Botanic Tile.,"pattern,flower,floral,watercolor,rose,seamless,pink,illustration,romantic,summer,print,bouquet,design,fabric,spring,white,abstract,painting,retro,textile,wall,art,leaf,tile,valentine,wallpaper,branch,furniture,paper,artistic,graphic,structure,bedclothes,blossom,decorative,gray,panting,postcard,template,botanical,card,floral background,hand drawn,invitation,ornament,pastel color,vintage style,wrapper,wrapping paper",https://image.shutterstock.com/image-illustration/seamless-pattern-spring-flowers-leaves-600w-1026271408.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-spring-flowers-leaves-600w-1026271408.jpg', 'path': 'full/9928d9d55da51002b8a48e3aa92f3601dadb161f.jpg', 'checksum': '609dfd32c257eaf0f1eb57459782c9e6'}]"
271724048,1,seamless+pattern+painting,vector,Lidia+Kabakova,Vector seamless pattern with fish scale layout. Blue drop-shaped elements with watercolor texture on light grey background,"pattern,watercolor,paint,tile,seamless,vector,water,blue,hand,tribal,fish,spanish,abstract,geometric,line,motif,texture,drawn,ornament,background,mosaic,summer,oriental,moroccan,print,drop,scale,border,ceramic,cloud,design,ethnic,grain,triangle,ancient,fancy,sky,stone,vintage,cobblestone,elegant,art,layout,peacock,shape,deco,ground,landscape,set,classic,lace,wallpaper,floor,ornate,spotty,street,arch,interior,light,oval,pavement,poster,rain,retro,storm,style,wavy,antique,backdrop,complex,fan,footpath,grey,mesh,stonework,template,architectural,arcs,composition,dappled,dark,decoration,drawing,drops,elements,endless,flooring,loops,marbled,nautical,of,ornamental,painted,painting,patchy,patterns,polished,regular,repeating,scaly,speckles,stylish,stylized,symmetry,tail,tiled,tiles,undulating,uniform,waves",https://image.shutterstock.com/image-vector/vector-seamless-pattern-fish-scale-600w-271724048.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-fish-scale-600w-271724048.jpg', 'path': 'full/93af228073a444fd960e7d5102ce23b80c8281b0.jpg', 'checksum': '8e339d9a69b7e83b697fbf6f13df26fe'}]"
791755423,1,seamless+pattern+painting,vector,ozzichka,Abstract painting seamless pattern. Free hand colorful background memphis style. Hand drawn tropical background.,"pattern,abstract,seamless,tropical,leaf,vector,jungle,hand,summer,background,drawn,memphis,art,brush,expressive,graphic,green,texture,travel,acrylic,botanical,design,illustration,modern,nature,plant,print,vintage,80s,backdrop,cloth,concept,creative,drawing,exotic,fabric,fashion,freehand,grunge,hipster,package,palm,palm tree,poster,retro,sketch,textile,trendy,tropic,wall",https://image.shutterstock.com/image-vector/abstract-painting-seamless-pattern-free-600w-791755423.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-painting-seamless-pattern-free-600w-791755423.jpg', 'path': 'full/8094bd49366c743e0fd2dcd32522493ba21b90ee.jpg', 'checksum': 'ee5539abe759a58b32315d178d416469'}]"
318585962,1,seamless+pattern+painting,vector,AlexVV,water seamless pattern with grunge effect,"pattern,beach,vector,seamless,abstract,background,texture,water,river,color,fashion,sea,ocean,effect,wave,art,retro,decor,nature,grunge,painting,design,line,shape,fabric,wallpaper,repeat,graphic,curve,blue,smooth,element,concept,horizontal,style,textile,weather,white,backdrop,image,clip,symbol,wet,decoration,decorative,illustration,natural,ornamental,striped,textured",https://image.shutterstock.com/image-vector/water-seamless-pattern-grunge-effect-600w-318585962.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/water-seamless-pattern-grunge-effect-600w-318585962.jpg', 'path': 'full/dfd2b3ca7737e5d202864daf77669b65d2edea72.jpg', 'checksum': '8e8e1c28ebf5fa6f040ce41f87c188c6'}]"
1074721637,1,seamless+pattern+painting,illustration,grau,Watercolor Illustration. Floral Seamless Pattern.,"seamless,pattern,watercolor,abstract,flower,spring,art,artistic,background,blob,cloth,color,colorful,decorative,design,drawing,drawn,element,floral,green,greeting card,illustration,invitation,leaves,ornament,ornamental,packaging,paint,painting artwork,paper,red,scroll,season,seasonal,sketch,sketched,splash,stain,stylized,surface,template,textile,vibrant,wallpaper,wet,white,wrapping",https://image.shutterstock.com/image-illustration/watercolor-illustration-floral-seamless-pattern-600w-1074721637.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/watercolor-illustration-floral-seamless-pattern-600w-1074721637.jpg', 'path': 'full/26a920c72fba1db8df49fcc54c209e212fb30b21.jpg', 'checksum': '5a9319e11c9209700db8ad6b3d0d71e3'}]"
731626471,1,seamless+pattern+painting,illustration,YuliaAksa,Abstract pattern stripes blue watercolour textures background geo. Watercolor geometric splash brushes digital effect overlay backdrop seamless. Blue monochrome color lines paint and drawing.,"pattern,abstract,seamless,watercolor,floral,geometric,blue,texture,background,geo,wallpaper,effect,plaid,art,design,collage,digital,fabric,stripe,dark,illustration,repeat,trendy,tribal,brush,allover,drawing,scarf,splash,vintage,artistic,aztec,camo,stamp,surf,vivid,wall,white,craft,psychedelic,rough,backdrop,decoration,lines,monochrome,painting,printing,scratch,tile,wrapping",https://image.shutterstock.com/image-illustration/abstract-pattern-stripes-blue-watercolour-600w-731626471.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-pattern-stripes-blue-watercolour-600w-731626471.jpg', 'path': 'full/006e458d8442b95ded05dcd1803f096f3afeaf72.jpg', 'checksum': '33988ebbd759f2c25b5fe458e082bb4c'}]"
529185898,1,seamless+pattern+painting,illustration,cepera,Abstract motif. Seamless pattern.,"pattern,seamless,abstract,dye,nature,tie,background,grunge,vintage,landscape,painting,indigo,forest,illustration,print,motif,artwork,fog,design,creative,graphic,navy,old,square,tile,retro,wallpaper,jungle,modern,stain,surface,ecru,cover,decoration,wild,backdrop,drawing,dyed,hazy,decorative,distressed,natural,strokes,textile,tracery,washed",https://image.shutterstock.com/image-illustration/abstract-motif-seamless-pattern-600w-529185898.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-motif-seamless-pattern-600w-529185898.jpg', 'path': 'full/2a7283d9cae1787add512696dd2a5aae778deca3.jpg', 'checksum': 'b4e96f2ffb3e416eb5c98dd51f87fd2a'}]"
1717570504,1,seamless+pattern+painting,illustration,JOY8046,"Rose seamless pattern with watercolor on blue background.Designed for fabric luxurious and wallpaper, vintage style.Hand drawn floral pattern illustration.Rose garden.Pink flower bouquet.","flower,pattern,seamless,floral,vintage,watercolor,print,rose,bouquet,colorful,fabric,paper,pink,white,art,background,beautiful,bloom,blooming flowers,blossom,botanical,branch,card,decoration,decorative,design,drawing,elegant,fashion,flora,garden,graphic,illustration,leaf,nature,painting,petal,plant,retro,romantic,spring,summer,template,textile,texture,tile,tropic,valentine,valentines,wallpaper",https://image.shutterstock.com/image-illustration/rose-seamless-pattern-watercolor-on-600w-1717570504.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/rose-seamless-pattern-watercolor-on-600w-1717570504.jpg', 'path': 'full/fb19ffac634c12a663899e335cd7a4be45684c57.jpg', 'checksum': '228b2ede26de5829d8e3710ddd23da47'}]"
