id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1065332303,1,seamless+pattern+oriental,vector,Ezhevika,"Super Big set of 32 oriental patterns. White and gold background with Arabic ornaments. Patterns, backgrounds and wallpapers for your design. Textile ornament. Vector illustration.","pattern,arab,seamless,islam,ornament,background,gold,floral,orient,wallpaper,modern,line,arabesque,turkish,wall,set,arabian,abstract,paper,lace,decor,tile,graphic,spanish,style,art,asian,mosaic,muslim,vintage,eastern,old,repeat,ethnic,history,round,asia,east,ornate,arabic,curves,decoration,decorative,illustration,islamic,ornamental,sample,traditional",https://image.shutterstock.com/image-vector/super-big-set-32-oriental-600w-1065332303.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/super-big-set-32-oriental-600w-1065332303.jpg', 'path': 'full/f6879de1d5bdc1904e0bea1e2d3f73389a84282f.jpg', 'checksum': 'eaf338b70d966f10359704bb014b470e'}]"
1529622947,1,seamless+pattern+oriental,vector,Irina+Dolgikh,Seamless Pattern Cobalt Blue Vintage Outline Etching Graphics of Jungle Tropical Palms Rainforest Exotic Plants Mountains British Fabric Design on White Background,"jungle,toile,chinoiserie,art,asian,print,wallpaper,design,drawing,floral,illustration,engraving,fabric,graphics,indigo,leaves,lithograph,oriental,outline,textile,tropical,asia,background,beautiful,british,chinese,cobalt blue,etching,european,european design,exotic,fashion,fine line,hand drawn,india,monochrome,mountain,palms,rainforest,seamless pattern,summer,trees,tropics,vector,white background,wrapping paper",https://image.shutterstock.com/image-vector/seamless-pattern-cobalt-blue-vintage-600w-1529622947.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-cobalt-blue-vintage-600w-1529622947.jpg', 'path': 'full/e820eaec764d2faf5dfa12bce1773eea7e84a12c.jpg', 'checksum': '04ae8b0d5c7ee05cae17edb2da5c38eb'}]"
1653361690,1,seamless+pattern+oriental,vector,Diana+Kovach,"Set of eighteen gold decorative seamless patterns vector of different geometric forms. Abstract pattern for design cards, invitations, wallpaper, wrapping paper. Square, rhombus, triangle, line","pattern,ornament,seamless,gold,mosaic,abstract,arabic,art,background,beautiful,card,collection,creative,decoration,design,draw,elegant,element,fabric,fashion,flowing,frame,geometric,graphic,illustration,india,invitation,line,modern,openwork,oriental,ornamental,ornate,paper,print,rhombus,seamless pattern,shape,sketch,square,stylish,template,textile,texture,tile,triangle,vector,vintage,wallpaper,wrapping paper",https://image.shutterstock.com/image-vector/set-eighteen-gold-decorative-seamless-600w-1653361690.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-eighteen-gold-decorative-seamless-600w-1653361690.jpg', 'path': 'full/b41b9cf70f9fa918a22f032e1a27070cb6ef7a5c.jpg', 'checksum': 'dd9269f31ab3b57b53bcf3bdbf943fd9'}]"
458974003,1,seamless+pattern+oriental,vector,RODINA+OLENA,Abstract pattern in Arabian style. Seamless vector background. Gold and white texture. Graphic modern pattern.,"pattern,geometric,damask,vector,background,seamless,ornament,islam,moroccan,arabian,antique,royal,arab,gold,texture,oriental,wallpaper,arabesque,design,abstract,geometry,wall,art,silver,style,deco,fabric,white,tile,graphic,repeat,mosaic,cover,backdrop,monochrome,silk,abstraction,arabic,artistic,decor,decoration,element,islamic,surface,symmetry,textured,traditional,unusual,wrapping",https://image.shutterstock.com/image-vector/abstract-pattern-arabian-style-seamless-600w-458974003.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-pattern-arabian-style-seamless-600w-458974003.jpg', 'path': 'full/b3a89deee22386c76f709850ca505af5a1e48fe0.jpg', 'checksum': '8ced0c53d6b5216cbfc2c2d1f06f7a0f'}]"
214589065,1,seamless+pattern+oriental,vector,AnnaPoguliaeva,Vector seamless border in Eastern style. Ornate element for design on moroccan backdrop. Ornamental lace pattern for wedding invitations and greeting cards. Traditional decor.,"pattern,moroccan,vector,oriental,ornament,frame,motif,background,vintage,border,arab,seamless,design,ornate,card,abstract,luxury,turkish,floral,classic,east,filigree,baroque,element,victorian,damask,rococo,old,vignette,illustration,royal,decor,linear,swirl,graphic,pastel,spiral,cartouche,daisy,isolated,retro,contour,curve,elegance,frieze,invitation,islamic,scroll,tracery,traditional",https://image.shutterstock.com/image-vector/vector-seamless-border-eastern-style-600w-214589065.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-border-eastern-style-600w-214589065.jpg', 'path': 'full/0989af60d8b2599a5092c81316b88ec406418009.jpg', 'checksum': 'e38d518c34156486e83696ac15e97152'}]"
633427640,1,seamless+pattern+oriental,vector,TaniaAnisimova,"Colorful seamless pattern with decorative flowers. Paisley and roses. Indian style. Indonesian batik. Classic paisley. Design for fabric, carpet, textile, wrapping paper, home decor, postcards, print","pattern,paisley,seamless,flower,indian,floral,abstract,ethnic,design,fashion,vector,oriental,lace,vintage,fabric,ornament,background,fresco,style,wallpaper,decorative,india,persian,repeat,textile,graphic,modern,ancient,eastern,illustration,leaf,rose,tile,art,backdrop,elegant,flora,retro,beautiful,blooming,classic,decor,favorite,henna,hindi,mendy,repetition,revival,tiled,tradition",https://image.shutterstock.com/image-vector/colorful-seamless-pattern-decorative-flowers-600w-633427640.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/colorful-seamless-pattern-decorative-flowers-600w-633427640.jpg', 'path': 'full/a5a18774432b94336f020cddfb195d159daf8f06.jpg', 'checksum': 'e4ab7d5aef86fcd20384b01f0bd9a4cc'}]"
1072133639,1,seamless+pattern+oriental,vector,Annartlab,"Beautiful black and white floral seamless pattern. Vintage, paisley elements. Traditional, Ethnic, Turkish, Indian motifs. Great for fabric and textile, wallpaper, packaging or any desired idea. ","pattern,paisley,baroque,abstract,indian,damask,motif,oriental,medallion,ornament,moroccan,arabesque,lace,logo,persian,retro,rug,antique,arabic,azulejo,background,banner,bohemian,business card,carpet,classic,cover,doodle,eastern pattern,elegant,ethnic,fashion,floral,flower,henna,islamic,leaf,leaves,luxury,mandala,modern,ornate,porcelain,texture,tile,tribal,vintage,wedding,wrapper,wrapping",https://image.shutterstock.com/image-vector/beautiful-black-white-floral-seamless-600w-1072133639.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beautiful-black-white-floral-seamless-600w-1072133639.jpg', 'path': 'full/51b9eb173c3a7c6227225e47c94c8c7a990daa3b.jpg', 'checksum': '60ea15b35278c4a4d293c9243f4cdfad'}]"
758198629,1,seamless+pattern+oriental,vector,Yuli23,Seamless pattern with Japanese white cranes in different poses f,"pattern,japanese,bird,flower,animal,crane,asian,floral,black,seamless,oriental,chinese,vintage,white,wallpaper,art,illustration,embroidery,artwork,border,design,abstract,fashion,asia,background,fabric,graphic,red,style,textile,decoration,embroidered,patch,ornament,nature,summer,beautiful,decor,decorative,shape,texture,traditional",https://image.shutterstock.com/image-vector/seamless-pattern-japanese-white-cranes-600w-758198629.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-japanese-white-cranes-600w-758198629.jpg', 'path': 'full/7b590d7ae6275a7155ef01601dd53030d00d9759.jpg', 'checksum': '861442b018db2ef62c1b0758c2628405'}]"
93225340,1,seamless+pattern+oriental,vector,sonulkaster,cherry or sakura seamless pattern background,"flower,japanese,cherry,floral,japan,blossom,vector,wallpaper,chinese,sakura,geisha,kimono,background,texture,asian,oriental,china,new,year,butterfly,paper,tradition,asia,retro,pink,wedding,nature,kyoto,plant,antique,leaf,ornament,bloom,card,decorative,spring,backdrop,beautiful,culture,postcard,beauty,decoration,graphic,illustration,new-year,nippon,ornamental,traditional,viewing",https://image.shutterstock.com/image-vector/cherry-sakura-seamless-pattern-background-600w-93225340.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cherry-sakura-seamless-pattern-background-600w-93225340.jpg', 'path': 'full/96e3f82fe7964689f1686df227f278581fb16a19.jpg', 'checksum': '95839e0aa658797e0bff3e05edf71325'}]"
497689294,1,seamless+pattern+oriental,vector,mamita,"Vintage Japanese chrysanthemum flowers, pomegranates, branches, leaves and birds. Vector seamless pattern. Illustration for fabrics, phone case paper, gift packaging, textiles, interior design, cover.","pattern,vintage,floral,illustration,japanese,seamless,pomegranate,vector,chinese,oriental,animal,fruit,plant,antique,design,luxury,background,chrysanthemum,old,victorian,bloom,gold,garden,spring,fabric,leaves,paper,korean,ornament,decor,nature,summer,white,blossom,botany,cover,gift,case,phone,birds,blooming,bouquet,branches,decoration,engraving,floret,flowers,interior,packaging,textiles",https://image.shutterstock.com/image-vector/vintage-japanese-chrysanthemum-flowers-pomegranates-600w-497689294.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vintage-japanese-chrysanthemum-flowers-pomegranates-600w-497689294.jpg', 'path': 'full/5a3bbe209ca574f2e31b0a21ac028c4a3959759c.jpg', 'checksum': '4c34074f24d44a482b71752342a5580d'}]"
