id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
533792434,1,seamless+pattern+minimal,vector,ExpressVectors,Collection of seamless geometric minimalistic patterns.,"pattern,background,seamless,simple,fashion,modern,grid,abstract,minimal,design,wave,graphic,black,white,circle,set,retro,wall,repeat,elegant,zigzag,contemporary,art,web,classic,style,trendy,wallpaper,decor,website,card,backdrop,template,cover,creative,stylish,concept,textile,new,surface,artistic,decoration,decorative,dots,invitation,lines,minimalistic,repetitive,stripes,texture",https://image.shutterstock.com/image-vector/collection-seamless-geometric-minimalistic-patterns-600w-533792434.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collection-seamless-geometric-minimalistic-patterns-600w-533792434.jpg', 'path': 'full/aa93030b7dab683305ff40a7f9e906b3fe13b5ca.jpg', 'checksum': 'df72c0c027c4fd4eb6651b39a720082b'}]"
717092572,1,seamless+pattern+minimal,vector,Imichman,"Set of vector seamless patterns. Modern stylish geometric textures. Infinitely repeating geometrical ornaments with different geometric shapes: Crosses, thin lines, triangles, rhombuses, diamonds","pattern,geometric,seamless,line,background,vector,outline,diamond,set,minimal,simple,modern,puzzle,texture,abstract,design,mosaic,lattice,linear,ornament,shape,repeat,classic,thin,hexagon,rhombus,stripe,wallpaper,contemporary,cube,decor,maze,monochrome,print,tile,zigzag,cotton,cover,decorative,fabric,geometrical,grid,hexagonal,minimalism,ornamental,paper,regular,retro,textile,trendy",https://image.shutterstock.com/image-vector/set-vector-seamless-patterns-modern-600w-717092572.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-vector-seamless-patterns-modern-600w-717092572.jpg', 'path': 'full/e9cd6767869922c0a7b0ad80ad3105f70a975a6b.jpg', 'checksum': 'c7f8fc0b0379e48851edabb79cadd3b5'}]"
719289022,1,seamless+pattern+minimal,vector,Chiken_brave,"Seamless abstract marble pattern, wood texture, watercolor marble pattern. Ebru style.Natural colorful vector background. Good for fabric, gift wrapping.Unique trendy paint waves and stone vortices","pattern,marble,vector,seamless,abstract,oil,wood,texture,liquid,minimal,water,ink,splash,wave,modern,paint,background,color,stone,art,gold,design,grunge,illustration,pink,tile,fabric,graphic,mineral,purple,textile,creative,vintage,wet,wrap,acrylic,aqua,artistic,decor,paper,surface,backdrop,decoration,decorative,drawing,marbled,marbling,natural,wallpaper,watercolor",https://image.shutterstock.com/image-vector/seamless-abstract-marble-pattern-wood-600w-719289022.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-abstract-marble-pattern-wood-600w-719289022.jpg', 'path': 'full/0e9a8eac393c54c50569444760ee7c3db6d2c69b.jpg', 'checksum': 'd841993bf67e41a5b8c60ff317834ea7'}]"
1012770460,1,seamless+pattern+minimal,vector,Vialeta+Novik,Tie dye watercolor seamless pattern. Vector tradition shibori print. Geometric ikat endless tile. Organic texture. Japan endless rapport.  Vector hand drawn tie dye oriental seamless pattern.,"pattern,texture,abstract,japanese,fabric,seamless,organic,vector,watercolor,print,background,textile,dye,shibori,tie,japan,modern,watercolour,paint,cotton,indigo,blue,brush,china,hippie,kimono,rustic,batik,cloth,design,ink,retro,tile,bed,folk,indonesian,material,psychedelic,surface,swimwear,fashion,geometrical,kaleidoscope,minimalism,natural,old-fashioned,optical,ornament,stripes,traditional",https://image.shutterstock.com/image-vector/tie-dye-watercolor-seamless-pattern-600w-1012770460.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tie-dye-watercolor-seamless-pattern-600w-1012770460.jpg', 'path': 'full/8b753ef1ea9f57a950cd5523dd50ec5848f0bbe6.jpg', 'checksum': '896d3abb1016786a8801ac5443219520'}]"
1072203968,1,seamless+pattern+minimal,vector,Svetlana+Kononova,"Origami animals. Seamless vector pattern with llamas, camels, horses and cucculents. Minimalism style print with golden geometric elements on white background.","pattern,horse,minimal,seamless,desert,geometric,cactus,origami,print,succulent,vector,kids,lama,simple,camel,design,donkey,elements,japanese,oriental,outline,abstract,animals,art,bull,cacti,card,cartoon,character,children,chinese,crafts,funny,graphic,hobby,illustration,linear,minimalism,nature,paper,peruvian,set,shapes,south american,triangles,wallpaper,white,wild,wildlife,zoo",https://image.shutterstock.com/image-vector/origami-animals-seamless-vector-pattern-600w-1072203968.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/origami-animals-seamless-vector-pattern-600w-1072203968.jpg', 'path': 'full/e5cc4d7169e5b8b488e4201e211dabb224089976.jpg', 'checksum': 'fa5c70bbed705a202668077173e06b77'}]"
1033399189,1,seamless+pattern+minimal,vector,oking,Ikat seamless pattern. Vector tie dye  shibori print with stripes and chevron. Ink textured japanese background.  Ethnic fabric vector. Bohemian fashion. Endless watercolor texture. African rug.,"pattern,watercolor,boho,batik,texture,vector,flower,seamless,blue,print,ethnic,watercolour,bohemian,geometric,ikat,fabric,aztec,background,border,tile,dye,geo,tie,abstract,indonesian,organic,shibori,tribal,embroidery,japanese,african,circle,hand,woven,art,chevron,fashion,brush,wave,paint,patchwork,tibetan,creative,dots,ethnic nativity,ikat pattern,ikat vector,minimalism,stripes,swimwear",https://image.shutterstock.com/image-vector/ikat-seamless-pattern-vector-tie-600w-1033399189.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ikat-seamless-pattern-vector-tie-600w-1033399189.jpg', 'path': 'full/1e57bb7f3d96346aac483e155b2cb099b9e4861f.jpg', 'checksum': '2277c5379a07f2fea49b4522587dd1b7'}]"
1116374651,1,seamless+pattern+minimal,vector,annettebdesign,"Seamless vector stripe nautical pattern with colored horizontal parallel stripes in red, navy and cream background. Surface pattern design.","stripe,pattern,seamless,navy,wide,horizontal,background,cute,vector,fabric,line,print,blue,geometric,graphic,minimal,plain,simple,wallpaper,white,abstract,artistic,backdrop,card,classic,color,cream,decor,decorative,design,element,fashion,illustration,linear,lines,nautical,ornament,paper,parallel,red,repeat,resort,straight,stripes,stripy,textile,texture,thin,tile,trendy",https://image.shutterstock.com/image-vector/seamless-vector-stripe-nautical-pattern-600w-1116374651.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-stripe-nautical-pattern-600w-1116374651.jpg', 'path': 'full/fdca5b0133f8b79a0860c3197101cec5c2d4a9a3.jpg', 'checksum': 'c32f83a48e9657421807abf083947eec'}]"
339786065,1,seamless+pattern+minimal,vector,Imichman,Seamless pattern. Set of eight abstract geometric backgrounds. Modern stylish textures. Regularly repeating elegant ornaments with different shapes. Vector element of graphical design,"pattern,seamless,elegant,geometric,minimal,vector,set,simple,abstract,print,classic,modern,diamond,repeat,texture,cotton,graphic,star,tile,decoration,background,dot,retro,traditional,design,rhombus,textile,arc,art,cover,cross,dashed,decor,decorative,element,endless,fabric,minimalism,original,ornament,ornamental,outline,pack,regular,shape,style,wallpaper,wrapping",https://image.shutterstock.com/image-vector/seamless-pattern-set-eight-abstract-600w-339786065.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-set-eight-abstract-600w-339786065.jpg', 'path': 'full/44b75e373ed365fd9a2547abdf29c3015d30c124.jpg', 'checksum': 'a6788df0448db12d9503823c5da6c86a'}]"
1048841615,1,seamless+pattern+minimal,vector,SummerCandy,"Seamless pattern of Cardwell lily, flat minimal retro/vintage colorful vector","flower,pattern,abstract,seamless,floral,vector,illustration,graphic,summer,bright,flat,pastel,jungle,simple,print,lily,minimal,art,texture,vintage,background,exotic,retro,design,leaf,nature,cardwell,decoration,fashion,green,wallpaper,botanical,drawing,hand draw,memory,pink,saturation,spring,style,tropical",https://image.shutterstock.com/image-vector/seamless-pattern-cardwell-lily-flat-600w-1048841615.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-cardwell-lily-flat-600w-1048841615.jpg', 'path': 'full/7dbbc786bbe9d8b66475faad3ed6ff006178df6c.jpg', 'checksum': '746a9cffa455b18ef9b9a0cf1ba7b67b'}]"
649806589,1,seamless+pattern+minimal,illustration,SyrytsynaTetiana,"Abstract curve shape background with doodle, minimalistic elements. Smooth bend shape filled with watercolor marbling, striped texture seamless pattern. Hand painted water color illustration","pattern,seamless,water,color,summer,watercolor,abstract,blue,background,paint,texture,graphic,nature,collage,geometric,turquoise,art,element,ink,minimal,doodle,paper,trend,brush,grey,curve,design,diagonal,flow,grunge,liquid,ornament,simple,stroke,creative,smooth,style,bend,colorful,curl,dot,drawing,drawn,geometrical,illustration,striped,water color,wavy",https://image.shutterstock.com/image-illustration/abstract-curve-shape-background-doodle-600w-649806589.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-curve-shape-background-doodle-600w-649806589.jpg', 'path': 'full/9ef62d551cecda74f87ec01b039b88a2aeeba573.jpg', 'checksum': 'da4a7f7de929116fcd9a55e32ae7f1db'}]"
