id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
525438964,1,seamless+pattern+brush,vector,cepera,Abstract irregular striped block motif. Seamless pattern.,"pattern,texture,abstract,seamless,fabric,vector,background,print,graphic,fashion,modern,block,design,glitch,square,rough,ink,vintage,monochrome,tile,cloth,decoration,material,old,stain,wallpaper,irregular,noisy,surface,variegated,decay,retro,blot,cover,backdrop,brushed,decorative,display,distressed,imperfect,lines,natural,spot,striped,strokes,textile,textured,tracery,washed,wrapping",https://image.shutterstock.com/image-vector/abstract-irregular-striped-block-motif-600w-525438964.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-irregular-striped-block-motif-600w-525438964.jpg', 'path': 'full/14ba189edbc3be72f5f262ef104a8824dfa5a4e1.jpg', 'checksum': '0003ad14a12eb4c49ee0b8a3f5c830fd'}]"
1301308228,1,seamless+pattern+brush,illustration,Ozge+Basaran,"Shibori, tie dye, abstract batik brush seamless and repeat pattern design","dye,tie,pattern,seamless,batik,repeat,blue,print,indigo,background,psychedelic,brush,texture,ethnic,abstract,hippie,fabric,fashion,african,cloth,white,abstract pattern,african pattern,art,artistic,backdrop,beauty,color,cotton,dark blue,decorate,design,dyeing,indigo pattern,material,painting,retro,textile,tie dye,wallpaper",https://image.shutterstock.com/image-illustration/shibori-tie-dye-abstract-batik-600w-1301308228.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/shibori-tie-dye-abstract-batik-600w-1301308228.jpg', 'path': 'full/56fe4e2c6534660cf5a1703da1450f7e1430232d.jpg', 'checksum': 'dabb0df7a0eca9708f82ce4ebffc9083'}]"
731626471,1,seamless+pattern+brush,illustration,YuliaAksa,Abstract pattern stripes blue watercolour textures background geo. Watercolor geometric splash brushes digital effect overlay backdrop seamless. Blue monochrome color lines paint and drawing.,"pattern,abstract,seamless,watercolor,floral,geometric,blue,texture,background,geo,wallpaper,effect,plaid,art,design,collage,digital,fabric,stripe,dark,illustration,repeat,trendy,tribal,brush,allover,drawing,scarf,splash,vintage,artistic,aztec,camo,stamp,surf,vivid,wall,white,craft,psychedelic,rough,backdrop,decoration,lines,monochrome,painting,printing,scratch,tile,wrapping",https://image.shutterstock.com/image-illustration/abstract-pattern-stripes-blue-watercolour-600w-731626471.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-pattern-stripes-blue-watercolour-600w-731626471.jpg', 'path': 'full/006e458d8442b95ded05dcd1803f096f3afeaf72.jpg', 'checksum': '33988ebbd759f2c25b5fe458e082bb4c'}]"
631394162,1,seamless+pattern+brush,vector,yamonstro,Vector Abstract Stippled Weird Hipster Seamless Pattern. Handmade Tileable Geometric Dotted Grunge White and Black Solid Simple Background. Bizarre Art Illustration,"pattern,camouflage,seamless,texture,half,tone,halftone,abstract,square,stipple,weird,brush,cubism,vector,grain,hipster,dot,black,fabric,pointillism,design,diffuse,white,hand,painting,spread,vintage,color,drawn,handmade,random,smear,chaotic,decorative,disorderly,dotted,dotwork,element,engraving,gradation,occasional,plain,regular,retro,sloppy,sparse,strewn,structure,style,transition",https://image.shutterstock.com/image-vector/vector-abstract-stippled-weird-hipster-600w-631394162.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-abstract-stippled-weird-hipster-600w-631394162.jpg', 'path': 'full/1d11916946fddb0c3cd1a357d0d0f76fce06c121.jpg', 'checksum': '849e8444151b9b30987ddc18f9aba507'}]"
1009325977,1,seamless+pattern+brush,vector,Nadezda+Grapes,"Seamless exotic pattern with tropical plants and artistic background. Modern abstract design for paper, cover, fabric, interior decor and other users.","pattern,seamless,print,surf,leaf,watercolor,vector,ethnic,summer,vintage,palm,brush,floral,jungle,beach,exotic,background,design,flora,forest,hawaii,hawaiian,plant,textile,aloha,artistic,brazil,green,hand,hibiscus,illustration,art,asia,beauty,botanical,drawing,fabric,fashion,flowers,gentle,liana,madagascar,nature,painted,south,surfing,trend,tropical,wallpaper,wrapping",https://image.shutterstock.com/image-vector/seamless-exotic-pattern-tropical-plants-600w-1009325977.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-exotic-pattern-tropical-plants-600w-1009325977.jpg', 'path': 'full/a1e9b28b862ac8f3781f5fa3c4ee3d45ddd8660e.jpg', 'checksum': '4c131bb897e5ac361c5277aa834d1354'}]"
649806589,1,seamless+pattern+brush,illustration,SyrytsynaTetiana,"Abstract curve shape background with doodle, minimalistic elements. Smooth bend shape filled with watercolor marbling, striped texture seamless pattern. Hand painted water color illustration","pattern,seamless,water,color,summer,watercolor,abstract,blue,background,paint,texture,graphic,nature,collage,geometric,turquoise,art,element,ink,minimal,doodle,paper,trend,brush,grey,curve,design,diagonal,flow,grunge,liquid,ornament,simple,stroke,creative,smooth,style,bend,colorful,curl,dot,drawing,drawn,geometrical,illustration,striped,water color,wavy",https://image.shutterstock.com/image-illustration/abstract-curve-shape-background-doodle-600w-649806589.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-curve-shape-background-doodle-600w-649806589.jpg', 'path': 'full/9ef62d551cecda74f87ec01b039b88a2aeeba573.jpg', 'checksum': 'da4a7f7de929116fcd9a55e32ae7f1db'}]"
1757579390,1,seamless+pattern+brush,illustration,Dmitriy+Abrazhevich,Tie Dye Spiral. Artistic Batik. Spiral Tie Dye Design. Bright Hand Drawn Design. Tie and Dye. Beautiful Spiral Effect. Trendy Acrylic Dirty Paint. Rainbow Watercolor Tie Dye.,"dye,tie,seamless,pattern,spiral,rainbow,tye,design,background,bright,color,boho,pastel,pink,print,swirl,tiedye,watercolor,batik,china,ink,red,trippy,art,black,blue,bohemian,brush,colorful,colour,cool,decoration,dyed,erbu,gold,green,hand made,hippie,ikat,paint,painted,psychedelic,reggae,shirt,stripe,style,texture,tile,watercolour,wave",https://image.shutterstock.com/image-illustration/tie-dye-spiral-artistic-batik-600w-1757579390.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/tie-dye-spiral-artistic-batik-600w-1757579390.jpg', 'path': 'full/8c1f9602a1ce46388fdd1105f699917e12a8f0f7.jpg', 'checksum': 'abb9614c2a970adde148870d06dffbc3'}]"
724545349,1,seamless+pattern+brush,vector,ollymolly,"Watercolor vector texture. Aquarelle circles in pastel colors. Seamless pattern. Watercolor pink, and golden spots isolated on white background.","pattern,watercolor,cute,pink,background,watercolour,circle,gold,seamless,pastel,vector,heart,spot,texture,love,party,golden,graphic,wallpaper,abstract,color,yellow,blue,drawn,illustration,romantic,wedding,brush,decoration,element,romance,aquarelle,card,set,bright,design,isolated,art,fabric,holiday,tile,colorful,decorative,drawing,hand drawn,lovely,multicolor,valentine,wrapping",https://image.shutterstock.com/image-vector/watercolor-vector-texture-aquarelle-circles-600w-724545349.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/watercolor-vector-texture-aquarelle-circles-600w-724545349.jpg', 'path': 'full/90c00263f3f5c30be21da1054524600ea8219663.jpg', 'checksum': '2f1364a7ab9d2846078ca5a9a3f52d9f'}]"
245488132,1,seamless+pattern+brush,vector,cepera,Abstract rough spotty brushed background. Seamless pattern. Vector.,"pattern,brush,ink,seamless,paint,grunge,vector,abstract,print,texture,rough,stroke,graphic,illustration,spot,background,contrast,design,dynamic,ground,old,square,vintage,wavy,blot,decorative,drawn,fashion,grungy,monochrome,noisy,ornate,retro,aged,art,backdrop,cover,cracks,creative,decor,expressive,scratches,shapes,stain,surface,textile,textured,tile,tracery,wallpaper",https://image.shutterstock.com/image-vector/abstract-rough-spotty-brushed-background-600w-245488132.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-rough-spotty-brushed-background-600w-245488132.jpg', 'path': 'full/b91ea7b5c82872dae1f5874586838fb40c76d624.jpg', 'checksum': 'ff9c65fa119e3bfd577e21a2dc0f3476'}]"
1151434925,1,seamless+pattern+brush,vector,OzorninaKsenya,Vector seamless pattern with animal print. Trendy abstract texture with brush strokes. Fashion modern illustration.,"pattern,leopard,animal,abstract,seamless,print,trendy,paint,wild,brush,skin,navy,texture,tropical,african,background,illustration,vector,drawn,fashion,hand,organic,style,wallpaper,animals,art,color,creative,decoration,decorative,design,dots,exotic,fabric,geometric,graphic,grunge,hatch,modern,retro,splatter,spot,stain,strip,stroke,textile,tile,tribal,vintage,wrapping",https://image.shutterstock.com/image-vector/vector-seamless-pattern-animal-print-600w-1151434925.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-animal-print-600w-1151434925.jpg', 'path': 'full/89839b44b6d626f42f6e010f85d51acebd7b8a2f.jpg', 'checksum': 'ed6a2db1377bb0266f2b287dc036da1b'}]"
