id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1082605778,1,seamless+pattern+leaf,vector,momosama,"Floral seamless pattern, green, black and white split-leaf Philodendron plant with vines on white background, pastel vintage theme","pattern,leaf,plant,background,wallpaper,seamless,texture,floral,vintage,line,print,retro,pastel,fabric,greenery,vine,garden,repeat,tree,spring,collage,ink,decoration,philodendron,season,backdrop,flora,houseplant,bouquet,balazo,botanical,ceriman,foliage,fruit salad,illustration,mexican breadfruit,monster fruit,monstera deliciosa,monstereo,monsterio delicio,penglai banana,striped,swiss cheese plant,textile,tropical,verdant,windowleaf",https://image.shutterstock.com/image-vector/floral-seamless-pattern-green-black-600w-1082605778.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-pattern-green-black-600w-1082605778.jpg', 'path': 'full/265de05b7996a19d9572979e386ac6a02d806279.jpg', 'checksum': '8d13cae4f43b90ded6d7e1eeecf1c740'}]"
1590062734,1,seamless+pattern+leaf,illustration,ruseanna,"Seamless watercolor floral pattern - green leaves and branches composition on white background, perfect for wrappers, wallpapers, postcards, greeting cards, wedding invitations, romantic events.","watercolor,pattern,eucalyptus,seamless,watercolour,flower,background,leaves,floral,foliage,leaf,botanical,green,wedding,abstract,vintage,spring,texture,bouquet,print,art,branch,greenery,wreath,nature,plant,succulent,wallpaper,illustration,summer,tree,fashion,garden,set,card,design,frame,trendy,white,decoration,drawing,fern,graphics,hand painted,illustrated,invitation,invites,isolated,lime color,retro",https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-green-600w-1590062734.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-green-600w-1590062734.jpg', 'path': 'full/f5aa8ef7676bf01becfa1dae709fd9c8db2cc8c4.jpg', 'checksum': '6f290ad4ba09d3fcba95c46f8da348a3'}]"
1506094598,1,seamless+pattern+leaf,vector,tashsat,seamless abstract greyl and white background,"pattern,texture,organic,background,seamless,vector,foliage,line,design,ornament,abstract,decorative,light,silk,modern,wave,illustration,old,repeat,wallpaper,curve,fabric,graphic,vintage,art,backdrop,outline,victorian,weave,baroque,bright,curtains,decor,decoration,drapery,flourishes,grey,leafs,ornamental,renaissance,retro,revival,silhouette,symbol,textile,tile,tiled,venetian",https://image.shutterstock.com/image-vector/seamless-abstract-greyl-white-background-600w-1506094598.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-abstract-greyl-white-background-600w-1506094598.jpg', 'path': 'full/459846829ddcf4cd8eb0349633a5065fdea28b8a.jpg', 'checksum': '57d433b8ba7b4bf6dd19a2768cf781b8'}]"
1709738137,1,seamless+pattern+leaf,illustration,katiko.dp,"Beautiful purple peony flowers with green leaves on background. Seamless floral pattern. Watercolor painting. Hand drawn illustration. Can be used as a design for fabric or wallpaper, bed linen.","flower,watercolor,pattern,floral,watercolour,seamless,background,hand,ornament,fabric,lilac,wallpaper,plant,texture,backdrop,beautiful,bed linen,bedclothes,bedding,bloom,blossom,botanical,bouquet,bud,colorful,decor,decoration,design,drawn,fashion,field,flora,garden,green,hand painted,handmade,head,illustration,leaf,light,meadow,nature,painted,peony,purple,simple,spring,summer,textile,vertical",https://image.shutterstock.com/image-illustration/beautiful-purple-peony-flowers-green-600w-1709738137.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/beautiful-purple-peony-flowers-green-600w-1709738137.jpg', 'path': 'full/3615ceb9991eee5cb7ca4dc21a7632713fdd34e2.jpg', 'checksum': '6fb16f3c1943579d106b5aa2932ba48e'}]"
1114000928,1,seamless+pattern+leaf,vector,tashsat,Grey abstract seamless  pattern,"pattern,organic,seamless,vector,background,line,ornament,floral,abstract,texture,weave,outline,design,vintage,art,grey,graphic,foliage,illustration,silhouette,fabric,black,decor,wallpaper,backdrop,baroque,dark,fashion,light,old,retro,silk,symbol,textile,tile,venetian,victorian,curtains,curves,decoration,decorative,drapery,flourishes,leafs,ornamental,renaissance,repeating,revival,style,tiled",https://image.shutterstock.com/image-vector/grey-abstract-seamless-pattern-600w-1114000928.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/grey-abstract-seamless-pattern-600w-1114000928.jpg', 'path': 'full/1317ff91f364a3b97289173f9b64ea675cf8aa3a.jpg', 'checksum': 'fbcb36611af583b7f1b40864a96b9650'}]"
407661679,1,seamless+pattern+leaf,vector,CurlyPat,Vector seamless pattern. Irregular abstract grid texture. Free hand drawn trellis.,"pattern,leaf,background,seamless,geometric,line,abstract,wallpaper,lattice,graphic,design,repeat,structure,hand,grid,net,wavy,curve,irregular,biology,shape,cross,drawn,linear,ornament,contour,diagonal,mosaic,tile,mesh,trellis,contrast,edge,plane,straight,chaotic,tracery,asymmetrical,asymmetry,biological,branches,bubbles,dimension,facet,illustration,intersection,natural,texture,textured,veins",https://image.shutterstock.com/image-vector/vector-seamless-pattern-irregular-abstract-600w-407661679.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-irregular-abstract-600w-407661679.jpg', 'path': 'full/067b8c6bad7178ae88a2795f184981e926cfa990.jpg', 'checksum': '05b906a532a2ec9edb95559f209bff65'}]"
1120278230,1,seamless+pattern+leaf,vector,momosama,"Botanical seamless pattern, banana leaves, vines and other leaves on light green background","pattern,leaf,green,tropical,seamless,wallpaper,illustration,nature,banana,plant,background,drawing,floral,foliage,collage,pastel,texture,forest,garden,jungle,textile,flora,spring,vintage,backdrop,element,fabric,greenery,ornament,outline,print,stroke,summer,design,drawn,ink,botanical,bouquet,branch,decoration,fresh,houseplant,repeat,tree",https://image.shutterstock.com/image-vector/botanical-seamless-pattern-banana-leaves-600w-1120278230.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/botanical-seamless-pattern-banana-leaves-600w-1120278230.jpg', 'path': 'full/354c6d432e86bc599eec12d193f30c27a05c9379.jpg', 'checksum': '35db89ba10d43480cf1e3f41de4c9685'}]"
531260302,1,seamless+pattern+leaf,vector,Mariya+Alexandrova,Romantic flowers with foliage pattern on a beige background. Vector.,"pattern,flower,seamless,floral,vector,print,vintage,botanical,design,textile,modern,rose,fabric,abstract,background,branch,texture,retro,bloom,decorative,element,graphic,leaf,ornamental,romantic,spring,beautiful,bouquet,garden,green,ornate,petal,plant,wallpaper,white,art,artwork,backdrop,beauty,blossom,decoration,drawing,flourish,illustration,natural,nature,ornament,paper,summer",https://image.shutterstock.com/image-vector/romantic-flowers-foliage-pattern-on-600w-531260302.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/romantic-flowers-foliage-pattern-on-600w-531260302.jpg', 'path': 'full/1799f03df0045d226b5f4c32ce820204fd2ab949.jpg', 'checksum': 'a045ae643a968044877de13c40898016'}]"
552217537,1,seamless+pattern+leaf,illustration,Elena+Medvedeva,"Watercolor seamless pattern with eucalyptus leaves and branches. Background for textile, paper and other print and web projects.","eucalyptus,pattern,watercolor,illustration,essential,leaf,oil,plant,background,seamless,color,daisy,green,print,succulent,aroma,australia,botanical,herbal,natural,organic,paper,petal,aromatherapy,beauty,beverage,blooming,bud,cosmetic,decorative,drawn,fabric,field,floral,healing,herb,meadow,medicinal,nature,packaging,perfume,product,relax,textile,texture,vibrant,wallpaper,wellness,wild,wrapping",https://image.shutterstock.com/image-illustration/watercolor-seamless-pattern-eucalyptus-leaves-600w-552217537.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/watercolor-seamless-pattern-eucalyptus-leaves-600w-552217537.jpg', 'path': 'full/1d4213cd2e6d3e644f16a306586bce4c0cd5d616.jpg', 'checksum': '5bea925edbf8d3de257b6788af320bfc'}]"
757799752,1,seamless+pattern+leaf,vector,Alewiena,"Seamless pattern, background, texture print with light watercolor hand drawn blue color dusty leaves, fern greenery forest herbs, plants. Tender, elegant textile fabric, wrapping paper backdrop layout","watercolor,pattern,leaf,blue,seamless,background,plant,floral,vector,winter,greenery,autumn,nature,wedding,herb,abstract,summer,textile,wallpaper,ornament,rustic,vintage,design,elegant,foliage,illustration,painted,print,spring,art,beautiful,botanical,color,fabric,tender,texture,backdrop,decoration,decorative,delicate,drawing,editable,festive,garden,graphic,greeting,hand drawn,isolated white,natural,ornate",https://image.shutterstock.com/image-vector/seamless-pattern-background-texture-print-600w-757799752.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-background-texture-print-600w-757799752.jpg', 'path': 'full/194c9d334d37ae03b3444cf3f93397de7d8b900d.jpg', 'checksum': '0880579653c85a8ce9a7cfbfd2ae5ae8'}]"
