id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
266281208,1,seamless+pattern+beautiful,vector,berry2046,"Print summer exotic jungle plant  tropical palm leaves. Pattern, seamless floral vector on the black white geometric background. Nature wallpaper.","pattern,tropic,flower,floral,leaf,palm,vector,jungle,background,seamless,summer,plant,print,geometric,exotic,white,green,black,beach,illustration,abstract,tree,design,fashion,nature,trendy,color,spring,beauty,retro,paper,textile,style,aloha,hawaii,hawaiian,vacation,backdrop,ornate,silhouette,culture,decoration,luau,climate,striped,styled,textured,tropical,wallpaper,wrapping",https://image.shutterstock.com/image-vector/print-summer-exotic-jungle-plant-600w-266281208.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/print-summer-exotic-jungle-plant-600w-266281208.jpg', 'path': 'full/e78a90437eeed0639caf31284712c6eeadd9b848.jpg', 'checksum': '4a826132717a4d5e4f5d765efcfcd922'}]"
1563279181,1,seamless+pattern+beautiful,illustration,viprinceva,"Beautiful floral seamless, tileable, watercolor pattern with woodland animals - deer, bunny, hedgehog, bear and fox","seamless,pattern,animal,print,watercolor,cute,floral,forest,fox,hedgehog,peony,woodland,abstract,art,botanical,bunny,deer,flower,illustration,spring,vintage,wild,artistic,background,bear,blossom,bouquet,decorative,design,fabric,fashion,fawn,feminine,floral background,garden,graphic,leaf,nature,ornament,paint,pink,plant,summer,textile,texture,tile,wallpaper,wildflowers,wrapper,wrapping paper",https://image.shutterstock.com/image-illustration/beautiful-floral-seamless-tileable-watercolor-600w-1563279181.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/beautiful-floral-seamless-tileable-watercolor-600w-1563279181.jpg', 'path': 'full/80d12fe3ff47ec2adcfccfc224270801e417f764.jpg', 'checksum': 'f23bda822fe8365eafaca4fdfd082a12'}]"
485991985,1,seamless+pattern+beautiful,vector,RODINA+OLENA,The geometric abstract pattern. Seamless vector background. Dark blue and gold texture. Graphic modern pattern,"pattern,geometric,vector,background,texture,modern,seamless,abstract,gold,wallpaper,blue,royal,design,graphic,fabric,line,carpet,leaf,retro,art,cloth,ornate,simple,black,decor,shape,wave,color,beauty,element,fashion,branch,curve,artistic,cover,image,card,curtain,backdrop,creative,style,wrapping,decoration,decorative,drawing,elegance,illustration,repeated,repetition,vintage",https://image.shutterstock.com/image-vector/geometric-abstract-pattern-seamless-vector-600w-485991985.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/geometric-abstract-pattern-seamless-vector-600w-485991985.jpg', 'path': 'full/450546dd49a88298fc4f73a5542341eeffb194c1.jpg', 'checksum': '98ebf86f37695665fc799cae1ab24e66'}]"
1142315438,1,seamless+pattern+beautiful,vector,Lavrushka,Floral seamless pattern. Leaves of Cordelia on a pink background.,"flower,pattern,vintage,floral,illustration,print,pink,seamless,texture,background,plant,leaf,green,nature,retro,wallpaper,exotic,pastel,houseplant,design,fashion,fabric,flora,ornament,textile,backdrop,bouquet,collage,element,garden,cordelia,season,spring,decor,repeat,beautiful,botanical,decoration,fashionable,greenery,style,the cloth,trend,tropical,trumpet",https://image.shutterstock.com/image-vector/floral-seamless-pattern-leaves-cordelia-600w-1142315438.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-pattern-leaves-cordelia-600w-1142315438.jpg', 'path': 'full/0b82343196b68e3b3b86cad3faa17938cf550ae9.jpg', 'checksum': '64afb73b5e878da6d9e6e03261187a8a'}]"
1838043025,1,seamless+pattern+beautiful,illustration,JOY8046,"Seamless pattern of chrysanthemum, rose, peony and Blooming flowers with watercolor on pastel colors. Design for fabric luxurious and wallpaper, vintage style. Hand drawn floral pattern.Botany garden.","seamless,pattern,watercolor,floral,flower,peony,design,retro,spring,drawing,illustration,rose,tile,wallpaper,art,background,beautiful,bloom,blooming flowers,blossom,botanical,bouquet,branch,chrysanthemum,colorful,decoration,decorative,elegant,fabric,fashion,flora,garden,graphic,leaf,nature,painting,paper,pastel,pink,plant,print,romantic,summer,template,textile,texture,tropic,valentine,valentines,vintage",https://image.shutterstock.com/image-illustration/seamless-pattern-chrysanthemum-rose-peony-600w-1838043025.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-chrysanthemum-rose-peony-600w-1838043025.jpg', 'path': 'full/643c9a42be770cb5fe0cbfd37c6990aa22b34b18.jpg', 'checksum': '540c943190e89da551010584245679d4'}]"
594738689,1,seamless+pattern+beautiful,vector,RODINA+OLENA,The geometric pattern with stripes . Seamless vector background. Green and white texture. Graphic modern pattern.,"pattern,geometric,seamless,green,texture,vector,zigzag,simple,abstract,background,blue,modern,line,chevron,stripe,fabric,geometry,wallpaper,classic,repeat,cloth,shape,tile,carpet,dark,ornament,art,beauty,design,elegant,draw,fashion,stylish,curtain,image,abstraction,artistic,backdrop,decorative,drawing,graphic,halftone,illustrate,industrial,packaging,repeatable,repetition,striped,style,unusual",https://image.shutterstock.com/image-vector/geometric-pattern-stripes-seamless-vector-600w-594738689.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/geometric-pattern-stripes-seamless-vector-600w-594738689.jpg', 'path': 'full/6eb351cce851b49eda255738b2917cf6401e488c.jpg', 'checksum': 'f38d32ceee54f085fd1251a6e3b2f2e0'}]"
656196433,1,seamless+pattern+beautiful,vector,nannastudio,sketched flower print in bright colors - seamless background,"flower,pattern,floral,seamless,vector,print,spring,background,sketch,vintage,cute,summer,daisy,orange,fashion,fabric,retro,ditsy,texture,design,bouquet,bright,pink,wallpaper,blue,meadow,repeat,green,beauty,tile,artistic,60s,feminine,original,petal,blooms,drawing,gazania,gerber,hand drawn,hippie,natural,nature,scribble,textile",https://image.shutterstock.com/image-vector/sketched-flower-print-bright-colors-600w-656196433.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/sketched-flower-print-bright-colors-600w-656196433.jpg', 'path': 'full/53b67065dfd57c081d439b58c102408f68fd28b1.jpg', 'checksum': 'f24f2feaad14aad06ca82ec2b58cb427'}]"
1166522446,1,seamless+pattern+beautiful,vector,Nadezda+Grapes,Vestor seamless pattern with leopards and tropical leaves. Trendy style.,"pattern,animal,leopard,jungle,seamless,tropic,nature,african,print,vector,illustration,tiger,jaguar,fashion,graphic,background,abstract,wildlife,wild,flower,design,wallpaper,cat,safari,art,floral,green,plant,modern,trend,fabric,leaf,color,banana,hipster,line,palm,silhouette,summer,artwork,drawn,tree,zoo,backdrop,beautiful,exotic,textile,trendy,tropical",https://image.shutterstock.com/image-vector/vestor-seamless-pattern-leopards-tropical-600w-1166522446.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vestor-seamless-pattern-leopards-tropical-600w-1166522446.jpg', 'path': 'full/0a9eb34a0eee29566f7b0a078d954c4507692967.jpg', 'checksum': '2a5f97c6549892e9048609628a10f1dc'}]"
124372213,1,seamless+pattern+beautiful,vector,CurlyPat,Vector seamless pattern. Modern floral texture. Repeating abstract background with circles. Graphic stripes with diagonal direction,"pattern,seamless,vector,modern,background,circle,abstract,floral,flower,graphic,bead,flourish,ornament,fabric,repeat,black,fashion,nature,print,fine,art,beauty,design,trendy,element,textile,tile,creative,paper,decor,plant,repetition,ornate,simplicity,wallpaper,image,style,beading,beautiful,chaplet,concepts,continuity,decoration,dots,drawing,elegance,painted,texture,textured,wrapping",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-floral-600w-124372213.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-floral-600w-124372213.jpg', 'path': 'full/fb8dd28772321ea0c7353e4d958f9a240cc17211.jpg', 'checksum': 'd976bc4be318ab0ccfdc155a28cc70aa'}]"
613744082,1,seamless+pattern+beautiful,illustration,chekmareva,Watercolor seamless pattern of spring branches-1,"pattern,flower,seamless,watercolor,floral,vintage,magnolia,spring,romantic,background,print,soft,pastel,victorian,delicate,design,draw,silk,wallpaper,abstract,art,beautiful,blossom,pink,textile,texture,white,bouquet,classic,garden,illustration,leaf,old,summer,artwork,beauty,botanical,bud,chic,colorful,decoration,drawing,elegance,elegant,fabric,feminine,nature,petal,plant,shabby",https://image.shutterstock.com/image-illustration/watercolor-seamless-pattern-spring-branches1-600w-613744082.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/watercolor-seamless-pattern-spring-branches1-600w-613744082.jpg', 'path': 'full/c8b07de8531a63cdc69b4db67c44ad2ff7600263.jpg', 'checksum': '21b3770758085b4946f7f9f66fed0b67'}]"
