id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1708191358,1,seamless+pattern+flora,illustration,Natallia+Novik,Beautiful seamless pattern with tropical leaves and flowers drawn with colored pencils. Retro bright summer background. Jungle foliage illustration. Swimwear botanical design. Vintage exotic print.,"pattern,seamless,botanical,print,wallpaper,abstract,background,beautiful,beauty,bloom,blossom,botany,branch,card,colored,colorful,decoration,design,drawing,element,exotic,fashion,flora,floral,flower,forest,green,hawaii,hawaiian,hibiscus,illustration,invitation,jungle,leaf,natural,nature,palm,paradise,pencil,petal,plant,plumeria,spring,summer,trendy,tropic,tropical,vintage,watercolor,wedding",https://image.shutterstock.com/image-illustration/beautiful-seamless-pattern-tropical-leaves-600w-1708191358.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/beautiful-seamless-pattern-tropical-leaves-600w-1708191358.jpg', 'path': 'full/f364fdfbd99acb7edc08a484b8a456dc8fc574d3.jpg', 'checksum': '822197a790f8e5542d748a0d068bd457'}]"
112782304,1,seamless+pattern+flora,vector,CurlyPat,vector seamless pattern. floral stylish background,"pattern,seamless,vector,leaf,floral,flower,modern,branch,background,abstract,vintage,retro,black,wall,decor,tile,carpet,texture,graphic,paper,flora,ornate,classic,design,wallpaper,art,element,fashion,illustration,old,silk,trendy,backdrop,beauty,curve,decoration,decorative,elegance,fashioned,floral pattern,flourish,graphically,natural,ornamental,repetition,seamless pattern,style,template,textile,textured",https://image.shutterstock.com/image-vector/vector-seamless-pattern-floral-stylish-600w-112782304.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-floral-stylish-600w-112782304.jpg', 'path': 'full/27313655d180a61788a0aa30c0d41a7dfb3c0a8e.jpg', 'checksum': 'c30e3d37734e604c558e41a322efab2f'}]"
114464266,1,seamless+pattern+flora,vector,demonique,retro green leaves on branches on dark background seamless pattern,"pattern,seamless,wallpaper,garden,background,nature,floral,vector,leaves,vintage,retro,green,abstract,autumn,summer,branch,texture,art,grunge,dark,messy,spring,flora,illustration,round,design,drawing,backdrop,botanical,circles,colorful,dark background,gray,lines,mess,messy background,natural,rows,scratches,season,shape,textile",https://image.shutterstock.com/image-vector/retro-green-leaves-on-branches-600w-114464266.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/retro-green-leaves-on-branches-600w-114464266.jpg', 'path': 'full/caf971fc6029bc28f701f5675ffdd8c4f3ec2893.jpg', 'checksum': '646e4b2a753d859f534147e22aa8f5f3'}]"
1009325977,1,seamless+pattern+flora,vector,Nadezda+Grapes,"Seamless exotic pattern with tropical plants and artistic background. Modern abstract design for paper, cover, fabric, interior decor and other users.","pattern,seamless,print,surf,leaf,watercolor,vector,ethnic,summer,vintage,palm,brush,floral,jungle,beach,exotic,background,design,flora,forest,hawaii,hawaiian,plant,textile,aloha,artistic,brazil,green,hand,hibiscus,illustration,art,asia,beauty,botanical,drawing,fabric,fashion,flowers,gentle,liana,madagascar,nature,painted,south,surfing,trend,tropical,wallpaper,wrapping",https://image.shutterstock.com/image-vector/seamless-exotic-pattern-tropical-plants-600w-1009325977.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-exotic-pattern-tropical-plants-600w-1009325977.jpg', 'path': 'full/a1e9b28b862ac8f3781f5fa3c4ee3d45ddd8660e.jpg', 'checksum': '4c131bb897e5ac361c5277aa834d1354'}]"
1129543958,1,seamless+pattern+flora,vector,nataka,"seamless pattern with coloring  tropical animals  -  vector illustration, eps","animal,pattern,jungle,kid,cute,seamless,monkey,giraffe,lion,illustration,background,flower,tiger,tropical,wild,cartoon,happy,playful,beautiful,flora,nature,parrot,plant,bird,black and white,blossom,botanical,character,cheerful,child,colorful,coloring,exotic,fauna,friendly,fun,funny,garden,hawaii,leaf,liana,mammals,paradise,repeat,season,smiling,summer,texture,zoo",https://image.shutterstock.com/image-vector/seamless-pattern-coloring-tropical-animals-600w-1129543958.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-coloring-tropical-animals-600w-1129543958.jpg', 'path': 'full/b323820ef5ab5d4ece50ea98aa1b7ebd5917882f.jpg', 'checksum': '9302ba8a1eecbf838627f8ec7dcf88c8'}]"
1799405953,1,seamless+pattern+flora,vector,MangataLab,"Cute vector floral seamless pattern. Colorful flowers background. Trendy repeat texture for fashion print, wallpaper or fabric.","pattern,seamless,drawn,fabric,hand,spring,abstract,art,autumn,backdrop,background,beautiful,blossom,botanical,cute,decoration,decorative,design,element,fall,fashion,flora,floral,flower,graphic,illustration,leaf,modern,motif,nature,organic,ornament,paper,petal,plant,poster,print,repeat,retro,style,summer,surface,textile,texture,trendy,tropical,vector,vintage,wallpaper,wrapping",https://image.shutterstock.com/image-vector/cute-vector-floral-seamless-pattern-600w-1799405953.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cute-vector-floral-seamless-pattern-600w-1799405953.jpg', 'path': 'full/989ddf1dec7f8d5e8e5ac7b810d78475760c98e1.jpg', 'checksum': 'd4385985ed8b192996d8ce30747b21bb'}]"
659070148,1,seamless+pattern+flora,vector,berry2046,Abstract vintage composition colorful leaves seamless floral pattern background,"pattern,flower,tropic,floral,abstract,seamless,print,vector,bird,fabric,beach,background,black,leaf,graphic,art,jungle,summer,texture,fashion,plant,shirt,hawaii,palm,paradise,aloha,blue,exotic,beauty,flora,nature,artwork,brazil,wallpaper,design,isolated,painting,textile,blossom,garden,spring,beautiful,colorful,decoration,element,fashionable,green,illustration,trendy,tropical",https://image.shutterstock.com/image-vector/abstract-vintage-composition-colorful-leaves-600w-659070148.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-vintage-composition-colorful-leaves-600w-659070148.jpg', 'path': 'full/97cb8670d565f711ba75502805d46b2a565fbabd.jpg', 'checksum': 'ee0c59dc5705253ff6368f6fb0906e40'}]"
121458481,1,seamless+pattern+flora,vector,oksancia,Set Of Nine Textured Natural Seamless Patterns Backgrounds,"pattern,background,flower,texture,vector,floral,seamless,nature,abstract,summer,line,plant,set,garden,blue,green,pink,art,red,vintage,decor,purple,season,modern,fall,yellow,design,leaf,collection,bubble,berry,element,wallpaper,color,fabric,feather,graphic,ornament,creative,retro,silhouette,nine,backdrop,colorful,decoration,decorative,drawing,illustration,textile",https://image.shutterstock.com/image-vector/set-nine-textured-natural-seamless-600w-121458481.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-nine-textured-natural-seamless-600w-121458481.jpg', 'path': 'full/fa80da4e2766d47303a8edca26df9f5cf37fea2b.jpg', 'checksum': '5ac4c9149f46c6c8035dac5dfe2269a4'}]"
767567506,1,seamless+pattern+flora,vector,MSNTY,Trendy  Floral pattern in the many kind of flowers. Tropical botanical  Motifs scattered random. Seamless vector texture. Printing with in hand drawn style on dark background.,"pattern,floral,vector,seamless,print,texture,background,pink,spring,design,summer,blossom,bloom,fabric,leaf,small,feminine,nature,art,beauty,rose,fashion,flora,garden,textile,color,ditsy,ornament,cute,repeat,retro,little,tile,wallpaper,style,beautiful,elegance,flowers,illustration,painted",https://image.shutterstock.com/image-vector/trendy-floral-pattern-many-kind-600w-767567506.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/trendy-floral-pattern-many-kind-600w-767567506.jpg', 'path': 'full/26ebecbf47f1389e8f98a2230b2249bd128c34f0.jpg', 'checksum': '0fa4a9efde57a3ac8694d7cc8c5cc46a'}]"
1119470465,1,seamless+pattern+flora,vector,MSNTY,"Beautiful garden blooming flower in many kind of floral seasonal seamless pattern vector ,hand drawing style for fashion, fabric and all prints in cute green mint background.","floral,pattern,seamless,repeat,garden,vector,print,illustration,vintage,abstract,small,ditsy,ornament,rose,summer,texture,drawing,pink,spring,background,cute,little,plant,retro,wallpaper,beautiful,beauty,bloom,blossom,botanical,color,decoration,elegance,fashion,flora,flowers,graphic,leaf,nature,style,sweet",https://image.shutterstock.com/image-vector/beautiful-garden-blooming-flower-many-600w-1119470465.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beautiful-garden-blooming-flower-many-600w-1119470465.jpg', 'path': 'full/7df85eb1e4fb9f5b1ab00b12923d33def30ece2c.jpg', 'checksum': 'b13a8d6e0c96be518f1fdd1266ea605d'}]"
