id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
493004449,1,seamless+pattern+hipster,vector,subbery,Abstract seamless elements hipster pattern with brush strokes,"pattern,paint,abstract,hipster,organic,geo,vector,splash,shape,modern,art,expressive,texture,splatter,stain,color,line,artistic,fun,retro,tile,music,pink,stylish,trendy,arty,backdrop,chevron,contemporary,creative,element,simplicity,wallpaper,artist,artwork,cover,cross,decorative,ditsy,drawing,fabric,fashionable,form,hatch,invitations,invite,striped,stripes,textile,wear",https://image.shutterstock.com/image-vector/abstract-seamless-elements-hipster-pattern-600w-493004449.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-elements-hipster-pattern-600w-493004449.jpg', 'path': 'full/76b80f3dc17484e4058717e6e0140c72e3a9557a.jpg', 'checksum': 'dd84b49a8d0ccd735931e6b5dccba1c7'}]"
1134617462,1,seamless+pattern+hipster,vector,Yngvarr,"Abstract geometric seamless pattern. Graphic vector. Racing background for vinyl wrap and decal. Grunge, neon texture pattern. Sports textile. Fashion military.","pattern,sport,abstract,background,seamless,grunge,texture,geometric,extreme,line,graphic,black,modern,illustration,print,cloth,fabric,urban,art,retro,simple,stripe,textile,shape,color,monochrome,triangle,wallpaper,white,dot,geometry,fashion,halftone,hipster,backdrop,colorful,cover,creative,decor,decoration,decorative,element,ornament,repeat,style,template,tile,trendy",https://image.shutterstock.com/image-vector/abstract-geometric-seamless-pattern-graphic-600w-1134617462.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-geometric-seamless-pattern-graphic-600w-1134617462.jpg', 'path': 'full/d0e2a12d5772703a69d8ac6a683c92876b390531.jpg', 'checksum': 'bef3b2459b5449bdde44afd6f3a28d89'}]"
613822247,1,seamless+pattern+hipster,vector,ExpressVectors,Collection of swatches memphis patterns - seamless. Fashion 80-90s. Black and white mosaic textures.,"background,vector,memphis,modern,graphic,abstract,line,shape,seamless,fashion,fun,design,geometric,black,frame,pop,90s,style,draw,simple,trendy,element,retro,hipster,art,decor,web,website,creative,funky,vintage,set,cool,80s,artistic,mosaic,collection,concept,stylish,wallpaper,template,cloth,curve,decoration,decorative,illustrations,patterns,stripes,swatches,texture",https://image.shutterstock.com/image-vector/collection-swatches-memphis-patterns-seamless-600w-613822247.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collection-swatches-memphis-patterns-seamless-600w-613822247.jpg', 'path': 'full/70a851082d3c272f4ae1c681053b99ee2c8b4060.jpg', 'checksum': '02455358a89285b66efa3d5875f363de'}]"
753892885,1,seamless+pattern+hipster,vector,ExpressVectors,Collection of memphis seamless patterns. Fashion 80-90s. You can find seamless backgrounds in swatches panel.,"pattern,texture,seamless,memphis,background,80s,graphic,minimal,simple,90s,modern,trendy,collection,print,retro,shape,style,curve,hipster,stylish,website,black,cloth,contemporary,decoration,design,fashion,web,artistic,backdrop,beige,concept,cover,creative,decor,element,fabric,lines,monochrome,mosaic,repeat,retro 80s,set,stripes,template,vector illustration,wallpaper,wrapping paper",https://image.shutterstock.com/image-vector/collection-memphis-seamless-patterns-fashion-600w-753892885.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collection-memphis-seamless-patterns-fashion-600w-753892885.jpg', 'path': 'full/ef59ad7b9d118848d27e95c57d066db26fc84d1e.jpg', 'checksum': '9e6408a44f8c13075154e1bcfa61b668'}]"
496258075,1,seamless+pattern+hipster,vector,ychty,"Seamless abstract colorful striped pattern. Endless pattern can be used for ceramic tile, wallpaper, linoleum, textile, web page background.","pattern,wallpaper,vintage,background,geometric,seamless,wall,retro,paper,vector,texture,abstract,line,design,shabby,chic,print,tile,ceramic,irregular,brown,diagonal,old,tweed,beige,illustration,interior,zigzag,decoration,art,blue,hipster,trend,grunge,package,style,corporate,graphic,red,template,backdrop,fashion,flecked,mottled,turquoise,wrapping,artistic,colorful,decorative,stripes,textile,tracery",https://image.shutterstock.com/image-vector/seamless-abstract-colorful-striped-pattern-600w-496258075.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-abstract-colorful-striped-pattern-600w-496258075.jpg', 'path': 'full/931b7fc28fa828afbdf4d9c4e67042f8590fb04f.jpg', 'checksum': '600cc18b9b4da77759d1d57d7ba7647f'}]"
509261530,1,seamless+pattern+hipster,vector,Chernushka,Tribal seamless colorful geometric pattern. Ethnic vector texture.Traditional ornament.,"pattern,aztec,mexican,seamless,ethnic,native,american,vector,indian,tribal,texture,geometric,hipster,mexico,fabric,zigzag,peruvian,rug,navajo,art,background,maya,culture,design,indigenous,tribe,abstract,peru,apache,motif,modern,textile,fashion,illustration,pagan,traditional,decoration,element,ornament,primitive,trendy,wallpaper,backdrop,colorful,decor,graphic,national,paper,repeating,rhombus",https://image.shutterstock.com/image-vector/tribal-seamless-colorful-geometric-pattern-600w-509261530.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tribal-seamless-colorful-geometric-pattern-600w-509261530.jpg', 'path': 'full/13dc0303e8cd1fa35a91ac8cd397d782fd8f5ef2.jpg', 'checksum': '096a6c594ef58588026839f640c23e73'}]"
1087911968,1,seamless+pattern+hipster,vector,ngupakarti,Seamless trendy arrow pattern. Black and white arrows with modern scandinavian style.,"pattern,seamless,aztec,hipster,arrow,vector,ethnic,cute,ornament,print,vintage,abstract,art,background,black,bohemian,fun,geometric,kids,line,simple,texture,white,backdrop,decor,decoration,design,doodle,drawing,drawn,element,endless,fabric,graphic,hand,illustration,modern,ornate,paper,repeat,retro,scandinavia,sketch,stripes,style,textile,trendy,wallpaper,wedding,wrapping",https://image.shutterstock.com/image-vector/seamless-trendy-arrow-pattern-black-600w-1087911968.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-trendy-arrow-pattern-black-600w-1087911968.jpg', 'path': 'full/40f37ef6dc9e48eb9cd1d98386d37669917a3c81.jpg', 'checksum': '485c9c9042d310d772ae631900aadc6c'}]"
613919567,1,seamless+pattern+hipster,vector,VasilkovS,"Seamless pattern Tropical birds, palms, flowers, triangles. Grunge ink style. Artistic creative universal floral pattern. Hand Drawn textures. Design poster, card, textile, print. Vector Illustration.","pattern,seamless,flower,geometric,black,abstract,vector,tropical,white,art,background,funky,summer,floral,line,modern,print,beach,illustration,leopard,paint,texture,nature,hipster,triangle,design,exotic,fashion,grunge,leaf,memphis,palm,silhouette,backdrop,bird,card,decorative,dots,fabric,graphic,hand drawn,ink,party,poster,shape,striped,stripes,style,tree,tropic",https://image.shutterstock.com/image-vector/seamless-pattern-tropical-birds-palms-600w-613919567.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-tropical-birds-palms-600w-613919567.jpg', 'path': 'full/d590986f9e5e43431b034b456fafdf61f7e9b3f9.jpg', 'checksum': 'ce666cc1529411426c22fb84524ef1a9'}]"
137415362,1,seamless+pattern+hipster,vector,AlexVV,retro curves seamless pattern with grunge effect,"pattern,seamless,retro,vintage,vector,geometric,texture,hipster,curve,red,swirl,line,abstract,background,fabric,wave,modern,paper,yellow,graphic,illustration,ornament,shape,tile,antique,grunge,art,wallpaper,wedding,beautiful,design,elegant,lace,repeat,style,curl,decor,gothic,silhouette,wrapping,drawing,ornate,white,backdrop,brown,creative,decoration,image,textile,twill",https://image.shutterstock.com/image-vector/retro-curves-seamless-pattern-grunge-600w-137415362.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/retro-curves-seamless-pattern-grunge-600w-137415362.jpg', 'path': 'full/ffda06762ece84b32edbea19cb6ddcb9259aeaad.jpg', 'checksum': '4c8025639cb22ca39307a651c894fd54'}]"
520820620,1,seamless+pattern+hipster,vector,CurlyPat,Vector seamless pattern. Modern stylish texture. Repeating geometric background with linear rhombuses and filled triangles in nodes. Trendy hipster sacred geometry.,"pattern,texture,background,seamless,grid,geometric,modern,design,vector,graphic,hexagon,line,lattice,abstract,tile,rhombus,wallpaper,hipster,ornament,simple,repeat,linear,fine,textile,infinity,knot,template,tileable,fabric,ornate,print,regular,sacred,structure,trellis,decor,monochrome,backdrop,decoration,endless,geometrical,geometry,graphical,node,recurring,sample,swatch,textured,tiling,tracery",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-520820620.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-520820620.jpg', 'path': 'full/9f394086b3d782ef1c213d5ce64a6e5405304efa.jpg', 'checksum': 'a64e408b51dfb3f7c53d552dce71b543'}]"
