id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1474614581,1,seamless+pattern+folk,vector,Kuvshinova+Nadezhda,"Garden flower, plants ,botanical ,seamless pattern vector design for fashion,fabric,wallpaper and all prints on green mint background color. Cute pattern in small flower. Small colorful flowers.","flower,pattern,floral,vector,cute,background,seamless,abstract,print,design,plant,spring,summer,modern,small,blue,ditsy,wild,decorative,ornament,tiny,white,leaf,nature,pink,fabric,textile,fashion,garden,pretty,retro,texture,vintage,wallpaper,folk,gift,repeat,amazing,beautiful,blossom,botanical,color,dark,decoration,elegant,exotic,illustration,little,simple,wrap",https://image.shutterstock.com/image-vector/garden-flower-plants-botanical-seamless-600w-1474614581.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/garden-flower-plants-botanical-seamless-600w-1474614581.jpg', 'path': 'full/140e95d934cec161a6c7b6df56883a7271ed24f8.jpg', 'checksum': '7e22cf9d52780189d88c01ada6634b3b'}]"
1506097739,1,seamless+pattern+folk,illustration,olgers,"Tie dye shibori seamless pattern. Watercolor hand painted indigo blue navy ornamental elements on white background. Watercolour contemporary art. Print for textile, fabric, wallpaper, wrapping paper.","dye,tie,tye,pattern,seamless,tiedye,navy,blue,background,fabric,indigo,batik,japanese,watercolor,white,print,retro,texture,ornament,repeat,china,dots,hippie,ink,textile,watercolour,wave,abstract,bed,cloth,clothing,design,dyed,fashion,folk,geometrical,handmade,hippy,illustration,material,natural,old,optical,paint,shibori,stain,swimwear,tie-dye,tile,wallpaper",https://image.shutterstock.com/image-illustration/tie-dye-shibori-seamless-pattern-600w-1506097739.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/tie-dye-shibori-seamless-pattern-600w-1506097739.jpg', 'path': 'full/8db008113ea60c838ed4d2529f90e597cf8e3245.jpg', 'checksum': '0e31bec2556fde362fc5476647eba1d1'}]"
1507027055,1,seamless+pattern+folk,illustration,olgers,"Tie dye shibori seamless pattern. Watercolor hand painted indigo black colored circle elements on white background. Watercolour abstract texture. Print for textile, fabric, wallpaper, wrapping paper.","dye,tie,pattern,seamless,tye,black,circle,shibori,print,retro,texture,color,japanese,repeat,watercolor,white,abstract,background,design,fashion,hippie,psychedelic,textile,backdrop,bed,china,cloth,clothes,clothing,decoration,dyed,fabric,folk,geometrical,hippy,indigo,indonesian,ink,material,minimalism,natural,optical,ornament,paint,stains,tie dye,tie-dye,tile,traditional,watercolour",https://image.shutterstock.com/image-illustration/tie-dye-shibori-seamless-pattern-600w-1507027055.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/tie-dye-shibori-seamless-pattern-600w-1507027055.jpg', 'path': 'full/9b2593b35d82c7fe0d08420f754eff9ecef7e3b8.jpg', 'checksum': 'a88e43f6d160aeaae0f82d246d4f9ca4'}]"
1365250058,1,seamless+pattern+folk,vector,cepera,Abstract Houndstooth Checked Variegated Stroke Textured Background. Seamless Pattern.,"pattern,texture,abstract,fabric,seamless,geometric,vector,line,motif,print,navy,design,vintage,cloth,ethnic,irregular,retro,background,bold,broken,graphic,modern,stroke,surface,traditional,wallpaper,zigzag,decorative,dress,fashion,folk,intricate,mottled,rough,tile,wrapping,backdrop,card,checked,cover,grain,hounds tooth,imperfect,striped,template,textile,textured,tracery,variegated,white",https://image.shutterstock.com/image-vector/abstract-houndstooth-checked-variegated-stroke-600w-1365250058.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-houndstooth-checked-variegated-stroke-600w-1365250058.jpg', 'path': 'full/09d728f74052c3781a717fe1f7f0c28edda3afbe.jpg', 'checksum': '88ee0a256db3f66ca62649b393beb9a5'}]"
330656156,1,seamless+pattern+folk,vector,markovka,Seamless vector tribal texture set. Tribal seamless texture. Vintage ethnic seamless backdrop. Boho stripes. Striped vintage boho fashion style pattern background with tribal shape elements.,"pattern,seamless,tribal,boho,ethnic,set,mexican,vector,creative,india,fashion,backdrop,hippie,wallpaper,graphic,abstract,decorative,folk,native,ornament,silk,background,drawing,lace,oriental,retro,slavic,trendy,triangle,decor,decoration,doodle,fabric,fills,folkloric,gift,multicolor,multicolored,orient,repeating,scrapbooking,striped,stripes,template,tile,tiled,tiling,traditional,wrapping",https://image.shutterstock.com/image-vector/seamless-vector-tribal-texture-set-600w-330656156.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-tribal-texture-set-600w-330656156.jpg', 'path': 'full/ec6f0a76c1df79e144a28a3bd8cb72142009d298.jpg', 'checksum': '13c0f602ce5636af8d811bfe8dcdee57'}]"
1876520539,1,seamless+pattern+folk,vector,oking,"Ikat geometric folklore ornament with diamonds. Tribal ethnic vector texture. Seamless striped pattern in Aztec style. Folk embroidery. Indian, Scandinavian, Gypsy, Mexican, African rug. ","abstract,african,gypsy,indian,seamless,stripes,swimwear,art,asia,asian design,aztec,background,batik,bohemian,boho,border,brush,carpet,chevron,creative,diamonds,dye,embroidery,ethnic nativity,fabric,fashion,geo,geometric,ikat pattern,indonesian,japanese,mexican,organic,paint,patchwork,print,rug,scandinavian,shibori,squares,texture,tibetan,tie,tribal,vector,watercolor,watercolour,wave,woven",https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-diamonds-600w-1876520539.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-diamonds-600w-1876520539.jpg', 'path': 'full/f7b46bae0b7a851942219f15e7477a1dfa888454.jpg', 'checksum': '24a064e96854bc53d6700c7f75ef9d31'}]"
429751273,1,seamless+pattern+folk,vector,Primsky,"Day of The Dead colorful sugar skull with floral ornament and flower seamless pattern
","skull,pattern,sugar,dead,day,seamless,tattoo,vector,flower,mexican,rose,background,halloween,old,school,art,floral,pop,vintage,horror,design,mexico,party,mask,gothic,classic,motif,ornament,rock,skeleton,festival,head,swirl,costume,decorative,folk,november,ornate,traditional,celebration,colorful,creepy,culture,decoration,holiday,illustration,skool,spooky,symbol,zombie",https://image.shutterstock.com/image-vector/day-dead-colorful-sugar-skull-600w-429751273.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/day-dead-colorful-sugar-skull-600w-429751273.jpg', 'path': 'full/2bdbbff4697343e995ec7de0f9a0510d1e28beed.jpg', 'checksum': '6cd76c4db1e4c05b4ace5c9d7e0fbc65'}]"
1527925172,1,seamless+pattern+folk,vector,MirgoGrafiks,Hand drawn seamless vector pattern with cute cat sugar skulls and flowers on black background. Perfect for fabric or wrapping paper. ,"halloween,pattern,seamless,skull,vector,cute,print,autumn,background,cartoon,creepy,floral,flower,fun,graphic,scary,child,childish,children,dead,death,design,drawing,endless,fabric,fantasy,folk,frightening,ghostly,girl,hand drawn,happy,head,heart,holiday,holidays,horror,illustration,kids,october,ornament,repeat,repetitive,seasonal,skeleton,spooky,sugar skull,symbol,textile,wallpaper",https://image.shutterstock.com/image-vector/hand-drawn-seamless-vector-pattern-600w-1527925172.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawn-seamless-vector-pattern-600w-1527925172.jpg', 'path': 'full/30289fc03963af61f3374dcd95797507596fd6d0.jpg', 'checksum': '0b3a870c6e6da0244b68ff1dc5b48f45'}]"
626194997,1,seamless+pattern+folk,vector,Vialeta+Novik,Vector tie dye seamless pattern. Hand drawn shibori print with stripes. Ink textured japanese background.  ,"pattern,texture,stripe,japanese,seamless,background,watercolor,fabric,vector,organic,print,japan,indigo,rustic,shibori,batik,modern,paint,abstract,watercolour,tie,brush,design,dye,tile,blue,ornament,china,cotton,material,surface,cloth,ink,psychedelic,bed,fashion,folk,kimono,retro,geometrical,hippie,indonesian,kaleidoscope,minimalism,natural,old-fashioned,optical,swimwear,textile,traditional",https://image.shutterstock.com/image-vector/vector-tie-dye-seamless-pattern-600w-626194997.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-tie-dye-seamless-pattern-600w-626194997.jpg', 'path': 'full/5cd8e7a30edd28c6d47bbdba97e99ba3ce94ece5.jpg', 'checksum': 'e67a6a0cf0e311ea985abe813ecb4273'}]"
1807397533,1,seamless+pattern+folk,vector,annandpen,Floral pattern. Pretty flowers on white background. Printing with small flowers. Ditsy print. Seamless vector texture. Spring bouquet.,"pattern,ditsy,floral,flower,seamless,small,meadow,pretty,garden,little,motif,background,calico,chamomile,country-style,cute,daisy,design,elegant,fabric,fashion print,field,floral pattern,folk,fond,gentle,gift wrap,leaf,liberty,millefleurs,modern,ornament,random,repeat,retro,romantic,rustic chic,shabby chic,simple,simplicity,spring,summer,surface,textile,texture,tiny,vector illustration,vintage,wallpaper,wild flowers",https://image.shutterstock.com/image-vector/floral-pattern-pretty-flowers-on-600w-1807397533.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-pattern-pretty-flowers-on-600w-1807397533.jpg', 'path': 'full/54f2ed40113cb033bce359e01352a0e1409c340b.jpg', 'checksum': '10c0cccfc020f202f11e265409b27b25'}]"
