id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
121700632,1,seamless+pattern+ikat,vector,stuckmotion,Seamless retro background in modern ikat pattern,"pattern,seamless,retro,damask,yellow,background,diamond,fashion,geometric,vintage,fabric,design,print,simple,texture,color,geometry,classic,wallpaper,graphic,traditional,material,cotton,emerald,backdrop,delicate,diagonal,screen,style,twill,wear,abstract background,beautiful,clothes,clothing,elegant,fabric print,fashion accessories,net,old,ornament paper,paper texture,phone case,repeating,retro modern,symmetry,textile,textile print,veil,vintage wallpaper",https://image.shutterstock.com/image-vector/seamless-retro-background-modern-ikat-600w-121700632.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-retro-background-modern-ikat-600w-121700632.jpg', 'path': 'full/ea4f4f36a8cff81d90196b4f1d27e3b13aa42f6e.jpg', 'checksum': '7f8c2087db97073f4674e718df4fbdf7'}]"
1801386268,1,seamless+pattern+ikat,vector,oking,"Ikat geometric folklore ornament with diamonds. Damask rug. Tribal ethnic vector texture. Persian geo print. Seamless pattern in Aztec style. Folk embroidery. Gypsy, Mexican, African print. ","abstract,african,art,asia,asian design,aztec,background,batik,bohemian,boho,border,brush,carpet,chevron,creative,damask,diamonds,dye,embroidery,ethnic nativity,fabric,fashion,geo,geometric,gypsy,ikat pattern,indian,indonesian,japanese,mexican,organic,paint,patchwork,persian,print,rug,scandinavian,seamless,shibori,squares,stripes,swimwear,texture,tibetan,tie,tribal,vector,watercolor,wave,woven",https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-diamonds-600w-1801386268.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-diamonds-600w-1801386268.jpg', 'path': 'full/951e8c00c36e5f89f14fdd9d8a06d66078be1444.jpg', 'checksum': '4dcafa64cb715d42d2fcc2dfe2459e28'}]"
1484594015,1,seamless+pattern+ikat,vector,oking,"Ikat geometric folklore ornament. Oriental vector damask pattern. Ancient art of Arabesque. Tribal ethnic texture. Spanish motif on the carpet. Aztec style. Indian rug. Gypsy, Mexican embroidery.","background,ikat,seamless,damask,ethnic,gypsy,traditional,vintage,american,ancient art,arabesque,aztec,batik,boho,chevron,cute,decoration,design,endless,flower,folk,folklore pattern,geo,geometric,hipster,indian rug,jacquard,medallion,mexico,moroccan,motif,native,navajo,oriental vector,ottoman,paisley,patchwork,persian,peru,renaissance prints,repeat,scandinavian embroidery,south,textile,texture,tribal,turkish,victorian wallpaper,zag,zig",https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-oriental-600w-1484594015.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-oriental-600w-1484594015.jpg', 'path': 'full/27ed222909ba2c225f6c3917e518260dfef041c8.jpg', 'checksum': '0114afe9617d0e603826f471d89d1f1a'}]"
468898028,1,seamless+pattern+ikat,vector,Slanapotam,"Seamless geometric pattern, based on ikat fabric style. Vector illustration.","pattern,ikat,seamless,traditional,damask,fabric,geometric,uzbek,vector,textile,pillow,diamond,ethnic,abstract,decor,cloth,design,ikkat,indian,texture,arabic,background,geometry,old,ornament,samarkand,silk,tile,uzbekistan,vintage,yellow,asian,clothing,cotton,curtain,decoration,eastern,fashion,folk,gray,home,material,ogee,oriental,ornamental,repeat,retro,style,upholstering,wallpaper",https://image.shutterstock.com/image-vector/seamless-geometric-pattern-based-on-600w-468898028.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-geometric-pattern-based-on-600w-468898028.jpg', 'path': 'full/55e624cf3b2de60e4f9cb2bef0a8c37682ce678d.jpg', 'checksum': 'a8dc58b142dbe23c651f2eb3abd0fff9'}]"
1170289525,1,seamless+pattern+ikat,vector,MChristyani,"IKAT Digital Seamless Pattern, traditional ikat fabric weaving technique ","ikat,seamless,texture,wallpaper,abstract,background,bali,batik indonesia,batik pattern,colorful pattern,decor,design,ethnic,fabric,illustration,indonesia,indonesian food,modern,repeat pattern,textile,traditional pattern,tribal",https://image.shutterstock.com/image-vector/ikat-digital-seamless-pattern-traditional-600w-1170289525.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ikat-digital-seamless-pattern-traditional-600w-1170289525.jpg', 'path': 'full/6172d6ba5b76cdeaae70206541090da857a60082.jpg', 'checksum': 'db60821e5ccc878c3e9a81bc8e82b889'}]"
1177387285,1,seamless+pattern+ikat,illustration,Vialeta+Novik,Boho kaleidoscope abstract seamless pattern. Pink red ethnic texture. Watercolor bohemian moroccan print. Swimwear watercolour abstract tie dye interior print. Brushstroke hand drawn backdrop,"watercolor,abstract,seamless,pattern,print,kaleidoscope,ethnic,ikat,dye,geometric,neon,pink,boho,design,interior,moroccan,paint,red,splash,texture,tie,graffiti,hipster,monochrome,splatter,swooshes,brochure,chevron,cold,drawn,glass,gouache,hand,ink,linear,lines,messy,native,ornament,ornate,painted,spatter,spots,stain,stroke,stylish,swimwear,swoosh,vibrant,winter",https://image.shutterstock.com/image-illustration/boho-kaleidoscope-abstract-seamless-pattern-600w-1177387285.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/boho-kaleidoscope-abstract-seamless-pattern-600w-1177387285.jpg', 'path': 'full/59550bafa30508aa19f4d64893e7de09fe9e6f18.jpg', 'checksum': '3561fa69ca2c293ec426f3ac51d4b780'}]"
1757918978,1,seamless+pattern+ikat,vector,arinka,Seamless embroidered pattern in bohemian style. Geometric print patchwork for textiles. Handwork. Ethnic and tribal motifs. Vector illustration.,"pattern,carpet,geometric,ikat,modern,patchwork,abstract,african,antique,arabesque,art,aztec,background,batik,bohemian,boho,chevron,colorful,damask,design,embroidery,ethnic,fabric,fashion,hand,jacquard,luxury,mexican,mexico,ogee,ornament,ornate,ottoman,persian,print,repeat,retro,royal,rug,seamless,stitch,textile,texture,tile,tribal,turkish,vector,victorian,vintage,wallpaper",https://image.shutterstock.com/image-vector/seamless-embroidered-pattern-bohemian-style-600w-1757918978.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-embroidered-pattern-bohemian-style-600w-1757918978.jpg', 'path': 'full/394b4908c4d9c78ca70d6a79f2a9e5c04e75b50b.jpg', 'checksum': '614d3c77d50d75201e1d1601764058d2'}]"
398037661,1,seamless+pattern+ikat,vector,Mariya+Leonenko,Seamless Ikat Ogee Background Pattern Wallpaper,"ikat,seamless,pattern,aztec,home,invitation,summer,abstract,accessory,arabic,autumn,backdrop,background,decor,design,elegant,ethnic,fabric,fall,fashion,fur,geometric,indian,mexican,mexico,navajo,old,ornament,paper,phone,print,retro,scrapbooking,spring,style,template,textile,texture,traditional,vintage,wedding,wrapping,zag,zig",https://image.shutterstock.com/image-vector/seamless-ikat-ogee-background-pattern-600w-398037661.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-ikat-ogee-background-pattern-600w-398037661.jpg', 'path': 'full/013c12c803e6906876879a7dd98c1d703a8fa93b.jpg', 'checksum': 'fccf48b40347a6fc077a40fd78959941'}]"
402489049,1,seamless+pattern+ikat,vector,yulianas, seamless pattern Tribal Art  Ikat Ogee in traditional classic blue and white colors,"ikat,pattern,print,geometric,ethnic,traditional,tribal,abstract,blue,fabric,winter,texture,aztec,background,pillow,retro,textile,card,design,fashion,fur,indian,navajo,style,summer,wallpaper,accessory,arabic,autumn,backdrop,birthday,case,curtains,decor,elegant,fall,home,invitation,ogee,old,paper,phone,scrapbooking,spring,template,wedding,wrapping,zag,zig",https://image.shutterstock.com/image-vector/seamless-pattern-tribal-art-ikat-600w-402489049.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-tribal-art-ikat-600w-402489049.jpg', 'path': 'full/d9c0ed0d7f5177a7c2bcc0be57309ee9a1722974.jpg', 'checksum': 'fdf1c09698b236d74e633881d6632497'}]"
1676716996,1,seamless+pattern+ikat,vector,ChoChe,Bright Chevron Bohemian Vector Seamless Pattern. Arabic Tie Dye Print. Japan Retro Tile Wallpaper. Yellow Fashion Navajo Design.,"seamless,geometric,abstract,african,arabic,aztec,background,batik,black,bohemian,boho,border,bright,brush,chevron,design,dye,ethnic,fabric,fashion,geo,gray,ikat,indigenous,indonesian,japanese,morocco,navajo,ogee,organic,oriental,ornament,paint,pattern,print,repeat,retro,shibori,strip,stripy,textile,texture,tie,traditional,tribal,vector,vintage,wallpaper,watercolor,yellow",https://image.shutterstock.com/image-vector/bright-chevron-bohemian-vector-seamless-600w-1676716996.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/bright-chevron-bohemian-vector-seamless-600w-1676716996.jpg', 'path': 'full/1f0598443ac33f10fefa2ae8251512b78e59807a.jpg', 'checksum': '581cadb4ce140d34270d98466b154aeb'}]"
401886256,1,seamless+pattern+ikat,vector,Zawada+chin,"Geometric ethnic oriental ikat pattern traditional Design for background,carpet,wallpaper,clothing,wrapping,Batik,fabric,Vector illustration.embroidery style.","pattern,ikat,ethnic,batik,fabric,seamless,boho,geometric,design,embroidery,tribal,vector,vintage,tile,african,texture,retro,background,carpet,geometry,repeat,abstract,textile,triangle,wallpaper,diagonal,decorative,element,morocco,ornament,square,style,zigzag,antique,clothing,wrapping,backdrop,beautiful,concept,handcraft,horizontal,mandalas,motif,ornamental,regular,repetitive,traditional,vertical",https://image.shutterstock.com/image-vector/geometric-ethnic-oriental-ikat-pattern-600w-401886256.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/geometric-ethnic-oriental-ikat-pattern-600w-401886256.jpg', 'path': 'full/dc242b2d56ef9429f403909dd324a46a06cf81a9.jpg', 'checksum': '36eccae861e2396dbb77fafb8235f953'}]"
1122581138,1,seamless+pattern+ikat,vector,aunaauna,"Tribal seamless pattern. Black and white vector illustration. Ethnic print can be used for textile, background, wallpaper and wrapping paper.","pattern,ikat,seamless,ethnic,black,white,abstract,background,boho,cover,decor,design,fashion,graphic,print,rug,seamless pattern,textile,texture,tile,tribal,vector,wallpaper,wrapping",https://image.shutterstock.com/image-vector/tribal-seamless-pattern-black-white-600w-1122581138.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tribal-seamless-pattern-black-white-600w-1122581138.jpg', 'path': 'full/8efd829e1c7c0699c9582948dcaafc9f6929cfbf.jpg', 'checksum': 'cd5c4bf96a04acee25e2d820787c2957'}]"
1361518445,1,seamless+pattern+ikat,vector,oking,"Ikat geometric folklore ornament with diamonds. Tribal ethnic vector texture. Seamless striped pattern in Aztec style. Folk  embroidery. Indian, Scandinavian, Gypsy, Mexican, African rug. ","abstract,seamless,watercolor,bohemian,fabric,background,border,tribal,batik,geo,gypsy,rug,vector,african,geometric,mexican,organic,paint,art,brush,carpet,chevron,indian,indonesian,print,shibori,asia,asian design,aztec,boho,creative,diamonds,dye,embroidery,ethnic nativity,fashion,hand,ikat pattern,japanese,patchwork,scandinavian,squares,stripes,swimwear,texture,tibetan,tie,watercolour,wave,woven",https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-diamonds-600w-1361518445.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-diamonds-600w-1361518445.jpg', 'path': 'full/ef1f78f34b18192b3e137b9ed0ec630bae08c15a.jpg', 'checksum': 'd3250136809fb855e03b032c3fe6c3d9'}]"
1162604686,1,seamless+pattern+ikat,vector,Evgladysh,Geometrical abstract seamless pattern with decorative ethnic ornament. Oriental motif ornate background. Tribal geometric wallpaper. Fashion ikat textile design. Vector illustration,"pattern,ikat,indian,seamless,art,blue,folk,aztec,backdrop,background,batik,bohemian,boho,border,carpet,ceramic tile,chevron,cloth,cotton,creative,curtain,decor,denim,design,elegant,element,embroidery,ethnic,fabric,floral,flower,graphic,hand drawn,indigo,interior,minimalism,organic,ornamental,paper,persian,print,repeat,retro style,rhombus,silk,template,texture,traditional,vector,vintage",https://image.shutterstock.com/image-vector/geometrical-abstract-seamless-pattern-decorative-600w-1162604686.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/geometrical-abstract-seamless-pattern-decorative-600w-1162604686.jpg', 'path': 'full/7761013284e772ee8973f15b41135e9cdbd34286.jpg', 'checksum': 'd16084eeb4fc7240becdbdcfce105fbc'}]"
1523718407,1,seamless+pattern+ikat,vector,Babylon+Style,Leopard pattern. Textile seamless design.,"pattern,print,ikat,geometric,leopard,animal,seamless,abstract,skin,camouflage,colorful,safari,textile,african,black,cat,orange,vector,coat,design,fur,illustration,retro,texture,africa,african pattern,backdrop,background,decor,decoration,exotic,fabric,fashion,graphic,home,jungle,leather,leopard print,luxury,nature,panther,paper,repeat,surface,tile,trendy,wallpaper,wild,wildlife,wrapping",https://image.shutterstock.com/image-vector/leopard-pattern-textile-seamless-design-600w-1523718407.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/leopard-pattern-textile-seamless-design-600w-1523718407.jpg', 'path': 'full/2207090a976bfb846fd78c10663befc5bb8a7168.jpg', 'checksum': 'f8d5450111887d766b683d56ba27f96c'}]"
437565355,1,seamless+pattern+ikat,vector,yulianas,Seamless pattern Tribal Art Ikat Ogee in traditional classic blue and white colors. Boho style.,"pattern,boho,ikat,tribal,fabric,texture,aztec,blue,geometric,winter,ethnic,fall,home,navajo,print,summer,abstract,background,design,ogee,wedding,accessory,autumn,case,decor,elegant,old,spring,style,template,arabic,backdrop,birthday,card,curtains,fashion,indian,invitation,paper,phone,pillow,retro,scrapbooking,textile,traditional,wallpaper,wrapping,zag,zig",https://image.shutterstock.com/image-vector/seamless-pattern-tribal-art-ikat-600w-437565355.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-tribal-art-ikat-600w-437565355.jpg', 'path': 'full/85909091b395f17f58862f8614f4c6ee6c591df7.jpg', 'checksum': '1769116bd9c23d2582cc57e96ad722c9'}]"
1688201893,1,seamless+pattern+ikat,vector,aunaauna,"Abstract ikat seamless pattern. Tribal background. Black and white design for fashion fabrics, wallpaper, prints.","abstract,background,black,bohemian,chevron,cover,design,ethnic,fabric,fashion,ikat,ornament,pattern,print,rug,seamless,textile,tribal,vector,wallpaper,white,zigzag",https://image.shutterstock.com/image-vector/abstract-ikat-seamless-pattern-tribal-600w-1688201893.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-ikat-seamless-pattern-tribal-600w-1688201893.jpg', 'path': 'full/14c30fe38ebfa49820ac7be94c391fcff708b17c.jpg', 'checksum': 'eb3e8b542002e93d9e3537a5617f26ba'}]"
