id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1211328580,1,seamless+pattern+abstract,vector,Ezhevika,Set of Geometric seamless patterns. Abstract geometric  hexagonal  graphic design print 3d cubes pattern. Seamless  geometric cubes pattern.,"pattern,geometric,background,seamless,vector,wallpaper,texture,modern,line,set,graphic,design,grid,vintage,abstract,repeat,tile,simple,shape,triangle,decor,square,ornament,hexagon,fabric,retro,block,3d,cube,structure,stripe,black,mosaic,cubic,element,optical,cover,print,stylish,style,template,wrapping,artistic,concept,creative,backdrop,decoration,decorative,geometry,illustration",https://image.shutterstock.com/image-vector/set-geometric-seamless-patterns-abstract-600w-1211328580.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-geometric-seamless-patterns-abstract-600w-1211328580.jpg', 'path': 'full/fb7a6e763087822b16b1f12e8523ab735e443790.jpg', 'checksum': 'b2103b92a9bb4ad256ba8c2c190a0e69'}]"
678921286,1,seamless+pattern+abstract,illustration,Tasiania,Geometric seamless pattern with multicolor stripes and teals. Trendy abstract background.,"pattern,watercolor,abstract,geometric,seamless,background,paint,watercolour,stripe,modern,texture,art,line,illustration,color,trendy,geo,teal,fashion,design,kaleidoscope,square,brush,contemporary,drawing,ethnic,grunge,fabric,stroke,creative,simple,graphic,strip,textile,trend,vertical,cut,artwork,ornament,rhombus,rhythm,acrylic,artist,artistic,creativity,geometry,repeating,template,vibrant",https://image.shutterstock.com/image-illustration/geometric-seamless-pattern-multicolor-stripes-600w-678921286.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/geometric-seamless-pattern-multicolor-stripes-600w-678921286.jpg', 'path': 'full/bfc637f38f0d948c1707c4b2b065317794e455d8.jpg', 'checksum': '2f5818916bb2f038955d260d598d4bb4'}]"
1568958409,1,seamless+pattern+abstract,vector,MURRIRA,Modern exotic jungle plants illustration pattern. Creative collage contemporary floral seamless pattern. Fashionable template for design.,"pattern,abstract,floral,seamless,modern,collage,geometry,vector,print,art,background,geometric,texture,exotic,design,wallpaper,contemporary,nature,flora,leaf,plant,style,trend,fabric,garden,hawaii,illustration,jungle,shape,spring,artistic,artwork,backdrop,blossom,decoration,fashion,template,botanical,cover,decor,decorative,element,graphic,palm,spa,summer,textile,trends,trendy,tropical",https://image.shutterstock.com/image-vector/modern-exotic-jungle-plants-illustration-600w-1568958409.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/modern-exotic-jungle-plants-illustration-600w-1568958409.jpg', 'path': 'full/66d0fcaacd6729072f299c2bdf018992d225f575.jpg', 'checksum': '30618cadf0d631870d0e1e4667aa391d'}]"
530415049,1,seamless+pattern+abstract,vector,newline,Abstract geometric pattern with crossing thin straight  lines. Stylish texture in gray color. Seamless linear pattern.,"pattern,background,line,geometric,abstract,seamless,vector,star,lattice,wallpaper,linear,design,illustration,mesh,ornament,ramadan,sketch,indian,symmetry,asian,tile,decor,thread,arabic,interlaced,texture,wrapper",https://image.shutterstock.com/image-vector/abstract-geometric-pattern-crossing-thin-600w-530415049.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-geometric-pattern-crossing-thin-600w-530415049.jpg', 'path': 'full/1be4b79c0a3c203f47473026d79dd3c580fb4e5b.jpg', 'checksum': '43a71f1af80c364db23d532a9a4582a9'}]"
160243973,1,seamless+pattern+abstract,vector,mrsopossum,Seamless geometric pattern,"pattern,seamless,geometric,vector,background,color,modern,texture,graphic,abstract,retro,frame,block,stamp,stripe,illustration,shape,math,object,carpet,creative,square,wallpaper,fabric,orange,cube,illusion,liquid,magic,puzzle,art,artistic,concept,optical,poster,vibrant,sample,backdrop,classic,colorful,conceptual,decor,decoration,detail,element,stack,staircase,textile,triangle",https://image.shutterstock.com/image-vector/seamless-geometric-pattern-600w-160243973.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-geometric-pattern-600w-160243973.jpg', 'path': 'full/b6f2ce23cff972449d1b9d366f7d9ceaccf096a3.jpg', 'checksum': '6cf17e7d5ece9a599185ab7fa7915994'}]"
1112476736,1,seamless+pattern+abstract,photo,Verkensons,"Very beautiful purple swirl pattern. Luxury art in Eastern style. Artistic design. Painter uses vibrant paints to create these magic art, with addition golden glitters. Masterpiece of designing art. ","abstract,art,gold,pattern,background,texture,nature,color,seamless,paint,agate,wallpaper,design,black,stone,watercolor,liquid,print,mixed,oil,water,ink,wave,artwork,ebru,paper,splash,stain,suminagashi,white,decorative,diy,drawing,modern,acrylic,backdrop,beautiful,creative,drawn,fluid art,handmade,illustration,liquid art,marble,marbled,marbleized effect,marbling,natural,natural luxury,surface",https://image.shutterstock.com/image-photo/very-beautiful-purple-swirl-pattern-600w-1112476736.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/very-beautiful-purple-swirl-pattern-600w-1112476736.jpg', 'path': 'full/6363d2c3b88ff911727564eadeca82b80a3fd8d2.jpg', 'checksum': 'a937e0b94e780fa7c73c050d5819da81'}]"
1669211185,1,seamless+pattern+abstract,vector,Angelina+Bambina,"Collage contemporary floral and polka dot shapes seamless pattern set. Modern exotic design for paper, cover, fabric, interior decor and other users.","pattern,flower,seamless,floral,vector,tropical,watercolor,modern,abstract,texture,background,geometric,plant,summer,spring,beach,hawaiian,print,decor,illustration,leaf,hibiscus,palm,collage,collection,monstera,fabric,retro,exotic,jungle,pink,tribal,hawaii,design,graphic,textile,tree,turquoise,wallpaper,fashion,surfing,artwork,backdrop,colorful,creative,decoration,decorative,polka dot,style,tribe",https://image.shutterstock.com/image-vector/collage-contemporary-floral-polka-dot-600w-1669211185.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collage-contemporary-floral-polka-dot-600w-1669211185.jpg', 'path': 'full/7f205788e60c75281b1c497d57b0878897495746.jpg', 'checksum': 'f84bfaea0653c23cdedb1479b41468fa'}]"
1020211660,1,seamless+pattern+abstract,vector,SeamlessPatterns,"Vector seamless pattern. Modern stylish abstract texture. Repeating geometric tiles from striped elements","pattern,seamless,geometric,vector,abstract,texture,black,modern,background,white,repeat,graphic,wallpaper,design,lattice,hexagon,line,fabric,decor,linear,print,ornament,textile,tile,weave,grid,ornate,strip,monochrome,triangle,structure,creative,backdrop,tileable,array,decoration,decorative,endless,periodic,repetition,sample,striped,surface,symmetry,template,textured,tiling,tracery,wrapping",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-1020211660.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-1020211660.jpg', 'path': 'full/1a58e0df8d635bf44a70c3c0a630f5216c5d2630.jpg', 'checksum': '47207224714f8e350d1b69494ed3462f'}]"
520138543,1,seamless+pattern+abstract,vector,CurlyPat,Vector seamless pattern. Modern stylish texture with monochrome trellis. Repeating geometric triangular grid. Simple graphic design. Trendy hipster sacred geometry.,"pattern,background,texture,vector,seamless,triangle,modern,abstract,wallpaper,graphic,grid,tile,design,hexagon,repeat,frame,fabric,ornament,monochrome,weave,structure,flat,ornate,circular,textile,template,wave,element,infinity,intricate,sacred,smooth,backdrop,endless,regular,wrap,decor,decoration,geometric,geometrical,geometry,hatching,periodic,recurring,sample,swatch,textured,tileable,tiling,tracery",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-520138543.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-520138543.jpg', 'path': 'full/3a6e1ae6145131e1bafcc20948d19a53457b0a54.jpg', 'checksum': '1c4fe81b8d7c4c0d3eee192177a7bcc1'}]"
1065332303,1,seamless+pattern+abstract,vector,Ezhevika,"Super Big set of 32 oriental patterns. White and gold background with Arabic ornaments. Patterns, backgrounds and wallpapers for your design. Textile ornament. Vector illustration.","pattern,arab,seamless,islam,ornament,background,gold,floral,orient,wallpaper,modern,line,arabesque,turkish,wall,set,arabian,abstract,paper,lace,decor,tile,graphic,spanish,style,art,asian,mosaic,muslim,vintage,eastern,old,repeat,ethnic,history,round,asia,east,ornate,arabic,curves,decoration,decorative,illustration,islamic,ornamental,sample,traditional",https://image.shutterstock.com/image-vector/super-big-set-32-oriental-600w-1065332303.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/super-big-set-32-oriental-600w-1065332303.jpg', 'path': 'full/f6879de1d5bdc1904e0bea1e2d3f73389a84282f.jpg', 'checksum': 'eaf338b70d966f10359704bb014b470e'}]"
