id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
770474026,1,seamless+pattern+summer,vector,ychty,Set of Cute bright seamless patterns. Vector illustration bright design. Abstract seamless geometric pattern on vibrant background.,"background,pattern,texture,vector,seamless,cute,summer,color,abstract,wallpaper,green,simple,bright,vintage,design,geometric,modern,set,blue,graphic,purple,stripe,pink,banner,retro,tile,card,frame,orange,chevron,scrapbook,vibrant,stylish,creative,fashion,grunge,herringbone,textile,zigzag,art,print,decor,decoration,illustration,invitation,striped,style,template,textured,wrapping paper",https://image.shutterstock.com/image-vector/set-cute-bright-seamless-patterns-600w-770474026.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-cute-bright-seamless-patterns-600w-770474026.jpg', 'path': 'full/848b85d8ded1b87fa1b9d0b2ba3dd9cb60f6a4ca.jpg', 'checksum': '3cd8bf3451725b3e68d1cd82f26e89bd'}]"
1710936379,1,seamless+pattern+summer,vector,Eva+Marina,"Blooming midsummer meadow seamless pattern. Plant background for fashion, wallpapers, print. A lot of different flowers on the field. Liberty style millefleurs. Trendy floral design","ditsy,vintage,daisy,rose,yellow,baby,blue,country,drawn,summer,garden,red,retro,decorative,dark,leaf,motif,peony,subtle,traditional,art textile,artistic,blossom,bouquet florist,branch,bridal,chic,colorful texture,cute artist,design on fabric,feminine vector,floral pattern,foliage,garment,gentle,greenery,little flower,malva,manufacture,millefleurs,night,ornament,paper,rose romantic,small flower background,small flower print,summer cute pattern,sweet william,vintage floral,viola",https://image.shutterstock.com/image-vector/blooming-midsummer-meadow-seamless-pattern-600w-1710936379.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/blooming-midsummer-meadow-seamless-pattern-600w-1710936379.jpg', 'path': 'full/0b69f5795db1ba73af5c39ad32a1cb1099809275.jpg', 'checksum': 'dacee1220c6a4ec7e5ebee43dd77ddb5'}]"
502215445,1,seamless+pattern+summer,vector,Zenina,"Vector watercolour floral pattern, delicate flowers, yellow, blue and pink flowers, greeting card template","flower,pattern,watercolor,floral,background,spring,vector,seamless,summer,wallpaper,blue,simple,nature,leaves,rose,vintage,red,card,white,beauty,design,romantic,wedding,delicate,textile,blossom,garden,small,ethnic,petal,fabric,beautiful,botanical,flower pattern,illustration,nice,watercolor flower,watercolours",https://image.shutterstock.com/image-vector/vector-watercolour-floral-pattern-delicate-600w-502215445.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-watercolour-floral-pattern-delicate-600w-502215445.jpg', 'path': 'full/5ca5ead2abc3650423dd222d1d3c489893eff557.jpg', 'checksum': '1b496190f28116ec2d8f1ad0301b2200'}]"
1669514710,1,seamless+pattern+summer,vector,Nechayka,"Daisy seamless pattern on dark blue background. Floral ditsy print with small white flowers. Chamomile design great for fashion fabric, trend textile and wallpaper. Vector","daisy,seamless,pattern,background,vector,abstract,cute,flower,trendy,chamomile,field,kitchen,meadow,pretty,print,simple,small,spring,bloom,blossom,blue,botanical,cloth,color,decor,ditsy,elegant,fabric,fashion,floral,folk,fresh,garden,girly,illustration,little,modern,paper,petal,repeat,romantic,rustic,scrapbooking,summer,textile,tiny,trend,vintage,wallpaper,white",https://image.shutterstock.com/image-vector/daisy-seamless-pattern-on-dark-600w-1669514710.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/daisy-seamless-pattern-on-dark-600w-1669514710.jpg', 'path': 'full/d513e9a845e226777331df5d5efc94675a0ea477.jpg', 'checksum': 'b61972f388b9dcab1d26ff88a04e3dcd'}]"
751832689,1,seamless+pattern+summer,vector,Erinphoto10,Cute set of Pink Flamingo tropical vibes seamless patterns. Vector illustration.,"pattern,flamingo,seamless,set,vector,background,summer,pink,tropical,collection,texture,flower,romantic,floral,scrapbook,animal,day,design,illustration,valentine,geometric,invitation,layout,love,party,birthday,geometry,print,vintage,wedding,zoo,abstract,decoration,elegant,garden,retro,shabby,bird,blue,leaf,announcement,element,fabric,greeting,nature,scrap,silhouette,textile,tropic,wild",https://image.shutterstock.com/image-vector/cute-set-pink-flamingo-tropical-600w-751832689.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cute-set-pink-flamingo-tropical-600w-751832689.jpg', 'path': 'full/03a0fd4e43f9efcf865620ca299485d987d35eb6.jpg', 'checksum': 'a97d1e0ee3d018075931dd4133757db8'}]"
727151695,1,seamless+pattern+summer,vector,Studio+Lulu,Trendy Seamless Floral Pattern in Vector,"pattern,floral,flower,seamless,vector,small,print,background,ditsy,pink,girl,little,cute,spring,wallpaper,abstract,fabric,fashion,garden,art,color,illustration,paper,summer,trendy,fresh,graphic,repeat,rose,beautiful,feminine,leaf,textile,trend,backdrop,beauty,bloom,blossom,decor,elegance,flora,leave,nature,ornament,painted,retro,style,texture,wrapping",https://image.shutterstock.com/image-vector/trendy-seamless-floral-pattern-vector-600w-727151695.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/trendy-seamless-floral-pattern-vector-600w-727151695.jpg', 'path': 'full/9ff7ec7dbf5a35a47eb05a7f67252476a25a0a3e.jpg', 'checksum': '3b0970aea72f729be1a1c5cdc247a8dc'}]"
687438982,1,seamless+pattern+summer,vector,berry2046,Beach cheerful seamless pattern wallpaper of tropical dark green leaves of palm trees and flowers bird of paradise (strelitzia) plumeria on a light yellow background,"pattern,tropic,flower,floral,palm,leaf,background,vector,summer,seamless,bird,wallpaper,plant,watercolor,hawaiian,beach,jungle,print,hawaii,tree,vintage,paradise,white,green,texture,black,shirt,foliage,retro,spring,banana,abstract,fashion,exotic,red,trendy,aloha,garden,painting,bikini,light,plumeria,strelitzia,style,decoration,botanical,cheerful,drawing,illustration,tropical",https://image.shutterstock.com/image-vector/beach-cheerful-seamless-pattern-wallpaper-600w-687438982.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beach-cheerful-seamless-pattern-wallpaper-600w-687438982.jpg', 'path': 'full/e161c545ad6dee97471bc08838682fcd74e18533.jpg', 'checksum': '18beeb121f0b5dce18d55de670caed5c'}]"
702226171,1,seamless+pattern+summer,vector,Rosapompelmo,"turquoise and green tropical leaves. Seamless graphic design with amazing palms. Fashion, interior, wrapping, packaging suitable. Realistic palm leaves.","leaf,palm,vector,banana,green,graphic,wallpaper,blue,illustration,fashion,summer,botanic,teal,fabric,greenery,material,swimwear,vibrant,vintage,set,kit,wrapping,blossom,palmera,active wear,biotanical elements,colorful,fig leaves,graphic set,green hues,growing up,hand drawn,healthy,limited palette,on white,packaging,palm pattern,palm print,palmetto,repeat pattern,repeating,saturated,screen print,tints,vector elements,veins,wall covering,wrapping paper",https://image.shutterstock.com/image-vector/turquoise-green-tropical-leaves-seamless-600w-702226171.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/turquoise-green-tropical-leaves-seamless-600w-702226171.jpg', 'path': 'full/75fe50b975b1d5a6602d1cae1baca98748722ca1.jpg', 'checksum': '37567262f9e877569858b5fd548b8023'}]"
777148300,1,seamless+pattern+summer,vector,berry2046,Tropical vector green leaves seamless pattern pink background. Exotic wallpaper,"pattern,tropic,leaf,palm,flower,vector,floral,banana,background,seamless,wallpaper,print,summer,jungle,green,plant,watercolor,tree,texture,hawaiian,vintage,bird,fashion,retro,hawaii,beach,exotic,black,nature,shirt,trendy,white,aloha,red,paradise,garden,painting,fabric,decoration,light,spring,beautiful,blossom,botanical,foliage,illustration,strelitzia,tropical",https://image.shutterstock.com/image-vector/tropical-vector-green-leaves-seamless-600w-777148300.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-vector-green-leaves-seamless-600w-777148300.jpg', 'path': 'full/a644a8d1bcd006cf0d73c2fd132d34a3eaf8dea5.jpg', 'checksum': '852fe1c5e278a6267ae907f1555d816c'}]"
1124332118,1,seamless+pattern+summer,vector,Tasiania,Collage contemporary floral hawaiian pattern in vector. Seamless surface design  ,"pattern,abstract,art,seamless,tropical,modern,collage,contemporary,vector,floral,background,figure,flower,forest,summer,geometry,nature,garden,jungle,leaf,exotic,illustration,monstera,palm,texture,wallpaper,abstraction pattern,aloe vera,artistic,beauty,blossom,colorful,decoration,decorative,fabric design,fashion,flora,graphic,paper,plant,rain forest,scribble,spring,textile,textured,tree,wrapping",https://image.shutterstock.com/image-vector/collage-contemporary-floral-hawaiian-pattern-600w-1124332118.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collage-contemporary-floral-hawaiian-pattern-600w-1124332118.jpg', 'path': 'full/09ec034d81daaedeba00d28a2ff8b13a9d9f039b.jpg', 'checksum': 'c3a0aaa9fb12f078bf299fe5563c98e5'}]"
