id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1228303162,1,seamless+pattern+shape,vector,Floare,Seamless Faux Leopard Skin Pattern with black and brown spots. Hand painted leopard print. Vector illustration animal repeat surface pattern.,"seamless,pattern,leopard,abstract,animal,nature,skin,vector,black,camouflage,fur,graphic,jungle,print,africa,background,cat,cheetah,coat,decor,decoration,decorative,design,exotic,fabric,fashion,faux,feline,illustration,jaguar,markings,natural,rainforest,repeat,safari,shape,spots,surface,textile,texture,tile,wallpaper,wild,wildlife,zoology",https://image.shutterstock.com/image-vector/seamless-faux-leopard-skin-pattern-600w-1228303162.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-faux-leopard-skin-pattern-600w-1228303162.jpg', 'path': 'full/a830a44f6b6bbdc510565d8c4dc5585de6d2133c.jpg', 'checksum': '3252e967ae5a08bd35148ea8e66a54ab'}]"
485991985,1,seamless+pattern+shape,vector,RODINA+OLENA,The geometric abstract pattern. Seamless vector background. Dark blue and gold texture. Graphic modern pattern,"pattern,geometric,vector,background,texture,modern,seamless,abstract,gold,wallpaper,blue,royal,design,graphic,fabric,line,carpet,leaf,retro,art,cloth,ornate,simple,black,decor,shape,wave,color,beauty,element,fashion,branch,curve,artistic,cover,image,card,curtain,backdrop,creative,style,wrapping,decoration,decorative,drawing,elegance,illustration,repeated,repetition,vintage",https://image.shutterstock.com/image-vector/geometric-abstract-pattern-seamless-vector-600w-485991985.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/geometric-abstract-pattern-seamless-vector-600w-485991985.jpg', 'path': 'full/450546dd49a88298fc4f73a5542341eeffb194c1.jpg', 'checksum': '98ebf86f37695665fc799cae1ab24e66'}]"
1549536188,1,seamless+pattern+shape,vector,Olga_Angelloz,Abstract seamless pattern with terrazzo and simple geometric rainbows. Simple stripy arc bows on colorful mozaic texture. Childish vector background in Scandinavian style in bright multicolour palette,"rainbow,pattern,seamless,terrazzo,vector,scandinavian,abstract,texture,geometric,illustration,motif,childish,colorful,design,marble,modern,print,simple,surface,tile,arc,backdrop,background,color,colourful,creative,decoration,decorative,drawing,element,endless,fabric,granite,graphic,kid-like,multicolour,nursery,ornament,repeat,repeatable,retro,rock,shape,stone,textile,tileable,wallpaper",https://image.shutterstock.com/image-vector/abstract-seamless-pattern-terrazzo-simple-600w-1549536188.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-pattern-terrazzo-simple-600w-1549536188.jpg', 'path': 'full/a93af825a24191131e9ae7c08d08ddb518aaaf18.jpg', 'checksum': '32c4588133a33c7dce9f725ae74a271e'}]"
283065698,1,seamless+pattern+shape,vector,milojepn,Vector Seamless Pattern .  Triangle Geometric Shapes in Grunge Style . ,"pattern,seamless,texture,geometric,shape,print,irregular,lattice,line,psychedelic,cross,chaotic,edge,illustration,mosaic,net,ornament,repeat,straight,structure,band,black,circles,concept,contour,contrast,design,diagonal,facet,halftone,mesh,motion,natural,rings,striped,stripes,stylish,textured,tile,wallpaper",https://image.shutterstock.com/image-vector/vector-seamless-pattern-triangle-geometric-600w-283065698.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-triangle-geometric-600w-283065698.jpg', 'path': 'full/a6188057718827d5c83f8e781b58dbb9c5c5f95e.jpg', 'checksum': '41a4691a2d39a3e52d3b60676eae53c9'}]"
458891695,1,seamless+pattern+shape,vector,ExpressVectors,Collection of swatches memphis patterns - seamless. Fashion 80-90s. Black and white mosaic textures.,"pattern,vector,background,abstract,memphis,fun,geometric,hipster,graphic,doodle,90s,80s,seamless,simple,design,style,cool,modern,collection,white,pop,black,fashion,funky,set,frame,retro,geometry,trendy,dash,decor,cloth,vintage,fabric,zigzag,art,business,mosaic,paper,creative,template,wallpaper,web,curve,card,repeat,artistic,concept,interior,website,cover,scrapbook,invitation,angle,artwork,endless,wrapping,backdrop,textile,and,decoration,decorative,drawing,elements,illustration,lines,shapes,stripes,stylish,swatches,texture",https://image.shutterstock.com/image-vector/collection-swatches-memphis-patterns-seamless-600w-458891695.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collection-swatches-memphis-patterns-seamless-600w-458891695.jpg', 'path': 'full/3c5197b75e87ad9da8ba1440644e6799f50e3aa2.jpg', 'checksum': 'eb7af9d0cb80dde8ecc15cb13ad33644'}]"
673988140,1,seamless+pattern+shape,vector,AlexVV,Rainbow color triangle seamless pattern (vector eps 10),"pattern,color,seamless,geometric,triangle,rainbow,abstract,background,texture,bright,mosaic,vector,shape,party,art,graphic,fashion,light,square,modern,retro,creative,illustration,polygon,triangular,design,digital,motley,artistic,artwork,image,pink,trendy,backdrop,banner,colorful,concept,cover,decor,decoration,decorative,element,grunge,holiday,spectrum,style,template,wallpaper,wrapping,yellow",https://image.shutterstock.com/image-vector/rainbow-color-triangle-seamless-pattern-600w-673988140.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/rainbow-color-triangle-seamless-pattern-600w-673988140.jpg', 'path': 'full/9d944c01be2fcbfd534bb2451f95f891442fc420.jpg', 'checksum': '9d12e183d9b7d1c3cb6e2175224ada91'}]"
1631522455,1,seamless+pattern+shape,illustration,leadhiz,Hand painted turquoise watercolor leaf like arabesque floral geometrical shell allover seamless pattern in repeat ,"watercolor,pattern,seamless,geometric,flower,texture,abstract,background,wallpaper,drawing,floral,leaf,modern,nature,paint,allover,aquarelle,drawn,faded,ink,print,sketch,turquoise,arabesque,art,artistic,blot,brush,decoration,element,endless,gradation,graphic,grunge,hand,illustration,liquid,ornament,ornamental,paper,petal,repeat,scallops,shades,shape,stain,stroke,textile,wash,wet",https://image.shutterstock.com/image-illustration/hand-painted-turquoise-watercolor-leaf-600w-1631522455.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/hand-painted-turquoise-watercolor-leaf-600w-1631522455.jpg', 'path': 'full/58a01c8ca4572a957cbf514854ae760b510c0cda.jpg', 'checksum': '125856a81e9a11172478078aa6e37ba0'}]"
1568958409,1,seamless+pattern+shape,vector,MURRIRA,Modern exotic jungle plants illustration pattern. Creative collage contemporary floral seamless pattern. Fashionable template for design.,"pattern,abstract,floral,seamless,modern,collage,geometry,vector,print,art,background,geometric,texture,exotic,design,wallpaper,contemporary,nature,flora,leaf,plant,style,trend,fabric,garden,hawaii,illustration,jungle,shape,spring,artistic,artwork,backdrop,blossom,decoration,fashion,template,botanical,cover,decor,decorative,element,graphic,palm,spa,summer,textile,trends,trendy,tropical",https://image.shutterstock.com/image-vector/modern-exotic-jungle-plants-illustration-600w-1568958409.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/modern-exotic-jungle-plants-illustration-600w-1568958409.jpg', 'path': 'full/66d0fcaacd6729072f299c2bdf018992d225f575.jpg', 'checksum': '30618cadf0d631870d0e1e4667aa391d'}]"
383512132,1,seamless+pattern+shape,vector,Imichman,"Set of seamless patterns. Modern stylish textures.  Abstract geometrical background. Original linear texture with repeating thin broken lines, polygons, difficult polygonal shapes","pattern,geometric,background,line,seamless,texture,vector,abstract,minimal,polygon,elegant,modern,hipster,shape,outline,decor,repeat,element,classic,design,simple,linear,zigzag,art,mosaic,ornament,graphic,print,curve,monochrome,tile,hexagon,stripe,symmetry,trendy,contemporary,fabric,original,textile,contemp,cover,style,cotton,decoration,decorative,endless,ornamental,regular,surface,wallpaper",https://image.shutterstock.com/image-vector/set-seamless-patterns-modern-stylish-600w-383512132.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-seamless-patterns-modern-stylish-600w-383512132.jpg', 'path': 'full/a51d61b3f5bf87fe74445db26d6b6961c10f3833.jpg', 'checksum': 'a02c9a0b0ced1084dfb734b97e432576'}]"
508425046,1,seamless+pattern+shape,vector,olganikiparonak,"Seamless Christmas background with doodle circles randomly distributed, golden foil circles, watercolor texture, stars and snow. Vector holiday illustration.","pattern,christmas,watercolor,seamless,texture,background,gold,circle,winter,holiday,drawn,doodle,abstract,hand,star,graphic,line,white,new,circular,foil,print,sketch,year,spot,trendy,vintage,summer,fabric,round,scribble,wallpaper,radial,carpet,fantasy,golden,ring,shape,grunge,ray,silhouette,sign,stamp,disc,repetition,textile,abstraction,fashionable,flash,graffiti,illustration,ornaments,unusual",https://image.shutterstock.com/image-vector/seamless-christmas-background-doodle-circles-600w-508425046.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-christmas-background-doodle-circles-600w-508425046.jpg', 'path': 'full/ce988f5ffc6118e29e1c9a45cb6398d40446c19d.jpg', 'checksum': 'aa9523727f638e25d559962d96ff094f'}]"
