id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1634005351,1,seamless+pattern+rustic,vector,annandpen,Vintage floral background. Seamless vector pattern for design and fashion prints. Flowers pattern with small pink and red flowers on a light ivory background. Ditsy style.,"pattern,floral,ditsy,flower,seamless,small,daisy,vintage,background,cute,modern,motif,retro,simple,folk,pretty,spring,tiny,wallpaper,calico,chamomile,coral colour,country-style,elegant,fabric,fashion print,field,floral pattern,fond,garden,gentle,gift wrap,leaf,liberty,little,meadow,millefleurs,ornament,random,repeat,romantic,rustic chic,shabby chic,simplicity,summer,surface,textile,texture,vector illustration,wild flowers",https://image.shutterstock.com/image-vector/vintage-floral-background-seamless-vector-600w-1634005351.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vintage-floral-background-seamless-vector-600w-1634005351.jpg', 'path': 'full/1de28f90f3ee5888c0594931a6a4adae096b4d51.jpg', 'checksum': '6978e8dc511da563c8fc65c42c68cd80'}]"
1675434802,1,seamless+pattern+rustic,vector,annandpen,Cute floral pattern in the small flower. Ditsy print. Seamless vector texture. Elegant template for fashion prints. Printing with small colorful flowers. White background.,"daisy,floral,pattern,seamless,motif,flower,liberty,simple,background,calico,chamomile,country-style,cute,ditsy,elegant,fabric,fashion print,field,floral pattern,folk,fond,garden,gentle,gift wrap,leaf,leaves,little,meadow,millefleurs,modern,ornament,pretty,random,repeat,retro,romantic,rustic chic,shabby chic,simplicity,small,spring,summer,surface,textile,texture,tiny,vector illustration,vintage,wallpaper,wild flowers",https://image.shutterstock.com/image-vector/cute-floral-pattern-small-flower-600w-1675434802.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cute-floral-pattern-small-flower-600w-1675434802.jpg', 'path': 'full/9cf269bea2d4324d7c08d4db889705160fcaac5e.jpg', 'checksum': 'ffeb2369e60272a5670754733286c345'}]"
1775086814,1,seamless+pattern+rustic,vector,katyakatya,"Trendy seamless patterns set. Rustic floral design. For fashion fabrics, kid’s clothes, home decor, quilting, T-shirts, backgrounds, cards and templates, scrapbooking etc. Vector illustration","pattern,seamless,autumn,flower,kitchen,simple,texture,abstract,background,bedding,blush,botanical,collection,color,cotton,cover,dark,design,dot,elegant,fabric,fashion,floral,geometric,gift wrap,graphic,grey,hand drawn,illustration,kids,linen,minimal,modern,nature,olive branch,organic,pastel,pillow,sage green,set,small,square,summer,table,textile,trendy,vector,wallpaper,whimsical,wrapping paper",https://image.shutterstock.com/image-vector/trendy-seamless-patterns-set-rustic-600w-1775086814.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/trendy-seamless-patterns-set-rustic-600w-1775086814.jpg', 'path': 'full/dccbafcdb5ed67b2b1470e6169e71de7e7cb784b.jpg', 'checksum': 'f1f5b928d16ffd52b867cd351edb8da4'}]"
779566357,1,seamless+pattern+rustic,vector,Vialeta+Novik,Indigo vector tie dye seamless pattern. Abstract watercolor. Natural tiles. Organic texture.Watercolour print. Japan folk pattern. Organic textile. Japanese seamless natural texture. Indigo batik. ,"pattern,seamless,texture,japanese,abstract,organic,nature,vector,shibori,watercolor,batik,fabric,background,indigo,japan,minimal,print,rustic,blue,china,dye,textile,cotton,design,hand,tie,watercolour,cloth,ink,kimono,modern,swimwear,white,clothes,clothing,dyeing,fashion,folk,geometrical,hippie,indonesian,kaleidoscope,natural,old,ornament,stripes,tied,tiles,waves",https://image.shutterstock.com/image-vector/indigo-vector-tie-dye-seamless-600w-779566357.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/indigo-vector-tie-dye-seamless-600w-779566357.jpg', 'path': 'full/e46bc2a54608f19c6ff099180707230447194f86.jpg', 'checksum': '1ee5e49e0ff124b9853dca63e950ac23'}]"
1659189742,1,seamless+pattern+rustic,vector,Eva+Marina,"Seamless daisy pattern in small cute wild simple flowers. Liberty style millefleurs. Floral chamomile background for textile, wallpaper, pattern fills, covers, surface, print, wrap, scrapbooking. ","pattern,flower,floral,ditsy,seamless,vintage,liberty,print,vector,ditzy,green,background,blossom,girlie,cute,little,order,repeat,small,backdrop,calico,color,colorful,daisy-flower,drawing,elegance,elegant,fashion,field,graphic,illustration,linen,modern,nature,paper,petal,plant,rapport,rose,rustic,scale,spring,style,subtle,summer,trendy,trendy colors,urban,wallpaper,woman",https://image.shutterstock.com/image-vector/seamless-daisy-pattern-small-cute-600w-1659189742.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-daisy-pattern-small-cute-600w-1659189742.jpg', 'path': 'full/fe5b1e38cb947a1335420b8df7fcdaaa18d4c242.jpg', 'checksum': 'dfb4f69ecdeaaa268132d07a6aa3bbfb'}]"
689242843,1,seamless+pattern+rustic,vector,oking,Indigo blue tie dye shibori print seamless hand drawn pattern. Ink textured Japanese background of modern batik wallpaper tile. Watercolor endless backdrop.,"pattern,shibori,seamless,dye,tie,batik,watercolor,japanese,vector,texture,cotton,print,background,modern,fabric,fashion,rustic,china,indonesian,kimono,material,navy,organic,round,swimwear,textile,abstract,bed,cloth,clothes,design,dots,folk,geometrical,hippie,indigo blue,ink,natural,optical,ornament,paint,psychedelic,retro,stains,surface,tile,wave",https://image.shutterstock.com/image-vector/indigo-blue-tie-dye-shibori-600w-689242843.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/indigo-blue-tie-dye-shibori-600w-689242843.jpg', 'path': 'full/8566ce33ff3dda1e044cd25abc57faff36cc9e78.jpg', 'checksum': 'f5bd22977c75bfbe7103f13b75a30250'}]"
1012770460,1,seamless+pattern+rustic,vector,Vialeta+Novik,Tie dye watercolor seamless pattern. Vector tradition shibori print. Geometric ikat endless tile. Organic texture. Japan endless rapport.  Vector hand drawn tie dye oriental seamless pattern.,"pattern,texture,abstract,japanese,fabric,seamless,organic,vector,watercolor,print,background,textile,dye,shibori,tie,japan,modern,watercolour,paint,cotton,indigo,blue,brush,china,hippie,kimono,rustic,batik,cloth,design,ink,retro,tile,bed,folk,indonesian,material,psychedelic,surface,swimwear,fashion,geometrical,kaleidoscope,minimalism,natural,old-fashioned,optical,ornament,stripes,traditional",https://image.shutterstock.com/image-vector/tie-dye-watercolor-seamless-pattern-600w-1012770460.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tie-dye-watercolor-seamless-pattern-600w-1012770460.jpg', 'path': 'full/8b753ef1ea9f57a950cd5523dd50ec5848f0bbe6.jpg', 'checksum': '896d3abb1016786a8801ac5443219520'}]"
1586933983,1,seamless+pattern+rustic,vector,annandpen,Cute floral pattern in the small flower. Ditsy print. Seamless vector texture. Elegant template for fashion prints. Printing with small orange flowers. Pale yellow background.,"flower,pattern,seamless,ditsy,small,floral,spring,yellow,daisy,background,cute,little,modern,simple,tiny,calico,chamomile,country-style,elegant,fabric,fashion print,field,floral pattern,folk,fond,garden,gentle,gift wrap,leaf,liberty,meadow,motif,ornament,pretty,random,repeat,retro,romantic,rustic chic,shabby chic,simplicity,splash,summer,surface,textile,texture,vector illustration,vintage,wallpaper,wild flowers",https://image.shutterstock.com/image-vector/cute-floral-pattern-small-flower-600w-1586933983.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cute-floral-pattern-small-flower-600w-1586933983.jpg', 'path': 'full/cbfea236f41454b6fd35e5e51b38890c9a88ab97.jpg', 'checksum': '557b51383373506cfd0bba76cb767405'}]"
1633456918,1,seamless+pattern+rustic,vector,annandpen,Floral pattern. Pretty flowers on gold  background. Printing with small  flowers. Ditsy print. Seamless vector texture. Spring bouquet.,"floral,seamless,liberty,pattern,retro,ditsy,flower,background,cute,leaf,small,vintage,calico,chamomile,contour,country-style,daisy,elegant,fabric,fashion print,field,floral pattern,folk,fond,garden,gift wrap,light brown,line,little,meadow,millefleurs,modern,motif,ornament,pretty,random,repeat,rustic chic,shabby chic,simple,simplicity,spring,summer,surface,textile,texture,tiny,vector illustration,wallpaper,wild flowers",https://image.shutterstock.com/image-vector/floral-pattern-pretty-flowers-on-600w-1633456918.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-pattern-pretty-flowers-on-600w-1633456918.jpg', 'path': 'full/dd7ebd9cf3a7a92f4e915a3ed76e032d0e52b449.jpg', 'checksum': 'd5dd9de0b56abce84dd9b839035bd8fb'}]"
1881550279,1,seamless+pattern+rustic,vector,annandpen,Seamless floral pattern. Ditsy background of small white flowers and dark green leaves. Small-scale flowers scattered over a yellow background. Stock vector for printing on surfaces and web design.,"floral,flower,pattern,seamless,baby,background,bloom,branch,calico,chamomile,country-style,cute,daisy,ditsy,drawn,fabric,fashion print,field,floral pattern,folk,fond,garden,gentle,gift wrap,gold yellow,liberty,little,meadow,modern,ornament,pretty,random,repeat,retro,romantic,rustic chic,shabby chic,simple,simplicity,small,spring,summer,surface,textile,texture,tiny,vector illustration,vintage,wallpaper,wild flowers",https://image.shutterstock.com/image-vector/seamless-floral-pattern-ditsy-background-600w-1881550279.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-floral-pattern-ditsy-background-600w-1881550279.jpg', 'path': 'full/94c983a0b0ee7156b6d0acf6a38386160ed816d4.jpg', 'checksum': '3ccd39972976ad40fe2056b78b8adab9'}]"
