id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1065055100,1,seamless+pattern+exotic,vector,SyrytsynaTetiana,"Nature seamless pattern. Hand drawn abstract tropical summer background : palm tree leaves in silhouette, line art. Vector art illustration in golden retro colors","pattern,tropic,seamless,floral,leaf,palm,summer,tree,vector,abstract,exotic,print,texture,paint,background,beach,color,grunge,nature,silhouette,sketch,blue,draw,gold,travel,design,element,jungle,line,plant,fabric,fan,backdrop,golden,graphic,rainforest,style,repeat,rough,turquoise,unusual,art,frond,hipster,illustration,natural,palm tree,retro,tropical",https://image.shutterstock.com/image-vector/nature-seamless-pattern-hand-drawn-600w-1065055100.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/nature-seamless-pattern-hand-drawn-600w-1065055100.jpg', 'path': 'full/e6f20ee9989ead53c1e7d743ba764208f2c3da53.jpg', 'checksum': '76f53ab5da5765525fcfa6731712edd8'}]"
659070148,1,seamless+pattern+exotic,vector,berry2046,Abstract vintage composition colorful leaves seamless floral pattern background,"pattern,flower,tropic,floral,abstract,seamless,print,vector,bird,fabric,beach,background,black,leaf,graphic,art,jungle,summer,texture,fashion,plant,shirt,hawaii,palm,paradise,aloha,blue,exotic,beauty,flora,nature,artwork,brazil,wallpaper,design,isolated,painting,textile,blossom,garden,spring,beautiful,colorful,decoration,element,fashionable,green,illustration,trendy,tropical",https://image.shutterstock.com/image-vector/abstract-vintage-composition-colorful-leaves-600w-659070148.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-vintage-composition-colorful-leaves-600w-659070148.jpg', 'path': 'full/97cb8670d565f711ba75502805d46b2a565fbabd.jpg', 'checksum': 'ee0c59dc5705253ff6368f6fb0906e40'}]"
1006554424,1,seamless+pattern+exotic,vector,berry2046,Exotic abstract vector blue jungle seamless pattern on the white background. Trendy art beach print wallpaper,"pattern,tropic,geometric,seamless,print,leaf,palm,vector,blue,floral,jungle,background,fabric,illustration,exotic,tree,abstract,art,fashion,hawaii,hawaiian,plant,spring,summer,white,design,green,simple,texture,artwork,beautiful,decoration,drawn,flat,forest,isolated,textile,aloha,beach,blossom,color,drawing,garden,nature,paradise,trendy,tropical,wallpaper",https://image.shutterstock.com/image-vector/exotic-abstract-vector-blue-jungle-600w-1006554424.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/exotic-abstract-vector-blue-jungle-600w-1006554424.jpg', 'path': 'full/74da7dbf6434cea39f47c6a3deba9c6517d690f2.jpg', 'checksum': 'd24b1cf65e0b2c69f8b5ea6522e755c1'}]"
1474614581,1,seamless+pattern+exotic,vector,Kuvshinova+Nadezhda,"Garden flower, plants ,botanical ,seamless pattern vector design for fashion,fabric,wallpaper and all prints on green mint background color. Cute pattern in small flower. Small colorful flowers.","flower,pattern,floral,vector,cute,background,seamless,abstract,print,design,plant,spring,summer,modern,small,blue,ditsy,wild,decorative,ornament,tiny,white,leaf,nature,pink,fabric,textile,fashion,garden,pretty,retro,texture,vintage,wallpaper,folk,gift,repeat,amazing,beautiful,blossom,botanical,color,dark,decoration,elegant,exotic,illustration,little,simple,wrap",https://image.shutterstock.com/image-vector/garden-flower-plants-botanical-seamless-600w-1474614581.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/garden-flower-plants-botanical-seamless-600w-1474614581.jpg', 'path': 'full/140e95d934cec161a6c7b6df56883a7271ed24f8.jpg', 'checksum': '7e22cf9d52780189d88c01ada6634b3b'}]"
1823016320,1,seamless+pattern+exotic,vector,MURRIRA,Modern minimalist abstract leaves illustration pattern. Creative collage contemporary seamless pattern. Fashionable template for design. Bohemian style. ,"pattern,abstract,seamless,geometric,tropical,vector,leaf,autumn,floral,aesthetic,background,garden,geometry,print,contemporary,illustration,jungle,minimal,modern,monstera,summer,art,artwork,backdrop,bohemian,botanical,collage,colorful,cover,creative,decor,decoration,decorative,design,element,exotic,fabric,fashion,flora,flower,nature,plant,shape,spring,style,template,textile,texture,trendy,wallpaper",https://image.shutterstock.com/image-vector/modern-minimalist-abstract-leaves-illustration-600w-1823016320.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/modern-minimalist-abstract-leaves-illustration-600w-1823016320.jpg', 'path': 'full/87ff7fb25221d71cf4352308a1b184d8a0889ed4.jpg', 'checksum': '5488a86f19e4efec632c112dcfdc6df4'}]"
562806100,1,seamless+pattern+exotic,vector,julia_blnk,Seamless pattern with banana and golden palm leaves in vector,"pattern,leaf,fashion,palm,gold,flower,vector,background,seamless,tree,golden,plant,wallpaper,summer,banana,abstract,print,design,beach,vintage,spring,graphic,hawaii,art,hawaiian,silhouette,exotic,retro,sunshine,california,green,aloha,textile,bright,miami,shirt,style,paradise,triangle,vacation,beautiful,botanical,illustration,luau,texture,tropical",https://image.shutterstock.com/image-vector/seamless-pattern-banana-golden-palm-600w-562806100.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-banana-golden-palm-600w-562806100.jpg', 'path': 'full/7b06dd54cf69cf54bf8f2d083ec29beead83ae04.jpg', 'checksum': '94886c61d360a4bc39df92c1e0b41499'}]"
777148300,1,seamless+pattern+exotic,vector,berry2046,Tropical vector green leaves seamless pattern pink background. Exotic wallpaper,"pattern,tropic,leaf,palm,flower,vector,floral,banana,background,seamless,wallpaper,print,summer,jungle,green,plant,watercolor,tree,texture,hawaiian,vintage,bird,fashion,retro,hawaii,beach,exotic,black,nature,shirt,trendy,white,aloha,red,paradise,garden,painting,fabric,decoration,light,spring,beautiful,blossom,botanical,foliage,illustration,strelitzia,tropical",https://image.shutterstock.com/image-vector/tropical-vector-green-leaves-seamless-600w-777148300.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-vector-green-leaves-seamless-600w-777148300.jpg', 'path': 'full/a644a8d1bcd006cf0d73c2fd132d34a3eaf8dea5.jpg', 'checksum': '852fe1c5e278a6267ae907f1555d816c'}]"
303824981,1,seamless+pattern+exotic,vector,berry2046,"Exotic beach trendy seamless pattern, patchwork illustrated floral vector tropical banana leaves, hibiscus flower, lilies, plumeria. Jungle parrots and pink flamingos Wallpaper print background mosaic","pattern,tropic,flower,floral,vector,flamingo,beach,seamless,background,exotic,parrot,wallpaper,fashion,bird,print,trendy,patchwork,summer,leaf,paradise,poster,plant,palm,mosaic,toucan,abstract,design,geometric,style,aloha,white,nature,set,vacation,hawaiian,hawaii,paper,spring,branch,green,decorative,backdrop,cover,colorful,decoration,holiday,illustration,jungle,luau,tropical",https://image.shutterstock.com/image-vector/exotic-beach-trendy-seamless-pattern-600w-303824981.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/exotic-beach-trendy-seamless-pattern-600w-303824981.jpg', 'path': 'full/1b9df0e10e495c049fbfffaf19656360faee0f36.jpg', 'checksum': '5c403fca817a19ddd57aa133065d46c8'}]"
1896726193,1,seamless+pattern+exotic,vector,SyrytsynaTetiana,"Abstract palm leaves filled with animal print. Modern trendy tropical seamless pattern. Exotic foliage background with rough texture for textile, fabric, print design","pattern,seamless,leopard,flower,tropical,color,design,graphic,80s,90s,abstract,animal,art,background,blot,camo,camouflage,cheetah,creative,dots,draw,element,floral,fur,grunge,illustration,ink,leaf,leaves,nature,paint,palm,plant,print,repeat,retro,rough,safari,shape,skin,spot,style,surface,texture,trendy,tropic,vector,wallpaper,wild",https://image.shutterstock.com/image-vector/abstract-palm-leaves-filled-animal-600w-1896726193.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-palm-leaves-filled-animal-600w-1896726193.jpg', 'path': 'full/c32b2ca5e1288b787f0850c074c5dc50af682387.jpg', 'checksum': '002c8c39bd83c03094fcd00c360af6e5'}]"
1124332118,1,seamless+pattern+exotic,vector,Tasiania,Collage contemporary floral hawaiian pattern in vector. Seamless surface design  ,"pattern,abstract,art,seamless,tropical,modern,collage,contemporary,vector,floral,background,figure,flower,forest,summer,geometry,nature,garden,jungle,leaf,exotic,illustration,monstera,palm,texture,wallpaper,abstraction pattern,aloe vera,artistic,beauty,blossom,colorful,decoration,decorative,fabric design,fashion,flora,graphic,paper,plant,rain forest,scribble,spring,textile,textured,tree,wrapping",https://image.shutterstock.com/image-vector/collage-contemporary-floral-hawaiian-pattern-600w-1124332118.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collage-contemporary-floral-hawaiian-pattern-600w-1124332118.jpg', 'path': 'full/09ec034d81daaedeba00d28a2ff8b13a9d9f039b.jpg', 'checksum': 'c3a0aaa9fb12f078bf299fe5563c98e5'}]"
