id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1065332303,1,seamless+pattern+ornamental,vector,Ezhevika,"Super Big set of 32 oriental patterns. White and gold background with Arabic ornaments. Patterns, backgrounds and wallpapers for your design. Textile ornament. Vector illustration.","pattern,arab,seamless,islam,ornament,background,gold,floral,orient,wallpaper,modern,line,arabesque,turkish,wall,set,arabian,abstract,paper,lace,decor,tile,graphic,spanish,style,art,asian,mosaic,muslim,vintage,eastern,old,repeat,ethnic,history,round,asia,east,ornate,arabic,curves,decoration,decorative,illustration,islamic,ornamental,sample,traditional",https://image.shutterstock.com/image-vector/super-big-set-32-oriental-600w-1065332303.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/super-big-set-32-oriental-600w-1065332303.jpg', 'path': 'full/f6879de1d5bdc1904e0bea1e2d3f73389a84282f.jpg', 'checksum': 'eaf338b70d966f10359704bb014b470e'}]"
1564490158,1,seamless+pattern+ornamental,illustration,olgers,"Tie dye shibori seamless pattern. Watercolor hand painted indigo blue navy ornamental elements on white background. Watercolour abstract texture. Print for textile, fabric, wallpaper, wrapping paper.","dye,tie,pattern,seamless,tye,blue,repeat,shibori,texture,tiedye,background,navy,watercolor,abstract,fabric,indigo,print,hippie,ink,dyed,material,modern,retro,stain,watercolour,white,art,artistic,bed,china,clothing,craft,decoration,design,dots,fashion,geometrical,graphic,illustration,indonesian,japanese,minimalism,ornament,paint,surface,textile,tie-dye,wallpaper",https://image.shutterstock.com/image-illustration/tie-dye-shibori-seamless-pattern-600w-1564490158.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/tie-dye-shibori-seamless-pattern-600w-1564490158.jpg', 'path': 'full/9202dcf9957d46327d5668aca145e893fc76cab5.jpg', 'checksum': 'cbd86ba0b2750d8771b59215eaa08c88'}]"
727151695,1,seamless+pattern+ornamental,vector,Studio+Lulu,Trendy Seamless Floral Pattern in Vector,"pattern,floral,flower,seamless,vector,small,print,background,ditsy,pink,girl,little,cute,spring,wallpaper,abstract,fabric,fashion,garden,art,color,illustration,paper,summer,trendy,fresh,graphic,repeat,rose,beautiful,feminine,leaf,textile,trend,backdrop,beauty,bloom,blossom,decor,elegance,flora,leave,nature,ornament,painted,retro,style,texture,wrapping",https://image.shutterstock.com/image-vector/trendy-seamless-floral-pattern-vector-600w-727151695.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/trendy-seamless-floral-pattern-vector-600w-727151695.jpg', 'path': 'full/9ff7ec7dbf5a35a47eb05a7f67252476a25a0a3e.jpg', 'checksum': '3b0970aea72f729be1a1c5cdc247a8dc'}]"
490102348,1,seamless+pattern+ornamental,vector,Irina+Qiwi,Abstract Seamless Pattern. Seamless Pattern with Triangles. Gold black and white triangle Pattern . Vector illustration,"pattern,black,seamless,modern,gold,background,white,abstract,texture,elegant,chevron,stripe,design,rhombus,graphic,square,shape,hipster,line,mosaic,simple,retro,print,trendy,memphis,stylish,wallpaper,ornament,element,golden,tile,ornate,fabric,funky,decorative,repeat,structure,textile,backdrop,regular,template,dots,geometric,monochrome,periodic,sample,striped,textured,tiling,wrapping",https://image.shutterstock.com/image-vector/abstract-seamless-pattern-triangles-gold-600w-490102348.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-pattern-triangles-gold-600w-490102348.jpg', 'path': 'full/ce6da2c8e9b75900250010a5dc2c14840a10c3e7.jpg', 'checksum': '58ce67eed8d45b99ec2d8d7f3a5f60f6'}]"
591885260,1,seamless+pattern+ornamental,illustration,lisima,"Seamless pattern with pink flowers and leaves on white background, watercolor floral pattern, flower rose in pastel color, tileable for wallpaper, card or fabric","pattern,floral,watercolor,pink,wallpaper,seamless,rose,wall,paper,print,spring,illustration,white,design,abstract,textile,fabric,art,painting,gray,graphic,leaf,furniture,card,ornament,retro,branch,decorative,valentine,artistic,bedclothes,blossom,template,floral background,flowers,hand drawn,invitation,pastel color,postcard,structure,tile,vintage style,wrapper,wrapping paper",https://image.shutterstock.com/image-illustration/seamless-pattern-pink-flowers-leaves-600w-591885260.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-pink-flowers-leaves-600w-591885260.jpg', 'path': 'full/58653c273f59cbe7ee0daf38a58b1772eb9ebb57.jpg', 'checksum': '985dfdee4b7fef233ea90a6bf638cd3b'}]"
727060057,1,seamless+pattern+ornamental,vector,YokoDesign,Floral pattern. Flower seamless background. Flourish ornamental garden,"pattern,flower,floral,chinese,seamless,vintage,wallpaper,design,garden,background,border,classic,embroidery,fashion,frame,peony,rose,summer,cute,texture,art,drawing,retro,branch,daisy,pastel,spring,textile,leaves,style,card,flourish,nature,tile,blossom,wildflower,bouquet,stylish,backdrop,bloom,botanical,curl,elegance,gentle,holiday,illustration,ornamental,petal,springtime,vegetation",https://image.shutterstock.com/image-vector/floral-pattern-flower-seamless-background-600w-727060057.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-pattern-flower-seamless-background-600w-727060057.jpg', 'path': 'full/ad628b021e8fe706ab37439e2333eb58e6ab7a4d.jpg', 'checksum': '488fe28826e50031295a22c083a8b48b'}]"
256017685,1,seamless+pattern+ornamental,vector,DVARG,Illustration of seamless abstract black floral  vine pattern,"background,pattern,black,vector,3d,seamless,floral,dark,design,vintage,wallpaper,victorian,classic,ornate,fashion,wedding,ornament,paper,swirl,decor,gray,graphic,light,cover,trendy,card,style,foliage,plant,template,curly,backdrop,flat,leaf,curl,curve,form,symbol,page,wrapping,shadow,celebration,decoration,decorative,elegance,elegant,greeting,illustration,invitation,texture",https://image.shutterstock.com/image-vector/illustration-seamless-abstract-black-floral-600w-256017685.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/illustration-seamless-abstract-black-floral-600w-256017685.jpg', 'path': 'full/3906a7e98db0fa57a37d6bffe3cee4d8e1ae9ed6.jpg', 'checksum': 'a55daaffc45d18e760cfcc22bccf3283'}]"
1159734781,1,seamless+pattern+ornamental,vector,NikaMooni,Art deco seamless pattern with rose gold decorative flowers shapes.,"pattern,geometric,wallpaper,flower,seamless,vector,retro,classic,elegant,shell,nouveau,background,chic,luxury,line,oriental,decoration,texture,pink,gatsby,geometry,modern,fashion,print,simple,abstract,leaf,stripe,arch,fabric,fan,premium,textile,ornate,tile,1920s,backdrop,party,subtle,art deco,celebration,element,ornament,repeat,rose gold,scales,scrapbook,shapes,vintage,wrapping paper",https://image.shutterstock.com/image-vector/art-deco-seamless-pattern-rose-600w-1159734781.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/art-deco-seamless-pattern-rose-600w-1159734781.jpg', 'path': 'full/cfc2dc62383eec465ec4d7bda162d8cb07eda7d0.jpg', 'checksum': 'd98d9f7a13b6c5ce99033141e6978b15'}]"
529439566,1,seamless+pattern+ornamental,vector,SeamlessPatterns,Scattered Geometric Line Shapes. Abstract Background Design. Vector Seamless Black and White Pattern.,"pattern,seamless,memphis,line,texture,vector,abstract,hipster,graphic,90s,geometric,design,background,white,black,doodle,funky,trendy,80s,art,modern,creative,fabric,simple,print,retro,style,wallpaper,illustration,jumble,monochrome,ornament,repeat,tile,fashion,paper,stylish,backdrop,cover,decor,decoration,decorative,element,geometry,scattered,shape,template,textile,vintage,wrapping",https://image.shutterstock.com/image-vector/scattered-geometric-line-shapes-abstract-600w-529439566.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/scattered-geometric-line-shapes-abstract-600w-529439566.jpg', 'path': 'full/39921351581d98164869ffe3d1f4752ae0836215.jpg', 'checksum': '5e048503aa8321773a6e5b4ffe7ea019'}]"
1710936379,1,seamless+pattern+ornamental,vector,Eva+Marina,"Blooming midsummer meadow seamless pattern. Plant background for fashion, wallpapers, print. A lot of different flowers on the field. Liberty style millefleurs. Trendy floral design","ditsy,vintage,daisy,rose,yellow,baby,blue,country,drawn,summer,garden,red,retro,decorative,dark,leaf,motif,peony,subtle,traditional,art textile,artistic,blossom,bouquet florist,branch,bridal,chic,colorful texture,cute artist,design on fabric,feminine vector,floral pattern,foliage,garment,gentle,greenery,little flower,malva,manufacture,millefleurs,night,ornament,paper,rose romantic,small flower background,small flower print,summer cute pattern,sweet william,vintage floral,viola",https://image.shutterstock.com/image-vector/blooming-midsummer-meadow-seamless-pattern-600w-1710936379.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/blooming-midsummer-meadow-seamless-pattern-600w-1710936379.jpg', 'path': 'full/0b69f5795db1ba73af5c39ad32a1cb1099809275.jpg', 'checksum': 'dacee1220c6a4ec7e5ebee43dd77ddb5'}]"
1498783490,1,seamless+pattern+ornamental,vector,MURRIRA,Trendy contemporary floral seamless pattern. Fashionable template for design.,"pattern,abstract,beige,seamless,contemporary,minimalist,background,flower,floral,nature,fashion,modern,vector,flora,spring,tropical,artistic,collage,decor,illustration,leaf,leaves,ornament,texture,art,artwork,autumn,backdrop,decoration,design,elegant,exotic,exotica,fabric,garden,geisha,girl,girls,graphic,print,retro,shape,style,summer,template,textile,trend,trendy,wallpaper,wild",https://image.shutterstock.com/image-vector/trendy-contemporary-floral-seamless-pattern-600w-1498783490.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/trendy-contemporary-floral-seamless-pattern-600w-1498783490.jpg', 'path': 'full/959cbb7b022c697d0c55e05c43cf71017114ca90.jpg', 'checksum': 'c60e592b7a9425f351c5d3437abd6ec0'}]"
160009514,1,seamless+pattern+ornamental,vector,GarryKillian,"Vector damask seamless pattern background. Elegant luxury texture for wallpapers, backgrounds and page fill.","pattern,seamless,damask,vintage,wallpaper,vector,luxury,floral,royal,ornate,victorian,baroque,ornament,flower,background,carpet,antique,wall,design,retro,decorative,paper,old,textile,nostalgia,silk,style,art,leaf,swirl,backdrop,curve,element,illustration,template,vertical,classical,decor,elegance,flora,foliate,ornamental,plants,repetition,textured,vignette,wealth",https://image.shutterstock.com/image-vector/vector-damask-seamless-pattern-background-600w-160009514.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-damask-seamless-pattern-background-600w-160009514.jpg', 'path': 'full/e9e898458d4d9aff21fe1957f138174c8952a6f3.jpg', 'checksum': '3cc8fee84fd175e2fe43c4aee6813cd1'}]"
667027816,1,seamless+pattern+ornamental,vector,arinka,Seamless embroidered pattern. Wavy bohemian print. Patchwork ornament. Vector illustration.,"pattern,fabric,embroidery,texture,ethnic,seamless,background,tribal,modern,vector,design,abstract,stitch,art,ornament,color,graphic,print,textile,line,wavy,vintage,folk,wallpaper,retro,sea,summer,decoration,illustration,water,wave,fashion,patch,repeat,isolated,fantasy,tropical,drawn,ornate,wrapping,beautiful,colorful,curve,decor,decorative,drawing,element,marine,striped,style",https://image.shutterstock.com/image-vector/seamless-embroidered-pattern-wavy-bohemian-600w-667027816.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-embroidered-pattern-wavy-bohemian-600w-667027816.jpg', 'path': 'full/e6de06f1d754d32e1917a1e537a021f139df403a.jpg', 'checksum': '1f25b509967095b8e4a35189ccdd0219'}]"
1702020901,1,seamless+pattern+ornamental,vector,kokoshka,"Big set of oriental patterns. White and gold background with Arabic ornaments. Patterns, backgrounds and wallpapers for your design. Textile ornament. Vector illustration.","pattern,arab,seamless,orient,ornament,design,islamic,graphic,turkish,vector,arabesque,arabian,asia,background,decorative,east,gold,set,tile,art,ethnic,floral,lace,modern,mosaic,muslim,spanish,vintage,wall,abstract,arabic,asian,curves,decor,decoration,eastern,history,illustration,islam,line,old,ornamental,ornate,paper,repeat,round,sample,style,traditional,wallpaper",https://image.shutterstock.com/image-vector/big-set-oriental-patterns-white-600w-1702020901.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/big-set-oriental-patterns-white-600w-1702020901.jpg', 'path': 'full/bff5085a91047f215b617107365f84be1d5cfd22.jpg', 'checksum': '1c2f9a3e31b11fea5355b032ea2f93c6'}]"
1824768368,1,seamless+pattern+ornamental,vector,interiors,"Seamless abstract striped,wavy with clorful pattern.Vector design for fashion print and backgrounds.","pattern,seamless,vector,abstract,wave,wavy,chain,fashion,geometric,rug,scarf,textile,texture,vintage,wild,yellow,accessory,amorphous,backdrop,background,beautiful,black,border,card,carpet,colorful,decor,decoration,decorative,design,element,fabric,graphic,green,illustration,interior,line,modern,ornament,ornamental,polka dot,print,retro,shape,skin,striped,tile,wallpaper,white,zebra",https://image.shutterstock.com/image-vector/seamless-abstract-stripedwavy-clorful-patternvector-600w-1824768368.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-abstract-stripedwavy-clorful-patternvector-600w-1824768368.jpg', 'path': 'full/2737093f6f8225750e5e53da6774e2525b804519.jpg', 'checksum': '2201e961857e9b7b5019282d1feed5ec'}]"
512855293,1,seamless+pattern+ornamental,vector,alla+kondrakhina,Vector seamless pattern. Modern stylish texture. Repeating geometric pattern tiles with staggered squares.,"pattern,seamless,vector,background,geometric,abstract,texture,square,modern,white,labyrinth,wallpaper,bar,mat,beautiful,flat,lattice,link,template,tile,bright,cloth,decor,decoration,dynamic,endless,gray,grid,illusion,light,monochrome,neutral,offset,ornament,parquet,stencil",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-512855293.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-512855293.jpg', 'path': 'full/baf4a9aa7d52f91bad50dd675e24073ff1369518.jpg', 'checksum': 'bcbcc12405f3cd760cb7a2428a5dd04f'}]"
1728737503,1,seamless+pattern+ornamental,vector,Pyzhova,Vector seamless pattern. Leopard skin texture,"leopard,print,animal,pattern,jaguar,seamless,skin,background,texture,vector,hair,real,hunting,jungle,repeat,textile,tiger,abstract,africa,backdrop,black,cat,cloth,decor,design,exotic,fashion,fashionable,fur,furry,graphic,illustration,leather,luxury,macro,material,natural,nature,ornament,puma,safari,spot,stripes,structure,textured,wallpaper,wild,wildlife,wrapping,zoo",https://image.shutterstock.com/image-vector/vector-seamless-pattern-leopard-skin-600w-1728737503.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-leopard-skin-600w-1728737503.jpg', 'path': 'full/65b693a0d592ebeea975621330f37a509465fc9d.jpg', 'checksum': '12f072cb6fd894345d221a0b4ed4e4c8'}]"
